ทวีปแอฟริกา	Afriko
กอลมาร์	Colmar
สมเด็จพระสันตะปาปาดามาซุสที่ 1	Damaso la 1-a
แอร์ฟรานซ์	Air France
จอห์นสตันอะทอลล์	Jonstonatolo
มีดโกนอ็อกคัม	Razilo de Ockham
โครูนาเช็ก	Ĉeĥa krono
ฟร็องซัว ราเบอแล	François Rabelais
ออร์โธเนคทิดา	Ortonektidoj
ดังเคิลออสเตียส	Dunkleosteo
พลาโคซัว	Plakozoo
ทรูโอดอน	Troodonto
หงส์ดำ	Nigra cigno
ออร์นิโทไมมัส	Ornitomimo
หนังสือเอสเธอร์	Libro de Ester
หนังสือปัญญาจารย์	Kohelet
ลอร์ดออฟเดอะริงส์: มหาสงครามชิงพิภพ	La Mastro de l' Ringoj: La Reveno de l' Reĝo (filmo)
ฟุตบอลโลก 1954	Futbala Mondpokalo 1954
ยุกิโอะ ฮะโตะยะมะ	Hatojama Jukio
โคริโทซอรัส	Koritosaŭro
รายชื่อนครในสหรัฐอเมริกาเรียงตามจำนวนประชากร	Listo de urboj de Usono
สัปดาห์ศักดิ์สิทธิ์	Sankta Semajno
นาคีชีวัน	Naĥiĉevano
วาลคิรี	Valkirio
เคออส	Ĥaoso
ระบบจัดการเนื้อหา	Sistemo por administrado de enhavo
จดหมายของนักบุญเปาโลถึงชาวโคโลสี	Epistolo al la koloseanoj
ซอโรโลฟัส	Saŭrolofo
จดหมายของนักบุญยากอบ	Epistolo de Jakobo
จดหมายของนักบุญยอห์น ฉบับที่ 1	1-a epistolo de Johano
จดหมายนักบุญเปาโลถึงฟีเลโมน	Epistolo al Filemono
จดหมายของนักบุญเปาโลถึงชาวเธสะโลนิกา ฉบับที่ 2	2-a epistolo al la tesalonikanoj
เส้นไพรม์เมอริเดียน	Grenviĉa Meridiano
ประวัติศาสตร์สหรัฐอเมริกา	Historio de Usono
จดหมายของนักบุญเปาโลถึงชาวเธสะโลนิกา ฉบับที่ 1	1-a epistolo al la tesalonikanoj
จดหมายของนักบุญเปโตร ฉบับที่ 1	1-a epistolo de Petro
มลพิษทางอากาศ	Aera poluado
ฮีบี (เทพปกรณัม)	Hebo
บันยาลูกา	Banjaluko
เบราเนาอัมอินน์	Braunau am Inn
คณะเบเนดิกติน	Benediktanoj
ดาวตก	Meteoro
ภาษาโคบอล	COBOL
ทอมกับเจอร์รี่	Tom kaj Jerry
ธงชาติจีน	Flago de Ĉinio
เฮนรี เดวิด ทอโร	Henry David Thoreau
ทีเชิร์ต	T-ĉemizo
จอบ	Rastro
สมเด็จพระสันตะปาปาฟาเบียน	Fabiano
ความถูกต้องทางการเมือง	Politika ĝusteco
สมเด็จพระสันตะปาปาดิโอนีซุส	Dionizio (papo)
ศาสนามาณีกี	Manikeismo
ทูบา	Tubjo
พอลิเบียส	Polibio
การเชื่อมโลหะ	Veldado
คัมภีร์ไบเบิลฉบับภาษาละติน	Vulgato
จดหมายของนักบุญเปโตร ฉบับที่ 2	2-a epistolo de Petro
จดหมายของนักบุญเปาโลถึงทิโมธี ฉบับที่ 1	1-a epistolo al Timoteo
คาบาเรต์	Kabaredo
คายกคณะ	Ĥoro
ดัชนีมวลกาย	Korpomasa indico
สมัยการโยกย้ายถิ่นฐานในยุโรป	Elorienteŭropaj popolmigradoj
ยูทาห์แรปเตอร์	Utahraptor
จักรพรรดิคอนสแตนติอัส คลอรัส	Konstancio Ĥloro
เกาะเฮิร์ดและหมู่เกาะแมกดอนัลด์	Insulo Herdo kaj insuloj Makdonaldaj
นิกซ์	Nikso (mitologio)
ธงชาติเวียดนาม	Flago de Vjetnamio
เครื่องสำอาง	Kosmetiko
แม่น้ำนีสเตอร์	Dnestro
โปรแกรมแก้ไขข้อความ	Tekstoredaktilo
อ่าวไทย	Golfo de Tajlando
ภูเขาไฟเมานาเคอา	Mauna Kea
สเลเยอร์	Slayer
เซาท์ตาระวา	Bairikio
โทนี โครส	Toni Kroos
คาร์ล ลูวิส	Carl Lewis
ฟุตบอลชิงแชมป์แห่งชาติยุโรป 2000	Eŭropa Futbal-Ĉampionado 2000
โอรันเยสตัด	Oranjestado
ปมเอดิเพิส	Edipa konflikto
ลี กวนยู	Lee Kuan Yew
มหาวิทยาลัยชิคาโก	Universitato de Ĉikago
สติกมา	Stigmo (litero)
ฟารัด	Farado (mezurunuo)
ทรัพย์สินทางปัญญา	Intelekta propraĵo
อเล็กซานเดอร์ รืยบัค	Aleksander Ribak
มหาวิทยาลัยโบโลญญา	Universitato de Bolonjo
วัฒนธรรมสมัยนิยม	Popola kulturo
โซล (แนวดนตรี)	Soulo
ทะเลโบฟอร์ต	Beaufort-maro
เลขมาตรฐานสากลสำหรับนิตยสาร	ISSN
จังหวัดกิฟุ	Gubernio Gifu
จังหวัดอิชิกะวะ	Gubernio Iŝikaŭa
วิกิพีเดีย:แหล่งหนังสือ	Vikipedio:Libroservoj
จอห์น วิลเลียมส์	John Williams (komponisto)
จังหวัดนะระ	Gubernio Nara
ซ่องโสเภณี	Bordelo
การฆ่าล้างเผ่าพันธุ์รวันดา	Ruanda genocido
คำอุปสรรคเอสไอ	Dekoblaj kaj dekonaj unuoj
ฮอมส์	Homs
เฮลโลเวิลด์	Saluton, Mondo!
เกาะฮาวแลนด์	Insulo Howland
เหตุตู-154 ของกองทัพอากาศโปแลนด์ตก พ.ศ. 2553	Kraŝo de la pola prezidenta aviadilo en 2010
ปั๊มความร้อน	Varmopumpilo
จังหวัดวะกะยะมะ	Gubernio Ŭakajama
จังหวัดชิซุโอะกะ	Gubernio Ŝizuoka
เจเน็ต แจ็กสัน	Janet Jackson
อารัส	Arras
พระราชวังเชินบรุนน์	Palaco Schönbrunn
ซูฟอลส์	Sioux Falls
สาธารณรัฐสังคมนิยมโซเวียตอาเซอร์ไบจาน	Azerbajĝana Soveta Socialisma Respubliko
ถั่วปากอ้า	Fabo
แพนโดรา	Pandora
เกาะโอวาฮู	Oahu
เกาะอัลคาทราซ	Alcatraz
จังหวัดชิงะ	Gubernio Ŝiga
มวยปล้ำอาชีพ	Vrestlingo
หมากรุกญี่ปุ่น	Ŝogio
ทะเลทรายนามิบ	Namibo
คิม เบซิงเงอร์	Kim Basinger
วิม	Vim (programo)
เส้นแบ่งเขตวันสากล	Internacia datlinio
รัฐเคาะลีฟะฮ์	Kalifujo
ท่าอากาศยานนานาชาติมิวนิก	Flughaveno Munkeno
ลิ่ม	Kojno
สมเด็จพระราชินีนาถแมรีที่ 1 แห่งสกอตแลนด์	Maria Stuart
ทะเลติมอร์	Timora Maro
ไส้กรอก	Kolbaso
แซมไพ	Sampio
วิชวลเค	Visual Kei
ออโตทรอพ	Aŭtotrofo
ชาเนีย ทเวน	Shania Twain
เกมกระดาน	Tabulludo
จดหมายของนักบุญยอห์น ฉบับที่ 2	2-a epistolo de Johano
หอสมุดรัฐสภา	Kongresa Biblioteko
หนังสืออิสยาห์	Libro de Jesaja
จดหมายของนักบุญยอห์น ฉบับที่ 3	3-a epistolo de Johano
สมเด็จพระสันตะปาปาเคลเมนต์ที่ 5	Klemento la 5-a
จดหมายของนักบุญยูดา	Epistolo de Judaso
ธงชาติมอลตา	Flago de Malto
ทฤษฎีกราฟ	Grafeteorio
คณะดอมินิกัน	Dominikanoj
ฮิจเราะห์	Heĝiro
คาร์ล อดอล์ฟ เจลเลอร์รุป	Karl Gjellerup
จดหมายของนักบุญเปาโลถึงทิโมธี ฉบับที่ 2	2-a epistolo al Timoteo
ไบรตัน	Brajtono
จดหมายของนักบุญเปาโลถึงทิตัส	Epistolo al Tito
สปอร์ลิชบัวอีไบฟีกา	SL Benfica
เครื่องกำเนิดไฟฟ้า	Generatoro
คุยหลัทธิ	Esoterismo
มนตร์	Mantro
ชาวไร่ชาวนา	Terkultivisto
โซฟา	Sofo
บูมเมอแรง	Bumerango
วรรณกรรมเด็ก	Porinfana literaturo
หญ้ามิสแคนทัส	Miscanthus
แฮร์รี ฮูดินี	Harry Houdini
ไททันโนซอรัส	Titanosaŭro
สกุลมะเมื่อย	Gneto
แคทเธอรีน เดอ เมดีชี	Katerino de Mediĉo
โดเดคะนีส	Dodekanesoj
การใช้ลิขสิทธิ์ของผู้อื่นโดยชอบ	Justa uzo
หมาจิ้งจอกเฟนเนก	Feneko
อิคธิโอซอรัส	Iktiosaŭro
สถาบันวิชาชีพวิศวกรไฟฟ้าและอิเล็กทรอนิกส์	IEEE
สนธิสัญญา	Traktato
ผู้ลี้ภัย	Rifuĝinto
เจป็อป	J-pop
สมเด็จพระสันตะปาปาเออร์บันที่ 8	Urbano la 8-a
พระเจ้าเฮนรีที่ 5 แห่งอังกฤษ	Henriko la 5-a (Anglio)
เซลีนี	Seleno (mitologio)
สมเด็จพระสันตะปาปาเคลเมนต์ที่ 14	Klemento la 14-a
ฟุตบอลโลก 1938	Futbala Mondpokalo 1938
แซน	Sano (litero)
หลักการกีดกันของเพาลี	Principo de ekskludo
โอลึมเพียชตาดิโยน (มิวนิก)	Munkena Olimpa Stadiono
นาตาล	Natalo (Brazilo)
ราชวงศ์วิตเตลส์บาค	Vitelsbaĥoj
สถาบันสมิธโซเนียน	Smithsonian Institution
พระราชวังนึมเฟนบูร์ก	Palaco Nymphenburg
ธงชาติคาซัคสถาน	Flago de Kazaĥio
สารฆ่าศัตรูพืชและสัตว์	Pesticido
ดอมีนิก เดอ วีลแป็ง	Dominique de Villepin
โพโลเควน	Polokwane
อะโครโพลิส	Akropolo
ลินุกซ์ดิสทริบิวชัน	Distribuaĵo (Linukso)
อ่างเก็บน้ำ	Baraĵlago
คัพภวิทยา	Embriologio
เฮลิโอสเฟียร์	Heliosfero
อาร์เธอร์ เวลสลีย์ ดยุกที่ 1 แห่งเวลลิงตัน	Duko de Wellington
เอเดน	Adeno
รองเท้าแตะ	Sandalo
จักรพรรดินีมาเรีย เทเรซา	Maria Tereza de Aŭstrio
เศรษฐยาธิปไตย	Plutokratio
วิลเฮลมัส	Wilhelmus
เจ้าผู้ปกครอง	La Princo
บิตคอยน์	Bitmono
เฮนรี คาเวนดิช	Henry Cavendish
โรคติดเชื้อ	Infekta malsano
ตับอักเสบ	Hepatito
น้ำหอม	Parfumo
ตัวหารร่วมมาก	Plej granda komuna divizoro
บลูซีซลัก	Glaucus atlanticus
สมาคมแม่บ้านหัวใจเปลี่ยว	Desperate Housewives
ฮัมฟรี เดวี	Humphry Davy
สื่อประสม	Plurmedio
โชกุน	Ŝoguno
ตรุษจีน	Ĉina novjara festo
วัยรุ่น	Adolesko
คอรันดัม	Korundo
ฟุตบอลทีมชาติเดนมาร์ก	Dana nacia teamo de futbalo
กาว	Gluo
แม่น้ำโอรีโนโก	Orinoko
เทพเซต	Setho
การระเหิด	Sublimado
จอห์น ดูอี	John Dewey
จริตนิยม	Manierismo
ทีนา เทอร์เนอร์	Tina Turner
ออราน	Orano
กลุ่มภาษาอิตาลิก	Italika lingvaro
เซียร์เกย์ รัคมานีนอฟ	Sergej Rachmaninoff
ยาง	Gumo
สมเด็จพระสันตะปาปาปิอุสที่ 5	Pio la 5-a
จักรวรรดิออสเตรีย	Aŭstra imperio
พระเจ้าจอร์จที่ 2 แห่งบริเตนใหญ่	Georgo la 2-a (Britio)
วันสมโภชพระคริสต์แสดงองค์	Epifanio
เอกซ์บอกซ์	Xbox
ลูกกุญแจ	Ŝlosilo
วาฬเบลูกา	Belugo
สมเด็จพระสันตะปาปาลีโอที่ 3	Leono la 3-a
สมเด็จพระสันตะปาปาแอนเทรุส	Antero (papo)
สมเด็จพระสันตะปาปาปอนเทียน	Pontiano
กาลี	Kalio (diino)
รูปเคารพ	Ikono (religio)
ชาติพันธุ์วรรณนา	Etnografio
ซีโน	Zenono de Elajo
เทศกาล	Festivalo
เถรวาท	Teravado
จินตนิมิต	Fantasto
อายุรเวท	Ajurvedo
ชินโซ อะเบะ	Abe Shinzo
โพรโทคอล	Ret-komunika protokolo
วงศ์มังคุด	Kluziacoj
ประเทศพัฒนาแล้ว	Industrilando
ทฤษฎีบทสุดท้ายของแฟร์มา	Lasta teoremo de Fermat
คันโต	Kanto (regiono)
อมรรตยะ เสน	Amartya Sen
ฟุตบอลโลก 1950	Futbala Mondpokalo 1950
กองพลน้อยนานาชาติ	Internaciaj Brigadoj
ฟุตบอลโลก 1990	Futbala Mondpokalo 1990
ฟุตบอลโลก 1958	Futbala Mondpokalo 1958
เจ. โรเบิร์ต ออพเพนไฮเมอร์	Robert Oppenheimer
ไดแอนา (เทพปกรณัม)	Diana
พระเจ้าอ็องรีที่ 2 แห่งฝรั่งเศส	Henriko la 2-a (Francio)
พระเจ้าฟร็องซัวที่ 2 แห่งฝรั่งเศส	Francisko la 2-a (Francio)
ข้าหลวงใหญ่ผู้ลี้ภัยแห่งสหประชาชาติ	Alta Komisaro de la Unuiĝintaj Nacioj pri Rifuĝintoj
โดยนิตินัย	De iure
กล้องจุลทรรศน์อิเล็กตรอน	Elektrona mikroskopo
ตีรัสปอล	Tiraspolo
อิมพาลา	Impalo
รีไซเคิล	Recikligo
แพน (เทพปกรณัม)	Pajno
หมาใน	Montara kuono
ทะโร อะโซ	Aso Taro
ชนกรรมาชีพ	Proleto
นาโอมิ วัตส์	Naomi Watts
อีพิเนฟริน	Adrenalino
วงจรไฟฟ้า	Elektra cirkvito
ธงชาติเบลารุส	Flago de Belorusio
.yt	.yt
ไฮโรกลิฟ	Hieroglifoj
ฟุตบอลโลก 1970	Futbala Mondpokalo 1970
เดสเพลโตซอรัส	Daspletosaŭro
นกยางควาย	Bovardeo
โป (จังหวัดปีเรเน-อัตล็องติก)	Paŭo (Francio)
ซิตตะโกซอรัส	Psitakosaŭro
มามูซู	Mamudzo
วิลเลมสตัด	Vilemstado
แลมบีโอซอรัส	Lambeosaŭro
คาซาบลังกา (ภาพยนตร์)	Casablanca (filmo)
สมเด็จพระสันตะปาปาเกรกอรีที่ 15	Gregorio la 15-a
จังหวัดนีงะตะ	Gubernio Niigata
สมเด็จพระสันตะปาปาอินโนเซนต์ที่ 12	Inocento la 12-a
สมเด็จพระสันตะปาปาปอลที่ 5	Paŭlo la 5-a
สมเด็จพระสันตะปาปาลีโอที่ 11	Leono la 11-a
จังหวัดยะมะนะชิ	Gubernio Jamanaŝi
แกรนด์เธฟต์ออโต	Grand Theft Auto (serio)
อัลเบร์โต กอนตาดอร์	Alberto Contador
โทรสาร	Faksilo
จังหวัดชิมะเนะ	Gubernio Ŝimane
พิพิธภัณฑ์แอร์มิทาช	Ermitejo
สมเด็จพระสันตะปาปาอนาสตาซิอุสที่ 2	Anastazio la 2-a
สมเด็จพระสันตะปาปาลูซิอุสที่ 1	Lucio la 1-a
สมเด็จพระสันตะปาปามาร์คุส	Marko (papo)
อาลบี	Albi (Francio)
อ่าวกาลีฟอร์เนีย	Kalifornia Golfo
การระเหย	Vaporado
การฆ่าคน	Murdo
ดูอาลา	Dualao
มาดราซาห์	Madraso
สมเด็จพระสันตะปาปาเอเดรียนที่ 4	Hadriano la 4-a
พลเรือเอก	Admiralo
สาธารณรัฐสังคมนิยมโซเวียตอาร์มีเนีย	Armena Soveta Socialisma Respubliko
105 อาร์ทิมิส	105 Artemiso
นีโม...ปลาเล็ก หัวใจโต๊...โต	Finding Nemo
ทะเลกรีนแลนด์	Gronlanda Maro
ภาษาลิสป์	Lisp (programlingvo)
106 ไดโอนี	106 Diono
ออแล็งปิกเดอมาร์แซย์	Olympique de Marseille
วาฬหลังค่อม	Ĝiba baleno
ลิฟต์	Lifto
จังหวัดโทะยะมะ	Gubernio Tojama
จังหวัดโอะกะยะมะ	Gubernio Okajama
108 เฮคิวบา	108 Hekubo
อดัม แซนด์เลอร์	Adam Sandler
ทะเลทรายทากลามากัน	Taklamakano
แอฟริกาใต้สะฮารา	Afriko sude de Saharo
ภาวะเสียการอ่านเข้าใจ	Disleksio
Nepenthes rajah	Nepenthes rajah
มานุษยรูปนิยม	Antropomorfismo
ชนอลามานนิ	Alemanoj
โฟลเรียนอโปลิส	Florianópolis
สมเด็จพระสันตะปาปาปอลที่ 3	Paŭlo la 3-a
การพลัดถิ่น	Diasporo
ช้างเอเชีย	Azia elefanto
ธงชาติโครเอเชีย	Flago de Kroatio
ตราแผ่นดินของเยอรมนี	Blazono de Germanio
พระเจ้าริชาร์ดที่ 3 แห่งอังกฤษ	Rikardo la 3-a (Anglio)
ชาวฮังการี	Hungaroj
ภาพพิมพ์หิน	Litografio
อัลเบร์โต ฟุจิโมะริ	Alberto Fujimori
สมเด็จพระสันตะปาปาเออร์บันที่ 5	Urbano la 5-a
ซูเซิน ซาแรนดอน	Susan Sarandon
เวียร์โคยันสค์	Verĥojansk
สมเด็จพระสันตะปาปาเกรกอรีที่ 7	Gregorio la 7-a
งานโมเสก	Mozaiko
ดะนีดิน	Dunedin
การประชาสัมพันธ์	Publikaj rilatoj
โรคเกาต์	Podagro
สมเด็จพระสันตะปาปาอินโนเซนต์ที่ 13	Inocento la 13-a
ขา	Kruro
สมเด็จพระสันตะปาปาเคลเมนต์ที่ 12	Klemento la 12-a
ชานลึอูร์ฟา	Şanlıurfa
สมเด็จพระสันตะปาปาเคลเมนต์ที่ 13	Klemento la 13-a
ประวัติศาสตร์อินเดีย	Historio de Barato
สเปกตรัมแม่เหล็กไฟฟ้า	Elektromagneta spektro
โลกิ	Loki
ISO 3166-2	ISO 3166-2
อาณานิคม	Kolonio
รางวัลพริตซ์เกอร์	Pritzker-premio
เพอร์คัชชัน	Frapinstrumento
ความงมงาย	Superstiĉo
จิ้งจอกแรคคูน	Niktereŭto
คะมิกะเซะ	Kamikazo
ยา, วีเอลสเกอร์เดทเทลันเดท	Ja, vi elsker dette landet
วงศ์มะขามป้อม	Filantacoj
อิควานมุสลิมีน	Islama Frataro
เนื้องอก	Tumoro
กาสิโน	Kazino
โซนาร์	Sonaro
ไมโทซิส	Mitozo
กาเบรียล ลิพพ์มานน์	Gabriel Lippmann
ดีซ่าน	Iktero
ลำดับ	Vico
ดูกามลา ดูเฟรีย	Du gamla, du fria
เลฟ ดาวิโดวิช ลันเดา	Lev Landau
ชมพู่	Sizigio
มุฮัมมัด อัลบะรอดะอี	Mohamed ElBaradei
มารัต ซาฟิน	Marat Safin
ปลาแซลมอนแปซิฟิก	Oncorhynchus
ปริภูมิ-เวลา	Spactempo
สังคายนาไนเซียครั้งที่หนึ่ง	Unua koncilio de Niceo
แฮธอร์	Hatoro
สมเด็จพระสันตะปาปาซิกซ์ตุสที่ 5	Siksto la 5-a
สาธารณรัฐสังคมนิยมโซเวียตยูเครน	Ukraina Soveta Socialisma Respubliko
ลัทธิซาตาน	Satanismo
พระเจ้าชาร์ลที่ 7 แห่งฝรั่งเศส	Karlo la 7-a (Francio)
บีจีส์	Bee Gees
หุบเขากษัตริย์	Valo de la Reĝoj
.pm	.pm
นครรัฐ	Urboŝtato
โทรทัศน์ความละเอียดสูง	Altdifina televido
เซ็ปปุกุ	Seppuku
กอปปีเลฟต์	Rajtocedo
รับบี	Rabeno
จดหมาย	Letero
การเรียน	Lerno
มอโนแซ็กคาไรด์	Monosakarido
สนามกีฬาแห่งชาติปักกิ่ง	Nacia stadiono de Pekino
อนุสัญญาเจนีวา	Konvencioj de Ĝenevo
จอห์น โลจี เบร์ด	John Logie Baird
ถ้ำอัลตามีรา	Kaverno Altamira
ราชวงศ์การอแล็งเฌียง	Karolidoj
จอร์จ สตีเฟนสัน	George Stephenson
ยุคแห่งการสำรวจ	Epoko de Malkovroj
อำมหิตไม่เงียบ	The Silence of the Lambs
สปิน (ฟิสิกส์)	Spino (fiziko)
ตาบอดสี	Kolorblindeco
มาร์แต็งแห่งตูร์	Marteno de Tours
โซนโฮเฟิน	Zonhoven
กาฬโรค	Pesto
อักษรชาห์มุขี	Ŝahmuĥi-ortografio
วิทยาการระบาด	Epidemiologio
อีซัวร์	Issoire
กรวด	Gruzo
กีโยม อาปอลีแนร์	Guillaume Apollinaire
บิตทอร์เรนต์	BitTorento
การแจกแจงปรกติ	Normala distribuo
จังหวัดฟุกุอิ	Gubernio Fukui
เกาะแอชมอร์และเกาะคาร์เทียร์	Aŝmora kaj Kartia Insuloj
วัฏจักรกรดซิตริก	Ciklo de Krebs
สกุลเขากวางอ่อน	Phalaenopsis
การเลี้ยวเบน	Difrakto
จังหวัดโออิตะ	Gubernio Oita
จังหวัดทตโตะริ	Gubernio Tottori
สารต้านอนุมูลอิสระ	Antioksidanto
อิลลูมินาติ	Iluminatoj
การแข็งตัวขององคชาต	Erektiĝo
โรคฮีโมฟิเลีย	Hemofilio
เมียร์แคต	Surikato
ปฏิทินจีน	Ĉina kalendaro
น้ำโคล่า	Kolao
ตำนานน้ำท่วมโลก	Tutmonda diluvo
นาวาซ ชาริฟ	Naŭaz Ŝarif
ฌ็อง แปแร็ง	Jean Baptiste Perrin
จังหวัดโคชิ	Gubernio Koĉi
ภูเขาไฟเมราปี	Merapio
ยุทธการที่เอาสเทอร์ลิทซ์	Batalo ĉe Slavkov
นามูร์	Namuro (urbo)
พระเจ้าคนุตมหาราช	Knuto la Granda
อะบูซิมเบล	Temploj de Abu Simbel
ป็อปอาร์ต	Poparto
โฮเซ เด ซาน มาร์ติน	José de San Martín
ออสการ์ นีเอไมเยร์	Oscar Niemeyer
ตัวถูกเปลี่ยน	Substrato
วงศ์มะเขือ	Solanacoj
อารยธรรมไมนวน	Minoa civilizo
ทรูแมน คาโพตี	Truman Capote
ฟุตบอลโลก 1966	Futbala Mondpokalo 1966
แปรงสีฟัน	Dentobroso
พอลิแซ็กคาไรด์	Polisakarido
โจนาสบราเทอร์ส	Jonas Brothers
สโมสรฟุตบอลไฟเยอโนร์ด	Feyenoord
ธงชาติสหรัฐอาหรับเอมิเรตส์	Flago de la Unuiĝintaj Arabaj Emirlandoj
Rhizopus	Rhizopus
พระเจ้าหลุยส์ที่ 7 แห่งฝรั่งเศส	Ludoviko la 7-a (Francio)
เมร์ซีน	Mersin
ธรรม	Darmo
ภาพเหมือน	Portreto
พระเจ้าชาร์ลที่ 9 แห่งฝรั่งเศส	Karlo la 9-a (Francio)
อนารยชน	Barbaroj
คำบุพบท	Adpozicio
โรเจอร์ มัวร์	Roger Moore
สมเด็จพระสันตะปาปาเออร์บันที่ 7	Urbano la 7-a
ทิสซอ	Tiso
แซทเทิร์น (เทพปกรณัม)	Saturno (dio)
จังหวัดอาเซอร์ไบจานตะวันตก	Okcidenta Azerbajĝano
เต้าเต๋อจิง	Daŭdeĝingo
สโนว์ไวท์กับคนแคระทั้งเจ็ด	Snow White and the Seven Dwarfs
โรงไฟฟ้านิวเคลียร์	Nuklea centralo
พระเจ้าชาร์ลที่ 8 แห่งฝรั่งเศส	Karlo la 8-a (Francio)
มิชิมะ ยุกิโอะ	Jukio Miŝima
โจซีฟัส	Jozefo Flavio
ฟุตบอลทีมชาติโครเอเชีย	Kroata nacia teamo de futbalo
ทะเลสาบบาลคาช	Balkaŝo
เจอร์	Győr
พอร์ตซาอิด	Port Said
ธงชาติภูฏาน	Flago de Butano
แบล็กอายด์พีส์	The Black Eyed Peas
การทับศัพท์	Transliterumo
ซิงเกิล	Unuopaĵo
เข็มขัด	Zono (vestaĵo)
ปั๊มน้ำ	Pumpilo
ทัลก์	Talko
สมเด็จพระสันตะปาปานิโคลัสที่ 5	Nikolao la 5-a
อาร์ทิโชก	Artiŝoko
ยูแวสกูแล	Jyväskylä
ธงชาติฟิลิปปินส์	Flago de la Filipinoj
ไซตะมะ (เมือง)	Sajtama (urbo)
ชูบุ	Ĉubu
สมเด็จพระสันตะปาปาบอนิเฟซที่ 8	Bonifaco la 8-a
โรคคอตีบ	Difterio
เพลงชาติบราซิล	Brazila Nacia Himno
สกุลแรด	Rinocero
ไนอาซิน	Nikotina acido
จอร์จ บูล	George Boole
สมเด็จพระสันตะปาปาสตีเฟนที่ 1	Stefano la 1-a (papo)
เอ็กซิเตอร์	Exeter
บายอน	Bajono
สมเด็จพระสันตะปาปาอนาสตาซิอุสที่ 1	Anastazio la 1-a
สมเด็จพระสันตะปาปาเฟลิกซ์ที่ 1	Felikso la 1-a
สมเด็จพระสันตะปาปาอินโนเซนต์ที่ 1	Inocento la 1-a
เชาเล	Šiauliai
กามีย์ ปีซาโร	Camille Pissarro
ไหม (แมลง)	Silkraŭpo
แม่น้ำเซนต์ลอว์เรนซ์	Sankt-Laŭrenco (rivero)
ค็อกเทล	Koktelo
ไรทะเล	Sala artemio
ฟอร์เรสท์ กัมพ์ อัจฉริยะปัญญานิ่ม	Forrest Gump (filmo)
การลำดับชั้นหิน	Stratigrafio (geologio)
เรขาคณิตวิเคราะห์	Analitika geometrio
ฮะรุกิ มุระกะมิ	Murakami Haruki
วัคซีน	Vakcino
สุลต่านอับดุล ฮามิดที่ 2	Abd-ul-Hamid la 2-a
อุปสรรค (ไวยากรณ์)	Prefikso
สนธิสัญญาแวร์เดิง	Traktato de Verdun
วันพ่อ	Tago de patro
ไหล่ทวีป	Kontinentbreto
กรดคาร์บอกซิลิก	Karboksilata acido
เมืองหลวงและสุสานของอาณาจักรโคกูรยอโบราณ	Ĉefurboj kaj tomboj de la antikva regno Kogurjo
ธงชาติโบลิเวีย	Flago de Bolivio
ธงชาติไทย	Flago de Tajlando
คาเบียร์ บาร์เดน	Javier Bardem
สโตก-ออน-เทรนต์	Stoke-on-Trent
เกาะเฟรเซอร์	Fraser-insulo
ฟุตบอลทีมชาติอุรุกวัย	Urugvaja nacia teamo de futbalo
ฟุตบอลทีมชาติกรีซ	Greka nacia teamo de futbalo
ภูเขาเอ๋อเหมย์	Emej-ŝan
ธงชาติเซเนกัล	Flago de Senegalo
สงครามฤดูหนาว	Vintra milito
ลำไส้เล็กส่วนต้น	Duodeno
แทสเมเนียนเดวิล	Tasmana diablo
อาร์.อี.เอ็ม.	R.E.M. (muzikgrupo)
ลูคัส โพดอลสกี	Lukas Podolski
เดวิด ลอยด์ จอร์จ	David Lloyd George
บรรณานุกรม	Bibliografio
ฟิชชิง	Rettrompado
อาชญากรรมสงคราม	Militkrimo
ธงชาติแกมเบีย	Flago de Gambio
ธงชาติแอนติกาและบาร์บูดา	Flago de Antigvo-Barbudo
วงศ์กระทงลาย	Celastracoj
ราโชมอน (ภาพยนตร์)	Rashōmon (filmo)
ดุบนา	Dubna (Moskva provinco)
เยกอร์เยฟสค์	Jegorjevsk
ภาษาราชการของอินเดีย	Lingvoj de Barato
กูเกิล แปลภาษา	Google-Tradukilo
109 ฟีลิชีตัส	109 Felicito
110 ลิเดีย	110 Lidio
111 อาที	111 Ateo
112 อิฟิจิไนอา	112 Ifigenio
เอร์ซินจาน	Erzincan
113 แอมัลเทีย	113 Amalteo
นกเอี้ยง	Akridoteroj
114 คัสแซนดรา	114 Kasandro
115 ไทรา	115 Tiro
116 ซีโรนา	116 Sirono
สถาปัตยกรรมนอร์มัน	Normana arĥitektura stilo
117 โลเมีย	117 Lomio
118 พีโธ	118 Pejto
เคอร์ลิง	Glitŝtonludo
119 แอลเธีย	119 Alteo
120 แลคิซิส	120 Lakeso
121 เฮอร์ไมโอนี	121 Hermiono
แนท คิง โคล	Nat King Cole
การกัดกร่อน	Korodo
พิวริตัน	Puritanismo
122 เกอร์ดา	122 Gerdo
123 บรุนฮิลด์	123 Brunhildo
ซันดากัน	Sandakan
124 แอลเคสต์	124 Alkesto
โกตากินะบะลู	Kinabalu (urbo)
125 ไลเบรอเทรกซ์	125 Liberatrikso
126 เวลเลดา	126 Veledo
127 โจแฮนนา	127 Johano
สะพานโอกริว	Ponto Okryu
128 เนเมซิส	128 Nemezo
ออลแบนี	Albany
129 แอนทิโกนี	129 Antigono
หมีแว่น	Okulvitra urso
ซะกิชิ โทะโยะดะ	Toyoda Sakichi
130 อิเล็กตรา	130 Elektro
