Aprika	Afriko
Templet:Softredirect	Ŝablono:Intervikia plusendilo
Templet:Delete	Ŝablono:Forigu tuj
Grup:Ol tokples	Kategorio:Lingvoj
Grup:Grama	Kategorio:Gramatiko
Solija	Soldato
Grup:Ol siti na taun bilong kantri	Kategorio:Loĝlokoj laŭ landoj
Templet:Navbox	Ŝablono:Navigilo2
Bikpela magani	Kanguruo
Templet:Shortcut	Ŝablono:Mallongigo
Templet:!	Ŝablono:!
Templet:!-	Ŝablono:!-
Templet:!!	Ŝablono:!!
Templet:Tnavbar	Ŝablono:Tnavbar
Templet:Loop	Ŝablono:Loop
Templet:Unicode	Ŝablono:Unicode
Templet:Small	Ŝablono:Malgrande
Templet:Color	Ŝablono:Kolorteksto
Templet:Nowrap	Ŝablono:Nrsp
Templet:Anchor	Ŝablono:Ankro
Wikipedia:Ol pes i mas stap long Wikipedia	Vikipedio:Listo de havendaj artikoloj
Grup:Elektroniks	Kategorio:Elektroniko
Templet:Babel	Ŝablono:Babelejo
Templet:Commons	Ŝablono:Commons
Templet:Link GA	Ŝablono:LigoLeginda
Templet:Reflist	Ŝablono:Referencoj
Templet:Gnunote	Ŝablono:Gnunote
Templet:Stub	Ŝablono:Ĝermo
Templet:User ar-1	Ŝablono:Vikipediisto ar-1
Templet:User ast-1	Ŝablono:Vikipediisto ast-1
Templet:Yusa eo-1	Ŝablono:Vikipediisto eo-1
Templet:See also	Ŝablono:Vidu ankaŭ
Templet:User da	Ŝablono:Vikipediisto da
Templet:User ca-1	Ŝablono:Vikipediisto ca-1
Templet:User cs-1	Ŝablono:Vikipediisto cs-1
Templet:User eo-3	Ŝablono:Vikipediisto eo-3
Templet:User de	Ŝablono:Vikipediisto de
Templet:User de-1	Ŝablono:Vikipediisto de-1
Templet:User el	Ŝablono:Vikipediisto el
Templet:User es	Ŝablono:Vikipediisto es
Templet:User de-3	Ŝablono:Vikipediisto de-3
Templet:User en-3	Ŝablono:Vikipediisto en-3
Templet:User en-1	Ŝablono:Vikipediisto en-1
Templet:User en-2	Ŝablono:Vikipediisto en-2
Templet:User eo-2	Ŝablono:Vikipediisto eo-2
Templet:User en-4	Ŝablono:Vikipediisto en-4
Templet:User en-0	Ŝablono:Vikipediisto en-0
Templet:User en	Ŝablono:Vikipediisto en
Templet:User de-2	Ŝablono:Vikipediisto de-2
Templet:User es-1	Ŝablono:Vikipediisto es-1
Templet:User fa	Ŝablono:Vikipediisto fa
Templet:User fr-1	Ŝablono:Vikipediisto fr-1
Grup:Laip	Kategorio:Vivo
Templet:User gl-1	Ŝablono:Vikipediisto gl-1
Templet:User sk	Ŝablono:Vikipediisto sk
Templet:User tr-2	Ŝablono:Vikipediisto tr-2
Templet:User ja	Ŝablono:Vikipediisto ja
Templet:User ja-1	Ŝablono:Vikipediisto ja-1
Templet:User it-1	Ŝablono:Vikipediisto it-1
Templet:User fr	Ŝablono:Vikipediisto fr
Templet:Unsigned	Ŝablono:Subskribo
Grup:Azerbaijan	Kategorio:Azerbajĝano
Grup:Esia	Kategorio:Azio
Grup:Soria provins	Kategorio:Provinco Sorio
Grup:Castile na León	Kategorio:Kastilio kaj Leono
Templet:Mod	Ŝablono:Mod
Templet:ISO639-3 documentation	Ŝablono:ISO639-3 ligilo
Templet:User es-2	Ŝablono:Vikipediisto es-2
Templet:NewUser	Ŝablono:Bonvenon
Templet:Ref-ru	Ŝablono:Ru
Templet:WikipediaSista	Ŝablono:ĈefPaĝo/AliajProjektoj
Grup:Lingwistikis	Kategorio:Lingvoscienco
Templet:ITA	Ŝablono:ITA
Templet:Cc-by-sa-3.0	Ŝablono:Cc-by-sa-3.0
Grup:Yusa fr-1	Kategorio:Vikipediisto fr-1
Templet:Collapsible list	Ŝablono:Kaŝebla listo
Templet:Ambox	Ŝablono:ArtikolaMesaĝokesto
Templet:Navigation templates	Ŝablono:Navigilaro
Templet:Steady	Ŝablono:Sama
Templet:Infobokis Kantri	Ŝablono:Informkesto lando
Templet:Column-count	Ŝablono:Kolumno-nombro
Templet:Fi icon	Ŝablono:Fi
Templet:Str left	Ŝablono:Lin mald
Templet:Cite journal	Ŝablono:Citaĵo el gazeto
Templet:User es-0	Ŝablono:Vikipediisto es-0
Grup:Yusa en-4	Kategorio:Vikipediisto en-4
Grup:Yusa en	Kategorio:Vikipediisto en
Templet:Ordinal	Ŝablono:Ordinara
Grup:Yusa en-2	Kategorio:Vikipediisto en-2
Templet:Infobokis	Ŝablono:Informkesto
Templet:Yusa eo	Ŝablono:Vikipediisto eo
Templet:User zh	Ŝablono:Vikipediisto zh
Templet:Template other	Ŝablono:Ĉu ŝablono
Templet:Legend	Ŝablono:Priskribo
Templet:Pp-template	Ŝablono:Pp-ŝablono
Templet:·	Ŝablono:·
Templet:Ol daireksion	Ŝablono:Kompasdirektoj
Templet:Wiktionary	Ŝablono:Vikivortaro
Templet:Ref-lang	Ŝablono:Ref-lang
Grup:Egrikalsa	Kategorio:Agrikulturo
Templet:Pp-semi-template	Ŝablono:Pp-duone-ŝablono
Templet:User ru	Ŝablono:Vikipediisto ru
Templet:IPA	Ŝablono:IFA
Grup:Ol planet bilong Sola Sistem	Kategorio:Sunsistemaj planedoj
Grup:Language user templates	Kategorio:Babelaj ŝablonoj
Templet:Toktok bilong nem	Ŝablono:LingvoKunNomo
Templet:Babel bokis-N	Ŝablono:Babel kadro D
Templet:Rellink	Ŝablono:RilataLigilo
Templet:Babel bokis-1	Ŝablono:Babel kadro 1
Templet:MONTHNAME	Ŝablono:Nomo de monato
Wikipedia:Buk Bilong GFDL	Vikipedio:GNU Free Documentation License
Templet:Commons category-inline	Ŝablono:Komunejokat
Templet:MONTHNUMBER	Ŝablono:Nombro de monato
Templet:Namespace detect	Ŝablono:Determinas nomspacon
Templet:PD-USGov	Ŝablono:PD-Usono-registaro
Templet:Infobokis Plak	Ŝablono:Informkesto flago
Templet:Infobokis Planet	Ŝablono:Informkesto Planedo
Grup:Politikis long kontinen	Kategorio:Politiko laŭ kontinentoj
Templet:Ethnologue	Ŝablono:Ethnologue
Templet:Infobokis Websait	Ŝablono:Informkesto retejo
Templet:SCO	Ŝablono:SCO
Templet:Documentation subpage	Ŝablono:Ŝablona navigado
Templet:CcTLD	Ŝablono:Naciaj domajnoj de plej alta nivelo
Templet:POL	Ŝablono:POL
Templet:Div col	Ŝablono:Div col
Templet:Tok-de	Ŝablono:Lang-de
Templet:Cc-by-3.0	Ŝablono:Cc-by-3.0
Templet:Tok-la	Ŝablono:Lang-la
Templet:Harim stori	Ŝablono:Aŭdioartikolo
Templet:Unreferenced	Ŝablono:Sen fontoj
Templet:Babel bokis-4	Ŝablono:Babel kadro 4
Grup:Ples balus long Vietnam	Kategorio:Flughavenoj de Vietnamio
Templet:Emergency-bot-shutoff	Ŝablono:Butono por forbari robotojn
Templet:User pl-1	Ŝablono:Vikipediisto pl-1
Templet:Prettytable	Ŝablono:Belatabelo
Templet:Transl	Ŝablono:Transl
Templet:Infobokis kantri bilong bipo	Ŝablono:Informkesto pereinta ŝtato
Templet:Redirect	Ŝablono:Alidirekto
Templet:Age in days	Ŝablono:Tagdiferenco
Templet:Cc-by-sa-2.0	Ŝablono:Cc-by-sa-2.0
Templet:JULIANDAY	Ŝablono:JULIANDAY
Templet:Infobokis Kontinen	Ŝablono:Informkesto kontinento
Templet:User de-0	Ŝablono:Vikipediisto de-0
Templet:Ol de bilong dispela wik	Ŝablono:Tagoj de la semajno
Templet:Nobold	Ŝablono:Nobold
Templet:Gregorian serial date	Ŝablono:Gregoria seria dato
Grup:Yusa ja-N	Kategorio:Vikipediisto ja-D
Templet:Cc-by-sa-2.5,2.0,1.0	Ŝablono:Cc-by-sa-2.5,2.0,1.0
Templet:Tok-ru	Ŝablono:Lang-ru
Templet:Disambig	Ŝablono:Apartigilo
Templet:Para	Ŝablono:Parametro
Templet:User no	Ŝablono:Vikipediisto no
Templet:Tok-en	Ŝablono:Lang-en
Templet:PD-user	Ŝablono:PD-uzanto
Templet:Babel bokis-3	Ŝablono:Babel kadro 3
Templet:User it-2	Ŝablono:Vikipediisto it-2
Templet:Ref-de	Ŝablono:De
Templet:Nts	Ŝablono:Smn
Templet:Convert	Ŝablono:Convert
Templet:InterWiki	Ŝablono:Vikipedio
Templet:Coord	Ŝablono:Koord
Templet:Europe topic	Ŝablono:Ŝtatoj en Eŭropo
Grup:Yusa sk	Kategorio:Vikipediisto sk
Grup:Yusa eo	Kategorio:Vikipediisto eo
Grup:Yusa fr	Kategorio:Vikipediisto fr
Grup:Yusa hu-N	Kategorio:Vikipediisto hu-D
Grup:Yusa ja	Kategorio:Vikipediisto ja
Grup:Yusa th	Kategorio:Vikipediisto th
Grup:Yusa fr-3	Kategorio:Vikipediisto fr-3
Grup:Yusa ja-3	Kategorio:Vikipediisto ja-3
Grup:Yusa pl-1	Kategorio:Vikipediisto pl-1
Grup:Yusa hu-4	Kategorio:Vikipediisto hu-4
Grup:Yusa fr-2	Kategorio:Vikipediisto fr-2
Grup:Yusa hu-2	Kategorio:Vikipediisto hu-2
Grup:Yusa it-2	Kategorio:Vikipediisto it-2
Grup:Yusa ja-2	Kategorio:Vikipediisto ja-2
Grup:Yusa fr-N	Kategorio:Vikipediisto fr-D
Grup:Yusa ru-N	Kategorio:Vikipediisto ru-D
Grup:Ol kapitol bilong Osenia	Kategorio:Ĉefurboj de Oceanio
Grup:Yusa ca	Kategorio:Vikipediisto ca
Grup:Yusa ca-1	Kategorio:Vikipediisto ca-1
Grup:Ailan	Kategorio:Insuloj
Grup:Quang Binh provins	Kategorio:Provinco Quang Binh
Grup:Yusa sk-N	Kategorio:Vikipediisto sk-D
Grup:Yusa de	Kategorio:Vikipediisto de
Grup:Yusa de-2	Kategorio:Vikipediisto de-2
Grup:Yusa de-3	Kategorio:Vikipediisto de-3
Grup:Yusa de-N	Kategorio:Vikipediisto de-D
Grup:Yusa dsb	Kategorio:Vikipediisto dsb
Grup:Yusa dsb-1	Kategorio:Vikipediisto dsb-1
Grup:Yusa el	Kategorio:Vikipediisto el
Grup:Yusa el-N	Kategorio:Vikipediisto el-D
Grup:Yusa en-0	Kategorio:Vikipediisto en-0
Grup:Yusa en-3	Kategorio:Vikipediisto en-3
Grup:Yusa en-N	Kategorio:Vikipediisto en-D
Grup:Yusa eo-1	Kategorio:Vikipediisto eo-1
Grup:Yusa eo-2	Kategorio:Vikipediisto eo-2
Grup:Yusa eo-3	Kategorio:Vikipediisto eo-3
Grup:Yusa eo-4	Kategorio:Vikipediisto eo-4
Grup:Yusa es	Kategorio:Vikipediisto es
Grup:Yusa es-1	Kategorio:Vikipediisto es-1
Grup:Yusa eu	Kategorio:Vikipediisto eu
Grup:Yusa eu-1	Kategorio:Vikipediisto eu-1
Grup:Yusa hsb	Kategorio:Vikipediisto hsb
Grup:Yusa hsb-1	Kategorio:Vikipediisto hsb-1
Grup:Yusa hu	Kategorio:Vikipediisto hu
Grup:Yusa hu-1	Kategorio:Vikipediisto hu-1
Grup:Yusa hu-3	Kategorio:Vikipediisto hu-3
Grup:Politikis long kantri	Kategorio:Politiko laŭ landoj
Grup:Yusa it	Kategorio:Vikipediisto it
Grup:Yusa it-1	Kategorio:Vikipediisto it-1
Grup:Yusa ja-1	Kategorio:Vikipediisto ja-1
Grup:Ol stet bilong Ol Yunaitet Stet	Kategorio:Usonaj ŝtatoj
Grup:Ol provins bilong Vietnam	Kategorio:Provincoj de Vjetnamio
Grup:Ol provins bilong Papua Niugini	Kategorio:Provincoj de Papuo-Nov-Gvineo
Grup:Lukluk bilong manmeri	Kategorio:Vidado
Grup:Yusa ru-1	Kategorio:Vikipediisto ru-1
Wikipedia:Babel	Vikipedio:Babelejo
Templet:Tdeprecated	Ŝablono:Evitinda
Templet:User sv-1	Ŝablono:Vikipediisto sv-1
Templet:Babel bokis-2	Ŝablono:Babel kadro 2
Grup:Ol siti na taun bilong Polan	Kategorio:Urboj de Pollando
Templet:PD-old-70	Ŝablono:Bildo malnova, pli ol 70 jaroj
Grup:Saiens long Manmeri na Ples	Kategorio:Socia scienco
Grup:Ol tokples bilong Esia	Kategorio:Lingvoj de Azio
Grup:Ol kantri long Aprika	Kategorio:Afrikaj landoj
Grup:Yusa ru	Kategorio:Vikipediisto ru
Grup:Yusa ru-2	Kategorio:Vikipediisto ru-2
Grup:Yusa ru-3	Kategorio:Vikipediisto ru-3
Grup:Yusa ru-4	Kategorio:Vikipediisto ru-4
Grup:Yusa tpi	Kategorio:Vikipediisto tpi
Grup:Yusa tpi-1	Kategorio:Vikipediisto tpi-1
Grup:Yusa tpi-2	Kategorio:Vikipediisto tpi-2
Grup:Yusa tpi-3	Kategorio:Vikipediisto tpi-3
Grup:Yusa vi	Kategorio:Vikipediisto vi
Templet:Ref-en	Ŝablono:En
Templet:Spaces	Ŝablono:Spacoj
Templet:Lang	Ŝablono:Lang
Templet:User hsb-1	Ŝablono:Vikipediisto hsb-1
Templet:Coord/dec2dms/dm	Ŝablono:Koord/dekalgms/gm
Grup:Vemont	Kategorio:Vermonto
Grup:Kolorado	Kategorio:Koloradio
Templet:PD-self	Ŝablono:PD-mem
Templet:Cc-sa-1.0	Ŝablono:Cc-sa-1.0
Templet:ENG	Ŝablono:ENG
Templet:Merge	Ŝablono:Kunigu
Grup:Politikis long PNG	Kategorio:Politiko de Papuo-Nov-Gvineo
Templet:Infobokis Tokples/family-color	Ŝablono:Informkesto lingvo/Koloro
Templet:User no-1	Ŝablono:Vikipediisto no-1
Templet:User ru-1	Ŝablono:Vikipediisto ru-1
Grup:Ubuntu	Kategorio:Ubuntu
Grup:Manmeri bilong Belaras	Kategorio:Belorusoj
Grup:Intanet kod	Kategorio:Naciaj domajnoj de la alta nivelo
Grup:User no-2	Kategorio:Vikipediisto no-2
Grup:User no	Kategorio:Vikipediisto no
Grup:Armenia	Kategorio:Armenio
Grup:Bhutan	Kategorio:Butano
Grup:Ples balus	Kategorio:Flughavenoj
Grup:Ol nesenel plak	Kategorio:Naciaj flagoj
Grup:Not Koria	Kategorio:Nord-Koreio
Grup:Manmeri bilong Nauru	Kategorio:Nauranoj
Grup:Manmeri bilong Ostrelia	Kategorio:Aŭstralianoj
Grup:Vanuatu	Kategorio:Vanuatuo
Grup:Korea	Kategorio:Koreio
Templet:Howtoedit	Ŝablono:Howtoedit
Templet:ISO 639 name	Ŝablono:Lingv/o
Templet:PAGENAMEBASE	Ŝablono:PAGENAMEBASE
Templet:Ref-info	Ŝablono:Ref-info
Grup:Papua Niugini	Kategorio:Papuo-Nov-Gvineo
Grup:Ol kantri long Pasifik	Kategorio:Oceaniaj landoj
Grup:Ol kantri long Not Amerika	Kategorio:Nordamerikaj landoj
Grup:Ol tokples bilong Yurop	Kategorio:Lingvoj de Eŭropo
Templet:Incubator	Ŝablono:Inkubejo
Grup:Ol Abus	Kategorio:Bestoj
Grup:Ol kantri long Saut Amerika	Kategorio:Sudamerikaj landoj
Grup:Ol bokis bilong musik	Kategorio:Muzikaj instrumentoj
Grup:Piano	Kategorio:Piano
Grup:Ol kapitol bilong kantri	Kategorio:Ĉefurboj
Grup:Akiolosi	Kategorio:Arkeologio
Grup:Ilektrisiti	Kategorio:Elektro
Grup:Yusa pl	Kategorio:Vikipediisto pl
Grup:Famili	Kategorio:Familio
Templet:Infobokis Tokples	Ŝablono:Informkesto lingvo
Grup:Osenia	Kategorio:Oceanio
Grup:Ol tokples bilong Osenia	Kategorio:Lingvoj de Oceanio
Grup:Ol ailan bilong Papua Niugini	Kategorio:Insuloj en Papuo-Nov-Gvineo
Grup:Kalsa bilong Papua Niugini	Kategorio:Kulturo de Papuo-Nov-Gvineo
Grup:Ol kapitol bilong Yurop	Kategorio:Ĉefurboj de Eŭropo
Grup:Ol kapitol bilong Esia	Kategorio:Ĉefurboj de Azio
Grup:Ol tokples bilong Vanuatu	Kategorio:Lingvoj de Vanuatuo
Grup:Ol tokples bilong Papua Niugini	Kategorio:Lingvoj de Papuo-Nov-Gvineo
Templet:CompactTOC	Ŝablono:Indekso
Templet:NUMBEROF	Ŝablono:Nombro da
Templet:WAL	Ŝablono:Kimrio
Templet:PD-old-100	Ŝablono:Bildo malnova
Templet:User tpi-3	Ŝablono:Vikipediisto tpi-3
Templet:Color box	Ŝablono:Kolora kesto
Templet:Flag	Ŝablono:Flago
Templet:Tok-pl	Ŝablono:Lang-pl
Saina (kainkain mining)	Ĉinio (apartigilo)
Trojany	Trojany
Grup:Ol kantri long Esia	Kategorio:Aziaj landoj
Grup:Ol kantri long Amerika	Kategorio:Amerikaj landoj
Grup:Ol kantri long Sentrel Amerika	Kategorio:Centramerikaj landoj
Grup:Aialan	Kategorio:Irlando
Grup:Linux	Kategorio:Linukso
Halivim:Disembigyuesen	Helpo:Apartigiloj
Grup:Tebol bilong ol elemen	Kategorio:Perioda tabelo
Grup:León provins	Kategorio:Provinco Leono
Grup:Valencia provins	Kategorio:Provinco Valencio
Grup:Burgos provins	Kategorio:Provinco Burgoso
Templet:Ol web kala2	Ŝablono:Interretaj koloroj
Grup:Kala	Kategorio:Koloroj
Grup:Ol yunit bilong taim	Kategorio:Mezurunuoj de tempo
Grup:Alicante provins	Kategorio:Provinco Alikanto
Grup:Ol siti na taun bilong Brasil	Kategorio:Municipoj de Brazilo
Grup:Politikis long Osenia	Kategorio:Politiko en Oceaniaj landoj
Grup:Ol siti na taun	Kategorio:Urboj
Templet:Ref-mix	Ŝablono:Ref-mix
Grup:Yusa en-1	Kategorio:Vikipediisto en-1
Grup:Yusa de-1	Kategorio:Vikipediisto de-1
Grup:Protected templates	Kategorio:Protektitaj ŝablonoj
Templet:NUMBEROF/data	Ŝablono:Nombro da/dateno
Templet:Userbox-level	Ŝablono:Userbox-level
Templet:User dsb-1	Ŝablono:Vikipediisto dsb-1
Templet:User tpi-1	Ŝablono:Vikipediisto tpi-1
Templet:Ref-tpi	Ŝablono:Tpi
Templet:1000	Ŝablono:Havenda artikolo
Templet:User no-5	Ŝablono:Vikipediisto no-5
Templet:User tpi-2	Ŝablono:Vikipediisto tpi-2
Templet:Proofreader needed	Ŝablono:Lingve poluru
Templet:Style/IPA	Ŝablono:Style/IPA
Templet:Style/yid	Ŝablono:Style/yid
Sipesol:Nupela senis	Specialaĵo:Lastaj ŝanĝoj
