ᎬᎿᎦᏍᏛ	Afriko
Category:User en-3	Kategorio:Vikipediisto en-3
Category:User en-N	Kategorio:Vikipediisto en-D
Category:User es	Kategorio:Vikipediisto es
Category:User es-2	Kategorio:Vikipediisto es-2
Category:User es-N	Kategorio:Vikipediisto es-D
Template:Adminbox	Ŝablono:Uzanto Vikiadministranto
Category:ᎠᎪᏩᏏᏗ	Kategorio:Vidado
ᏫᎩᏇᏗᏯ:Babel	Vikipedio:Babelejo
Template:User sv-1	Ŝablono:Vikipediisto sv-1
Category:ᎠᏂᎪᎢ ᎤᎾᏁᎳᏅᎯ ᎠᏂᎨᏴ	Kategorio:Helenaj diinoj
Category:ᎠᎹ	Kategorio:Akvo
Template:User ko-3	Ŝablono:Vikipediisto ko-3
Category:User sv-N	Kategorio:Vikipediisto sv-D
Category:User wa	Kategorio:Vikipediisto wa
Category:User wa-N	Kategorio:Vikipediisto wa-D
Category:ᏚᏓᏡᎬ	Kategorio:Artikoloj
Template:User tr-1	Ŝablono:Vikipediisto tr-1
Template:User zh-2	Ŝablono:Vikipediisto zh-2
Template:Multi-listen end	Ŝablono:Aŭskultu fino
Category:ᎠᎾᎵᏖᎸᎲᏍᎬ ᎦᏁᏰᎩ	Kategorio:Perforto
Category:ᏧᏓᎴᏅᏓ ᎫᎵᏍᏔᏅ ᏑᏓᎴᎩ	Kategorio:Kemiaj elementoj
Template:User de-4	Ŝablono:Vikipediisto de-4
Category:ᎠᏣᏗ	Kategorio:Fiŝoj
Category:ᎤᎾᏓᏔᏅ ᎠᎩᏍᏗ	Kategorio:Fruktoj
Category:ᏙᏯᏗᎳ ᏄᏍᏗᏓᏅ	Kategorio:Klimato
Category:Animalia	Kategorio:Bestoj
Category:ᎠᏂᎪᎢ ᎤᏂᏃᎮᎸᎯ	Kategorio:Helena mitologio
Category:ᎠᏂᎩᏍᏙᏗ	Kategorio:Transporto
Category:ᏧᏴᏢ ᎠᎹᏰᎵ	Kategorio:Nordameriko
Template:Substituted	Ŝablono:Ŝablono ne inkludita
Category:ᎠᏥᎳ	Kategorio:Fajro
Category:ᏗᎧᏃᏗ	Kategorio:Koloroj
Template:Image label begin	Ŝablono:Marko sur bildo komenco
Category:User en-1	Kategorio:Vikipediisto en-1
Category:User de-1	Kategorio:Vikipediisto de-1
Template:PD-art	Ŝablono:PD-art
ᎧᎹᎹ (ᏨᏍᎪᏱ)	Rhopalocera
Wikipedia:Deletion log	Vikipedio:Loglibro de forigoj
Template:Multi-listen item	Ŝablono:Aŭskultu temon
Special:RecentChanges	Specialaĵo:Lastaj ŝanĝoj
Module:HtmlBuilder	Modulo:HtmlBuilder
