افریقہ	Afriko
چانگدا	Changde
اکجوجت	Akĵuĵt
نیل (رنگ)	Indigo (farbo)
Propofol	Propofolo
مسجد اقصٰی	Moskeo Al-Aksa
جائین کا بڑا گرجاگھر	Katedralo de Ĥaeno
سینٹ-ہلیری-لیس-پلکس	Saint-Hilaire-les-Places
نائجیانگ	Nejĝjan
اگوا بلانکا دیتاربد	Agua Blanca de Iturbide
نطرُون	Sodo
مرج	Al Marĝ
اتیراؤ صوبہ	Provinco Atirau
خارجہ نخلستان	Ĥarga
نظمیتی عنصری نام	Sistema elementa nomo
مسجد الحرام	Masĝid al-Haram
رابرٹو کارلوس	Roberto Carlos da Silva
سانگلی	Sangli
گلابی	Roza
کیرول کاؤنٹی، آئیووا	Kantono Carroll (Iovao)
ثابتہ کواکب	Fiksa stelo
ڈئربورن، مشی گن	Dearborn (Miĉigano)
صوبہ نو شہر	Provinco Nevşehir
ناصرہ (شہر)	Nazareto
عیسائی عرب	Arabaj Kristanoj
لوف جسیم	Kadavrofloro
سینٹ-گیورگس-دو-بوس، چارینتے-مریتھمے	Saint-Georges-du-Bois (Charente-Maritime)
ٹینگانیکا	Tanganjikio
سیکامور، الینوائے	Sycamore (Ilinojo)
صوبہ دوزجے	Provinco Düzce
Old Swiss Confederacy	Svisa Ĵurkomunumo
سبرینا لایڈ	Sabrina Lloyd
متوالیگر	Sekvencilo
قدیم مصری مذہب	Religio de Antikva Egiptio
لثوی-حنکی حروف صحیح	Alveolo-palatalo
زمرہ:تاریخ بلحاظ موضوع	Kategorio:Historio laŭ temoj
زمرہ:تاریخ معماری	Kategorio:Historio de arkitekturo
زمرہ:عسکری تاریخ	Kategorio:Milita historio
زمرہ:تاریخ جالبین	Kategorio:Historio de Interreto
ایڈی ایڈمز	Edie Adams
بطریق اعظم فرانسس اول	Francisko (papo)
سینٹ-کاسٹ-لے-گیلڈو	Saint-Cast-le-Guildo
خیمہ‌زنی	Tendumo
امایا (بورگوس)	Amaya
چینی ادب	Ĉinlingva literaturo
آیزو 3166-2:JP	ISO 3166-2:JP
لانوالای	Lanvallay
ہسپانوی زیر حمایت مراکش	Hispana Maroko
اسلامی بنکاری	Islama banko
صوبہ بسکرہ	Provinco Biskra
صبیحہ گوکچن	Sabiha Gökçen
ہستناپور	Hastinapuro
باریسال ڈویژن	Barizalo (regiono)
سلہٹ ڈویژن	Silheto (regiono)
کوسرئی	Kosrae
الھاسنگر	Ulhasnagar
برزگ کاؤنٹی	Distrikto Brzeski (Opolski)
علاقہ سیکاسو	Regiono Sikasso
مظفر آباد	Muzaffarabad
بیرونی قرضہ	Ekstera ŝuldo
کارون دریا	Karun
ہوا پیمائی ملی ایران	Iran Air
الحجامہ	Kupado
پیرس کلب	Klubo de Parizo
کینڈائی نشریاتی ادارہ	Canadian Broadcasting Corporation
برینڈا باکے	Brenda Bakke
آبید	Hidrato
لیک ووڈ، کولوراڈو	Lakewood (Koloradio)
دونانہ کا قومی پارک	Doñana
انکیدو	Enkidu
بومتھانگ ضلع	Distrikto Bumthang
جولی وارنر	Julie Warner
چادر	Ĉadoro
مسز اینی بسنٹ	Annie Besant
فروغ فرخزاد	Forug Farroĥ-Zad
عید الفطر	Eid ul-Fitr
صوبہ نجران	Emirlando Naĵrano
ٹکسال	Monfarejo
مختاراں مائی	Mukhtaran Bibi
نور النساء	Noor Inayat Khan
جان پرکنز (مصنف)	John Perkins
مشرقی گھاٹ	Orientaj Ghatoj
ماتا امرتا نندا مائی	Mata Amritanandamayi
المادین	Almadén
برگد	Banjano
سائنیابولی صوبہ	Provinco Sainjabuli
ساواناخیت صوبہ	Provinco Savannaĥet
سیانگہوانگ صوبہ	Provinco Siangĥuang
اودامسائے صوبہ	Provinco Udomsai
جببکے	Jabbeke
تعز	Taiz
اسمائلس	Simplified molecular-input line-entry system
اصحاب کہف	La sep dormantoj
نمونہ فضا	Provrezultaro
تویوناکا، اوساکا	Tojonaka
خاروغ	Ĥorug
درانی سلطنت	Durana Imperio
گردیز	Gardez
Verizon	Verizon Communications
مانسی قوم	Mansoj
عوامی اشتراکی جمہوریہ البانیا	Albana Socialisma Popola Respubliko
استاد علی اکبر خان	Ali Akbar Khan
لاشامہ	Anosmio
قدیم امریکی زبانیں	Amerinda lingvaro
لیموریا (براعظم)	Lemurio (kontinento)
سینٹ-ہیلن	Saint-Hélen
میگالوپولس	Megalopolo
لدونت (طبیعیات)	Plasta aliformiĝo
محافظہ عمان	Amano (gubernio)
سینٹ-جنین	Saint-Junien
گرکانج	Urgenĉo
کاملوپس	Kamloops (Brita Kolumbio)
میکای	Macaé
سین-مرے-دے-تورہینے	Sainte-Maure-de-Touraine
برآبی ناقل	Amfibia veturilo
جزوی مرتب طاقم	Partordo
الور سیتار	Alor Setar
نمنگان صوبہ	Provinco Namangano
محافظہ ریمہ	Provinco Rajma
رفتار پیما	Rapidmezurilo
صدر آسٹریا	Prezidanto de Aŭstrujo
دی باٹم	Bottom
دمشقی فولاد	Damaska ŝtalo
خمسین	Ĥamsino
زرنج	Zaranĝ
خانتی قوم	Ĥantoj
نشیبستان	Malaltaj Landoj
لشکر گاہ	Laŝkar Gah
دستور ہند	Konstitucio de Barato
پلی خمری	Pul-i Ĥomri
تالقان	Talokan
گروپ 77	Grupo 77
عمرو خالد	Amr Khaled
بادکند	Batken
ہسپانیہ کی کمیونسٹ پارٹی	Komunista Partio de Hispanio
ضلع آربرگ	Aarberg (distrikto)
الاوا	Ilava
پینٹیلیریا	Pantelleria
ایمی ایڈمز	Amy Adams
علامہ زمخشری	Al-Zamakŝario
شریعت	Ŝario
صوبہ گریسون	Provinco Giresun
صوبہ گوموشخانے	Provinco Gümüşhane
گز	Jardo (mezurunuo)
صوبہ سیرت	Provinco Siirt
صوبہ قہرمان مرعش	Provinco Kahramanmaraş
ریڑھ کی ہڈی	Vertebraro
آذری	Azerioj
صوبہ کارامان	Provinco Karaman
صوبہ سامسون	Provinco Samsun
صوبہ اسکی شہر	Provinco Eskişehir
صوبہ بایبورت	Provinco Bayburt
صوبہ عشاق	Provinco Uşak
صوبہ یالووا	Provinco Yalova
صوبہ الازیغ	Provinco Elazığ
صوبہ سیواس	Provinco Sivas
مدرج	Stadiono
صوبہ غازی عینتاب	Provinco Gaziantep
دریائے سیحوں	Sirdarjo
صوبہ کارابوک	Provinco Karabük
صوبہ ارزنجان	Provinco Erzincan
صوبہ اردو	Provinco Ordu
صوبہ کاستامونو	Provinco Kastamonu
صوبہ توقات	Provinco Tokat
نوروز	Noruzo
مختبر	Laboratorio
جوہری کمیتی اکائی	Atommasa unuo
ویکی مینیا	Vikimanio
پلانوئس	Planoise Châteaufarine
سمبئین	Symbian
اغدیر	Iğdır
صنف	Ĝenro
گردش نما	Giroskopo
کیمونو	Kimono
صوبہ قیصری	Provinco Kayseri
صوبہ ریزہ	Provinco Rize
فنکار	Artisto
تاجک لوگ	Taĝikoj
فیلاخ	Villach
وال مارٹ سٹورز	Walmart
جنوبی وفاقی ضلع	Suda federacia regiono
اہل سنت	Sunaismo
طیف بینی	Spektroskopio
جوہری رداس	Atomradiuso
مسٹر بین	Mr. Bean
خود مختاری	Aŭtonomeco
محمد اقبال	Muhammad Ikbal
تکسیدی عدد	Oksidiĝa nombro
فرانسیسی کمیون	Komunumo (Francio)
فقہ	Fikho
تیموری سلطنت	Timuridoj
روس کے وفاقی اضلاع	Federaciaj regionoj de Rusio
کاراکالپکستان	Karakalpakstano
سطح	Surfaco
صوبہ قیریق قلعہ	Provinco Kırıkkale
ذات پات	Kasto
بامیان کے بدھا	Budhoj el Bamijan
ازبک سوویت اشتراکی جمہوریہ	Uzbeka Soveta Socialisma Respubliko
لکیری مساوات	Lineara ekvacio
قاراغاندی	Karagando
البرز	Elborz-Montaro
ماربیا	Marbella
مقایضہ	Natura interŝanĝo
قنوطیت	Pesimismo
لاچار	Láchar
انگش قوم	Inguŝoj
بکتر	Kiraso
اقمولا صوبہ	Provinco Akmola
شمالی قازقستان صوبہ	Provinco Norda Kazaĥio
بنط لینڈ	Puntlando
شمالی قفقازی وفاقی ضلع	Nord-Kaŭkazia federacia regiono
این آربر، مشی گن	Ann Arbor (Miĉigano)
برازیل کی ریاستیں	Subŝtatoj de Brazilo
قیزیلوردا صوبہ	Provinco Kizilordo
باشکیر	Baŝkiroj
Covalent radius	Kovalenta radiuso
سٹوری کاؤنٹی، آئیووا	Kantono Story (Iovao)
قاراغاندی صوبہ	Provinco Karagando
اقتوبے صوبہ	Provinco Aktobe
واپیلو کاؤنٹی، آئیووا	Kantono Wapello (Iovao)
شیمکنت	Ŝimkento
اورنگزیب عالمگیر	Aŭrangzebo
رانی مکھرجی	Rani Mukerji
انامور	Anamur
Redhat	Red Hat
قوستانای صوبہ	Provinco Kostanajo
قریش	Kurajŝoj
جیسپر کاؤنٹی، آئیووا	Kantono Jasper (Iovao)
القالی	Alkalo
جیکسن کاؤنٹی، آئیووا	Kantono Jackson (Iovao)
لیون کاؤنٹی، آئیووا	Kantono Lyon (Iovao)
ماہاسکا کاؤنٹی، آئیووا	Kantono Mahaska (Iovao)
کیوکوک کاؤنٹی، آئیووا	Kantono Keokuk (Iovao)
جونز کاؤنٹی، آئیووا	Kantono Jones (Iovao)
مغربی قازقستان صوبہ	Provinco Okcidenta Kazaĥio
صوبہ بلخان	Provinco Balkan
مسجد نبوی	Moskeo de la Profeto
الغ بیگ	Ulugbek
غزوۂ بدر	Batalo de Badro
پاؤلودار صوبہ	Provinco Pavlodaro
فرینکلن کاؤنٹی، آئیووا	Kantono Franklin (Iovao)
نصیر الدین محمد ہمایوں	Humajun
خیوا	Ĥiva
پاؤلودار	Pavlodar
اسلاموفوبیا	Islamofobio
وادئ فرغانہ	Fergana valo
فرغانہ	Fergano
گوتھری کاؤنٹی، آئیووا	Kantono Guthrie (Iovao)
صوبہ چوئی	Provinco Ĉuj
صوبہ نارین	Provinco Narin
باڈین بئی وین	Baden (Malsupra Aŭstrio)
ایوانز ویل، انڈیانا	Evansville
تاراز	Taraz
جامبیل صوبہ	Provinco Ĵambilo
لنشنگ	Linĉado
ساؤتھ بینڈ، انڈیانا	South Bend
ریاضیاتی مثیل	Matematika modelo
خوارزم شاہی سلطنت	Ĥorazma Imperio
فرغانہ صوبہ	Provinco Fergano
سلویا سینٹ	Sylvia Saint
ن ج س 4414	NGC 4414
بخارا صوبہ	Provinco Buĥaro
اندیجان صوبہ	Provinco Andiĝono
صوبہ لب آب	Lebap
صوبہ داشوغوز	Provinco Daşoguz
صوبہ ماری	Provinco Mary
صوبہ ایسیک کول	Provinco Isik-Köl
کوسٹرنیوبرگ	Klosterneuburg
سمرقند صوبہ	Provinco Samarkando
سرخان دریا صوبہ	Provinco Surĥandarjo
چغتائی خان	Ĉagataj-Ĥano
سیر دریا صوبہ	Provinco Sirdarjo
خوارزم صوبہ	Provinco Ĥorazmo
نوائی صوبہ	Provinco Navojo
قشقہ دریا صوبہ	Provinco Kaŝkadarjo
تاشقند صوبہ	Provinco Taŝkento
شفاف امواد	Travideblo
صوبہ بادکند	Provinco Batken
صوبہ جلال-آباد	Provinco Ĵalalabat
Ni.	.ni
اندیجان	Andiĝono
داشوغوز	Daşoguz (urbo)
یکتات، الاسکا	Yakutat
ترکمن آباد	Türkmenabat
جلال-آباد	Ĵalalabat
حرارت اضافی	Masa varmokapacito
خانیت چغتائی	Ĉagataja Ĥanlando
درویش	Derviŝo
غزوہ احد	Batalo de Uhudo
جیزخ صوبہ	Provinco Ĝizaĥo
علی بابا	Ali Babo kaj kvardek rabistoj
ترکمنباشی، ترکمانستان	Türkmenbaşy
قوستانای	Kostanaj
ترینچا	Tryńcza
اہلدن (سامت گمیندے)	Samtgemeinde Ahlden
قدیم دنیا کے سات عجائبات عالم	Sep mirindaĵoj de la antikva mondo
انتاناناریوو صوبہ	Antananarivo (provinco)
خوقند	Kokando
نوکوس	Nukus
بلومنگٹن، انڈیانا	Bloomington
براہ راست غیر ملکی سرمایہ کاری	Rekta eksterlanda investado
فلنٹ، مشی گن	Flint
بیلوکسی، مسیسپی	Biloxi
عزرائیل	Azraelo
یاو، اوساکا	Jao
خانان خیوہ	Ĥanlando de Ĥiva
کیتے	Kitee
اکریا	Ucria
نمنگان	Namangano
کیفہ	Kiffa
فوربز فہرست ارب پتی افراد	Listo de miliarduloj
Nl.	.nl
طوسا، سسلی	Tusa (Mesino)
جاپانی شہر	Urboj de Japanio
فلرٹن، کیلیفورنیا	Fullerton (Kalifornio)
لنکاسٹر کاؤنٹی، جنوبی کیرولینا	Kantono Lancaster (Suda Karolino)
فقہ الطب	Jurmedicino
کایئن ریاست	Kajino
سینٹ-لارنٹ-دے-لا-کبرریسسے	Saint-Laurent-de-la-Cabrerisse
زبانوں کی فہرست	Listo de lingvoj
چیتا، ایچی	Ĉita (Japanio)
میساوا، اوموری	Misaŭa
کورویشی، اوموری	Kuroiŝi
گوشوگاوارا، اوموری	Goŝogaŭara
نمکین پانی	Salakvo
ماسلویس	Maassluis
جسترنیہ	Jastarnia
تاجی دوران	Koronaria angio
توبہ	Pentofaro
لینوسا	Linosa
شیانیانگ	Ŝjanjango
ویران شہر	Viranşehir
پھلوں کی فہرست	Listo de foliarboj de la tropika zono
قصر اشبیلیہ	Alkazaro de Sevilo
محافظہ مآرب	Provinco Ma'rib
نہر پاناما علاقہ	Zono de la Kanalo de Panamo
سدو، نیگاتا	Sado (Niigata)
شالامار باغ	Ĝardenoj de Ŝalimar
شاہ عالم، ملائیشیا	Shah Alam
فہرست یمن کے شہر	Listo de urboj de Jemeno
آخالکالاکی	Aĥalkalako
کھلنا ڈویژن	Ĥulno (regiono)
بیت صیدا	Betsaida
وائیومنگ کاؤنٹی، مغربی ورجینیا	Kantono Wyoming (Okcidenta Virginio)
مزوزو	Mzuzo
ایباراکی، اوساکا	Ibaraki (urbo)
غضروف	Kartilago
ہوافان صوبہ	Provinco Huaphanh
لاہولم	Laholmo
بحیرہ سالتون	Lago Saltono
ڈورچسٹر، ڈورسٹ	Dorchester
جندلسبرنن	Jandelsbrunn
گولڈ کوسٹ (برطانوی نوآبادی)	Ora Marbordo (kronkolonio)
سال ان در دونو	Saal an der Donau
ادلب	Idlib
فہرست کمبوڈیا کے شہر	Listo de urboj de Kamboĝo
چوراہا	Vojkruciĝo
لا شاریٹی-سور-لویری	La Charité-sur-Loire
سچسن بی انسبچ	Sachsen apud Ansbach
اورنج واک ضلع	Orange Walk
شجری خلیہ	Dendrita ĉelo
راست اقدام	Rekta agado
تکونی میٹرکس	Triangula matrico
ڈیکاٹر، الینوائے	Dekaturo (Ilinojo)
بیدوا	Baidoa
خاموان صوبہ	Provinco Ĥamuan
محافظہ عجلون	Aĝlun
تصويری صحافت	Fotoĵurnalismo
دواسازی	Farmacia industrio
فرانسیسی سوڈان	Franca Sudano
کایو ضلع	Cayo
پاتنوس	Patnos
جاسزجاکوحالما	Jászjákóhalma
بورگو دے اوسما گرجا گھر	Katedralo de Burgo de Osma
فہارست شہر بلحاظ ملک	Listo de urboj laŭ lando
فہرست سری لنکا کے شہر	Listo de urboj de Sri-Lanko
فہرست برما کے شہر	Listo de urboj de Birmo
توخنباخ	Tuchenbach
کوروزال ضلع	Corozal
سیلف	Sailauf
دور حیات	Vivciklo (biologio)
جگستزلل	Jagstzell
تیرئیل گرجاگھر	Katedralo de Teruelo
نکسار	Niksar
فہرست ویتنام کے شہر	Listo de urboj de Vjetnamio
عیدالاضحی	Eid ul-Adha
تبوآئی	Tubuai
ین ان	Janan
پریفیکچور	Prefektejo
آیزو 3166-2:MN	ISO 3166-2:MN
فہرست لاؤس کے شہر	Listo de urboj de Laoso
ہمبار	Sammasnumera izotopo
لا ترانشے-سور-میر	La Tranche-sur-Mer
اگیجا	Agigea
ترنتوو ضلع	Distrikto Trutnov
سالبرگ-یبرسدورف	Saalburg-Ebersdorf
سینٹ-جنین-لیس-کومبس	Saint-Junien-les-Combes
ابسٹاڈٹ-ویہیر	Ubstadt-Weiher
لا شاپیل-لونای	La Chapelle-Launay
مقدونیہ، ساؤ پاؤلو	Macedônia (São Paulo)
لاپا، ریو دے جانیرو	Lapa (Rio de Janeiro)
کیتالے	Kitale
اشچیل	Trzciel
لا لاسا دے رانے	La Llosa de Ranes
تبدِیلیِ لسان	Lingvoŝanĝiĝo
جنۃ العریف	Ĝeneralifo
لاگوا نووا	Lagoa Nova
ترچھی متناظر میٹرکس	Kontraŭsimetria matrico
مرزق	Murzuk
قصبہ بطليوس	Alkazabo de Badajoz
قلات، افغانستان	Kalat
فیانارانتسوا	Fianarantsoa
عثمانی معماری	Otomana arkitekturo
جاسزسزنتندراس	Jászszentandrás
کلائنٹ (کمپیوٹنگ)	Kliento (komputiko)
اندیرین	Andırın
جردلند	Jardelund
رونالڈو	Ronaldo
کلمیم السمارہ	Guelmim-Es Semara
مراکش کے شہر	Listo de urboj de Maroko
آرنجوئیز کا شاہی محل	Reĝa Palaco de Aranjuez
کارکیلا	Karkkila
پاپوا علاقہ	Teritorio Papuo
ڈوڈینس	Dudince
اگودل	Agudelle
توتزنگ	Tutzing
برق آلاتیات	Elektromekaniko
سالدورف-سرھیم	Saaldorf-Surheim
جبنگ	Jabing
لاگوا دے ویلہوس	Lagoa de Velhos
2020ء کی دہائی	2020-aj jaroj
صوبہ استنبول	Provinco İstanbul
جچنو	Jachenau
ہوہوٹ	Hoĥoto
سینٹ-برکے-سوس-فورٹ	Saint-Brice-sous-Forêt
کانپس کرسٹی کالج	Kolegio Corpus Christi (Kembriĝo)
لا پیوبلا دے مونٹالبان	La Puebla de Montalbán
بوسٹن (ضد ابہام)	Boston
سینٹ-ابن، زرا	Saint-Aubin (Jura)
سینٹ-مارٹن-سر-یکیلوں	Saint-Martin-sur-Écaillon
یلے، فلوریڈا	Yulee (Florido)
فہرست اعداد	Listo de nombroj
یانسی بٹلر	Yancy Butler
اینگلو مصری سوڈان	Angl-Egipta Sudano
ویسٹ کوسٹ، نیوزی لینڈ	Okcidentmarborda Regiono
لانگرونی-سور-میر	Langrune-sur-Mer
جنوبی ہند	Suda Barato
مغلیہ فن تعمیر	Mogola arkitekturo
ساربرگ	Saarburg
ٹاؤن ہال	Urbodomo
یوتوکو	Jotoko
رے چارلس	Ray Charles
داخلی تبادل	Ena konvertiĝo (atoma fiziko)
کیتھی بیٹس	Kathy Bates
بحیرہ لاکادیو	Lakediva Maro
کووینٹری (ضد ابہام)	Coventry (apartigilo)
ماورائے قفقازی اشتراکی وفاقی سوویت جمہوریہ	Transkaŭkaza Federacia Soveta Socialisma Respubliko
جننےبے	Janneby
لانگویڈیاس	Languédias
دیمک	Termito
زہتتیہ	Zahattja
تسن ہاسن	Tussenhausen
کیمیائی ہتھیار اجلاس	Konvencio pri Kemiaj Armiloj
رچمنڈ، انڈیانا	Richmond (Indianio)
سین-سونین	Saint-Savinien
جانوشالمہ	Jánoshalma
عظمی لحمومہ	Ostosarkomo
ولتز (صوبہ)	Kantono Wiltz
سکیلے	Săcele
سینٹ جوزف، بارباڈوس	Sankta Jozefo (Barbado)
سگرد	Sagard
اگیاگوسزرجینے	Agyagosszergény
مخی نیم کرہ	Cerba duonsfero
بریڈر ری ایکٹر	Genera reaktoro
ادر	Uder
شاہ رخ تیموری	Ŝaho Ruĥo (Timuridoj)
ضلع گوزلیارت	Distrikto Güzelyurt
سارولنگن	Saarwellingen
ضلع لیفکوسا	Distrikto Lefkoşa
ضلع اسکیلے	Distrikto İskele
سیگوویہ کا قلعہ	Alkazaro de Segovio
دیر البلح	Deir el-Balah
زمرہ:مصنوعی ذہانت	Kategorio:Artefarita inteligenteco
محمد عالم خان	Alim Ĥan
اشچنسکو، زدروج	Trzcińsko-Zdrój
کیوکس	Kiwix
رائن-نیکار	Metropola regiono Rhein-Neckar
اچٹے	Uchte
سچسنبرن	Sachsenbrunn
سال ان در سالے	Saal an der Saale
جکوبسویلر	Jakobsweiler
نیوٹن	Neŭtono
لا بارکا (میونسپلٹی)	La Barca
شہر سبز	Ŝahrisabz
بائوتو	Baŭtoŭo
منال	Lofoforoj
میکینیک	Macinec
سین-پریسٹ-پلس	Saint-Priest-Palus
اوردوس شہر	Ordoso
قطب جنوبی ماحولیاتی خطہ	Antarkta ekozono
اسوکیرو	Isokyrö
جانسچوالدے	Jänschwalde
کراس ریجن، نمبیا	Karas-regiono
سارا، گریز	Saara (apud Gera)
جملن	Jameln
تازہ (مراکش)	Taza
جملٹز	Jamlitz
امریک مخالف	Antiusonismo
کوئینسی، الینوائے	Quincy (Ilinojo)
ناؤوو، الینوائے	Nauvoo (Ilinojso)
قنیطرہ	Al-Kunajtira
ویورلی، الینوائے	Waverly (Ilinojso)
سینٹ جارج پریش، گریناڈا	Paroko Sankta Georgo
ہائی لینڈ پارک، الینوائے	Highland Park (Ilinojo)
جبلیونکا	Jablůnka
افطار	Iftar
سینٹ-مرد، چارینتے-مریتھمے	Saint-Mard (Charente-Maritime)
گاسا ضلع	Distrikto Gasa
بندق	Avelo
لاریسا (ریجنل یونٹ)	Lariso (provinco)
تھورن ٹن، کولوراڈو	Thornton (Koloradio)
مملکت متوکلیہ یمن	Reĝlando Jemeno
مشرقی انگلیا	East Anglia
سینٹ-مارٹن-دس-چمپس، منچھ	Saint-Martin-des-Champs (Manche)
سقوط کردہ فرشتے	Falintaj anĝeloj
بنو خزرج	Ĥazraoj
سینٹ-برد	Saint-Bard
لانجارون	Lanjarón
متناظرشکن تعلق	Malsimetria rilato
جانوشدہ	Jánoshida
مکاؤ، ریو گرانڈی ڈو نورٹی	Macau (Brazilo)
Penrose tiling	Penrosa kahelaro
سیکونگ صوبہ	Provinco Sekong
پوناخا ضلع	Distrikto Punaĥa
لا گاروولا	La Garrovilla
صوبہ خراسان رضوی	Provinco Razavi-Ĥorasano
اردشین	Ardesen
ڈلنے کیوبین	Dolný Kubín
سچے، اندرے-یت-لڑے	Saché
تھیکا	Thika
سگنت	Sagnat
لا ویکتوریا، اراگوا	La Victoria (Venezuelo)
پرنس جارج، برٹش کولمبیا	Prince George (Brita Kolumbio)
ایڈورڈ ہشتم	Eduardo la 8-a (Britio)
سینٹ-گرمین-دے-لسیگنان	Saint-Germain-de-Lusignan
سینٹ-لوپ-گینگس	Saint-Loup-Géanges
صوبہ تہران	Provinco Teherano
جنیکی	Janíky
سینٹ جیمز، بارباڈوس	Sankta Jakobo (Barbado)
لاس روزاس دے میڈریڈ	Las Rozas
فراہ	Farah
جنرل سانتوس	General Santos
لاس ناواس دے لا کنسیپسیان	Las Navas de la Concepción
خریبکہ	Ĥuribga
مودرا	Modra
اباتوبا	Ubatuba
8000مقم	-8000
فہرست بین الاقوامی ریلوے اتحاد ملکی رموز	UIC-Landokodoj
توخلا کاؤنٹی	Distrikto Tuchola
توکانو، باہیا	Tucano (Bahio)
شمالی صوبہ، سری لنکا	Norda Provinco (Srilanko)
لہنتسے ضلع	Distrikto Lhunce
ہیباکوشا	Hibakuŝo
لابوری کوارٹیر	Laborie (distrikto)
چیمبو صوبہ	Simbu
تراشییانگتسے ضلع	Distrikto Traŝijangste
محمود راقی	Mahmud-i Raki
خلافت سکوٹو	Sokoto Kaliflando
جزیرہ اوکیناوا	Okinava insulo
تھیس	Tieso
تجارت	Komerco
جزیرہ پرنس آف ویلز (الاسکا)	Insulo Princo de Kimrio (Alasko)
سینٹ-عبرت، نورد	Saint-Aubert (Nord)
نیوجی مسجد	Moskeo Njuĝjie
لا گریوی-سور-میگنون	La Grève-sur-Mignon
جسنوواک، سسک-موسلونا کاؤنٹی	Jasenovac
محافظہ معان	Maano
بوکان	Bukan
عرایش	Laraŝo
رمبک	Rumbek
سینٹ-اوگسٹن، چارینتے-مریتھمے	Saint-Augustin (Charente-Maritime)
غیرناطق عدد	Neracionala nombro
سینٹ-گرمین-لیس-بلیس	Saint-Germain-les-Belles
شیلبیویل، انڈیانا	Shelbyville
لی ایسکا	Lieksa
گلگت	Gilgit
ڈوور (ضد ابہام)	Dover
سینٹ-شنت، کراسے	Saint-Maixant (Creuse)
فہرست تھائی لینڈ کے شہر	Listo de urboj de Tajlando
قلعہ لاہور	Fortikaĵo de Lahore
سینٹ-موڑ، زرا	Saint-Maur (Jura)
سینٹ-گرمین-این -مونٹاگنے	Saint-Germain-en-Montagne
سینٹ-گنیست-سر-روسلے	Saint-Genest-sur-Roselle
سینٹ-لوپ، زرا	Saint-Loup (Jura)
سگینے–لاک-سینٹ-ژاں	Saganio - Sankt-Johan-Lagio
ہیروشیما پریفیکچر	Gubernio Hiroŝima
سنیژکا	Sněžka
لا ٹاہا	La Taha
زاگرا، گراندہ	Zagra (Granada)
صوبہ تونجیلی	Provinco Tunceli
لیڈیا	Lidio
قلیقیہ	Kilikio
کمرۂ جماعت	Klasĉambro
ٹومب رایڈر فرشتۂ ظلمات	Tomb Raider: The Angel of Darkness
منعکسہ تعلق	Refleksiva rilato
راہے	Raahe
سینٹ-فرگو	Saint-Fargeau
فہرست فلم	Listo de filmoj laŭ produktadlando
حیات بعد الموت (مقالہ ثانی)	Postmorto
نومانسیا	Numanco
ترجُم	Targum
لہوی حروف صحیح	Uvularo
جاملتز-کلین دوبن	Jämlitz-Klein Düben
سینٹ-ایٹیینے-آ-کلوس	Saint-Étienne-aux-Clos
سینٹ-ڑےجوش	Saint-Fréjoux
سینٹ-ہلیری-لک	Saint-Hilaire-Luc
سینٹ-جلیں -پریس-بورٹ	Saint-Julien-près-Bort
سینٹ-گرمین-لوولپس	Saint-Germain-Lavolps
سینٹ-پاردو-لے-ےش	Saint-Pardoux-le-Vieux
سین-سٹیرس	Saint-Setiers
سین-رمے، کورریزے	Saint-Rémy (Corrèze)
احصائی آزادی	Sendependeco (probabloteorio)
اچکرفیلڈی	Uckerfelde
جنوبی ہوانگہائے صوبہ	Sud-Hŭanghae
سینٹ-شپےڑی-لیس-روچس	Saint-Exupéry-les-Roches
سینٹ-اینجل، کورریزے	Saint-Angel (Corrèze)
لا پورچیری	La Porcherie
سین-فرولے	Sainte-Féréole
سینٹ-امنڈ-لیس-وا	Saint-Amand-les-Eaux
آراوکا، آراوکا	Araŭko (Kolombio)
گرافک ڈیزائنر	Grafikisto
ہوتکی سلطنت	Hotaka dinastio
سالفیلڈر ہوہے	Saalfelder Höhe
صدر میکسیکو	Prezidanto de Meksiko
سچسنھاگیں	Sachsenhagen
پیشہ وری سلامتی و صحت	Laborprotekto
سینٹ-مارشل-لے-مونٹ	Saint-Martial-le-Mont
جرگو	Jargeau
جبکہ	Jabuka
جاسزفینیسزارو	Jászfényszaru
جاکفا	Jákfa
مریوان	Meriwan
زگیوریکس	Zagyvarékas
سہمس	Sahms
جمہوریہ ماتحتی اضلاع	Registare administrataj regionoj de Taĝikio
صوبہ ختلان	Ĥatlon
صوبہ ہرمزگان	Provinco Hormozgan
اوگا، اکیتا	Oga
اکرلینڈ	Uckerland
کینیما	Kenema
رشمور	Rushmoor
ٹرنو پریلیک	Turnow-Preilack
دفتر اقوام متحدہ برائے منشیات و جرائم	Oficejo de Unuiĝintaj Nacioj pri Narkotaĵoj kaj Krimo
ایوان	Ivano
جکوبسدورف	Jacobsdorf
جوار کاؤنٹی	Distrikto Jaworski
نازیلی	Nazilli
یوبری، ہوکیدو	Jubari
نیوا، ہوئلا	Neiva
جزیرہ سینٹ لارنس	Insulo Sankta Laŭrenco
لا جاری	La Jarrie
تواماسینا صوبہ	Toamasina (provinco)
موسیقار	Muzikisto
جارنو	Jarinu
لانریلاس	Lanrelas
کابینہ	Kabineto
موتسو، اوموری	Mucu
ٹومب رایڈر تاریخ	Tomb Raider: Chronicles
جامسا	Jämsä
گرینڈ پریری (البرٹا)	Grande Prairie
نیووتاس	Nuevitas
امام مسجد (مسجد)	Moskeo de la Ŝaho
