Aphrika	Afriko
Katiguriya:Bulgarya	Kategorio:Bulgario
Simi kapchiy	Literaturo
Katiguriya:Ransiya	Kategorio:Francio
Katiguriya:Musika	Kategorio:Muziko
Katiguriya:Simi kapchiy	Kategorio:Literaturo
Kawsay rikch'a	Romano
Katiguriya:Wiñay kawsay (Ransiya)	Kategorio:Historio de Francio
Manga	Mangao
Iliada	Iliado
Sapallu yura rikch'aq ayllu	Kukurbacoj
Iskay phutuy raphiyuq	Dukotiledonaj plantoj
Luru	Papagedoj
Puka atuq	Ruĝa vulpo
Harry Potter	Harry Potter
Q'ipa	Trumpeto
Jazz	Ĵazo
Qipa pinkuyllu	Klarneto
Trumpun	Trombono
Wiyulin	Violono
Valladolid	Valadolido
Chilu	Violonĉelo
Uwuy pinkuyllu	Hobojo
Wawsakuy	Sinmasturbado
Constantinus I	Konstantino la 1-a de la Romia Imperio
K'akcha pukllay	Manpilkado
Waki	Socio
Hawaykawsay	Civilizo
Yachachiy	Eduko
Ayllu	Familio
Hugo Chávez Frías	Hugo Chávez
Qhari	Viro
Otto von Bismarck	Otto von Bismarck
Kasarakuy	Geedzeco
Kurt Cobain	Kurt Cobain
Sulluchiy	Aborto
Wañuy wanay	Mortpuno
Runa hayñi	Homaj rajtoj
Chawchuri rikuri	Rasismo
Isklaw	Sklaveco
Mamallaqtayuq maqanakuy	Interna milito
Kaphiy	Kafo
Apuwasiyuq pukllaykuna 1992	Somera Olimpiko 1992
Hilli	Suko
Lichi	Lakto
Urqu	Monto
Ch'in pacha	Dezerto
Apuwasinyuq pukllaykuna 2004	Somera Olimpiko 2004
Apuwasinyuq pukllaykuna 2008	Somera Olimpiko 2008
Sun Yat-sen	Sun Jatsen
Apuwasinyuq pukllaykuna 2012	Somera Olimpiko 2012
Simón Bolívar	Simón Bolívar
Pierre Trudeau	Pierre-Elliott Trudeau
Kwame Nkrumah	Kwame Nkrumah
Hong Kong	Honkongo
Miami (Florida)	Miamo
Karachi	Karaĉio
Lagos	Lagoso
Rio de Janeiro	Rio-de-Ĵanejro
Real Madrid	Real Madrid
Siul	Seulo
Shanghai	Ŝanhajo
Bilbao	Bilbao
Atlético Madrid	Atlético Madrid
Walt Disney	Walt Disney
Sevilla	Sevilo
Arkhimidis	Arkimedo
Thomas Alva Edison	Thomas Alva Edison
Vigo	Vigo
Albanya simi	Albana lingvo
Yuskara simi	Eŭska lingvo
Enrico Fermi	Enrico Fermi
Henry Ford	Henry Ford
Joseph Fourier	Jean Baptiste Joseph Fourier
Arminya simi	Armena lingvo
Ukranya simi	Ukraina lingvo
Granada	Granado
Valencia	Valencio
Ch'isin Paya	Virgo (konstelacio)
Mach'aqway (Warani)	Kankro (konstelacio)
Málaga	Malago
Pichakunki	Oriono (konstelacio)
Klaus Wowereit	Klaus Wowereit
Amaru kuntur	Skorpio (konstelacio)
Steven Spielberg	Steven Spielberg
Mirku	Ĝemeloj (konstelacio)
Warani	Konstelacio
Johannes Gutenberg	Johannes Gutenberg
James Prescott Joule	James Prescott Joule
Johannes Kepler	Keplero
Max Planck	Max Planck
Guadalajara (Jalisco)	Gvadalaharo
Suwiri simi	Sveda lingvo
Dan simi	Dana lingvo
Nikola Tesla	Nikola Tesla
James Watt	James Watt
Nurwiga simi	Norvega lingvo
Chiku simi	Ĉeĥa lingvo
Isluwakya simi	Slovaka lingvo
Karl Marx	Karl Marx
Isluwinya simi	Slovena lingvo
Unriya simi	Hungara lingvo
Voltaire	Voltaire
Istunya simi	Estona lingvo
Litunya simi	Latva lingvo
Lituwa simi	Litova lingvo
Hinduwismu	Hinduismo
Bilurusu simi	Belorusa lingvo
José Mujica	José Mujica
Tabaré Vázquez	Tabaré Vázquez
Ñuñu	Mamo
Dmitri Mendeleev	Dmitrij Mendelejev
Iñuku	Atomo
Ernest Rutherford	Ernest Rutherford
Achkiy	Lumo
Grigu simi	Greka lingvo
Erwin Schrödinger	Erwin Schrödinger
Llamk'aykuna llika	Operaciumo
Taj Mahal	Taĝ-Mahalo
Ilanda simi	Irlanda lingvo
Pinwinu	Pingveno
E-chaski	Retpoŝto
Josip Broz Tito	Josip Broz Tito
Nuna	Animo
Malta simi	Malta lingvo
Pharsi simi	Persa lingvo
Iñiy	Religio
Kuryu simi	Korea lingvo
Moysespa huk ñiqin qillqasqan	Genezo
Moysespa iskay ñiqin qillqasqan	Eliro
René Descartes	René Descartes
Chinchay Han simi	Nordĉina dialektaro
Witnam simi	Vjetnama lingvo
Apustul Pawlu	Paŭlo de Tarso
Clive Staples Lewis	C. S. Lewis
Khimir simi	Kmera lingvo
Law simi	Laŭa lingvo
Sigmund Freud	Sigmund Freud
Thay simi	Siama lingvo
Birmanu simi	Birma lingvo
Katiguriya:Warani	Kategorio:Konstelacioj
Malaya simi	Malaja lingvo
Indunisya simi	Indonezia lingvo
Muñgul simi	Mongola lingvo
Baku	Bakuo
Qasaq simi	Kazaĥa lingvo
Kirkis simi	Kirgiza lingvo
Tukuy runakunap qhapaq kaynin	Monda heredaĵo de Unesko
Tayik simi	Taĝika lingvo
Usbik simi	Uzbeka lingvo
Yuyupa	Salato
Turkmin simi	Turkmena lingvo
Hudyu iñiy	Judismo
Iwriyu simi	Hebrea lingvo
Asar simi	Azerbajĝana lingvo
Makidunya simi	Makedona lingvo
Sirbya simi	Serba lingvo
Sirbu hurwat rimay	Serbokroata lingvo
Busna simi	Bosnia lingvo
Galligu simi	Galega lingvo
Kamri simi	Kimra lingvo
Immanuel Kant	Immanuel Kant
Iskut kilta simi	Skotgaela lingvo
Tintoretto	Tintoretto
Deutsche Lufthansa	Lufthansa
Lao Tzu	Laozio
Yoga	Jogo
Friedrich Nietzsche	Friedrich Wilhelm Nietzsche
Jean-Paul Sartre	Jean-Paul Sartre
Kukupin	Hepato
K'ayrapin	Lieno
Wasa ruru	Reno
Adam Smith	Adam Smith
Ispay puru	Urina veziko
Q'uruta	Testiko
Kunu	Kuniklo
BASF	BASF
Ankucha llika	Nerva sistemo
Nuna yachay	Psikologio
Yuyaychakuy	Pensado
Mama qucha	Oceano
Tommaso d'Aquino	Tomaso de Akvino
Victoria (quya)	Viktoria (Britio)
Siddhārtha Gautama	Sidarto Gotamo
Paray sach'a-sach'a	Pluvarbaro
Muhamad	Mohamedo
Antharu	Sciuredoj
Samay	Spirado
Tony Blair	Tony Blair
Martin Luther	Marteno Lutero
Burgos	Burgoso
Ru llup'ina	Konfuceismo
Kathuliku Inlisya	Katolika Eklezio
Wiksa	Ventro
Ñiqwin	Mjelo
Ch'illa sirk'a	Vejno
Banla simi	Bengala lingvo
Kisma	Utero
Qallu	Lango (anatomio)
Chelsea FC	Chelsea F.C.
Arsenal FC	Arsenal F.C.
Suyk'upin	Pankreato
Ankucha	Nervo
Runa saqru	Homa skeleto
Runtuchana	Ovario
Kunka	Kolo
Simi	Buŝo
Tunqur muqu	Laringo
Ch'unchul	Intesto
Tullu muqu	Artiko
Qhasqu	Brusto
Ch'añan	Glando
Malwina wat'akuna	Insuloj Falklandoj
Mikhuna yawri	Digesta sistemo
Tawna sirk'a	Arterio
A	A
Michael Schumacher	Michael Schumacher
Man wat'a	Manksinsulo
Elisabeth II	Elizabeto la 2-a (Britio)
John Kennedy	John F. Kennedy
B	B
Yuma	Ejakulaĵo
Gioacchino Rossini	Gioachino Rossini
Klasiku musika	Klasika muziko
G	G
U	U
Z	Z
Flamenco	Flamenko
F	F
J	J
Siq'i llumpa	Alfabeto
Saksuphun	Saksofono
T	T
C	C
Eindhoven	Eindhoven
R	R
D	D
I	I
E	E
H	H
Dwight Eisenhower	Dwight D. Eisenhower
Haarlem	Haarlemo
K	K
L	L
M	M
N	N
O	O
P	P
Q	Q
S	S
Zhū Yuánzhāng	Ĵu Juanĵang
Ronald Reagan	Ronald Reagan
V	V
W	W
X	X
Y	Y
Ä	Ä
Zulu simi	Zulua lingvo
Pithagoras	Pitagoro
Pamplona	Pamplono
Colosseum	Koloseo
Wakcha	Malriĉeco
Zaragoza	Zaragozo
Donostia-San Sebastián	Donostio
Almería	Almerio
Ayrton Senna	Ayrton Senna
Alain Prost	Alain Prost
Elche	Elx
Fernando Alonso	Fernando Alonso
Atuq (Warani)	Vulpo (konstelacio)
David Beckham	David Beckham
Tupaturka	Kaprikorno (konstelacio)
Chakana warani	Suda Kruco (konstelacio)
Saskatoon	Saskatuno
Mikikiray	Akvisto
Urquchillay	Pesilo (konstelacio)
Gordon Brown	Gordon Brown
1100	1100
Katiguriya:Winisuyla	Kategorio:Venezuelo
Katiguriya:Wiñay kawsay (Winisuyla)	Kategorio:Historio de Venezuelo
PlayStation	PlayStation
PlayStation 2	PlayStation 2
PlayStation 3	PlayStation 3
Belfast	Belfasto
Cardiff	Cardiff
Qallawap ñiqi rakirinkuna	Perioda tabelo
Robert Mugabe	Robert Mugabe
Georgetown	Ĝorĝtaŭno (Gujano)
Sipikuy	Sinmortigo
Suchuq	Reptilioj
Khankiq	Ronĝuloj
Urpi	Kolombedoj
Ñawpa añaki	Arĥioj
Ñawsa kay	Blindeco
Añaki	Bakterioj
Sach'a	Arbo
Ch'ulla kawsaykuq	Protistoj
Allpa yaku kawsaq	Amfibioj
Wasa tiwlliyuq	Ĥorduloj
Pachakutiy	Revolucio
Kisu	Fromaĝo
Uwas	Vinbero
Lachiwa misk'i	Mielo
Aycha	Viando
Papa	Terpomo
Asukar	Sukero
Yuyu	Legomo
Suya	Sojfabo
Allwiya kamay	Teknologio
Pillinku	Ŝraŭbo
Willachikuy	Komunikado
Willa	Informo
Willay kamayuq	Ĵurnalismo
Mit'awa	Gazeto
Liwru ch'ipachina	Presarto
Karu rimay	Telefono
The Rolling Stones	The Rolling Stones
Kawsay saphi	Kulturo
Hindustani	Hindustana lingvo
Sanskrit simi	Sanskrito
Sirk'a llika	Kardiovaskula sistemo
Pusullu	Amnezio
Ukhuman sapachaq ch'añan	Endokrina sistemo
Rakhu ch'unchul	Dika intesto
Ñañu ch'unchul	Maldika intesto
Musyana yawri	Sensa sistemo
Lugo	Lugo (Hispanio)
P'uchqu	Acido
Tapuna unancha	Demandosigno
T'inkisqa	Kemia kombinaĵo
Hulyanu kalindaryu	Julia kalendaro
Hampi yachay	Medicino
Llipt'a	Bazo (kemio)
Sarajevo	Sarajevo
Kamachi quq atiy	Leĝdona povo
Yupa hap'ichiy	Aritmetiko
Awacha turrikuna	World Trade Center
Fidel Castro	Fidel Castro
Fulgencio Batista	Fulgencio Batista
Katiguriya:Brasil	Kategorio:Brazilo
Katiguriya:Wiñay kawsay (Brasil)	Kategorio:Historio de Brazilo
Katiguriya:Rumanya	Kategorio:Rumanio
Qallawa	Kemia elemento
Paqtachani	Ekvacio
Kinraysuyu	Funkcio (matematiko)
Chhuka	Angulo
K'illimsayaku	Karbonhidrato
Iñuwa	Molekulo
P'ikwachiy	Akcelo
Micha	Energio
Iliktrumaqnitiku illanchay	Elektromagneta ondo
Uywariy	Aldomigo
Mitan kamay katiguriya	Biologia klasado
Rock	Rok-muziko
Kallpa	Forto
Wankar	Tamburo
Sirinka	Fluto
Pukllay	Ludo
Llasaturaku	Gravito
Iñuku huk'i sinchi micha	Forta nuklea forto
Maqanakuy kapchiy	Luktoarto
Pukllana	Ludilo
Wisnu	Maso
Kuyuq wankilli	Filmo
Q'illay	Metalo (fiziko)
Asiru	Ŝtalo
Iñuku huk'i p'akiy	Fisio
Wapsi	Gaso
Puriqlla	Likvo
Sinchiyasqa	Solido
Iskaymuyu	Biciklo
Hatun wamp'u	Ŝipo
Illanchaykuy	Radiaktiveco
Allpa llamk'ay	Agrikulturo
Parquy	Irigacio
Utku	Kotono
P'achallina	Vesto
Ruqyay	Sono
T'aklla	Plugilo
Utqa kay	Vektora rapido
Q'uñi kay	Temperaturo
Q'illay llamk'ay	Metalurgio
Q'ispillu	Vitro
Mit'awi	Tempo
Papil	Papero
Llirpu	Plasto
Ch'usaq p'ulin	Vakuo
Hallka k'iti k'anchar	Areo
Yupay	Nombro
Darwin (Awstralya)	Darvino
Kilugramu	Kilogramo
Cristiano Ronaldo	Cristiano Ronaldo
Mitru	Metro
Sikundu	Sekundo
Sara	Maizo
Siwara	Ordinara hordeo
Iker Casillas	Iker Casillas
Llimphiy	Pentrado
Ch'iquy	Skulptarto
Aranwa	Teatro
Judy Garland	Judy Garland
Tusuy	Danco
Pinchikilla puriy	Elektra kurento
Maywiy kutinchiq	Frekvenco
Shenyang	Ŝenjango
Chongqing	Ĉongĉingo
Tianjin	Tjanĝino
Ö	Ö
Wuhan	Vuhano
Wikipidiya:Unanchakunap Plantillankuna	Listo de sendependaj ŝtatoj
Nagoya	Nagojo
Mawk'a Ihiptu	Antikva Egiptio
Mawk'a Grisya	Antikva Grekio
Ukumari	Urso
John Adams	John Adams
Thomas Jefferson	Thomas Jefferson
James Madison	James Madison
James Monroe	James Monroe
John Quincy Adams	John Quincy Adams
Andrew Jackson	Andrew Jackson
Martin Van Buren	Martin Van Buren
Rit'i Yuraqchamanta	Neĝblankulino
Puka Kapirusitamanta	Ruĝkufulineto
William Harrison	William H. Harrison
John Tyler	John Tyler
James Polk	James K. Polk
Zachary Taylor	Zachary Taylor
Kevin Costner	Kevin Costner
Miki Ukucha	Mickey Mouse
PSV Eindhoven	PSV Eindhoven
Michael Ballack	Michael Ballack
Las Palmas de Gran Canaria	Las Palmas de Gran Canaria
Tychy	Tychy
Mikhuna ukhunchakuy	Digestado
Inti wayllay	Fotosintezo
Miraykuy	Reproduktado
Wiksayay	Gravedeco
Kylie Minogue	Kylie Minogue
Ruwli	Kverko
Pinu	Pino
1101	1101
1102	1102
Apanqara unquy	Kancero
Q'icha unquy	Ĥolero
Qhapaq	Reĝo
Sintinu	Sekalo
Tarpuy awina	Kutima aveno
Triyu	Tritiko
Britun simi	Bretona lingvo
2040	2040
Surgu	Sorgo
2039	2039
Riwi	Greno
2038	2038
2037	2037
2036	2036
Ch’uju unquy	Malvarmumo
2035	2035
Kiru hampikamayuq	Dentokuracado
Kalindaryu	Kalendaro
Ruqt'u kay	Surdeco
Waq'ayay	Psika malsano
Unquy	Malsano
Griguryanu kalindaryu	Gregoria kalendaro
Hampi	Kuracilo
Pacha suyu	Horzono
Qhali kay	Sano
Sunqu p'itiy	Korinfarkto
Chukchu	Malario
Wirakaray	Trodikiĝo
Alpha Centauri	Alfa Centaŭro
Unquy muhu wañuchiq	Antibiotiko
Nantes	Nanto (Francio)
Unquy hark'aypa chaskisqa waqlliynin	Aidoso
Qhaqya unquy	Tuberkulozo
Misk'i unquy	Diabeto
Muru unquy	Variolo
Murcia	Murcio
Santander	Santandero (Hispanio)
Sumaq wasichay kamay	Arkitekturo
K'ukti	Arko (arkitekturo)
Chaka	Ponto
Mayu hark'a	Akvobaraĵo
Kachi	Salo (kemio)
Piriniyukuna	Pireneoj
Detroit (Michigan)	Detrojto
SI tupuy	Internacia sistemo de unuoj
Sanayway	Simetrio
1103	1103
1104	1104
Chunwa Hatun Pirqa	Granda Ĉina Muro
Aya Sophiya	Hagia Sofia
Lunq'u	Sfero
Siqana pata-pata	Ŝtuparo
Chuntu wasi	Piramido
Turri	Turo
Mishika	Aztekoj
Wilhelm Ostwald	Wilhelm Ostwald
Rudolf Diesel	Rudolf Diesel
Kutipayaq micha	Renoviĝanta energio
Maxim Gorky	Maksim Gorkij
Pinchikilla	Elektro
Rumiyasqa rawrana	Fosilia brulaĵo
Rawray kuyuchina	Eksplodmotoro
Wapsi kuyuchina	Vapormaŝino
2034	2034
2033	2033
2032	2032
Khillaychuki	Glavo
2031	2031
T'uqyachina ayñi	Pafarmilo
2030	2030
Illapapayana	Maŝinpafilo
Iñuku huk'i ayñi	Atombombo
2029	2029
2028	2028
2027	2027
Ratata allpa	Nigra pulvo
T'uqyaylla	Eksplodaĵo
Tanki	Tanko
Paulo Coelho	Paulo Coelho
Antwerpen	Antverpeno (urbo)
Pelé	Pelé
Yves Leterme	Yves Leterme
Herman Van Rompuy	Herman Van Rompuy
Arturo Toscanini	Arturo Toscanini
Uma tullu	Kranio
Jalisco	Jalisco
Pasa	Sekvinbero
Pikwayu	Kokoso
Apinkuya	Granatujo
Lurasnu	Persiko
Chilina	Oranĝo (frukto)
Xhosa simi	Kosa lingvo
Nata	Kremo
Uyq'ur simi	Ujgura lingvo
Sinhala simi	Sinhala lingvo
Sumali simi	Somala lingvo
Pastil	Kuko
Graz	Graz
Nawa simi	Naŭatla lingvo
Diné simi	Navaha lingvo
Yugur	Jogurto
Mikmaq simi	Mikmaka lingvo
Piacenza	Piaĉenco
Maya simi	Jukatana majaa lingvo
Reggio nell'Emilia	Reggio nell'Emilia
Ferrara	Ferrara
Ravenna	Raveno
Forlì	Forlì
Rimini	Rimini
Harvard Yachay Suntur	Universitato Harvard
Lucca	Luko (Italio)
Pisa	Pizo (Italio)
Pistoia	Pistojo
Prato	Prato (komunumo)
Arezzo	Areco
Unquy quyllurkuna	Plejadoj
Taranto	Taranto
Hamp'atup Simin	Hiadoj (astronomio)
Messina	Mesino
Siracusa	Sirakuzo
Tirachina	Katapulto (ludilo)
Wikispecies	Vikispecioj
Tenochtitlan	Tenoĉtitlano
1105	1105
Île-de-France	Francilio
Centre (Ransiya)	Centro-Valo de Luaro
Picardie	Pikardio
Arabya simi	Araba lingvo
Tartu	Tartu
Casanare suyu	Kasanareo
Caquetá suyu	Kaketao
Kyushu	Kjuŝuo
Honshu	Honŝu
Valle del Cauca suyu	Valo de Kaŭko
Shikoku	Ŝikokuo
Risaralda suyu	Risaraldo
Quindío suyu	Kindio
Ullu islampu	Kondomo
Waska yura	Liano
Chunta yura rikch'aq ayllu	Arekacoj
Chimpurasu	Ĉimborazo
Champagne-Ardenne	Ĉampanjo-Ardenoj
Corse	Korsiko
Uqsitan simi	Okcitana lingvo
Afrikans simi	Afrikansa lingvo
Ü	Ü
Santiago de Compostela	Santiago de Compostela
Oviedo	Oviedo
Vitoria	Vitorio (Hispanio)
Mérida	Merido (Hispanio)
Logroño	Logronjo
Santa Cruz de Tenerife	Santa Cruz de Tenerife
Lee Myung-bak	Ji Mjong-bak
Park Chung-hee	Park JungHee
Chun Doo-hwan	Ĝon Du-hŭan
Challwa hap'iy	Fiŝkaptado
Nagykanizsa	Nagykanizsa
Iquique	Iquique
Liza Minnelli	Liza Minnelli
Rapanuy	Paskinsulo
La Serena	La Serena (Ĉilio)
Waraqu yura rikch'aq ayllu	Kakto
Wallqanqa sanancha	Blazono
Unancha	Flago
Aspiq	Krajono
Paparawa	Panarbo
Kuyuylla	Meblo
Hamp'ara	Tablo
Macau	Makao
SIL International	SIL internacia
Methanul	Metanolo
Tiyana	Seĝo
Hu Jintao	Hu Jintao
Xi Jinping	Xi Jinping
Hirapha	Ĝirafo (specio)
Tarragona	Taragono
Lleida	Ilerdo
Castellón de la Plana	Castelló
Provence-Alpes-Côte d'Azur	Provenco-Alpoj-Bordo Lazura
Urin Tirul	Sudtirolo
José Batlle y Ordóñez	José Batlle y Ordóñez
Wirp'a	Lipo
Shenzhen	Ŝenĵeno
Guangdong pruwinsya	Gŭangdongo
Guangxi	Gŭangŝjio
Susyalista Suwit Republikakunap Huñun	Sovetunio
Katharina I	Katerina la 1-a (Rusio)
Siwikunap Apun	La Mastro de l' Ringoj
Nuevo León suyu	Nuevo León
Ladoga qucha	Ladoga (lago)
Puriqchana iñu	Fandopunkto
T'iyu unquy	Alkoholismo
Rikch'a hap'ina	Fotilo
Badalona	Badalona
L'Hospitalet de Llobregat	L'Hospitalet de Llobregat
Paraná suyu	Paranao
Cáceres	Cáceres
Badajoz	Badaĥozo
Jaén	Ĥaeno
Cádiz	Kadizo
Segovia	Segovio
Avila	Avilo
Salamanca	Salamanko
Bayern München	FC Bayern München
River Plate	Club Atlético River Plate
Daniel Passarella	Daniel Passarella
Chaki	Piedo
Queen	Queen
Freddie Mercury	Freddie Mercury
Qaraywa	Lacertuloj
Amy Winehouse	Amy Winehouse
Montesquieu	Charles Montesquieu
Robert Schuman	Robert Schuman
Mario Benedetti	Mario Benedetti
Mat'i tullu	Fruntosto
CA Peñarol	Peñarol
Rikra	Ŝultro
K'aki tullu	Mandiblo
Humphrey Bogart	Humphrey Bogart
Midi-Pyrénées	Sudo-Pireneoj
Franche-Comté	Franĉkonteo
Bruce Lee	Bruce Lee
Wikipidiya:Kusa qillqa	Vikipedio:Elstaraj artikoloj
Plantilla:Link FA	Ŝablono:LigoElstara
Kay pacha	Mondo
Busan	Pusano
Taripakuq	Juĝisto
Vermont suyu	Vermonto
San Diego (California)	San-Diego
Denver (Colorado)	Denvero (Koloradio)
Houston	Houston (Teksaso)
Phoenix (Arizona)	Fenikso (Arizono)
Dallas	Dallas (Teksaso)
Fort Worth	Fort Worth
Austin	Aŭstino
Columbus (Ohio)	Columbus (Ohio)
Jacksonville (Florida)	Jacksonville (Florido)
Justus von Liebig	Justus von Liebig
Guangzhou	Kantono (Ĉinio)
Chiang Kai-shek	Ĉiang Kai-ŝek
Cerro Largo suyu	Cerro Largo
Paysandú suyu	Paysandú (departemento)
Canelones suyu	Canelones
Flores suyu	Flores (Urugvajo)
San José suyu	San José (departemento)
Colonia suyu	Colonia (departemento)
Rocha suyu	Rocha (departemento)
Soriano suyu	Soriano
Tacuarembó suyu	Tacuarembó (departemento)
Durazno suyu	Durazno (departemento)
Florida (Uruwayi) suyu	Florida (departemento)
Montevideo suyu	Montevideo (departemento)
Salto suyu	Departemento Salto
Río Negro suyu	Río Negro (departemento)
Jiang Zemin	Jiang Zemin
Artigas suyu	Artigas
Rivera suyu	Rivera (departemento)
Treinta y Tres suyu	Treinta y Tres (departemento)
Guam	Gvamo
Amirika Samwa	Usona Samoo
Chinchay Maryana Wat'akuna	Nord-Marianoj
Namkin	Nankingo
Chinchay Awya Yala akakllu	Brustornama pego
Edgar Allan Poe	Edgar Allan Poe
Juan Carlos Onetti	Juan Carlos Onetti
Los Ángeles (Chili)	Los Ángeles (Ĉilio)
Lota	Lota
Unquna wasi	Malsanulejo
Pikkin Yachay sunturnin	Pekina Universitato
Basse-Normandie	Malsupra Normandio
Aliman Dimukratiku Republika	Germana Demokratia Respubliko
Haute-Normandie	Supra Normandio
Jiangsu pruwinsya	Ĝjangsuo
Zhejiang pruwinsya	Ĝeĝjango
Inlisya	Kirko
Pawlu VI	Paŭlo la 6-a
Deng Xiaoping	Deng Xiaoping
Nord-Pas-de-Calais	Nordo-Kaleza Markolo
Liu Shaoqi	Liu Shaoqi
Pays de la Loire	Luarlandoj
Languedoc-Roussillon	Langvedoko-Rusiljono
Poitou-Charentes	Puatuo-Ĉarentoj
Martinik	Martiniko
Riyunyun	Reunio
Runtu	Ovo
Carles Puyol	Carles Puyol
Giovanni Bellini	Giovanni Bellini
Tibet Awtunumu Suyu	Tibeto
P'allta muyu	Cirklo
P'allta	Ebeno (matematiko)
Zhou Enlai	Zhou Enlai
CR Flamengo	Clube de Regatas do Flamengo
Cesc Fàbregas	Cesc Fàbregas
Xavi Hernández	Xavi
Gerard Piqué	Gerard Piqué
Diego Armando Maradona	Diego Armando Maradona
Ankichiy karu rimay	Poŝtelefono
Awistrus	Struto
Ñasa	Teorio
Wachapa	Jabiruo
Sacramento (California)	Sakramento (Kalifornio)
Honolulu	Honolulu
Kuriya	Koreio
Bisunti	Bizono
1925	1925
1927	1927
Manchester	Manchester
Illanchay	Radiado
Providence (Rhode Island)	Providence (Rod-Insulo)
1000	1000
999	999
Lupu	Lupo
Kawsa imayay	Biomaso
Piluta	Pilko
1955	1955
1954	1954
1953	1953
1951	1951
1950	1950
1946	1946
1943	1943
1942	1942
1940	1940
1939	1939
1938	1938
1937	1937
1936	1936
Manchester United FC	Manchester United
1935	1935
1934	1934
1933	1933
1932	1932
1931	1931
1930	1930
Waqar	Ardeedoj
1929	1929
Pyongyang	Pjongjango
Musuq Rimanakuy	Nova testamento
Tiki	Verdkrura galinolo
Puqyala	Spongulo
Oskar Suñay	Oskar-premio
2010 watakuna	2010-aj jaroj
Isqun	9 (nombro)
Sira-sira	Skorpio
Khiki	Akaro
Suri	Reaedoj
Yuthu	Tinamo
George Bernard Shaw	George Bernard Shaw
Heilongjiang pruwinsya	Hejlongĝjango
1001	1001
1002	1002
1003	1003
1005	1005
1006	1006
1007	1007
1008	1008
1009	1009
1010	1010
1011	1011
1012	1012
1013	1013
1014	1014
1015	1015
1016	1016
1017	1017
1018	1018
1019	1019
1020	1020
1021	1021
1022	1022
1023	1023
1024	1024
1025	1025
1026	1026
1027	1027
1028	1028
1029	1029
1030	1030
1031	1031
Piluta Hayt'ay Pachantin Kupa	Futbala Mondpokalo
1032	1032
1033	1033
1034	1034
1035	1035
1036	1036
1037	1037
1038	1038
1039	1039
1040	1040
1041	1041
San Pedro de la Paz	San Pedro de la Paz
1042	1042
1043	1043
1044	1044
1045	1045
1046	1046
La vita è bella	La Vita è Bella
1047	1047
1048	1048
1049	1049
1050	1050
1051	1051
1052	1052
1053	1053
1054	1054
1055	1055
1056	1056
1057	1057
1058	1058
1059	1059
1060	1060
1061	1061
1062	1062
1063	1063
1064	1064
1065	1065
1066	1066
1067	1067
1068	1068
1069	1069
1070	1070
1071	1071
1072	1072
1073	1073
1074	1074
1075	1075
1076	1076
1077	1077
1078	1078
1079	1079
1080	1080
1081	1081
1082	1082
1083	1083
1084	1084
1085	1085
1086	1086
1087	1087
1088	1088
1089	1089
1090	1090
1091	1091
1092	1092
1093	1093
1094	1094
1095	1095
1096	1096
1097	1097
Nha Trang	Nha Trang
1098	1098
1099	1099
1106	1106
1107	1107
1108	1108
1109	1109
1110	1110
1111	1111
1112	1112
1113	1113
1114	1114
1115	1115
1116	1116
Uchuy chimpansi	Eta ĉimpanzo
1117	1117
1118	1118
1119	1119
1120	1120
Pápa (chakariq)	Papo
Alkali q'illay	Alkala metalo
1130	1130
Allpa alkali q'illay	Teralkala metalo
Lanthanu rikch'aq q'illay	Lantanoido
Aktinyu rikch'aq q'illay	Aktinoido
1131	1131
Rafael Correa	Rafael Correa
1132	1132
1133	1133
1134	1134
1135	1135
Yaqa q'illay	Metaloido
1136	1136
Mana q'illay	Nemetalo
1137	1137
Kachichaq	Halogeno
1138	1138
1139	1139
Umiña wapsi	Nobla gaso
5	5
1140	1140
1141	1141
1142	1142
1143	1143
1144	1144
4	4
1145	1145
1146	1146
1147	1147
1148	1148
3	3
1149	1149
1150	1150
1151	1151
1152	1152
1153	1153
2	2
Fenerbahçe SK	Fenerbahçe Spor Kulübü
1154	1154
1155	1155
1156	1156
Sapsi Chaskinancha	Publika havaĵo
1157	1157
1158	1158
1159	1159
Bukuresti	Bukareŝto
1160	1160
1161	1161
1162	1162
1163	1163
1164	1164
Louvre	Luvro
1165	1165
1166	1166
1167	1167
1168	1168
1169	1169
1170	1170
Burinkin mana warkurinapaq partidu	Partio de la Sendependeco de Porto-Riko
1171	1171
1172	1172
1173	1173
Tirana	Tirano
1174	1174
1175	1175
1176	1176
1177	1177
1178	1178
Motorhead	Motörhead
1179	1179
1180	1180
1181	1181
Asnu	Azeno
1182	1182
1928	1928
1183	1183
1184	1184
1185	1185
1186	1186
1187	1187
1188	1188
1189	1189
1190	1190
1191	1191
1192	1192
1193	1193
1194	1194
1195	1195
1196	1196
1197	1197
1198	1198
1199	1199
Sichuan pruwinsya	Siĉuano
6	6
Ñawpa Rimanakuy	Malnova testamento
Josh Duhamel	Josh Duhamel
Nawidad	Kristnasko
Romanu rimaykuna	Latinida lingvaro
Kimsak'uchu	Triangulo
Cecil Rhodes	Cecil Rhodes
Wakllanwata	Superjaro
Steve Jobs	Steve Jobs
Indu iwrupiyu rimaykuna	Hindeŭropa lingvaro
Breinigerberg	Breinigerberg
Muammar al-Gaddafi	Muamar Kadafi
Tigri	Tigro
