Yn Affrick	Afriko
Loghlin	Skandinavio
Yn Chaisht	Pasko
Chișinău	Kiŝinevo
Çhengaghyn Germaanagh	Ĝermana lingvaro
Sheshoaylleeaght	Sociologio
Abbyrlhit Sheeanagh Eddyr-ashoonagh	Internacia Fonetika Alfabeto
Hebei	Hebejo
York Noa	New York
Corys co-ordnaidyn çheer-oaylleeagh	Geografia koordinata sistemo
Braag	Ŝuo
Tramman (billey)	Nigra sambuko
Plait recortyssee carbyd	Aŭtokodo
Regierungsbezirk	Administra distriktaro (Germanio)
Glooaght y phobble	Loĝdenso
Nerin	Irlando (insulo)
Abertawe	Swansea
Cheshire	Cheshire
Cumbria	Kumbrio
Lancashire	Lankaŝiro
Northumberland	Northumberland
Tyne as Wear	Tyne and Wear
Coontae Durham	County Durham
Yorkshire Heear	Okcidenta Jorkŝiro
Yorkshire Hwoaie	North Yorkshire
Treen Hiar Yorkshire	East Riding of Yorkshire
Lincolnshire	Lincolnshire
Nottinghamshire	Nottinghamshire
Yorkshire Yiass	South Yorkshire
Derbyshire	Derbyshire
Manchuin Vooar	Greater Manchester
Merseyside	Merseyside
Shropshire	Shropshire
Staffordshire	Staffordshire
Leicestershire	Leicestershire
Rutland	Rutland
1	1
Norfolk	Norfolk (Anglio)
Suffolk	Suffolk
Cambridgeshire	Cambridgeshire
Northamptonshire	Northamptonshire
Herefordshire	Herefordshire
Worcestershire	Worcestershire
Warwickshire	Warwickshire
Bedfordshire	Bedfordshire
Yn Chorn	Kornvalo
Bristol	Bristolo
Devon	Devon
Somerset	Somerset
Dorset	Dorset
Gloucestershire	Gloucestershire
Sheer Aah yn Ollee	Oxfordshire
Wiltshire	Wiltshire
Hampshire	Hampshire
Berkshire	Berkshire
Buckinghamshire	Buckinghamshire
Essex	Essex
Surrey	Surrey
Sussex Heear	West Sussex
Sussex Hiar	East Sussex
Kent	Kent
Yn Abcaaish	Abĥazio
Taylor Lautner	Taylor Lautner
Jeremy Renner	Jeremy Renner
Jean Auguste Dominique Ingres	Jean Auguste Dominique Ingres
Feeaih	Cervedoj
Padjer y Çhiarn	Patro nia
Logh	Lago
Garleid	Ajlo
Antrapoaylleeaght	Antropologio
Yn Vooir Ruy	Ruĝa Maro
Cucowr	Kukumo
Ossetia Yiass	Sud-Osetio
Doon Edin	Edinburgo
Aşgabat	Aŝgabato
Ellan	Insulo
37	37
Chris Pine	Chris Pine
Unnish	Cepo
Çhengey oikoil	Oficiala lingvo
700	700
Shenndaaleeaght	Arkeologio
Traase	Tomato
George H. W. Bush	George H. W. Bush
68	68
Ny Çheeraghyn Balkanagh	Balkana duoninsulo
Çhengaghyn Slavagh	Slava lingvaro
Dmitry Medvedev	Dmitrij Medvedev
Selena	Selena
NASA	NASA
Benito Mussolini	Benito Mussolini
Podgorica	Podgorico
Lost (claare çhellveeish)	Lost (televida serio)
Ny Bermioodee	Bermudo
Kione	Kapo
Yn Vretyn Vooar	Britio (insulo)
Yn Cheeprey Hwoaie	Turka Respubliko Norda Kipro
Jimmy Carter	Jimmy Carter
Arrane ashoonagh	Nacia himno
Carboanaayt kelkium	Kalcia karbonato
Valletta	La-Valeto
Earroo breneenagh	Atomnumero
George Clooney	George Clooney
100	100
Andrew Garfield	Andrew Garfield
Lerphoyll	Liverpool
Bremen	Bremeno
Breear	Verbo
Far-skeealaght heanse	Sciencfikcio
Guernsey	Guernsey
Svalbard	Svalbardo
Oor	Horo
Pishyr	Ĝardena pizo
Vertebrata	Vertebruloj
Beih (billey)	Betulo
Nowy Dwór Królewski	Nowy Dwór Królewski
Frassaghey	Precipitaĵo
Faaroish	Feroa lingvo
Çhengaghyn Affro-Aishanagh	Afrikazia lingvaro
Prishtina	Priŝtino
Cornish	Kornvala lingvo
Çhengaghyn Celtiagh	Kelta lingvaro
Kynney çhengey	Lingva familio
1 RC	-1
Carnivora	Karnomanĝuloj
Magnoliophyta	Angiospermoj
Canidae	Kanisedoj
Freeshlannish Heear	Frisa lingvaro
Spittag	Ruĝgorĝulo
Juys (Abies)	Abio
Greenlynnish	Gronlanda lingvo
Pobbyl (billey)	Poploj
Drama	Dramo (verko)
Ljouwert	Leeuwarden
Cnidaria	Knidulo
Yn Teelynn, y Danvarg	Sjælland
Shirragh ny giark	Blua cirkuo
600	600
Laurys	Nobla laŭro
Ard Preeu-valjagh ny Danvarg	Regiono Hovedstaden
Neaynin (lus)	Lekanteto
Gnathostomata	Makzelulo
Cabbag ny h-awin	Tusilago
Abbyrlhit Seeragh	Siria alfabeto
Ollay hundrey	Malgranda cigno
Abbyrlhit Feaneeckagh	Fenica alfabeto
Baneag vooar	Brasiko-papilio
Hibbin (lus)	Hedero
Bollan dhoa	Lapo
Abbyrlhit Aramaagh	Aramea skribo
Lossreeyn feddanagh	Vaskulaj plantoj
Freeshlannish Hiar	Saterfrisa lingvo
Osteichthyes	Ostaj fiŝoj
Billey cannial	Cinamomo
Yn Affrick Hwoaie	Nord-Afriko
Yn Oarpey Hwoaie	Norda Eŭropo
Yn Oarpey Heear	Okcidenta Eŭropo
America Veanagh	Centra Ameriko
Dene Suline (çhengey)	Ĉipevajana lingvo
Akanish	Akana lingvo
Inuinnaqtun	Inuinaktuna lingvo
Freeshlannish Hwoaie	Nordfrisa lingvo
Amharish	Amhara lingvo
Smullish	Vera celerio
Rolley caayryn ayns Israel	Listo de urboj de Israelo
Asparag	Asparago
Coontae	County
Aramaaish	Aramea lingvo
Lus yn anis	Anizo
Oaylleeaght eamagh	Aplikataj sciencoj
Akureyri	Akureyri
Tarja Halonen	Tarja Halonen
Sant-Brieg	Saint-Brieuc
Aromaanish	Arumana lingvo
Partee Pobblaghtagh (Ny Steatyn Unnaneysit)	Respublikana Partio (Usono)
Astoorish	Asturia lingvo
Yn Çheen	Ĉinio
Far-chrackan killag	Ĉelmembrano
Partee Deynlagh (Ny Steatyn Unnaneysit)	Demokrata Partio (Usono)
658	658
650	650
Meoir	Urbestro
65	65
Ecser	Ecser
Sileeshish	Silezia lingvo
Zhengzhou	Ĝengĝoŭo
Myn-heshvean	Nukleolo
Jamestown, Ellan Helena Noo	Ĵamestaŭno
Yaren	Jareno
Ellan Norfolk	Norfolkinsulo
Ellan ny Nollick	Kristnaskinsulo
Corockle screebagh	Frikativo
Kraków	Krakovo
Steat Seyr Nerin	Irlanda Libera Ŝtato
Veneeshish	Venecia lingvo
Vepsish	Vepsa lingvo
Votish	Vota lingvo
Baloçhish	Baluĉa lingvo
Dunganish	Dungana lingvo
Butaanish	Dzonka lingvo
Buryatish	Burjata lingvo
Çhengaghyn Baltagh	Balta lingvaro
Mooir ny Tasmaan	Tasmana Maro
Çhengaghyn Dravidagh	Dravida lingvaro
Çhengaghyn Finnagh	Baltmara finna lingvaro
Hakkaish	Hakaa lingvo
Fo-ghlaare	Dialekto
Creeish	Kria lingvo
Furlan	Friula lingvo
Ganish	Gana lingvo
Çhengaghyn Ind-Eeraanagh	Hindirana lingvaro
Ingrish	Iĵora lingvo
Khanty (çhengey)	Ĥanta lingvo
Hawaiish	Havaja lingvo
Kashoobish	Kaŝuba lingvo
Livonish	Livona lingvo
Çhengaghyn Mayagh	Majaa lingvaro
Tendreil	Fulmo
Lombardish	Lombarda lingvo
Mansi (çhengey)	Mansa lingvo
Du Fu	Du Fu
Earroo yn phobble	Loĝantaro
Ellanragh	Insularo
Çhengaghyn Neegeyragh-Congoagh	Niĝerkonga lingvaro
Naaplish	Napola lingvo
Normanish	Normanda lingvo
Theodore Roosevelt	Theodore Roosevelt
Tel Aviv-Yafo	Tel-Avivo
Saamish Hwoaie	Nord-samea lingvo
Ossetish	Oseta lingvo
Duillag	Folio
Shisslish	Sicilia lingvo
Newarish	Nevara lingvo
Roubaix	Roubaix
Hollywood	Holivudo
Marlon Brando	Marlon Brando
Çhengaghyn Harrish-Noa-Ghuinea	Trans-novgvineaj lingvoj
Niue	Niuo
Picardish	Pikarda franca dialekto
Eas	Akvofalo
Nathalia Dill	Nathalia Dill
Hosni Mubarak	Hosni Mubarak
Çhengaghyn Ooralagh	Urala lingvaro
Walloonish	Valona lingvo
Impiraght ny Roosh	Rusia Imperio
Międzyrzec Podlaski	Międzyrzec Podlaski
Tibetish Veanagh	Tibeta lingvo
Wuish	Vua lingvo
Woodrow Wilson	Woodrow Wilson
Doctor Who	Doctor Who
Yn Tasmaan	Tasmanio
Scarlett Johansson	Scarlett Johansson
Gwyneth Paltrow	Gwyneth Paltrow
Ellan Helena Noo	Sankta Heleno
Mair	Fingro
James A. Garfield	James A. Garfield
Mooir yn Eeaght	Manika Markolo
Salzburg	Salzburg
Genus	Genro (biologio)
Oaylleeaght sheshoil	Socia scienco
Yn Tomaalee	Somalilando
Lieh-innys	Duoninsulo
Rolley coadyn çhellvane eddyr-ashoonagh	Telefona landokodo
Scell-Röntgen	Ikso-radioj
Friedrich Engels	Friedrich Engels
Xinjiang	Ŝinĝjango
Ulysses S. Grant	Ulysses S. Grant
Caayr Oklahoma, Oklahoma	Oklahomaurbo (Oklahomo)
Queiggey	Provinco
Mooir Azov	Azova Maro
William McKinley	William McKinley
Cabbash vane	Blanka brasiko
Eaghtyrane ny Steatyn Unnaneysit	Listo de prezidantoj de Usono
Rolley preeu-valjyn	Listo de ĉefurboj
Ynnyd-eggey	TTT-ejo
Grover Cleveland	Grover Cleveland
Herbert Hoover	Herbert C. Hoover
Bun-ocklaght	Etimologio
Warren G. Harding	Warren G. Harding
Shenn Yernish	Malnovirlanda lingvo
Brad Pitt	Brad Pitt
Logh Titicaca	Lago Titikako
Sheeanaghtys	Fonetiko
Bikolish	Bikola lingvo
Chester A. Arthur	Chester A. Arthur
Shenn Loghlynish	Malnovnordlanda lingvo
Ooig	Kaverno
Dalmaatish	Dalmata lingvo
Sleityn ny h-Ooral	Uralo
William Howard Taft	William H. Taft
Steat ny Steatyn Unnaneysit	Usona ŝtato
Awin rioee	Glaĉero
Ellanyn Pitcairn	Pitkarna insularo
Benjamin Harrison	Benjamin Harrison
Rutherford B. Hayes	Rutherford B. Hayes
Yn Austrail Yiass	Suda Aŭstralio
Emmy Rossum	Emmy Rossum
Ny Celtiee	Keltoj
Ellanyn Cocos (Keeling)	Kokosinsuloj
Calvin Coolidge	Calvin Coolidge
Shellagh (billey)	Saliko
Queensland	Kvinslando
Charles Bronson	Charles Bronson
Ligoorish	Ligura lingvo (latinida)
Komish	Komia lingvo
Beeal-arrish	Folkloro
Ladeenish	Judhispana lingvo
Ladinish	Ladina lingvo
Craa-hallooin as tsunami Tōhoku 2011	Tertremo de Sendajo en 2011
Jane Austen	Jane Austen
Roddan	Rato
Aberdon	Aberdeen
Oaylleeaght pholitickagh	Politika scienco
Matorish	Matora lingvo
Minish Hiar	Min-donga lingvo
Un-chillagagh	Unuĉelulo
The Lion King	The Lion King
Minish Yiass	Minnana lingvo
Eeane	Jono
Corkee	Cork
Traa hashtee hollys y laa	Somera tempo
Yn Broogh Heear	Cisjordanio
Victoria, yn Austrail	Viktorio (Aŭstralio)
Yn Yugoslaavey	Jugoslavio
Nornish	Norna lingvo
Reeriaght (bea-oaylleeaght)	Regno (biologio)
Nganasanish	Nganasana lingvo
Lieh-innys Sinai	Sinajo
Ardjyn ny Frank	Regionoj de Francio
Tokelau	Tokelao
Robert De Niro	Robert De Niro
Tallahassee, Florida	Tallahassee (Florido)
Tom Cruise	Tom Cruise
Pharaoh	Faraono
Meetane	Metano
G8	G8
Johnny Depp	Johnny Depp
Luiz Inácio Lula da Silva	Luiz Inácio Lula da Silva
Galloish	Galoa lingvo
Internet Movie Database	Interreta filma datumbazo
Lublin	Lublin
Langues d'Oïl	Lingvoj de oïl
Akrotiri as Dhekelia	Akrotiri kaj Dekelia
ISO 4217	ISO 4217
Co-ordrail	Sintakso
Apricoc	Abrikotarbo
Kay	Nebulo
Yl-lhiatteean	Plurlatero
Sniaghtey garroo	Hajlo
Charlotte's Web (scannane 1973)	Charlotte's Web (filmo, 1973)
Feayreyder	Fridujo
Çhengaghyn Altaiagh	Altaja lingvaro
Algey	Algo
Natalie Portman	Natalie Portman
Aundyr Nobel ayns Lettyraght	Nobel-premio pri literaturo
Masiela Lusha	Masiela Lusha
Yn Vooir Vuigh	Flava Maro
Corockle	Konsonanto
Leonardo DiCaprio	Leonardo DiCaprio
Eintracht Frankfurt	Eintracht Frankfurt
Ny h-Ellanyn Goaldagh	Britaj Insuloj
Jalloo-oaylleeaght	Morfologio (lingvo)
1840yn	1840-aj jaroj
Phylum	Filumo
Xena: Warrior Princess	Xena
Mellyn ushtey	Akvomelono
Coagyraght	Kuirado
Mwyllin geayee	Ventmuelejo
Bassyl	Bazilio
Yn Phroosh	Prusio
Cheyenne, Wyoming	Cheyenne
Leeds	Leeds
Lugh	Muso (besto)
Emma Watson	Emma Watson
Mitochondrion	Mitokondrio
1800yn	1800-aj jaroj
Nicolas Appert	Nicolas Appert
Semantaght	Semantiko
The Rescuers	The Rescuers
Straih Ghaza	Gaza Sektoro
Mynvioagh	Mikroorganismo
Radio Studio 54 Network	Radio Studio 54 Network
Breeçhyn	Pantalono
Almon	Migdalujo
Sylvester Stallone	Sylvester Stallone
Awin ny Jordaan	Jordano
Traie	Strando
William Butler Yeats	William Butler Yeats
Çheshvean killag	Ĉelkerno
The Fox and the Hound	The Fox and the Hound
Pobblaght Gheynlagh Arabagh y Sahara	Araba Demokratia Sahara Respubliko
Heath Ledger	Heath Ledger
Lisa Gerrard	Lisa Gerrard
Queiggey Zhytomyr	Ĵitomira provinco
Cristina Fernández de Kirchner	Cristina Fernández de Kirchner
Jennifer Lopez	Jennifer Lopez
Partan	Krabo
God Save the Queen	God Save the Queen
Aqwa	Suĥumo
Dumbo	Dumbo
Padjer	Preĝo
Anhui	Anhujo
Sheeanchoryssaghtys	Fonologio
Topeka, Kansas	Topeka (Kansaso)
Yn Vongoil Sthie	Interna Mongolio
Demi Lovato	Demi Lovato
Clagh hryal	Granito
Cooiney	Monero
Bydgoszcz	Bydgoszcz
Johannes Vermeer	Johannes Vermeer
Pobblaght Weimar	Vajmara Respubliko
Franz Liszt	Franz Liszt
Jodie Foster	Jodie Foster
José Luís Rodríguez Zapatero	José Luis Rodríguez Zapatero
Teletubbies	Teletubbies
Quaiyl	Tribunalo (juro)
Fraue	Radiko (planto)
Berrish ghlass	Groso
Reagheydys ry hoi Co-obbraghey Tarmaynys as Lhiasaghey	Organizaĵo pri Ekonomiaj Kunlaboro kaj Evoluigo
Jacques Offenbach	Jacques Offenbach
Baie ny Biscaayn	Biskaja Golfo
Świnoujście	Świnoujście
Reeriaght vunraghtoil	Konstitucia monarkio
Haifa	Ĥajfo
Fujian	Fuĝjano
Possan kynneeagh	Etno
Mooir Vannin	Irlanda Maro
Beersheba	Be'er Ŝeba
Hainan	Hajnano
Obbyr	Laboro (fiziko)
Mel Gibson	Mel Gibson
Ribbosoom	Ribosomo
Malpys (billey)	Acero
Ellanyn Vooir Eeaght	Manikinsuloj
Seionaght	Cionismo
Gansu	Gansuo
Brattagh ny Polynn	Flago de Pollando
Sheffield	Sheffield
Jarroo-raa	Moto
Yn Ghrianchryss	Tropikoj
Kayt Manninagh	Manksa kato
Rita Hayworth	Rita Hayworth
Johnny Cash	Johnny Cash
Argidys	Financoj
Demi Moore	Demi Moore
Bambi	Bambi
Yn Cochaarjys Essylagh	Akso Berlino-Romo-Tokio
Wikipedia:Feyshtyn cadjin	Helpo:Oftaj demandoj
Sarah Palin	Sarah Palin
Yunnan	Junano
Talmud	Talmudo
Quinsh (billey)	Cidonio
Fannag	Korvo
Plymouth	Plymouth
Robert Boyle	Robert Boyle
Shandong	Ŝandongo
Antonie van Leeuwenhoek	Antoni van Leeuwenhoek
Shirgane	Mumio
Mynoashyr	Ŝtrumpeto
Henan	Henano
Benjamin Netanyahu	Benjamin Netanjahu
Mollee	Brovo
Liaoning	Ljaŭningo
1740yn	1740-aj jaroj
Jessica Alba	Jessica Alba
Prunus domestica	Pruno (frukto)
Yn Vooir Vane	Blanka Maro
Nagorno-Karabakh	Montara Karabaĥo
Carvat	Kravato
Kiangley kemmigagh	Kemia ligo
Çhiass	Varmo
Anne Brontë	Anne Brontë
Echinodermata	Ekinodermo
Mooir Bering	Beringa Maro
Purt	Haveno
Entroapaght	Entropio
Queiggey Chubut	Ĉubutio
Jilin	Ĝilinio
The Doors	The Doors
Eucalyptus	Eŭkalipto
Jean Sibelius	Jean Sibelius
Charlotte's Web	Charlotte's Web
Hunan	Hunano
Keyllys sailley	Fjordo
Himnusz	Hungara nacia himno
Ree Adha	Reĝo Arturo
Dunkerque	Dunkerque
Qinghai	Ĉinghajo
Ysbal I ny Cashteel	Izabela la 1-a (Kastilio)
Mynolt	Organeto
Çhengaghyn Sheenagh-Tibetagh	Ĉinotibeta lingvaro
Caayl jiarg	Krispa brasiko
Muc hallooin	Orikteropo
Zelenogorsk, Caayr Pheddyr	Zelenogorsk (urbo en Sankt-Peterburgo)
Hubei	Hubejo
Galchro	Reĝa juglando
Shanxi	Ŝanŝio
Espoo	Espoo
Inver	Estuaro
Ohm	Omo
Guizhou	Gŭiĝoŭo
Shetlynn	Ŝetlandaj Insuloj
Chloroplast	Kloroplasto
Yn Vooir Loghlynagh	Norvega maro
Toruń	Toruń
Straih Fibonacci	Fibonaĉi-nombro
Yn Çheer Vascagh (thalloo shendeeagh)	Eŭskio
Callish Rangagh	Brokolo
Ceau emshir	Ŝatokupo
Shaanxi	Ŝenŝjio
Clowan:Commonscat	Ŝablono:Commonscat
Bedřich Smetana	Bedřich Smetana
Keintys bea-oaylleeagh	Socia sekso
Mariehamn	Mariehamn
Hiragana	Rondaj kanaoj
Thalloo yn Eeast	Novlando
Çhengaghyn ny h-Oarpey	Lingvoj de Eŭropo
David Livingstone	David Livingstone
Beaynushag	Fenikso (birdo)
New Horizons	New Horizons
Çhengaghyn Austraineeshagh	Aŭstronezia lingvaro
Orlando, Florida	Orlando
St. Petersburg, Florida	Sankt-Peterburgo (Florido)
Tampa, Florida	Tampa
Wichita, Kansas	Wichita (Kansaso)
Turrysaght	Turismo
Jean de La Fontaine	Jean de La Fontaine
Corockle lurg-chooyleeacklagh	Postalveolaro
Corockle cooyl-eeacklagh	Alveolaro
Unnaneys Deynlagh Creestee ny Germaan	Kristandemokrata Unio de Germanio
Partee Deynlagh Soshiallagh ny Germaan	Socialdemokratia Partio de Germanio
Glion Veksico	Valo de Meksiko
Shoushan	Ŝenoprazo
Corockle stronnagh	Naza konsonanto
Corockle bleaystagh	Plozivo
Corockle faggyssaght	Alproksimanto
Corockle craa	Trilo
Çheeraghyn Nordagh	Nordio
Clowan:Kishtey fys co-elmint kemmigagh	Ŝablono:Informkesto kemia substanco
Clowan:Kishtey fys baagh	Ŝablono:Taksonomio
Screeu caslys	Piktogramo
Ronney:Poznań	Kategorio:Poznań
Rannag	Anuro
Ronney:Reeriaght	Kategorio:Monarkio
Ronney:Cummaghyn reiltys	Kategorio:Reĝimoj
Ronney:Queiggaghyn ny Polynn	Kategorio:Provincoj de Pollando
Queiggey ny Sileesh Eeaghtyragh	Malsuprasilezia Provinco
Queiggey Kujawy-Pomorze	Kujavia-Pomeria Provinco
Queiggey Lublin	Lublina Provinco
Queiggey Lubusz	Lubuŝa Provinco
Queiggey Łódź	Lodza Provinco
Queiggey ny Polynn Beg	Malgrandpollanda Provinco
Queiggey Mazowsze	Mazovia Provinco
Queiggey Opole	Opola Provinco
Queiggey Podkarpacie	Ĉekarpata Provinco
Queiggey Podlasie	Podlaĥia Provinco
Queiggey Pomorze	Pomeria Provinco
Queiggey ny Sileesh	Silezia Provinco
Queiggey Święty Krzyż	Sanktakruca Provinco
Queiggey Warmia-Mazury	Varmia-Mazuria Provinco
Queiggey ny Polynn Mooar	Grandpollanda Provinco
Queiggey Pomorze Heear	Okcidentpomeria Provinco
Ronney:Queiggey ny Sileesh Eeaghtyragh	Kategorio:Malsupra Silezio
Ronney:Queiggey Kujawy-Pomorze	Kategorio:Kujavio-Pomerio
Ronney:Queiggey Lublin	Kategorio:Lublinio
Ronney:Queiggey Lubusz	Kategorio:Lubuŝio
Ronney:Queiggey Mazowsze	Kategorio:Mazovio
Ronney:Queiggey ny Polynn Beg	Kategorio:Malgrandopolio
Ronney:Queiggey Opole	Kategorio:Opolio
Ronney:Queiggey Podkarpacie	Kategorio:Antaŭkarpatio
Ronney:Queiggey Podlasie	Kategorio:Podlaĥio
Ronney:Queiggey Pomorze	Kategorio:Pomerio (provinco de Pollando)
Ronney:Queiggey Warmia-Mazury	Kategorio:Varmio-Mazurio
Ronney:Queiggey ny Polynn Mooar	Kategorio:Grandpollando
Ronney:Queiggey Pomorze Heear	Kategorio:Okcidenta Pomerio
Ronney:Queiggey Łódź	Kategorio:Lodzio
Ronney:Queiggey ny Sileesh	Kategorio:Silezio (provinco de Pollando)
Ronney:Queiggey Święty Krzyż	Kategorio:Sanktakrucio
Clowan:Kishtey fys quaiyl slattyssagh	Ŝablono:Informkesto parlamento
Locri	Locri
Coontae Leesh	Graflando Laois
Ronney:Scannaneyn rere çheer	Kategorio:Filmoj laŭ landoj
Ronney:Scannaneyn	Kategorio:Filmo
Yn trass rheynnag (tarmaynys)	Sektoro serva
Pondi	Pontivy
Saamish Lule	Lule-samea lingvo
Çhengaghyn Gaelgagh	Gaela lingvaro
Çhengaghyn Laplannagh	Samea lingvo
Jinish	Ĵina lingvo
Jiangxi	Ĝjangŝio
Michael D. Higgins	Michael D. Higgins
Ólafur Ragnar Grímsson	Ólafur Ragnar Grímsson
Shimon Peres	Ŝimon Peres
Ningxia	Ningŝjao
Enda Kenny	Enda Kenny
Brassica	Brasiko
Hasselt	Haselto
Artur Balder	Artur Balder
Ashkelon	Aŝkelon
Sápmi	Sameio
Mylecholumb III ny h-Albey	Malkolmo la 3-a (Skotlando)
Rogier van der Weyden	Rogier van der Weyden
Billey locust	Karobarbo
Malastred	Malestroit
Alkaloyd	Alkaloido
Pobblaght ny Frank (1870-1940)	Tria Respubliko de Francio
Karnag	Carnac
Robert Bunsen	Robert Bunsen
Lannarstêr	Lanester
An Oriant	Lorient
Futurama	Futurama
Johann Gottfried Galle	Johann Gottfried Galle
Kirsten Dunst	Kirsten Dunst
Ulrike Meinhof	Ulrike Meinhof
Lheiney	Ĉemizo
Straid	Strato
Cainle	Kandelo
Feeaih ruy	Ruĝa cervo
Muc rangagh	Kobajo
Plasmey killag	Citoplasmo
Moggyl endoplasmagh	Endoplasma retikulo
Ethernet	Eterreto
Renniagh (lus)	Filiko
Daugavpils	Daugavpils
Studeyrys-sheelnaue	Homa scienco
Emily Brontë	Emily Brontë
Edd (eaddeeyn)	Ĉapelo
Ny h-Ellanyn Heear	Foraj Hebridoj
Jeshaghteyrys cooid vog	Programara inĝenierarto
Anders Celsius	Anders Celsius
Brattagh ny Litaan	Flago de Litovio
Yn Vooir Cheltiagh	Kelta Maro
Lhoob Aqaba	Akaba Golfo
Boulogne-sur-Mer	Boulogne-sur-Mer
Brattagh Nerin	Flago de la Respubliko de Irlando
Olsztyn	Olsztyn
Katakana	Strekaj kanaoj
Abbyrlhit Roonagh	Runaj alfabetoj
Shey-lhiattaghan	Seslatero
Charlotte's Web 2: Wilbur's Great Adventure	Charlotte's Web 2: Wilbur's Great Adventure
Farrys Golgi	Golĝi-aparato
Glassyr	Kultiva laktuko
Pobblaght Chonastagh Hoshiallagh ny Yugoslaavey	Socialisma federacia respubliko Jugoslavio
Selena Gomez	Selena Gomez
Taarnagh	Tondro
Béla Bartók	Béla Bartók
Leesosoom	Lizosomo
Tanakh	Tanaĥo
Quasar	Kvazaro
Mons	Mons (Belgio)
Ellanragh Arctagh ny Canadey	Kanada arkta insularo
Opole	Opole
Clowan:Enmyslioar	Ŝablono:Citaĵo el libro
Sopot	Sopot
Ooh (bee)	Kokina ovo
Queiggey Ulley	Ulster
Mycorrhisagh	Mikorizo
Myghin-varroo	Eŭtanazio
Yn Orkaid	Orkadoj
Casnewydd	Newport (Monmouthshire)
Protosoa	Protozoo
Clag (greie sheeanoil)	Sonorilo
Glenneyder jiole	Polvosuĉilo
Blaa Boaldyn	Konvalo
Reejerey	Kavaliro
Margrethe II ny Danvarg	Margareta la 2-a (Danio)
Kielce	Kielce
Skeerey	Paroĥo
Nix (fo-phlannad)	Nikso (luno)
Hydra (fo-phlannad)	Hidro (luno)
Hydrocseed sodjum	Natria hidroksido
Ctenophora	Ktenoforo
Yn Ollan	Holando
Częstochowa	Częstochowa
Hafnarfjörður	Hafnarfjörður
Plan earrooaghey çhellvane	Telefona kodo
Yn Ocsitaan	Okcitanio
Beinn Nivish	Ben Nevis
Elbląg	Elbląg
Zielona Góra	Zielona Góra
Płock	Płock
Gorzów Wielkopolski	Gorzów Wielkopolski
Radom	Radom
Słupsk	Słupsk
Blaa sniaghtee	Neĝborulo
Yn Kaart Oarpagh son Çhengaghyn Ardjynagh ny Mynçhengaghyn	Eŭropa Ĉarto pri la Regionaj kaj Minoritataj Lingvoj
Johann Christian Bach	Johann Christian Bach
Fleetwood Mac	Fleetwood Mac
Slystyn ny Germaan	Distrikto (Germanio)
Włocławek	Włocławek
Jastrzębie-Zdrój	Jastrzębie-Zdrój
Prinsaght Lippe	Lipo (lando)
Coontae Lheeahtrim	Graflando Leitrim
Eaynin	Klifo
Keyll Teutoburg	Teutoburger Wald
Bossan ardnieu	Bistorto
Coontae Pińczów	Distrikto Pińczowski
Corockle feeacklagh	Dentalo
Foawr gas	Gasgiganto
Brattagh ny h-Oarpey	Flago de la Eŭropa Unio
Sylem	Ksilemo
Dziecinów, Coontae Otwock	Dziecinów (poviato Otwock)
Inshyn Goal	Hebridaj Insuloj
Grudziądz	Grudziądz
Reagheydys ny Steatyn Americaanagh	Organizaĵo de Amerikaj Ŝtatoj
Gareydys	Ĝardenado
Acre, Israel	Akko
Dùn Phris as y Ghallioo	Dumfries kaj Galloway
Happy Feet	Happy Feet
Aloe	Aloo
Vantaa	Vantaa
Folmid killag	Vakuolo
Billey theiley	Tilio
Oghe veegrahonnagh	Mikroondilo
Ar Roc'h-Bernez	La Roche-Bernard
Roc'h-an-Argoed	Rochefort-en-Terre
Brattagh Israel	Flago de Israelo
Cedar	Cedro
Boalley killag	Ĉela muro
Porzh-Lae	Le Palais
Kiberen	Quiberon
Drine airn	Prunelo
Galliu	Galivo
Pobblaght Hoveidjagh Hoshiallagh ny Shorshey	Kartvela Soveta Socialisma Respubliko
Pobblaght Hoveidjagh Hoshiallagh ny Kyrgistaan	Kirgiza Soveta Socialisma Respubliko
Pobblaght Hoveidjagh Hoshiallagh ny h-Estaan	Estona Soveta Socialisma Respubliko
Hatikvah	Hatikva
Hanukkah	Ĥanuka
Stroo yn Eearvooir	Golfa Marfluo
Caloree	Kalorio
Orthonectida	Ortonektidoj
Placosoa	Plakozoo
Anna Kournikova	Anna Kurnikova
Lheiney-T	T-ĉemizo
Ellan Heard as Ellanyn McDonald	Insulo Herdo kaj insuloj Makdonaldaj
Pobblaght Hoveidjagh Hoshiallagh ny h-Asserbajaan	Azerbajĝana Soveta Socialisma Respubliko
Pronnag	Kolbaso
Queiggey Mooan	Munster (Irlando)
Sambucus	Sambuko
Gowaltys	Bieno
Carrane	Sandalo
William Lawrence Bragg	William Lawrence Bragg
Çhengaghyn Iddaalagh	Italika lingvaro
Fansee	Fantasto
Jalloo-ocklyn Egyptagh	Hieroglifoj
Bearkanagh	Pinofitoj
Pobblaght Hoveidjagh Hoshiallagh ny h-Armeain	Armena Soveta Socialisma Respubliko
Limmeragh	Limerick
Marat Safin	Marat Safin
Pobblaght Hoveidjagh Hoshiallagh ny h-Ookraan	Ukraina Soveta Socialisma Respubliko
Knesset	Kneset
William Henry Bragg	William Henry Bragg
