Aprika	Afriko
Belforte Monferrato	Belforte Monferrato
Awtonomong Rehiyon ng Tibet	Tibeto
Bergamasco, Piedmont	Bergamasco
Berzano di Tortona	Berzano di Tortona
Bistagno	Bistagno
Bilog	Cirklo
Borghetto di Borbera	Borghetto di Borbera
Borgo San Martino	Borgo San Martino
Borgoratto Alessandrino	Borgoratto Alessandrino
Bosco Marengo	Bosco Marengo
Plano (heometriya)	Ebeno (matematiko)
Bozzole	Bozzole
Brignano-Frascata	Brignano-Frascata
Cabella Ligure	Cabella Ligure
Camagna Monferrato	Camagna Monferrato
Espasyong maka-Euclid	Eŭklida spaco
Camino, Piedmont	Camino
Manikang Matryoshka	Matrjoŝka
Harlekin	Arlekeno
Cantalupo Ligure	Cantalupo Ligure
Capriata d'Orba	Capriata d'Orba
Carbonara Scrivia	Carbonara Scrivia
Carentino	Carentino
Carezzano	Carezzano
Carpeneto	Carpeneto
Carrega Ligure	Carrega Ligure
Carrosio	Carrosio
Cartosio	Cartosio
Casal Cermelli	Casal Cermelli
Casaleggio Boiro	Casaleggio Boiro
Casalnoceto	Casalnoceto
Casasco	Casasco
Cassano Spinola	Cassano Spinola
Cassine	Cassine
Cassinelle	Cassinelle
Castellania, Piedmont	Castellania
Castellar Guidobono	Castellar Guidobono
Castellazzo Bormida	Castellazzo Bormida
Castelletto Merli	Castelletto Merli
Castelletto Monferrato	Castelletto Monferrato
Castelletto d'Erro	Castelletto d'Erro
Castelletto d'Orba	Castelletto d'Orba
Castelnuovo Bormida	Castelnuovo Bormida
Castelnuovo Scrivia	Castelnuovo Scrivia
Castelspina	Castelspina
Cavatore	Cavatore
Cella Monte	Cella Monte
Cereseto	Cereseto
Cerreto Grue	Cerreto Grue
Cerrina Monferrato	Cerrina Monferrato
Coniolo	Coniolo
Conzano	Conzano
Costa Vescovato	Costa Vescovato
Cremolino	Cremolino
Cuccaro Monferrato	Cuccaro Monferrato
Denice	Denice
Dernice	Dernice
Fabbrica Curone	Fabbrica Curone
Felizzano	Felizzano
Fraconalto	Fraconalto
Francavilla Bisio	Francavilla Bisio
Frascaro	Frascaro
Frassinello Monferrato	Frassinello Monferrato
Frassineto Po	Frassineto Po
Fresonara	Fresonara
Frugarolo	Frugarolo
Fubine	Fubine
Gabiano	Gabiano
Gamalero	Gamalero
Garbagna, Piedmont	Garbagna
Gavazzana	Gavazzana
Gavi, Piedmont	Gavi
Giarole	Giarole
Gremiasco	Gremiasco
Grognardo	Grognardo
Grondona	Grondona
Guazzora	Guazzora
Isola Sant'Antonio	Isola Sant'Antonio
Lerma	Lerma
Lu, Piedmont	Lu (Italio)
Malvicino	Malvicino
Masio	Masio
Melazzo	Melazzo
Merana	Merana
Mirabello Monferrato	Mirabello Monferrato
Molino dei Torti	Molino dei Torti
Mombello Monferrato	Mombello Monferrato
Momperone	Momperone
Moncestino	Moncestino
Mongiardino Ligure	Mongiardino Ligure
Monleale	Monleale
Callirrhoe (buwan)	Kaliro (luno)
Montacuto	Montacuto
Montaldeo	Montaldeo
Montaldo Bormida	Montaldo Bormida
Montecastello	Montecastello
Montechiaro d'Acqui	Montechiaro d'Acqui
Montegioco	Montegioco
Montemarzino	Montemarzino
Morano sul Po	Morano sul Po
Morbello	Morbello
Mornese	Mornese
Morsasco	Morsasco
Murisengo	Murisengo
Occimiano	Occimiano
Odalengo Grande	Odalengo Grande
Odalengo Piccolo	Odalengo Piccolo
Olivola	Olivola
Kasalan ng magkaparehong kasarian	Samseksaj edzeco kaj edzineco
Partido Komunista ng Tsina	Komunista Partio de Ĉinio
Isonoe (buwan)	Isono (luno)
Autonoe (buwan)	Aŭtono (luno)
John von Neumann	John von Neumann
Donald Knuth	Donald Knuth
Uncyclopedia	Neciklopedio
Teleponong selular	Poŝtelefono
Katinig na aprikado	Afrikato
Abestrus	Struto
Lalawigan ng Ghardaïa	Provinco Ghardaia
Orsara Bormida	Orsara Bormida
Ottiglio	Ottiglio
Ovada	Ovada
Oviglio	Oviglio
Ozzano Monferrato	Ozzano Monferrato
Paderna	Paderna
Pareto, Piedmont	Pareto
Parodi Ligure	Parodi Ligure
Pasturana	Pasturana
Pecetto di Valenza	Pecetto di Valenza
Pietra Marazzi	Pietra Marazzi
Piovera	Piovera
Pomaro Monferrato	Pomaro Monferrato
Pontecurone	Pontecurone
Pontestura	Pontestura
Ponti, Piedmont	Ponti
Ponzano Monferrato	Ponzano Monferrato
Ponzone	Ponzone
Pozzol Groppo	Pozzol Groppo
Pozzolo Formigaro	Pozzolo Formigaro
Prasco	Prasco
Predosa	Predosa
Quargnento	Quargnento
Quattordio	Quattordio
Ricaldone	Ricaldone
Rivalta Bormida	Rivalta Bormida
Rivarone	Rivarone
Rocca Grimalda	Rocca Grimalda
Roccaforte Ligure	Roccaforte Ligure
Rocchetta Ligure	Rocchetta Ligure
Rosignano Monferrato	Rosignano Monferrato
Sala Monferrato	Sala Monferrato
Sale, Piedmont	Sale
San Cristoforo	San Cristoforo
San Giorgio Monferrato	San Giorgio Monferrato
San Salvatore Monferrato	San Salvatore Monferrato
San Sebastiano Curone	San Sebastiano Curone
Sant'Agata Fossili	Sant'Agata Fossili
Sardigliano	Sardigliano
Sarezzano	Sarezzano
Serralunga di Crea	Serralunga di Crea
Serravalle Scrivia	Serravalle Scrivia
Sezzadio	Sezzadio
Silvano d'Orba	Silvano d'Orba
Solero, Piedmont	Solero
Solonghello	Solonghello
Spigno Monferrato	Spigno Monferrato
Spineto Scrivia	Spineto Scrivia
Stazzano	Stazzano
Strevi	Strevi
Tagliolo Monferrato	Tagliolo Monferrato
Tassarolo	Tassarolo
Terruggia	Terruggia
Terzo, Piedmont	Terzo
Ticineto	Ticineto
Tortona	Tortono
Treville	Treville
Trisobbio	Trisobbio
Valenza	Valenza
Valmacca	Valmacca
Vignale Monferrato	Vignale Monferrato
Vignole Borbera	Vignole Borbera
Viguzzolo	Viguzzolo
Villadeati	Villadeati
Villalvernia	Villalvernia
Villamiroglio	Villamiroglio
Villanova Monferrato	Villanova Monferrato
Villaromagnano	Villaromagnano
Volpedo	Volpedo
Volpeglino	Volpeglino
Voltaggio	Voltaggio
Daphnis (moon)	Dafno (luno)
Stephen Hawking	Stephen Hawking
Panukala	Teorio
Prometheus (buwan)	Prometeo (luno)
Agliano Terme	Agliano Terme
Albugnano	Albugnano
Antignano	Antignano
Aramengo	Aramengo
Azzano d'Asti	Azzano d'Asti
Baldichieri d'Asti	Baldichieri d'Asti
Epimeteo (buwan)	Epimeteo (luno)
Belveglio	Belveglio
Berzano di San Pietro	Berzano di San Pietro
Bruno, Piedmont	Bruno (Italio)
Bubbio	Bubbio
Buttigliera d'Asti	Buttigliera d'Asti
Calamandrana	Calamandrana
Aegaeon (buwan)	Egeo (luno)
Calliano, Piedmont	Calliano (AT)
Calosso	Calosso
Camerano Casasco	Camerano Casasco
Canelli	Canelli
Cantarana	Cantarana
Capriglio	Capriglio
Casorzo	Casorzo
Cassinasco	Cassinasco
Castagnole Monferrato	Castagnole Monferrato
Castagnole delle Lanze	Castagnole delle Lanze
Castel Boglione	Castel Boglione
Castel Rocchero	Castel Rocchero
Castell'Alfero	Castell'Alfero
Castellero	Castellero
Castelletto Molina	Castelletto Molina
Castello di Annone	Castello di Annone
Castelnuovo Belbo	Castelnuovo Belbo
Castelnuovo Calcea	Castelnuovo Calcea
Castelnuovo Don Bosco	Castelnuovo Don Bosco
Cellarengo	Cellarengo
Celle Enomondo	Celle Enomondo
Anthe (buwan)	Anteo (luno)
Cerreto d'Asti	Cerreto d'Asti
Cerro Tanaro	Cerro Tanaro
Cessole	Cessole
Chiusano d'Asti	Chiusano d'Asti
Cinaglio	Cinaglio
Cisterna d'Asti	Cisterna d'Asti
Coazzolo	Coazzolo
Cocconato	Cocconato
Corsione	Corsione
Cortandone	Cortandone
Cortanze	Cortanze
Cortiglione	Cortiglione
Cossombrato	Cossombrato
Costigliole d'Asti	Costigliole d'Asti
Cunico	Cunico
Dusino San Michele	Dusino San Michele
Ferrere	Ferrere
Fontanile	Fontanile
Frinco	Frinco
Grana, Piedmont	Grana (Italio)
Grazzano Badoglio	Grazzano Badoglio
Incisa Scapaccino	Incisa Scapaccino
Isola d'Asti	Isola d'Asti
Loazzolo	Loazzolo
Maranzana	Maranzana
Maretto	Maretto
Moasca	Moasca
Mombaldone	Mombaldone
Mombaruzzo	Mombaruzzo
Mombercelli	Mombercelli
Monale	Monale
Monastero Bormida	Monastero Bormida
Moncalvo	Moncalvo
Moncucco Torinese	Moncucco Torinese
Mongardino	Mongardino
Montabone	Montabone
Montafia	Montafia
Montaldo Scarampi	Montaldo Scarampi
Montechiaro d'Asti	Montechiaro d'Asti
Montegrosso d'Asti	Montegrosso d'Asti
Montemagno, Piedmont	Montemagno
Montiglio Monferrato	Montiglio Monferrato
Moransengo	Moransengo
Nizza Monferrato	Nizza Monferrato
Olmo Gentile	Olmo Gentile
Passerano Marmorito	Passerano Marmorito
Penango	Penango (Italio)
Piea	Piea
Pino d'Asti	Pino d'Asti
Piovà Massaia	Piovà Massaia
Portacomaro	Portacomaro
Quaranti	Quaranti
Refrancore	Refrancore
Revigliasco d'Asti	Revigliasco d'Asti
Pallene (moon)	Paleno (luno)
Roatto	Roatto
Robella	Robella
Rocca d'Arazzo	Rocca d'Arazzo
Roccaverano	Roccaverano
Rocchetta Palafea	Rocchetta Palafea
Telesto (buwan)	Telesto (luno)
Rocchetta Tanaro	Rocchetta Tanaro
San Damiano d'Asti	San Damiano d'Asti
San Giorgio Scarampi	San Giorgio Scarampi
San Martino Alfieri	San Martino Alfieri
San Marzano Oliveto	San Marzano Oliveto
San Paolo Solbrito	San Paolo Solbrito
Scurzolengo	Scurzolengo
Serole	Serole
Sessame	Sessame
Settime	Settime
Soglio, Piedmont	Soglio
Tigliole	Tigliole
Tonco	Tonco
Tonengo	Tonengo
Vaglio Serra	Vaglio Serra
Valfenera	Valfenera
Vesime	Vesime
Viale	Viale
Viarigi	Viarigi
Vigliano d'Asti	Vigliano d'Asti
Villa San Secondo	Villa San Secondo
Villafranca d'Asti	Villafranca d'Asti
LGBT	GLAT
Villanova d'Asti	Villanova d'Asti
Vinchio	Vinchio
Oryentasyong seksuwal	Seksa orientiĝo
Sappho	Sapfo
Lalawigan ng Aragatsotn	Aragacotno
Arlington, Texas	Arlington (Teksaso)
Iapetus (buwan)	Japeto (luno)
Albiorix (buwan)	Albiorikso (luno)
Tarqeq (buwan)	Tarkeko (luno)
Sacramento, Kaliporniya	Sakramento (Kalifornio)
Ailoche	Ailoche
Andorno Micca	Andorno Micca
Bioglio	Bioglio
Borriana	Borriana
Brusnengo	Brusnengo
Callabiana	Callabiana
Hyrrokkin (moon)	Hirokeno (luno)
Camandona	Camandona
Camburzano	Camburzano
Campiglia Cervo	Campiglia Cervo
Tarvos (buwan)	Tarvo (luno)
Candelo	Candelo
Caprile	Caprile
Casapinta	Casapinta
Castelletto Cervo	Castelletto Cervo
Cavaglià	Cavaglià
Cerreto Castello	Cerreto Castello
Cerrione	Cerrione
Coggiola	Coggiola
Cossato	Cossato
Crevacuore	Crevacuore
Crosa	Crosa
Curino	Curino
Donato, Piedmont	Donato
Dorzano	Dorzano
Gaglianico	Gaglianico
Gifflenga	Gifflenga
Graglia	Graglia
Lessona	Lessona
Magnano	Magnano
Massazza	Massazza
Masserano	Masserano
Mezzana Mortigliengo	Mezzana Mortigliengo
Miagliano	Miagliano
Mongrando	Mongrando
Mosso, Piedmont	Mosso
Mottalciata	Mottalciata
Muzzano, Piedmont	Muzzano (Piemonto)
Netro, Piedmont	Netro
Occhieppo Inferiore	Occhieppo Inferiore
Occhieppo Superiore	Occhieppo Superiore
Honolulu, Haway	Honolulu
Pettinengo	Pettinengo
Korea	Koreio
Bison	Bizono
1925	1925
1927	1927
Meda (MB)	Meda
Manchester	Manchester
Piatto	Piatto
Piedicavallo	Piedicavallo
Pollone	Pollone
Ponderano	Ponderano
Portula	Portula
Pralungo	Pralungo
Pray, Piedmont	Pray
Quaregna	Quaregna
Quittengo	Quittengo
Ronco Biellese	Ronco Biellese
Roppolo	Roppolo
Rosazza	Rosazza
Sagliano Micca	Sagliano Micca
Sala Biellese	Sala Biellese
Salussola	Salussola
San Paolo Cervo	San Paolo Cervo
Sandigliano	Sandigliano
Selve Marcone	Selve Marcone
Soprana	Soprana
Sordevolo	Sordevolo
Sostegno	Sostegno
Strona	Strona
Tavigliano	Tavigliano
Ternengo	Ternengo
Tollegno	Tollegno
Torrazzo	Torrazzo
Trivero	Trivero
S/2004 S 17	S/2004 S 17
Valdengo	Valdengo
Vallanzengo	Vallanzengo
Valle Mosso	Valle Mosso
Valle San Nicolao	Valle San Nicolao
Veglio	Veglio
Verrone	Verrone
Vigliano Biellese	Vigliano Biellese
Villa del Bosco	Villa del Bosco
Villanova Biellese	Villanova Biellese
Viverone	Viverone
Zimone	Zimone
Zubiena	Zubiena
Zumaglia	Zumaglia
S/2006 S 1	S/2006 S 1
Aegir (buwan)	Egio (luno)
Argentera	Argentera
Bellino	Bellino
Castelmagno	Castelmagno
Elva, Piedmont	Elva (Piemonto)
Pontechianale	Pontechianale
Suttungr (buwan)	Sutungo (luno)
Aspirin	Aspirino
Hati (buwan)	Hatio (luno)
Turks and Caicos Islands	Turkoj kaj Kajkoj
Thrymr (buwan)	Trimo (luno)
ABBA	ABBA
Surtur (buwan)	Surto (luno)
Instinto	Instinkto
Ymir (buwan)	Imiro (luno)
S/2007 S 2	S/2007 S 2
Pisikang pampartikulo	Partikla fiziko
Radiyasyon	Radiado
Acceglio	Acceglio
Pamantayang Modelo	Norma modelo
Aisone	Aisone
S/2007 S 3	S/2007 S 3
Alba, Piedmont	Alba (Italio)
Albaretto della Torre	Albaretto della Torre
Enerhiyang madilim	Malluma energio
Alto, Piedmont	Alto (Italio)
Arguello	Arguello
Bagnasco	Bagnasco
Bagnolo Piemonte	Bagnolo Piemonte
Baldissero d'Alba	Baldissero d'Alba
Barbaresco, Piedmont	Barbaresco
Barge, Piedmont	Barge
Barolo, Piedmont	Barolo
Bastia Mondovì	Bastia Mondovì
Battifollo	Battifollo
Beinette	Beinette
Belvedere Langhe	Belvedere Langhe
Alfonso XIII	Alfonso la 13-a (Hispanio)
Bene Vagienna	Bene Vagienna
Benevello	Benevello
Bergolo	Bergolo
Bernezzo	Bernezzo
Bonvicino	Bonvicino
Borgo San Dalmazzo	Borgo San Dalmazzo
Borgomale	Borgomale
Bosia, Piedmont	Bosia
Bossolasco	Bossolasco
Boves	Boves (Italio)
Bra, Piedmont	Bra
Providence, Rhode Island	Providence (Rod-Insulo)
Briaglia	Briaglia
Briga Alta	Briga Alta
Brondello	Brondello
Brossasco	Brossasco
Busca	Busca
Camerana	Camerana
Camo	Camo
Canale, Piedmont	Canale
Brooklyn	Broklino
Queens	Kvinzo
The Bronx	Bronkso
Pulo ng Staten	Staten-Insulo
Pulong Long, Bahamas	Long Island
1000	1000
999	999
Yongin	Jongin
Trinculo (buwan)	Trinkulo (luno)
Lobong kulay-abo	Lupo
Mafia	Mafio
Tucson, Arizona	Tucson (Arizono)
1955	1955
1954	1954
1953	1953
1951	1951
1950	1950
1946	1946
1943	1943
1942	1942
1940	1940
1939	1939
1938	1938
1937	1937
1936	1936
1935	1935
1934	1934
Senusret II	Senusret la 2-a
1933	1933
Kotono Mitsuishi	Micuiŝi Kotono
1932	1932
Tangway ng Malaya	Malaja Duoninsulo
Alamid	Azia palm-civeto
1931	1931
Singsing ng Apoy ng Pasipiko	Pacifika fajra rondo
1930	1930
Bakaw (ibon)	Ardeedoj
1929	1929
Pyongyang	Pjongjango
Bagong Tipan	Nova testamento
Jessie J	Jessie J
Kaukasya	Kaŭkazio
Maria Faustina Kowalska	Faustyna Kowalska
Halamanan ng Eden	Edena ĝardeno
Prokaryote	Prokariotoj
Eukaryote	Eŭkariotoj
Sekta	Sekto
9 (bilang)	9 (nombro)
Alakdan	Skorpio
Henry Fonda	Henry Fonda
Pervouralsk	Pervouralsk
Tetrapoda	Tetrapodoj
Heilongjiang	Hejlongĝjango
Canosio	Canosio
Caprauna	Caprauna
Caraglio	Caraglio
Caramagna Piemonte	Caramagna Piemonte
Cardè	Cardè
1001	1001
1002	1002
1003	1003
1005	1005
1006	1006
1007	1007
1008	1008
1009	1009
1010	1010
1011	1011
1012	1012
1013	1013
1014	1014
Amenemhat III	Amenemhet la 3-a
1015	1015
1016	1016
Senusret III	Sesostri la 3-a
1017	1017
1018	1018
1019	1019
1020	1020
1021	1021
1022	1022
1023	1023
1024	1024
1025	1025
1026	1026
Dagat Celebes	Sulavesa Maro
1027	1027
Cava de' Tirreni	Cava de' Tirreni
1028	1028
1029	1029
Aversa	Aversa
1030	1030
1031	1031
1032	1032
Acireale	Acireale
1033	1033
1034	1034
1035	1035
1036	1036
1037	1037
1038	1038
1039	1039
1040	1040
1041	1041
1042	1042
1043	1043
1044	1044
1045	1045
1046	1046
Life is Beautiful	La Vita è Bella
1047	1047
1048	1048
1049	1049
1050	1050
1051	1051
1052	1052
1053	1053
1054	1054
1055	1055
Carrù	Carrù
1056	1056
1057	1057
1058	1058
1059	1059
1060	1060
1061	1061
1062	1062
1063	1063
Kasiri	Kormoranoj
1064	1064
1065	1065
1066	1066
Pagala	Pelikano
1067	1067
1068	1068
1069	1069
1070	1070
1071	1071
1072	1072
1073	1073
1074	1074
1075	1075
1076	1076
1077	1077
1078	1078
1079	1079
Thalassa (buwan)	Talaso (luno)
1080	1080
1081	1081
1082	1082
1083	1083
1084	1084
1085	1085
1086	1086
1087	1087
1088	1088
1089	1089
1090	1090
1091	1091
1092	1092
1093	1093
1094	1094
1095	1095
1096	1096
1097	1097
Nha Trang	Nha Trang
1098	1098
1099	1099
1106	1106
1107	1107
1108	1108
1109	1109
1110	1110
Podolsk	Podolsk
1111	1111
1112	1112
1113	1113
1114	1114
1115	1115
1116	1116
Bonobo	Eta ĉimpanzo
1117	1117
1118	1118
1119	1119
1120	1120
Papa	Papo
1130	1130
Lantanido	Lantanoido
Aktinido	Aktinoido
1131	1131
Rafael Correa	Rafael Correa
1132	1132
1133	1133
1134	1134
1135	1135
1136	1136
1137	1137
Halogen	Halogeno
1138	1138
1139	1139
Mariringal na mga hangin	Nobla gaso
5	5
1140	1140
1141	1141
1142	1142
1143	1143
1144	1144
4	4
1145	1145
1146	1146
1147	1147
1148	1148
3	3
1149	1149
1150	1150
1151	1151
1152	1152
1153	1153
2	2
1154	1154
1155	1155
1156	1156
Pampublikong dominyo	Publika havaĵo
1157	1157
1158	1158
1159	1159
Bukarest	Bukareŝto
1160	1160
1161	1161
1162	1162
1163	1163
Al Gore	Al Gore
1164	1164
Museo ng Louvre	Luvro
1165	1165
1166	1166
1167	1167
1168	1168
1169	1169
1170	1170
Partido Independentista Puertorriqueño	Partio de la Sendependeco de Porto-Riko
1171	1171
Ilog Tamesis	Tamizo
1172	1172
1173	1173
Tirana	Tirano
1174	1174
1175	1175
1176	1176
1177	1177
1178	1178
Motorhead	Motörhead
1179	1179
1180	1180
1181	1181
Asno	Azeno
1182	1182
1928	1928
1183	1183
1184	1184
1185	1185
1186	1186
1187	1187
1188	1188
1189	1189
1190	1190
1191	1191
1192	1192
1193	1193
1194	1194
1195	1195
1196	1196
1197	1197
1198	1198
1199	1199
Sichuan	Siĉuano
Pangkat ng Dalawampu (P20)	Grupo de la 20 (industriaj kaj sojlaj landoj)
6	6
Lumang Tipan	Malnova testamento
Lawin-lawinan	Balancilo
Josh Duhamel	Josh Duhamel
Pasko	Kristnasko
Mga wikang Romanse	Latinida lingvaro
Tatsulok	Triangulo
Taong bisyesto	Superjaro
Steve Jobs	Steve Jobs
Lady Gaga	Lady Gaga
Mga wikang Indo-Europeo	Hindeŭropa lingvaro
Verulamium	Verulamium
Breinigerberg	Breinigerberg
Paghihintay kay Godo	Atendante Godot
Muammar Gaddafi	Muamar Kadafi
Cartignano	Cartignano
Casalgrasso	Casalgrasso
Castagnito	Castagnito
Casteldelfino	Casteldelfino
Castellar, Piedmont	Castellar (Italio)
Castelletto Stura	Castelletto Stura
Castelletto Uzzone	Castelletto Uzzone
Castellinaldo	Castellinaldo
Castellino Tanaro	Castellino Tanaro
Castelnuovo di Ceva	Castelnuovo di Ceva
Castiglione Falletto	Castiglione Falletto
Castiglione Tinella	Castiglione Tinella
Castino	Castino
Cavallerleone	Cavallerleone
Cavallermaggiore	Cavallermaggiore
Celle di Macra	Celle di Macra
Centallo	Centallo
Ceresole Alba	Ceresole Alba
Cerretto Langhe	Cerreto Langhe
Cervasca	Cervasca
Tigre	Tigro
Cervere	Cervere
Juan Carlos I ng Espanya	Johano Karlo la 1-a (Hispanio)
Ceva	Ceva
Cherasco	Cherasco
Chiusa di Pesio	Chiusa di Pesio
Cigliè	Cigliè
Cissone	Cissone
Clavesana	Clavesana
Corneliano d'Alba	Corneliano d'Alba
Cortemilia	Cortemilia
Cossano Belbo	Cossano Belbo
Costigliole Saluzzo	Costigliole Saluzzo
Cravanzana	Cravanzana
Crissolo	Crissolo
Demonte	Demonte
Diano d'Alba	Diano d'Alba
Makaroni	Makaronioj
Dogliani	Dogliani
Dronero	Dronero
Spaghetti	Spagetoj
Entracque	Entracque
Lasagne	Lasanjoj
Envie	Envie
Farigliano	Farigliano
Faule	Faule
Feisoglio	Feisoglio
Fossano	Fossano
Frabosa Soprana	Frabosa Soprana
Frabosa Sottana	Frabosa Sottana
Frassino	Frassino
Niyoki	Nokoj
Gaiola	Gaiola
Subteraneo ng Londres	Metroo de Londono
Gambasca	Gambasca
Garessio	Garessio
Genola, Piedmont	Genola
Gorzegno	Gorzegno
Gottasecca	Gottasecca
Barasso	Barasso
Govone	Govone
Grinzane Cavour	Grinzane Cavour
Lungsod ng Assisi	Asizo
Guarene	Guarene
Igliano	Igliano
Isasca	Isasca
La Morra	La Morra
Lagnasco	Lagnasco
Lequio Berria	Lequio Berria
Lequio Tanaro	Lequio Tanaro
Lesegno	Lesegno
Levice, Piedmont	Levice (provinco Cuneo)
Ilog Túria	Turia (rivero)
Limone Piemonte	Limone Piemonte
Lisio	Lisio
Macra	Macra
On the Origin of Species	La origino de specioj
Magliano Alfieri	Magliano Alfieri
Bastia Umbra	Bastia Umbra
Magliano Alpi	Magliano Alpi
Torta	Omleto
Mango, Piedmont	Mango (Italio)
Manta, Piedmont	Manta
Marene	Marene
Lamang-kati	Radiklegomo
Bettona	Bettona
Bevagna	Bevagna
IU	IU (kantistino)
Campello sul Clitunno	Campello sul Clitunno
PSY	PSY (kantisto)
Margarita, Piedmont	Margarita
Marmora, Piedmont	Marmora
Marsaglia	Marsaglia
Martiniana Po	Martiniana Po
Melle, Piedmont	Melle (Italio)
Joe Pesci	Joe Pesci
Moiola	Moiola
Mombarcaro	Mombarcaro
Mombasiglio	Mombasiglio
Monastero di Vasco	Monastero di Vasco
Monasterolo Casotto	Monasterolo Casotto
Monasterolo di Savigliano	Monasterolo di Savigliano
Monchiero	Monchiero
Mondovì	Mondovì
Monesiglio	Monesiglio
Monforte d'Alba	Monforte d'Alba
Montaldo Roero	Montaldo Roero
Montaldo di Mondovì	Montaldo di Mondovì
Montanera	Montanera
Montelupo Albese	Montelupo Albese
Montemale di Cuneo	Montemale di Cuneo
Monterosso Grana	Monterosso Grana
Monteu Roero	Monteu Roero
Montezemolo	Montezemolo
Monticello d'Alba	Monticello d'Alba
Montà	Montà
Moretta	Moretta
Morozzo	Morozzo
Murazzano	Murazzano
Murello	Murello
Narzole	Narzole
Neive	Neive
Neviglie	Neviglie
Niella Belbo	Niella Belbo
Niella Tanaro	Niella Tanaro
Novello, Piedmont	Novello
Nucetto	Nucetto
Oncino	Oncino
Ormea	Ormea
Ostana	Ostana
Paesana	Paesana
Pagno	Pagno
Pamparato	Pamparato
Paroldo	Paroldo
Perletto	Perletto
Perlo, Piedmont	Perlo (Italio)
Peveragno	Peveragno
Mga batong Liancourt	Liancourt-Rokoj
Pezzolo Valle Uzzone	Pezzolo Valle Uzzone
Pianfei	Pianfei
Piasco	Piasco
Pietraporzio	Pietraporzio
Piobesi d'Alba	Piobesi d'Alba
Piozzo	Piozzo
Pocapaglia	Pocapaglia
Polonghera	Polonghera
Pradleves	Pradleves
Prazzo	Prazzo
Priero	Priero
Priocca	Priocca
Priola	Priola
Prunetto	Prunetto
Racconigi	Racconigi
Revello	Revello
Cannara	Cannara
Cantagallo, Italy	Cantagallo
Cascia	Cascia
Carmignano	Carmignano
Castel Ritaldi	Castel Ritaldi
Poggio a Caiano	Poggio a Caiano
Montemurlo	Montemurlo
Castiglione del Lago	Castiglione del Lago
Vaiano	Vaiano
Cerreto di Spoleto	Cerreto di Spoleto
Vernio	Vernio
Rifreddo	Rifreddo
Rittana	Rittana
Citerna	Citerna
Roaschia	Roaschia
Roascio	Roascio
Robilante	Robilante
Roburent	Roburent
Città della Pieve	Città della Pieve
Rocca Cigliè	Rocca Cigliè
Rocca de' Baldi	Rocca de' Baldi
Roccabruna	Roccabruna
Città di Castello	Città di Castello
Roccaforte Mondovì	Roccaforte Mondovì
Roccasparvera	Roccasparvera
Collazzone	Collazzone
Corciano	Corciano
Roccavione	Roccavione
Costacciaro	Costacciaro
Rocchetta Belbo	Rocchetta Belbo
Roddi	Roddi
Roddino	Roddino
Deruta	Deruta
Rodello	Rodello
Rossana	Rossana
Ruffia	Ruffia
Sale San Giovanni	Sale San Giovanni
Sale delle Langhe	Sale delle Langhe
Foligno	Foligno
Fossato di Vico	Fossato di Vico
Salmour	Salmour
Fratta Todina	Fratta Todina
Giano dell'Umbria	Giano dell'Umbria
Gualdo Cattaneo	Gualdo Cattaneo
Saluzzo	Saluzzo
Sambuco	Sambuco
Dances with Wolves	Dances with Wolves
Gualdo Tadino	Gualdo Tadino
Gubbio	Gubbio
Lisciano Niccone	Lisciano Niccone
Magione	Magione
Sampeyre	Sampeyre
San Benedetto Belbo	San Benedetto Belbo
Marsciano	Marsciano
San Damiano Macra	San Damiano Macra
San Michele Mondovì	San Michele Mondovì
Massa Martana	Massa Martana
Sanfront	Sanfront
Monte Castello di Vibio	Monte Castello di Vibio
Monte Santa Maria Tiberina	Monte Santa Maria Tiberina
Montefalco	Montefalco
Sanfrè	Sanfrè
Sant'Albano Stura	Sant'Albano Stura
Monteleone di Spoleto	Monteleone di Spoleto
Santa Vittoria d'Alba	Santa Vittoria d'Alba
Santo Stefano Belbo	Santo Stefano Belbo
Montone	Montone
Santo Stefano Roero	Santo Stefano Roero
Savigliano	Savigliano
Scagnello	Scagnello
Nocera Umbra	Nocera Umbra
Scarnafigi	Scarnafigi
Norcia	Norcia
Serralunga d'Alba	Serralunga d'Alba
Serravalle Langhe	Serravalle Langhe
Paciano	Paciano
Sinio	Sinio
Somano	Somano
Sommariva Perno	Sommariva Perno
Panicale	Panicale
Sommariva del Bosco	Sommariva del Bosco
Passignano sul Trasimeno	Passignano sul Trasimeno
Stroppo	Stroppo
Tarantasca	Tarantasca
Torre Bormida	Torre Bormida
Torre Mondovì	Torre Mondovì
Torre San Giorgio	Torre San Giorgio
Piegaro	Piegaro
Torresina	Torresina
Pietralunga	Pietralunga
Poggiodomo	Poggiodomo
Preci	Preci
Treiso	Treiso
San Giustino	San Giustino
Trezzo Tinella	Trezzo Tinella
Trinità	Trinità
Sant'Anatolia di Narco	Sant'Anatolia di Narco
Scheggia e Pascelupo	Scheggia e Pascelupo
Valdieri	Valdieri
Valgrana	Valgrana
Valloriate	Valloriate
Scheggino	Scheggino
Valmala, Italy	Valmala
Venasca	Venasca
Sellano	Sellano
Verduno	Verduno (Italio)
Vernante	Vernante
Verzuolo	Verzuolo
Sigillo	Sigillo
Vezza d'Alba	Vezza d'Alba
Vicoforte	Vicoforte
Spello	Spello
Vignolo	Vignolo
