Afrig	Afriko
Wàll:Weeri at mi	Kategorio:Monatoj
Royuwaay:Babel	Ŝablono:Babelejo
Royuwaay:Commons	Ŝablono:Commons
Royuwaay:Lien BA	Ŝablono:LigoLeginda
Wàll:Xaralaymbëj	Kategorio:Elektrotekniko
Royuwaay:ANG	Ŝablono:AGO
Royuwaay:Junj	Ŝablono:Ĝermo
Royuwaay:Jëfandikukat af-1	Ŝablono:Vikipediisto af-1
Royuwaay:Jëfandikukat ar-1	Ŝablono:Vikipediisto ar-1
Royuwaay:Jëfandikukat eo-1	Ŝablono:Vikipediisto eo-1
Royuwaay:Jëfandikukat da	Ŝablono:Vikipediisto da
Royuwaay:Jëfandikukat ca-4	Ŝablono:Vikipediisto ca-4
Royuwaay:Jëfandikukat da-1	Ŝablono:Vikipediisto da-1
Royuwaay:Jëfandikukat eo-3	Ŝablono:Vikipediisto eo-3
Royuwaay:Jëfandikukat es	Ŝablono:Vikipediisto es
Royuwaay:Jëfandikukat en-3	Ŝablono:Vikipediisto en-3
Royuwaay:Jëfandikukat el-1	Ŝablono:Vikipediisto el-1
Royuwaay:Jëfandikukat en-1	Ŝablono:Vikipediisto en-1
Royuwaay:Jëfandikukat en-2	Ŝablono:Vikipediisto en-2
Royuwaay:Jëfandikukat eo-2	Ŝablono:Vikipediisto eo-2
Royuwaay:Jëfandikukat en-4	Ŝablono:Vikipediisto en-4
Royuwaay:Jëfandikukat fi	Ŝablono:Vikipediisto fi-D
Royuwaay:Jëfandikukat en-0	Ŝablono:Vikipediisto en-0
Royuwaay:Jëfandikukat es-4	Ŝablono:Vikipediisto es-4
Royuwaay:Jëfandikukat en	Ŝablono:Vikipediisto en
Royuwaay:Jëfandikukat es-1	Ŝablono:Vikipediisto es-1
Royuwaay:Jëfandikukat fr-1	Ŝablono:Vikipediisto fr-1
Wàll:Dundat yi	Kategorio:Vivo
Royuwaay:Jëfandikukat ia-2	Ŝablono:Vikipediisto ia-2
Royuwaay:Jëfandikukat id-3	Ŝablono:Vikipediisto id-3
Royuwaay:Jëfandikukat io-3	Ŝablono:Vikipediisto io-3
Royuwaay:Jëfandikukat it-3	Ŝablono:Vikipediisto it-3
Royuwaay:Jëfandikukat ja-4	Ŝablono:Vikipediisto ja-4
Royuwaay:Jëfandikukat sk	Ŝablono:Vikipediisto sk
Royuwaay:Jëfandikukat ja	Ŝablono:Vikipediisto ja
Royuwaay:Jëfandikukat ja-1	Ŝablono:Vikipediisto ja-1
Royuwaay:Jëfandikukat it-1	Ŝablono:Vikipediisto it-1
Royuwaay:Jëfandikukat fr	Ŝablono:Vikipediisto fr
Wàll:Fewirie	Kategorio:Februaro
Wàll:Gunóor	Kategorio:Insektoj
Wàll:Moldaawi	Kategorio:Moldavio
Royuwaay:HRV	Ŝablono:HRV
Wàll:Aserbayjaan	Kategorio:Azerbajĝano
Wàll:Asi	Kategorio:Azio
Wàll:Ciili	Kategorio:Ĉilio
Wàll:Lesoto	Kategorio:Lesoto
Wàll:Jëfandikukat uk	Kategorio:Vikipediisto uk
Wàll:Jëfandikukat uk-N	Kategorio:Vikipediisto uk-D
Wàll:Maleesi	Kategorio:Malajzio
Wàll:Football	Kategorio:Futbalo
Royuwaay:Mod	Ŝablono:Mod
Royuwaay:Jëfandikukat it	Ŝablono:Vikipediisto it
Royuwaay:Jëfandikukat uk	Ŝablono:Vikipediisto uk
Royuwaay:Jëfandikukat es-2	Ŝablono:Vikipediisto es-2
Wàll:Jimbulang	Kategorio:Enciklopedioj
Royuwaay:Bataaxalu dalal-jàmm	Ŝablono:Bonvenon
Royuwaay:Weer	Ŝablono:MonatEnkonduko
Royuwaay:USA	Ŝablono:USA
Royuwaay:ITA	Ŝablono:ITA
Royuwaay:GEO	Ŝablono:GEO
Royuwaay:BOL	Ŝablono:BOL
Royuwaay:MEX	Ŝablono:MEX
Wàll:Jëfandikukat fr-1	Kategorio:Vikipediisto fr-1
Royuwaay:MAR	Ŝablono:MAR
Royuwaay:MDK	Ŝablono:MDG
Royuwaay:ISBN	Ŝablono:ISBN
Royuwaay:SVK	Ŝablono:SVK
Royuwaay:EGY	Ŝablono:EGY
Royuwaay:KGZ	Ŝablono:KGZ
Royuwaay:MYT	Ŝablono:MYT
Royuwaay:Infobox Réew	Ŝablono:Informkesto lando
Royuwaay:Max	Ŝablono:Max
Royuwaay:STP	Ŝablono:STP
Royuwaay:VEN	Ŝablono:VEN
Royuwaay:UKR	Ŝablono:UKR
Royuwaay:ROU	Ŝablono:ROU
Royuwaay:TUR	Ŝablono:TUR
Royuwaay:JBT	Ŝablono:DJI
Royuwaay:Jëfandikukat es-0	Ŝablono:Vikipediisto es-0
Wàll:Gana	Kategorio:Ganao
Wàll:Jëfandikukat en-4	Kategorio:Vikipediisto en-4
Wàll:Togóo	Kategorio:Togolando
Wàll:Jëfandikukat en	Kategorio:Vikipediisto en
Wàll:Jëfandikukat zh	Kategorio:Vikipediisto zh
Wàll:Korwaasi	Kategorio:Kroatio
Wàll:Jëfandikukat zh-N	Kategorio:Vikipediisto zh-D
Wàll:Jëfandikukat en-2	Kategorio:Vikipediisto en-2
Royuwaay:Jëfandikukat zh	Ŝablono:Vikipediisto zh
Royuwaay:Jëfandikukat ru-4	Ŝablono:Vikipediisto ru-4
Royuwaay:Coord/URL	Ŝablono:KoordinatojURL
Royuwaay:Jëfandikukat nl-1	Ŝablono:Vikipediisto nl-1
Royuwaay:Jëfandikukat nl-2	Ŝablono:Vikipediisto nl-2
Royuwaay:Jëfandikukat ru	Ŝablono:Vikipediisto ru
Wàll:Aamerig	Kategorio:Ameriko
Royuwaay:Boyutu Babel N	Ŝablono:Babel kadro D
Royuwaay:Boyutu Babel 1	Ŝablono:Babel kadro 1
Royuwaay:KPW	Ŝablono:CPV
Royuwaay:Jëfandikukat pt-1	Ŝablono:Vikipediisto pt-1
Wàll:Samwie	Kategorio:Januaro
Royuwaay:Jëfandikukat pl	Ŝablono:Vikipediisto pl
Royuwaay:Jëfandikukat nl	Ŝablono:Vikipediisto nl
Royuwaay:TJK	Ŝablono:TJK
Royuwaay:Jëfandikukat no-2	Ŝablono:Vikipediisto no-2
Royuwaay:Coord	Ŝablono:Koord2
Royuwaay:GAN	Ŝablono:GHA
Royuwaay:GAM	Ŝablono:GAM
Royuwaay:IDN	Ŝablono:IDN
Royuwaay:AFB	Ŝablono:ZAF
Royuwaay:CcTLD	Ŝablono:Naciaj domajnoj de plej alta nivelo
Royuwaay:POL	Ŝablono:POL
Royuwaay:BOA	Ŝablono:BWA
Royuwaay:URY	Ŝablono:URY
Royuwaay:CUB	Ŝablono:CUB
Royuwaay:KMR	Ŝablono:CMR
Royuwaay:KOS	Ŝablono:COD
Royuwaay:BIH	Ŝablono:BIH
Royuwaay:GIN	Ŝablono:GIN
Royuwaay:FIN	Ŝablono:FIN
Wàll:Cuub	Kategorio:Pentrado
Royuwaay:CAN	Ŝablono:CAN
Royuwaay:DNK	Ŝablono:DNK
Royuwaay:Jëfandikukat	Ŝablono:Uzula paĝo
Royuwaay:DEU	Ŝablono:DEU
Royuwaay:BEN	Ŝablono:BEN
Royuwaay:SWE	Ŝablono:SWE
Royuwaay:Boyutu Babel 4	Ŝablono:Babel kadro 4
Royuwaay:Jëfandikukat pl-1	Ŝablono:Vikipediisto pl-1
Royuwaay:Boyutu Babel 0	Ŝablono:Babel kadro 0
Royuwaay:Jëfandikukat fr-3	Ŝablono:Vikipediisto fr-3
Wàll:Tiniisi	Kategorio:Tunizio
Royuwaay:JPN	Ŝablono:JPN
Royuwaay:SOM	Ŝablono:SOM
Royuwaay:VAT	Ŝablono:VAT
Royuwaay:SWL	Ŝablono:SWZ
Wàll:Suti	Kategorio:Aparataro
Royuwaay:ISL	Ŝablono:ISL
Royuwaay:Coord/link	Ŝablono:Koord/ligilo
Royuwaay:MOR	Ŝablono:MUS
Royuwaay:COL	Ŝablono:COL
Royuwaay:GIB	Ŝablono:GNB
Royuwaay:ERT	Ŝablono:ERI
Royuwaay:GAR	Ŝablono:MRT
Royuwaay:GAB	Ŝablono:GAB
Royuwaay:IRN	Ŝablono:IRN
Royuwaay:MAL	Ŝablono:MLI
Royuwaay:SUD	Ŝablono:SUD
Royuwaay:NAM	Ŝablono:NAM
Royuwaay:RDA	Ŝablono:CAF
Royuwaay:MKD	Ŝablono:MKD
Royuwaay:GNY	Ŝablono:GNQ
Royuwaay:KOM	Ŝablono:COM
Royuwaay:SAM	Ŝablono:ZMB
Royuwaay:MLW	Ŝablono:MWI
Royuwaay:TAN	Ŝablono:TZA
Royuwaay:KAZ	Ŝablono:KAZ
Royuwaay:NIS	Ŝablono:NER
Royuwaay:KON	Ŝablono:COG
Royuwaay:SMR	Ŝablono:SMR
Royuwaay:PER	Ŝablono:PER
Royuwaay:MOS	Ŝablono:MOZ
Royuwaay:GUY	Ŝablono:GUY
Royuwaay:ECP	Ŝablono:ETH
Royuwaay:NIA	Ŝablono:NGA
Royuwaay:SRB	Ŝablono:SRB
Royuwaay:NIC	Ŝablono:NIC
Royuwaay:LIA	Ŝablono:LBR
Royuwaay:TKM	Ŝablono:TKM
Royuwaay:LIB	Ŝablono:LBY
Royuwaay:LES	Ŝablono:LES
Royuwaay:BUK	Ŝablono:BFA
Royuwaay:CAD	Ŝablono:TCD
Royuwaay:PRY	Ŝablono:PAR
Royuwaay:ECU	Ŝablono:ECU
Royuwaay:SEY	Ŝablono:SYC
Royuwaay:SIR	Ŝablono:SLE
Royuwaay:LTU	Ŝablono:LTU
Royuwaay:IND	Ŝablono:IND
Royuwaay:Jëfandikukat is-1	Ŝablono:Vikipediisto is-1
Royuwaay:Jëfandikukat en-5	Ŝablono:Vikipediisto en-5
Wàll:Poortorikoo	Kategorio:Porto-Riko
Wàll:Jëfandikukat ja-N	Kategorio:Vikipediisto ja-D
Wàll:Royuwaay jëfëndikookat	Kategorio:Vikipedio:Ŝablonoj por uzanta paĝo
Royuwaay:CHE	Ŝablono:CHE
Wàll:Suwaasilaand	Kategorio:Svazilando
Wàll:Infobox	Kategorio:Ŝablono:Informkesto
Royuwaay:Jëfandikukat yi-2	Ŝablono:Vikipediisto yi-2
Royuwaay:ATG	Ŝablono:ATG
Royuwaay:GRC	Ŝablono:GRC
Royuwaay:PRT	Ŝablono:PRT
Royuwaay:SIM	Ŝablono:ZWE
Royuwaay:Jëfandikukat ksh	Ŝablono:Vikipediisto ksh
Royuwaay:CZE	Ŝablono:CZE
Royuwaay:LVA	Ŝablono:LVA
Royuwaay:AZE	Ŝablono:AZE
Royuwaay:Xam-xam	Ŝablono:Scienco
Royuwaay:MNE	Ŝablono:MNE
Royuwaay:NLD	Ŝablono:NLD
Royuwaay:GBR	Ŝablono:GBR
Royuwaay:LIE	Ŝablono:LIE
Royuwaay:MDA	Ŝablono:MDA
Royuwaay:Boyutu Babel 3	Ŝablono:Babel kadro 3
Royuwaay:KOR	Ŝablono:KOR
Royuwaay:Jëfandikukat it-2	Ŝablono:Vikipediisto it-2
Royuwaay:SVN	Ŝablono:SVN
Royuwaay:LBN	Ŝablono:LBN
Royuwaay:FRA	Ŝablono:FRA
Wàll:Mongoli	Kategorio:Mongolio
Royuwaay:Gox	Ŝablono:Kontinentoj
Royuwaay:Jëfandikukat pt-3	Ŝablono:Vikipediisto pt-3
Royuwaay:Jëfandikukat pt-2	Ŝablono:Vikipediisto pt-2
Royuwaay:Jëfandikukat lb-1	Ŝablono:Vikipediisto lb-1
Royuwaay:Jëfandikukat fr-4	Ŝablono:Vikipediisto fr-4
Royuwaay:Jëfandikukat la-1	Ŝablono:Vikipediisto la-1
Wàll:Réewum Maseduwaan	Kategorio:Respubliko Makedonio
Wàll:Jëfandikukat sk	Kategorio:Vikipediisto sk
Wàll:Jëfandikukat eo	Kategorio:Vikipediisto eo
Wàll:Jëfandikukat et	Kategorio:Vikipediisto et
Wàll:Jëfandikukat fr	Kategorio:Vikipediisto fr
Wàll:Jëfandikukat hu-N	Kategorio:Vikipediisto hu-D
Wàll:Jëfandikukat id	Kategorio:Vikipediisto id
Wàll:Jëfandikukat ia	Kategorio:Vikipediisto ia
Wàll:Jëfandikukat ja	Kategorio:Vikipediisto ja
Wàll:Jëfandikukat la	Kategorio:Vikipediisto la
Wàll:Jëfandikukat li	Kategorio:Vikipediisto li
Wàll:Jëfandikukat pt	Kategorio:Vikipediisto pt
Wàll:Jëfandikukat ro	Kategorio:Vikipediisto ro
Wàll:Jëfandikukat sv	Kategorio:Vikipediisto sv
Wàll:Jëfandikukat sw	Kategorio:Vikipediisto sw
Wàll:Jëfandikukat vo	Kategorio:Vikipediisto vo
Wàll:Jëfandikukat fr-3	Kategorio:Vikipediisto fr-3
Wàll:Jëfandikukat it-3	Kategorio:Vikipediisto it-3
Wàll:Jëfandikukat da-1	Kategorio:Vikipediisto da-1
Wàll:Jëfandikukat et-1	Kategorio:Vikipediisto et-1
Wàll:Jëfandikukat nl-1	Kategorio:Vikipediisto nl-1
Wàll:Jëfandikukat pl-1	Kategorio:Vikipediisto pl-1
Wàll:Jëfandikukat vo-1	Kategorio:Vikipediisto vo-1
Wàll:Jëfandikukat ar-1	Kategorio:Vikipediisto ar-1
Wàll:Jëfandikukat fr-4	Kategorio:Vikipediisto fr-4
Wàll:Jëfandikukat it-4	Kategorio:Vikipediisto it-4
Wàll:Jëfandikukat ar-4	Kategorio:Vikipediisto ar-4
Wàll:Jëfandikukat fr-2	Kategorio:Vikipediisto fr-2
Wàll:Jëfandikukat ia-2	Kategorio:Vikipediisto ia-2
Wàll:Jëfandikukat it-2	Kategorio:Vikipediisto it-2
Wàll:Jëfandikukat la-2	Kategorio:Vikipediisto la-2
Wàll:Jëfandikukat nl-2	Kategorio:Vikipediisto nl-2
Wàll:Jëfandikukat cs-N	Kategorio:Vikipediisto cs-D
Wàll:Jëfandikukat fr-N	Kategorio:Vikipediisto fr-D
Wàll:Jëfandikukat it-N	Kategorio:Vikipediisto it-D
Wàll:Jëfandikukat lv-N	Kategorio:Vikipediisto lv-D
Wàll:Jëfandikukat nl-N	Kategorio:Vikipediisto nl-D
Wàll:Jëfandikukat ru-N	Kategorio:Vikipediisto ru-D
Wàll:Jëfandikukat fr-5	Kategorio:Vikipediisto fr-5
Wàll:Jëfandikukat ar-5	Kategorio:Vikipediisto ar-5
Wàll:Jëfandikukat eu-N	Kategorio:Vikipediisto eu-D
Wàll:Jëfandikukat af	Kategorio:Vikipediisto af
Wàll:Jëfandikukat af-1	Kategorio:Vikipediisto af-1
Wàll:Jëfandikukat ar	Kategorio:Vikipediisto ar
Wàll:Jëfandikukat ca	Kategorio:Vikipediisto ca
Wàll:Jëfandikukat ca-4	Kategorio:Vikipediisto ca-4
Wàll:Jëfandikukat cs	Kategorio:Vikipediisto cs
Wàll:Jëfandikukat da	Kategorio:Vikipediisto da
Wàll:Jëfandikukat sk-N	Kategorio:Vikipediisto sk-D
Wàll:Jëfandikukat de	Kategorio:Vikipediisto de
Wàll:Jëfandikukat de-0	Kategorio:Vikipediisto de-0
Wàll:Jëfandikukat de-2	Kategorio:Vikipediisto de-2
Wàll:Jëfandikukat de-3	Kategorio:Vikipediisto de-3
Wàll:Jëfandikukat de-4	Kategorio:Vikipediisto de-4
Wàll:Jëfandikukat de-N	Kategorio:Vikipediisto de-D
Wàll:Jëfandikukat el	Kategorio:Vikipediisto el
Wàll:Jëfandikukat el-1	Kategorio:Vikipediisto el-1
Wàll:Jëfandikukat en-0	Kategorio:Vikipediisto en-0
Wàll:Jëfandikukat en-3	Kategorio:Vikipediisto en-3
Wàll:Jëfandikukat en-5	Kategorio:Vikipediisto en-5
Wàll:Jëfandikukat en-N	Kategorio:Vikipediisto en-D
Wàll:Jëfandikukat eo-1	Kategorio:Vikipediisto eo-1
Wàll:Jëfandikukat eo-2	Kategorio:Vikipediisto eo-2
Wàll:Jëfandikukat eo-3	Kategorio:Vikipediisto eo-3
Wàll:Jëfandikukat es	Kategorio:Vikipediisto es
Wàll:Jëfandikukat es-1	Kategorio:Vikipediisto es-1
Wàll:Jëfandikukat es-2	Kategorio:Vikipediisto es-2
Wàll:Jëfandikukat es-3	Kategorio:Vikipediisto es-3
Wàll:Jëfandikukat es-4	Kategorio:Vikipediisto es-4
Wàll:Jëfandikukat es-N	Kategorio:Vikipediisto es-D
Wàll:Jëfandikukat eu	Kategorio:Vikipediisto eu
Wàll:Jëfandikukat fi	Kategorio:Vikipediisto fi
Wàll:Jëfandikukat fi-N	Kategorio:Vikipediisto fi-D
Wàll:Jëfandikukat fr-0	Kategorio:Vikipediisto fr-0
Wàll:Jëfandikukat hu	Kategorio:Vikipediisto hu
Wàll:Jëfandikukat id-3	Kategorio:Vikipediisto id-3
Wàll:Jëfandikukat io	Kategorio:Vikipediisto io
Wàll:Jëfandikukat io-1	Kategorio:Vikipediisto io-1
Wàll:Jëfandikukat is	Kategorio:Vikipediisto is
Wàll:Jëfandikukat is-1	Kategorio:Vikipediisto is-1
Royuwaay:Jëfandikukat la-3	Ŝablono:Vikipediisto la-3
Wàll:Jëfandikukat pt-3	Kategorio:Vikipediisto pt-3
Wàll:Yonenti Lislaam	Kategorio:Profetoj en islamo
Wàll:Jëfandikukat pl-N	Kategorio:Vikipediisto pl-D
Wàll:Jëfandikukat pt-1	Kategorio:Vikipediisto pt-1
Wàll:Jëfandikukat ka-1	Kategorio:Vikipediisto ka-1
Wàll:Jëfandikukat it	Kategorio:Vikipediisto it
Wàll:Jëfandikukat it-1	Kategorio:Vikipediisto it-1
Wàll:Jëfandikukat ja-1	Kategorio:Vikipediisto ja-1
Wàll:Jëfandikukat ka	Kategorio:Vikipediisto ka
Wàll:Jëfandikukat ko	Kategorio:Vikipediisto ko
Wàll:Jëfandikukat ko-3	Kategorio:Vikipediisto ko-3
Wàll:Jëfandikukat ksh	Kategorio:Vikipediisto ksh
Wàll:Jëfandikukat ksh-N	Kategorio:Vikipediisto ksh-D
Wàll:Jëfandikukat la-1	Kategorio:Vikipediisto la-1
Wàll:Jëfandikukat la-3	Kategorio:Vikipediisto la-3
Royuwaay:NOR	Ŝablono:NOR
Royuwaay:BRA	Ŝablono:BRA
Wàll:Nowembar	Kategorio:Novembro
Wàll:Jëfandikukat ru-1	Kategorio:Vikipediisto ru-1
Royuwaay:Jëfandikukat sv-1	Ŝablono:Vikipediisto sv-1
Wàll:Maars	Kategorio:Marto
Wàll:Sattumbar	Kategorio:Septembro
Wàll:Jëfandikukat lv	Kategorio:Vikipediisto lv
Royuwaay:TNI	Ŝablono:TUN
Wàll:Oktoobar	Kategorio:Oktobro
Royuwaay:Boyutu Babel 2	Ŝablono:Babel kadro 2
Wàll:Xam-xamu nosukaay	Kategorio:Informadiko
Wàll:Géej	Kategorio:Maroj
Wàll:Disambar	Kategorio:Decembro
Wàll:Ut	Kategorio:Aŭgusto
Wàll:Mee	Kategorio:Majo
Wàll:Awril	Kategorio:Aprilo
Royuwaay:Boyutu Babel 5	Ŝablono:Babel kadro 5
Wàll:Angila	Kategorio:Angvilo
Royuwaay:LUX	Ŝablono:LUX
Royuwaay:Coord/dms2dec	Ŝablono:Koord/gmsaldek
Wàll:Endustri	Kategorio:Industrio
Wàll:Ndox	Kategorio:Akvo
Wàll:Taariixu Aamerig	Kategorio:Historio de Ameriko
Wàll:Xay	Kategorio:Civilizoj
Wàll:Belaarus	Kategorio:Belorusio
Royuwaay:MCO	Ŝablono:MCO
Royuwaay:Jëfandikukat pt-4	Ŝablono:Vikipediisto pt-4
Royuwaay:Jëfandikukat ru-2	Ŝablono:Vikipediisto ru-2
Royuwaay:Jëfandikukat es-3	Ŝablono:Vikipediisto es-3
Royuwaay:Jëfandikukat ko-3	Ŝablono:Vikipediisto ko-3
Wàll:Jëfandikukat pt-0	Kategorio:Vikipediisto pt-0
Wàll:Jëfandikukat pt-2	Kategorio:Vikipediisto pt-2
Wàll:Jëfandikukat pt-4	Kategorio:Vikipediisto pt-4
Wàll:Jëfandikukat pt-5	Kategorio:Vikipediisto pt-5
Wàll:Jëfandikukat pt-N	Kategorio:Vikipediisto pt-D
Wàll:Jëfandikukat ro-2	Kategorio:Vikipediisto ro-2
Wàll:Jëfandikukat ru	Kategorio:Vikipediisto ru
Wàll:Jëfandikukat ru-2	Kategorio:Vikipediisto ru-2
Wàll:Jëfandikukat ru-4	Kategorio:Vikipediisto ru-4
Wàll:Jëfandikukat sk-1	Kategorio:Vikipediisto sk-1
Wàll:Jëfandikukat sv-1	Kategorio:Vikipediisto sv-1
Wàll:Jëfandikukat sv-N	Kategorio:Vikipediisto sv-D
Wàll:Jëfandikukat tr	Kategorio:Vikipediisto tr
Wàll:Jëfandikukat tr-N	Kategorio:Vikipediisto tr-D
Wàll:Jëfandikukat yi	Kategorio:Vikipediisto yi
Wàll:Jëfandikukat yi-2	Kategorio:Vikipediisto yi-2
Royuwaay:IRL	Ŝablono:IRL
Royuwaay:ALB	Ŝablono:ALB
Royuwaay:AND	Ŝablono:AND
Royuwaay:ARG	Ŝablono:ARG
Royuwaay:ARM	Ŝablono:ARM
Royuwaay:Jëfandikukat ca	Ŝablono:Vikipediisto ca
Royuwaay:BUR	Ŝablono:BDI
Royuwaay:BGR	Ŝablono:BGR
Royuwaay:BHS	Ŝablono:BHS
Royuwaay:BLR	Ŝablono:BLR
Royuwaay:KOD	Ŝablono:CIV
Royuwaay:CYP	Ŝablono:CYP
Wàll:Melosuufug Tugal	Kategorio:Geografio de Eŭropo
Royuwaay:Xóotal	Ŝablono:Ĉefartikolo
Royuwaay:Coord/dec2dms/dm	Ŝablono:Koord/dekalgms/gm
Royuwaay:EST	Ŝablono:EST
Royuwaay:RUS	Ŝablono:RUS
Royuwaay:TOG	Ŝablono:TGO
Royuwaay:AUT	Ŝablono:AUT
Royuwaay:CHL	Ŝablono:CHL
Royuwaay:PD-self	Ŝablono:PD-mem
Royuwaay:CHN	Ŝablono:CHN
Wàll:Angolaa	Kategorio:Angolo
Wàll:Bene	Kategorio:Benino
Wàll:Botswana	Kategorio:Bocvano
Wàll:Burkinaa Faaso	Kategorio:Burkino
Wàll:Buruundi	Kategorio:Burundo
Wàll:Jibuti	Kategorio:Ĝibutio
Wàll:Gineg yamoo	Kategorio:Ekvatora Gvineo
Wàll:Eritere	Kategorio:Eritreo
Wàll:Gaboŋ	Kategorio:Gabono
Wàll:Gàmbi	Kategorio:Gambio
Wàll:Kamerun	Kategorio:Kameruno
Wàll:Keeñaa	Kategorio:Kenjo
Wàll:Komoor	Kategorio:Komoroj
Wàll:Libi	Kategorio:Libio
Wàll:Madagaskaar	Kategorio:Madagaskaro
Wàll:Malawi	Kategorio:Malavio
Wàll:Marok	Kategorio:Maroko
Wàll:Gànnaar	Kategorio:Maŭritanio
Wàll:Mosambik	Kategorio:Mozambiko
Wàll:Namibi	Kategorio:Namibio
Wàll:Ruwandaa	Kategorio:Ruando
Royuwaay:IRQ	Ŝablono:IRQ
Wàll:Melosuufug Afrig gu Bëj-saalum	Kategorio:Geografio de Sud-Afriko
Royuwaay:Jëfandikukat ar-4	Ŝablono:Vikipediisto ar-4
Wàll:Melosuufug Alseeri	Kategorio:Geografio de Alĝerio
Royuwaay:Jëfandikukat li-1	Ŝablono:Vikipediisto li-1
Royuwaay:Jëfandikukat pt	Ŝablono:Vikipediisto pt
Royuwaay:Jëfandikukat ro-2	Ŝablono:Vikipediisto ro-2
Royuwaay:Jëfandikukat ru-1	Ŝablono:Vikipediisto ru-1
Royuwaay:Jëfandikukat sk-1	Ŝablono:Vikipediisto sk-1
Royuwaay:Jëfandikukat zh-1	Ŝablono:Vikipediisto zh-1
Royuwaay:Jëfandikukat zh-2	Ŝablono:Vikipediisto zh-2
Royuwaay:Jëfandikukat zh-4	Ŝablono:Vikipediisto zh-4
Wàll:Saambi	Kategorio:Zambio
Wàll:Senegaal	Kategorio:Senegalo
Wàll:Seysel	Kategorio:Sejŝeloj
Wàll:Simbaawee	Kategorio:Zimbabvo
Wàll:Melosuufug Kamerun	Kategorio:Geografio de Kameruno
Wàll:Somali	Kategorio:Somalio
Wàll:Cadd	Kategorio:Ĉado
Wàll:Ugandaa	Kategorio:Ugando
Wàll:Réewum Diggu Afrig	Kategorio:Centr-Afrika Respubliko
Wàll:Filipiin	Kategorio:Filipinoj
Wàll:Jëfandikukat nl	Kategorio:Vikipediisto nl
Wàll:Jëfandikukat no-2	Kategorio:Vikipediisto no-2
Wàll:Jëfandikukat no	Kategorio:Vikipediisto no
Wàll:Jëfandikukat zh-1	Kategorio:Vikipediisto zh-1
Wàll:Jëfandikukat zh-4	Kategorio:Vikipediisto zh-4
Wàll:Jëfandikukat zh-2	Kategorio:Vikipediisto zh-2
Wàll:Doolerandu	Kategorio:Mekaniko
Wàll:Armeeni	Kategorio:Armenio
Wàll:Bahrayni	Kategorio:Barejno
Wàll:Siri	Kategorio:Sirio
Wàll:Melosuufug Senegaal	Kategorio:Geografio de Senegalo
Wàll:Jeoorji	Kategorio:Kartvelio
Wàll:Jamayka	Kategorio:Jamajko
Wàll:Kataar	Kategorio:Kataro
Wàll:Maldiif	Kategorio:Maldivoj
Wàll:Nepaal	Kategorio:Nepalo
Wàll:Omaan	Kategorio:Omano
Wàll:Usbekistaan	Kategorio:Uzbekio
Wàll:Taariixu Tugal	Kategorio:Historio de Eŭropo
Wàll:San Marino	Kategorio:San-Marino
Wàll:Jordaani	Kategorio:Jordanio
Wàll:Nikaraaguwa	Kategorio:Nikaragvo
Wàll:Bosni	Kategorio:Bosnio kaj Hercegovino
Wàll:Noorwees	Kategorio:Norvegio
Wàll:Paraguwaay	Kategorio:Paragvajo
Wàll:Liechtenstein	Kategorio:Liĥtenŝtejno
Wàll:Onduras	Kategorio:Honduro
Wàll:Uruguwaay	Kategorio:Urugvajo
Wàll:Andoor	Kategorio:Andoro
Wàll:Seerbi	Kategorio:Serbio
Wàll:Salbadoor	Kategorio:Salvadoro
Wàll:Ayiti	Kategorio:Haitio
Wàll:Ekwadoor	Kategorio:Ekvadoro
Wàll:Yaman	Kategorio:Jemeno
Wàll:Peru	Kategorio:Peruo
Wàll:Boliibi	Kategorio:Bolivio
Wàll:Albaani	Kategorio:Albanio
Wàll:Monaako	Kategorio:Monako
Wàll:Cosaan	Kategorio:Tradicioj
Wàll:Jén	Kategorio:Fiŝoj
Wàll:Làkki Afrig	Kategorio:Lingvoj de Afriko
Wàll:Dëkki Benesuwela	Kategorio:Urboj de Venezuelo
Royuwaay:ESP	Ŝablono:ESP
Wàll:Rab	Kategorio:Bestoj
Wàll:Nauru	Kategorio:Nauro
Wàll:Antigua ak Barbuda	Kategorio:Antigvo-Barbudo
Wàll:Guyaana	Kategorio:Gujano
Wàll:Koloombi	Kategorio:Kolombio
Wàll:Hip Hop	Kategorio:Hiphopo
Wàll:Alxuraan	Kategorio:Korano
Wàll:Mbëjtekkaaral	Kategorio:Elektrostatiko
Wàll:Mbëj	Kategorio:Elektro
Wàll:Jëfandikukat pl	Kategorio:Vikipediisto pl
Royuwaay:Coord/dec2dms/d	Ŝablono:Koord/dekalgms/g/dokumentado
Wàll:Oseyaani	Kategorio:Oceanio
Wàll:Montenegro	Kategorio:Montenegro
Wàll:Moto	Kategorio:Veturiloj
Wàll:Dëkki Senegaal	Kategorio:Urboj de Senegalo
Wàll:Làkki senegaal	Kategorio:Lingvoj de Senegalo
Ngelaw	Aero
Wàll:Koom-koomu Afrig	Kategorio:Ekonomio de Afriko
Royuwaay:UGA	Ŝablono:UGA
Royuwaay:UZB	Ŝablono:UZB
Wàll:Jëfandikukat de-5	Kategorio:Vikipediisto de-5
Royuwaay:Coord/dec2dms/d1	Ŝablono:Koord/dekalgms/g1
Royuwaay:Coord/dec2dms/dms	Ŝablono:Koord/dekalgms/gms
