Afrik	Afriko
322 (almanak jilyen)	322
Fàgo (Dakota dinò)	Fargo (Norda Dakoto)
386 (almanak jilyen)	386
Founafouti	Funafutio
374 (almanak jilyen)	374
380 (almanak jilyen)	380
Tok pisin	Tokpisino
Bè	Butero
Teyoloji	Teologio
Mossad	Mosado
136 (almanak jilyen)	136
Linus Torvalds	Linus Torvalds
Pòtoprens (komin)	Portoprinco
Międzyrzec Podlaski	Międzyrzec Podlaski
Levanjil	Evangelio
Astroloji	Astrologio
Savon	Sapo
New Orleans, Lwizyana	Nov-Orleano
Philippe Auguste	Filipo la 2-a (Francio)
Saint-Dié-des-Vosges	Saint-Dié-des-Vosges
Elikoptè	Helikoptero
Ipopotam	Amfibia hipopotamo
382 (almanak jilyen)	382
Bela Lugosi	Béla Lugosi
342 (almanak jilyen)	342
373 (almanak jilyen)	373
372 (almanak jilyen)	372
Dwèt	Fingro
Albert Camus	Albert Camus
Sab	Sablo
Woz (flè)	Rozo
Kinstòn	Kingstono
Lewopa	Leopardo
Rinoseròs	Rinoceredoj
Mitoloji grèk	Helena mitologio
Dayton, Ohio	Dayton (Ohio)
Somaliland	Somalilando
Reyon X	Ikso-radioj
Sen Domeng	Sankta Domingo
Tequixquiac	Tequixquiac
Oklahoma City, Oklahoma	Oklahomaurbo (Oklahomo)
Liksanbou (menm non)	Luksemburgo (apartigilo)
Papay	Papajo
375 (almanak jilyen)	375
Benjamin Franklin	Benjamin Franklin
Chou	Blanka brasiko
Agatha Christie	Agatha Christie
Lis kapital	Listo de ĉefurboj
Abitid se vis	Proverbo
Wilhelm Conrad Röntgen	Wilhelm Conrad Röntgen
Kowèt	Kuvajturbo
Glas (pou gade)	Spegulo
387 (almanak jilyen)	387
Kolonbo	Kolombo (urbo)
Bichlamar	Bislama lingvo
Fenèt	Fenestro
Gwòt	Kaverno
Glasye kontinantal	Glaĉero
Liy Nimewo	Nombra akso
Boise (Aydawo)	Boise (Idaho)
Las (maladi)	Astmo
Bato	Boato
Lexus	Lexus
Banbou	Bambuo
Kongo (menm non)	Kongo
Interlingua	Interlingvao
Mazda	Mazda
Minneapolis, Minnesota	Minneapolis
Sòl	Grundo
Beyonce	Beyoncé Knowles
Brijtòn	Briĝurbo
Thanh Hoa	Thanh Hoa
Puerto Montt	Puerto Montt
Vwayèl	Vokalo
Apiya	Apio
Sen Jòns	Sankta Johano (Antigvo-Barbudo)
Rozo	Roseo
Rèv	Sonĝo
Jezwit	Jezuitoj
Rat	Rato
Farin	Faruno
Lonjitid	Longitudo
Guglielmo Marconi	Guglielmo Marconi
Anyon	Jono
Milenè	Jarmilo
Pò Moresbi	Port-Moresbo
Reyaksyon chimik	Kemia reakcio
Layè	Hago
Òd (biyoloji)	Ordo (biologio)
Ben Tre	Ben Tre
Nomanklati binomyal	Dunoma nomsistemo
La vizyèl	Vidaj artoj
Jan	Evangelio laŭ Johano
Pòt	Pordo
Arancón	Arancón
Grip pòsin	Porka gripo
Zong	Ungo
Alpinis	Montogrimpado
Ozòn	Ozono
Lachas	Ĉasado
Glif	Signobildo
12 (nonm)	12 (nombro)
Figi	Vizaĝo
Tallahassee, Florid	Tallahassee (Florido)
Endepandans	Sendependeco
Bismàk, Dakota Dinò	Bismarck (Norda Dakoto)
30 fevriye	30-a de februaro
Dwat	Rekto
331 (almanak jilyen)	331
11 (nonm)	11 (nombro)
365 (almanak jilyen)	365
13 (nonm)	13 (nombro)
Nwayo	Atomkerno
Pye zaboka	Avokado
379 (almanak jilyen)	379
Vag	Ondo
Globil wouj	Eritrocito
Ekri	Skribo
Cleveland, Ohio	Klevlando
John Michael Talbot	John Michael Talbot
Klaus Ebner	Klaus Ebner
Naypyidaw	Nepjido
100 (nonm)	100 (nombro)
Jenou	Genuo
Zabriko	Abrikotarbo
Pierre Curie	Pierre Curie
Bouya	Nebulo
Alimèt	Alumeto
Klas (biyoloji)	Klaso (biologio)
Poligòn	Plurlatero
Mache	Merkato
Campora San Giovanni	Campora San Giovanni
Swa	Silko
Lame	Armeo
Demografi	Demografio
Kwomozòm	Kromosomo
Alyaj	Alojo
Bălţi	Bălți
Pò Vila	Portvilao
Ekosistèm	Ekologia sistemo
Auckland Grammar School	Auckland Grammar School
Milwaukee, Wisconsin	Milvokio
Alg	Algo
Etwa	Markolo
Patat	Batato
Yangon	Jangono
Saint Louis, Missouri	Sankta Luiso
Konsòn	Konsonanto
McDonald's	McDonald's
Lewis Carroll	Lewis Carroll
Filòm	Filumo
Anje	Angers
Twazyèm lwa Newton	Leĝoj de Newton pri movo
Columbia, Kawolin disid	Columbia (Suda Karolino)
Milyon	Miliono
14 (nonm)	14 (nombro)
Melon dlo	Akvomelono
Kizin	Kuirado
15 (nonm)	15 (nombro)
18 (nonm)	18 (nombro)
Helena, Montana	Helena (Montano)
Mayitid	Skalo de Richter
Universidad del Bío-Bío (Chili)	Universidad del Bío-Bío
Souva	Suvo
Noukou'alofa	Nukualofo
Bazilik	Bazilio
Lazè	Lasero
Lafyèv	Febro
Teide	Tejdo
Cheyenne, Wyoming	Cheyenne
Pò of Espay	Portospeno
Richard Feynman	Richard Feynman
Espesyasyon	Speciigo
Rach	Hakilo
Anchorage (Alaska)	Anchorage
Zouti	Laborilo
Presyon	Premo
Burbank, Kalifòni	Burbank (Kantono Los-Anĝeleso)
Mitokondri	Mitokondrio
Christiaan Huygens	Christiaan Huygens
Simityè	Tombejo
Des Moines, Iowa	Des Moines (Iovao)
Mario Vargas Llosa	Mario Vargas Llosa
Radio Studio 54 Network	Radio Studio 54 Network
19 (nonm)	19 (nombro)
Ágreda	Ágreda
Irondèl	Hirundo
Ligaman	Ligamento
Deseni	Jardekoj
Lik	Evangelio laŭ Luko
Concepción (provens)	Koncepciono (provinco)
Bweson	Trinkaĵo
Plaj	Strando
Will Smith	Will Smith
Elips	Elipso (matematiko)
17 (nonm)	17 (nombro)
Pyèv	Polpo
Lav	Lafo
Levye	Levilo
Lapli asid	Acida pluvo
Maraton	Maratono
Issaquah, Washington	Issaquah (Vaŝingtonio)
16 (nonm)	16 (nombro)
Nwayo (selil)	Ĉelkerno
David Gross	David Gross
20 (nonm)	20 (nombro)
Akdèzapot	Agoj de la Apostoloj
Norman, Oklahoma	Norman
Buffalo, New York	Bufalo
Large Hadron Collider	Granda Koliziigilo de Hadronoj
Fosil	Fosilio
Twoposfè	Troposfero
Pierre, Dakota disid	Pierre (Suda Dakoto)
Grenn	Semo (planto)
Krab	Krabo
Sizo	Tondilo
Carson City, Nevada	Carsonurbo
Anna Maria Jopek	Anna Maria Jopek
Werner Karl Heisenberg	Werner Heisenberg
Onyara	Honiaro
PH	PH (kemia parametro)
Topeka, Kansas	Topeka (Kansaso)
Larouze	Roso
Lozanj	Rombo
Heinrich Rudolf Hertz	Heinrich Rudolf Hertz
Henri Becquerel	Antoine Henri Becquerel
Elan	Movokvanto
Gouanjou	Kŭangĵuo
John Dalton	John Dalton
Bastè	Bastero
Longèdonn	Ondolongo
Kurt Gödel	Kurt Gödel
Lantikite	Antikva epoko
Rasin	Radiko (planto)
Lokwat	Mespilarbo
Mòl	Molo
Sen Jòj	Sankta Georgo (Grenado)
Efè tèmik	Forceja efiko
Julia Gillard	Julia Gillard
David Hilbert	David Hilbert
Parapli	Ombrelo
Hendrik Lorentz	Hendrik Antoon Lorentz
Kastri	Kastrizo
Ipotèz	Hipotezo
Kansas City, Missouri	Kansasurbo (Misurio)
Sri Jayawardenapura	Sri Jayawardenapura Kotte
Democritus	Demokrito de Abdero
Flaman	Flamengo
Talcahuano	Talcahuano
Jean-Marie Gustave Le Clezio	Jean-Marie Gustave Le Clézio
Apokalips	Apokalipso de Johano
Wòch igne	Magmorokaĵo
Denzel Washington	Denzel Washington
Bonda	Pugo
Kabann	Lito
Travay (fizik)	Laboro (fiziko)
Ribozòm	Ribosomo
Magma	Magmo
Bernhard Riemann	Bernhard Riemann
Ajil	Argilo
Sebastian Vettel	Sebastian Vettel
40 (nonm)	40 (nombro)
Lenn	Lano
Pwa nouris	Fazeolo
Nebilez	Nebulozo
Lit	Lukto
Konbistib	Brulaĵo
Legliz Jezikri pou Sen Dènye Jou yo	Eklezio de Jesuo Kristo de la Sanktuloj de la Lastaj Tagoj
Gri	Griza
Zepis	Spico
Twopik	Tropikoj
Lama	Lamo
Koud (non)	Kubuto
Ibrid	Hibrido
Olympia (Wachintòn)	Olympia (Vaŝingtonio)
Paliki	Palikiro
Byosfè	Biosfero
Bab	Barbo
30 (nonm)	30 (nombro)
Aewopò Long Thanh	Flughaveno Long Thanh
Mitasyon	Mutacio
Lwil	Oleo
Alèji	Alergio
Sansi	Hirudo
1000 (nonm)	1000 (nombro)
Emoglobin	Hemoglobino
Newòn	Neŭrono
Sechrès	Trosekeco
Pwav	Nigra pipro
Aïkido	Aikido
Kevin Rudd	Kevin Rudd
Giurtelecu Şimleului	Giurtelecu Șimleului
Thien Duong	Kaverno Thien Duong
Klowofil	Klorofilo
Cincinnati, Ohio	Cincinnati
Dèlta	Riverdelto
Omaha, Nebraska	Omaha (Nebrasko)
Clint Eastwood	Clint Eastwood
Toundra	Tundro
Fresno, Kalifòni	Fresno
Bazalt	Bazalto
Kònèy	Korvo
Robert Boyle	Robert Boyle
Apòt	Apostolo
Richmond, Vijini	Richmond (Virginio)
Jimnastik	Gimnastiko
Etnoloji	Etnologio
Bra	Brako
Amedeo Avogadro	Amedeo Avogadro
Seleksyon natirèl	Natura selektado
Pwi	Puto
Zou	Bestoĝardeno
Dodo	Dido
Echèl tan jeyolojik	Geologia temposkalo
Kristal	Kristalo
Kotonou	Kotonuo
Anviwònman	Medio
Zwazo mouch	Kolibro
Idwokabi	Hidrokarbido
Louisville, Kentucky	Louisville
Sousi	Brovo
Tranblemanntè 12 janvye 2010 nan peyi Ayiti	Tertremo en Haitio en 2010
Madison, Wisconsin	Madison (Viskonsino)
Kodenn	Meleagro
Envètebre	Senvertebruloj
Salem, Oregon	Salem (Oregono)
Prin	Pruno (frukto)
Eklips linè	Luna eklipso
Inias Loyola	Ignaco Lojola
Rudolf Mössbauer	Rudolf Ludwig Mössbauer
Paskal	Paskalo
Teokrasi	Teokratio
Hans Christian Orsted	Hans Christian Ørsted
Lyezon chimik	Kemia ligo
Chalè	Varmo
Pierre-Simon Laplace	Pierre-Simon Laplace
Moulen	Muelejo
Epidemik	Epidemio
Vektè	Vektoro
Eduardo Galeano	Eduardo Galeano
Lapè (gen pè)	Timo
Son Doong	Kaverno Son Doong
Tulsa, Oklahoma	Tulsa
Antwopi	Entropio
Seramik	Ceramikaĵo
Fatra	Rubo
Flèch	Sago
Òganèl	Organeto
Chan elektrik	Elektra kampo
Enèji sinetik	Kineta energio
Kwantòm	Kvantumo
Charles Babbage	Charles Babbage
Fidji Hindi	Fiĝa hinda lingvo
Pèp Izrayèl la Mize	Muzeo de Israelo
Robert Hooke	Robert Hooke
Bag	Fingroringo
Jou (Figi)	Vango
Divèsite byolojik	Biodiverseco
Priyon	Priono
Estyè	Estuaro
Fay (jewoloji)	Faŭlto
Lucretius	Lukrecio
Santa Monica, Kalifòni	Santa Monica
Vè (bèt)	Vermo
Klowoplast	Kloroplasto
Palo Alto, Kalifòni	Palo Alto
Demi-vi	Duoniĝa tempo
Sistèm nève santral	Centra nerva sistemo
Joseph John Thomson	Joseph John Thomson
Green Bay, Wisconsin	Green Bay (Viskonsino)
Paul Dirac	Paul Dirac
Nadine Gordimer	Nadine Gordimer
Charleston, Kawolin disid	Charleston (Suda Karolino)
Bwokoli	Brokolo
Mant	Mento
339 (almanak jilyen)	339
340 (almanak jilyen)	340
354 (almanak jilyen)	354
356 (almanak jilyen)	356
358 (almanak jilyen)	358
361 (almanak jilyen)	361
363 (almanak jilyen)	363
364 (almanak jilyen)	364
368 (almanak jilyen)	368
369 (almanak jilyen)	369
370 (almanak jilyen)	370
371 (almanak jilyen)	371
Modèl:Commonscat	Ŝablono:Commonscat
376 (almanak jilyen)	376
377 (almanak jilyen)	377
378 (almanak jilyen)	378
383 (almanak jilyen)	383
384 (almanak jilyen)	384
388 (almanak jilyen)	388
Moman tòsyon	Torda momanto
389 (almanak jilyen)	389
390 (almanak jilyen)	390
391 (almanak jilyen)	391
392 (almanak jilyen)	392
393 (almanak jilyen)	393
394 (almanak jilyen)	394
395 (almanak jilyen)	395
396 (almanak jilyen)	396
397 (almanak jilyen)	397
398 (almanak jilyen)	398
399 (almanak jilyen)	399
23 (nonm)	23 (nombro)
Latibonit (rivyè)	Artibonite (rivero)
Pouli	Takelo
Kadav	Kadavro
Nonm premye	Primo
San Luis Obispo, Kalifòni	San Luis Obispo (Kalifornio)
Cambridge, Massachusetts	Kembriĝo (Masaĉuseco)
Quincy, Massachusetts	Quincy (Masaĉuseco)
New Haven, Connecticut	New Haven (Konektikuto)
Nantucket, Massachusetts	Nantucket
Springfield, Massachusetts	Springfield (Masaĉuseco)
Lowell, Massachusetts	Lowell (Masaĉuseco)
Stamford, Connecticut	Stamford (Konektikuto)
Bridgeport, Connecticut	Bridgeport (Konektikuto)
Waterbury, Connecticut	Waterbury (Konektikuto)
Worcester, Massachusetts	Worcester (Masaĉuseco)
440 (almanak jilyen)	440
517 (almanak jilyen)	517
572 (almanak jilyen)	572
Waltham, Massachusetts	Waltham (Masaĉuseco)
Portsmouth, New Hampshire	Portsmouth (Nov-Hampŝiro)
Fall River, Massachusetts	Fall River (Masaĉuseco)
Somerville, Massachusetts	Somerville (Masaĉuseco)
Rochester, New York	Roĉestro (Nov-Jorkio)
Irvine, Kalifòni	Irvine
Fremont, Kalifòni	Fremont (Kalifornio)
Scottsdale, Arizona	Scottsdale (Arizono)
Reno, Nevada	Reno (Nevado)
Norfolk, Vijini	Norfolko (Virginio)
Orlando, Florid	Orlando
Saint Petersburg, Florid	Sankt-Peterburgo (Florido)
Toledo, Ohio	Toledo (Ohio)
Stockton, Kalifòni	Stockton (Kalifornio)
Lexington, Kentucky	Leksingtono (Kentukio)
Corpus Christi, Texas	Corpus Christi (Teksaso)
Riverside, Kalifòni	Riverside (Kalifornio)
Santa Ana, Kalifòni	Santa Ana (Kalifornio)
Aurora, Kolorado	Aurora (Koloradio)
Anaheim, Kalifòni	Anaheim
Tampa, Florid	Tampa
Bakersfield, Kalifòni	Bakersfield
Colorado Springs, Kolorado	Colorado Springs
Vijini Beach, Vijini	Virginia Beach
Mesa, Arizona	Mesa
Wichita, Kansas	Wichita (Kansaso)
Henderson, Nevada	Henderson (Nevado)
Fort Wayne, Indiana	Fort Wayne
Chula Vista, Kalifòni	Chula Vista
Chandler, Arizona	Chandler (Arizono)
Lubbock, Texas	Lubbock
Garland, Texas	Garland (Teksaso)
Hialeah, Florid	Hialeah
Laj glas	Glaciepoko
Touris	Turismo
Adra (Almería)	Adra
Eolyèn	Ventoturbino
Viktwa	Venko
Garden Grove, Kalifòni	Garden Grove (Kalifornio)
Koyefisyan	Koeficiento
Siv	Ŝenoprazo
Punta Arenas	Punta Arenas
Mesi	Mesio
Glendale, Arizona	Glendale (Arizono)
Gilbert, Arizona	Gilbert (Arizono)
Tempe, Arizona	Tempe (Arizono)
Peoria, Arizona	Peoria (Arizono)
Surprise, Arizona	Surprise (Arizono)
Plano, Texas	Plano (Teksaso)
Irving, Texas	Irving (Teksaso)
Amarillo, Texas	Amarillo
Brownsville, Texas	Brownsville (Teksaso)
Grand Prairie, Texas	Grand Prairie (Teksaso)
Pasadena, Texas	Pasadena (Teksaso)
Mesquite, Texas	Mesquite (Teksaso)
McKinney, Texas	McKinney (Teksaso)
McAllen, Texas	McAllen
Maladi viris Ebola	Ebola malsano
West Jordan, Utah	Okcidenta Jordan
Krapo	Anuro
Vòl (sa fè yon vòlè)	Rabo
Salem, Massachusetts	Salem (Masaĉuseco)
Malden, Massachusetts	Maldeno (Masaĉuseco)
Osmoz	Osmozo
Hannes Olof Gösta Alfvén	Hannes Alfvén
Soria provens	Provinco Sorio
Ж	Ĵe (cirila alfabeto)
Kategori:Prezidan an Polòy	Kategorio:Prezidantoj de Pollando
Kolektivite tèritoryal	Administra divido
Lise Meitner	Lise Meitner
El Royo	El Royo
Philipp Lenard	Philipp Lenard
Otto Hahn	Otto Hahn
James Franck	James Franck
Max von Laue	Max von Laue
Wilhelm Wien	Wilhelm Wien
Otto Stern	Otto Stern
Daniel Gabriel Fahrenheit	Gabriel Daniel Fahrenheit
Karl Ferdinand Braun	Ferdinand Braun
Johannes Stark	Johannes Stark
Emanuel Lasker	Emanuel Lasker
Maria Goeppert Mayer	Maria Goeppert-Mayer
Karl Weierstrass	Karl Weierstrass
Peter Grünberg	Peter Grünberg
Asyèt	Telero
August Ferdinand Möbius	August Ferdinand Möbius
Truong Tan Sang	Truong Tan Sang
Sweet Micky	Michel Martelly
Nefwon	Nefrono
Jean-Baptiste Biot	Jean-Baptiste Biot
To mòtalite	Mortindico
Edmund Landau	Edmund Landau
Max Born	Max Born
Èbivò	Herbovorulo
Aewopò Sao Vang	Flughaveno Sao Vang
Columbia, Missouri	Columbia (Misurio)
Hermann von Helmholtz	Hermann von Helmholtz
Gottlob Frege	Gottlob Frege
Gustav Robert Kirchhoff	Gustav Robert Kirchhoff
Meteyorit	Meteorŝtono
Chandrasekhara Venkata Raman	Chandrasekhara Venkata Raman
Ke	Vosto
Asid gra	Grasacido
Vwayaj	Vojaĝo
Adam Ries	Adam Ries
Peter Andreas Hansen	Peter Andreas Hansen
Lis depatman Ayiti	Departementoj de Haitio
Barranquilla	Barankilo
Obsèvatwa	Observatorio
Heike Kamerlingh Onnes	Heike Kamerlingh Onnes
John Cockcroft	John Douglas Cockcroft
Roy Jay Glauber	Roy J. Glauber
Elektwoliz	Elektrolizo
Friedrich Ernst Dorn	Friedrich Ernst Dorn
Adam Lonicer	Adam Lonitzer
Lorenz Christoph Mizler	Lorenz Christoph Mizler
Bil	Galo
Wolfgang Ernst Pauli	Wolfgang Pauli
Collinsville (Alabama)	Collinsville (Alabamo)
Tayiga	Tajgo
Horst Ludwig Störmer	Horst Ludwig Störmer
Ernst August Friedrich Ruska	Ernst Ruska
Alfred Kastler	Alfred Kastler
Refraksyon	Refrakto
Motè elektrik	Elektromotoro
August Krönig	August Krönig
Rejyon montaye	Altebenaĵo
Pierre de Fermat	Pierre de Fermat
Friedrich Bessel	Friedrich Bessel
Serebwòm	Grandcerbo
Ernst Karl Abbe	Ernst Abbe
Regiomontanus	Regiomontanus
Georg Cantor	Georg Cantor
Efè Doppler	Efiko de Doppler
Sistèm oktal	Okuma sistemo
Walther Bothe	Walther Bothe
Richard Dedekind	Julius Wilhelm Richard Dedekind
Wilhelm Weber	Wilhelm Eduard Weber
Hagen Kleinert	Hagen Kleinert
Johannes Hans Daniel Jensen	Hans Jensen
Pavel Alekseyevich Cherenkov	Pavel Ĉerenkov
Arnold Sommerfeld	Arnold Sommerfeld
Jacob Milich	Jakob Milich
Victor Francis Hess	Victor Franz Hess
Elektwonegativite	Elektronegativeco
Pieter Zeeman	Pieter Zeeman
Rou (plant)	Strato
Mike Tyson	Mike Tyson
Waldron, Arkansas	Waldron (Arkansaso)
Nulato (Alaska)	Nulato
Antikò	Antikorpo
Warrior (Alabama)	Warrior (Alabamo)
Sibstans	Kemiaĵo
Fairbanks (Alaska)	Fairbanks (Alasko)
Plasma (biyoloji)	Sangoplasmo
Oligachi	Oligarkio
Nogales, Arizona	Nogales (Arizono)
Sitka (Alaska)	Sitka
Mountain Brook (Alabama)	Mountain Brook (Alabamo)
Van solè	Suna vento
Flagstaff, Arizona	Flagstaff (Arizono)
Huntsville (Alabama)	Huntsville (Alabamo)
Birmingham (Alabama)	Birmingham (Alabamo)
Kòlè	Kolero
Mobile (Alabama)	Mobile
Sitoplas	Citoplasmo
Retikilòm andoplasmik	Endoplasma retikulo
Selma (Alabama)	Selma (Alabamo)
25 (nonm)	25 (nombro)
24 (nonm)	24 (nombro)
Kouch ozòn	Ozona tavolo
60 (nonm)	60 (nombro)
Foujè	Filiko
Chadèk	Pampelmuso
Ewozyon	Eroziiĝemo
Petersburg (Alaska)	Peterburgo (Alasko)
Pye lalwa	Aloo vera
Syans imèn	Homa scienco
Selil elektwochimik	Elektrokemia ĉelo
Dandwokwonoloji	Dendrokronologio
Joseph-Louis Lagrange	Joseph-Louis Lagrange
Boutèy	Botelo
Tamaren	Tamarindo (arbo)
Seliloz	Celulozo
Pericles	Periklo
Mangous	Mungotedoj
Shreveport, Lwizyana	Shreveport (Luiziano)
Kalalou	Gombo
Alèl	Alelo
Sikui entegre	Integra cirkvito
Lingua franca	Lingvafrankao
Adenozin trifosfat	Adenozina trifosfato
James Chadwick	James Chadwick
Donald Arthur Glaser	Donald A. Glaser
Dejne	Matenmanĝo
Gran-moun	Plenkreskeco
Retorik	Retoriko
Plim	Plumo
Sik dlo	Akvocirkulado
Henri Poincaré	Henri Poincaré
Polimè	Polimero
Sistèm desimal	Dekuma sistemo
Epina	Legoma spinaco
Melon frans	Melono (frukto)
Fòd Fwans	Fort-de-France
Montay plwaye	Falto
Assassin	Atenco
Charles-Augustin de Coulomb	Charles-Augustin de Coulomb
Chini	Raŭpo
Gresham, Oregon	Gresham (Oregono)
Fouchèt	Forko
Kiyè	Kulero
Alotwopi	Alotropo
Doulè	Doloro
Kòn	Korno (anatomio)
Temuco	Temuco
Katalizè	Katalizilo
К	Ka (cirila alfabeto)
П	Pe (cirila alfabeto)
Fwotman	Frotado
И	I (cirila alfabeto)
Felipe Massa	Felipe Massa
Feria del Sol (Mérida)	Feria del Sol (Mérida)
Oksidasyon	Redoksa reakcio
Manton	Mentono
Non	Nomo
Akoustik	Akustiko
Tradisyon	Tradicio
Sistèm ekzadesimal	Deksesuma sistemo
Politisyen	Politikisto
Chif	Cifero
Egzagòn	Seslatero
Manyòk dous	Manioko
Fòmil chimik	Kemia formulo
Lwa koulon	Kulomba leĝo
Srinivasa Ramanujan	Srinivasa Aiyangar Ramanujan
Miskad	Muskato
Idwosfè	Hidrosfero
Leti	Kultiva laktuko
26 (nonm)	26 (nombro)
Litosfè	Litosfero
Lord Rayleigh	John William Strutt Rayleigh
Loray	Tondro
Sourit	Hejma muso
Angrè	Sterko
Louis-Victor de Broglie	Louis de Broglie
Pous (anatomi)	Dikfingro
Seyismolog	Tertremoscienco
Kaza	Kvazaro
Wonm	Rumo
Izin	Fabriko
Pyè presye	Gemo
Altewofili	Halterlevo
Jezè	Gejsero
Afeli	Apsido
Aleksandr Prokhorov	Aleksandr Proĥorov
Nikolay Basov	Nikolaj Basov
Savannah, Georgie	Savannah
Krikèt	Lokusto
Tib katodik	Bildotubo
Fritjof Capra	Fritjof Capra
Christian Doppler	Christian Doppler
Georg von Peuerbach	Georg von Peuerbach
Ludwig Boltzmann	Ludwig Boltzmann
Alonzo Church	Alonzo Church
Claude Shannon	Claude Shannon
Subhash Kak	Subhash Kak
Divòs	Eksgeedziĝo
Tilip	Tulipo
Documentaries	Dokumenta filmo
Syanobakteri	Cianobakterio
Johann Loschmidt	Johann Josef Loschmidt
Georg Joachim Rheticus	Georg Joachim Rheticus
Zorye	Kuseno
Liv (mezi)	Funto
Awòt	Aorto
Distilasyon	Distilado
Plakèt	Trombocito
Albedo	Albedo
Pwotozoyè	Protozoo
Nonm mas	Masnombro
Mouvman rastafari	Rastafaria movado
Estè	Estero
Benoît Mandelbrot	Benoît Mandelbrot
Peryòd (chimi)	Periodo de la perioda tabelo
Gonore	Gonoreo
Eksperyans	Eksperimento
Biyòm	Biomo
Fliyid	Fluaĵo
Epò senozoyik	Kenozoiko
Evangelista Torricelli	Evangelista Torricelli
Abreviyasyon	Mallongigo
Minrè	Erco
Etamin	Stameno
Idwoliz	Hidrolizo
Kapilè	Kapilaro
Solid amòf	Amorfa solido
Patikil alfa	Alfa-radiado
Peter Debije	Peter Debye
Aage Niels Bohr	Aage Niels Bohr
Fenotip	Fenotipo
Urbain Le Verrier	Urbain Le Verrier
Presesyon	Precesio
Plèn lin	Plenluno
Kolonèl	Kolonelo
Liminozite	Lumeco
Episant	Surcentro
Kretyen	Kristano
Saul Perlmutter	Saul Perlmutter
Mak	Evangelio laŭ Marko
Klivaj	Klivebleco
Hugh David Politzer	David Politzer
Sant (jewoloji)	Subcentro (tertremo)
Zwit	Ostro
Frank Wilczek	Frank Wilczek
Ponpye	Fajroestingisto
Pwopriyete fizik	Fizika grando
Trene	Frotkoloro
Vektè byolojik	Vektoro (epidemiologio)
Leyon (jewoloji)	Eono
Estratosfè	Stratosfero
Jimmy Cliff	Jimmy Cliff
Chemine	Vulkana kratero
Jaltenco	Jaltenco
Sistèm seksajezimal	Sesdekuma sistemo
Camagüey, Kiba	Camagüey (urbo)
Dreaming of You (album)	Dreaming of You
Villa Clara, Kiba	Villa Clara
Ciego de Ávila, Kiba	Ciego de Ávila (urbo)
Santiago de Cuba, Kiba	Santiago de Kubo
Arawak	Aravakoj
Grigori Perelman	Grigorij Perelman
Aployid	Ploido
Tranche soumaren	Profunda submara fosego
Klòn	Klonado
Senbyoz	Simbiozo
Franse	Francoj
Mitoloji women	Romia mitologio
Daniel Bernoulli	Daniel Bernoulli
Inèsi	Inercio
Sistèm nimewotasyon	Cifereca sistemo
Womaren	Oficina rosmareno
William Thomson	William Thomson
Dziecinów	Dziecinów (poviato Otwock)
Felix Bloch	Felix Bloch
Charles Édouard Guillaume	Charles Édouard Guillaume
Ekstenksyon	Formorto
Asid nikleyik	Nuklea acido
Vwazen	Kvartalo
Siprakondiktè	Superkonduktiveco
Kouran altènatif (AC)	Alterna kurento
Kondiktè	Konduktilo
Mayitid aparan	Ŝajna magnitudo
Kara	Kara (muzikgrupo)
Lasi	Vakso
Sous	Akvofonto
Jadinay	Ĝardenado
Nip	Nippes (Haitio)
Aloès	Aloo
Albert Abraham Michelson	Albert Abraham Michelson
Fekondasyon	Fekundigo
Lank	Inko
Taunton, Massachusetts	Taunton (Masaĉuseco)
Pentagòn	Kvinlatero
Beverly Hills, Kalifòni	Beverly Hills
Arthur Compton	Arthur Holly Compton
Izomè	Izomero
Kò gra	Graso
Enèji jeyotèmik	Geoterma energio
Dinamik	Dinamiko
Syracuse, New York	Sirakuso
Yonkers, New York	Yonkers
Killeen, Texas	Killeen
Waco, Texas	Waco
Carrollton, Texas	Carrollton (Teksaso)
Frisco, Texas	Frisco (Teksaso)
Beaumont, Texas	Beaumont (Teksaso)
Abilene, Texas	Abilene (Teksaso)
Denton, Texas	Denton
Midland, Texas	Midland (Teksaso)
Wichita Falls, Texas	Wichita Falls
Pawa selilè	Ĉela muro
Viskozite	Viskozeco
John Forbes Nash	John Nash
Lafayette, Lwizyana	Lafayette (Luiziano)
Michaëlle Jean	Michaëlle Jean
Enèji byomas	Biobrulaĵo
Phoenix	Fenikso (kosmosondilo)
Nikolai Lobachevsky	Nikolaj Ivanoviĉ Lobaĉevskij
Kalòj	Kaĝo
Lav (ensèk)	Larvo
Kouran sifas	Marfluo
Kwis	Femuro
Robert Hofstadter	Robert Hofstadter
Kokliko	Papaveto
Lafimen	Fumo
Sigal	Cikadedoj
Kalori	Kalorio
Robert Andrews Millikan	Robert Andrews Millikan
Sèvèl	Cerbeto
Premye meridyen	Grenviĉa Meridiano
Wou	Rastro
IMMAGINE&POESIA	Immagine & Poesia
Imigrasyon	Enmigrado
Sioux Falls, Dakota disid	Sioux Falls
Liy entènasyonal chanjman dat	Internacia datlinio
Ototwòf	Aŭtotrofo
Pak (trete)	Traktato
Fèm (non)	Bieno
Anbriyoloji	Embriologio
Sèvyèt	Sekigtuko
Prens la	La Princo
Johannes Diderik van der Waals	Johannes Diderik van der Waals
William Lawrence Bragg	William Lawrence Bragg
Henry Cavendish	Henry Cavendish
Maladi kontajye	Infekta malsano
Moutad	Mustardo
Siblimasyon	Sublimado
