An Afraic	Afriko
Pápa Pól VI	Paŭlo la 6-a
Sliabh Etna	Etna
Oakland, California	Oakland (Kalifornio)
La Réunion	Reunio
Carme	Karmeo (luno)
Pointias Píoláit	Pontio Pilato
Gairiál	Gavialo
Akita	Akita (urbo)
Speirm	Spermo
Ubh	Ovo
Amaláis	Amelazo
Carles Puyol	Carles Puyol
Amfabóil	Amfibolo
Iompróir aerárthach	Aviadila ŝipo
Ciorcal	Cirklo
Plána (matamaitic)	Ebeno (matematiko)
Pasiphae	Pazifao (luno)
Páirtí Cumannach na Síne	Komunista Partio de Ĉinio
John von Neumann	John von Neumann
Clube de Regatas do Flamengo	Clube de Regatas do Flamengo
Cesc Fàbregas	Cesc Fàbregas
Xavier Hernández	Xavi
Diego Maradona	Diego Armando Maradona
Fón póca	Poŝtelefono
Fuadar Óir Chalifornia	Kalifornia deliro pri oro
Naomh Labhrás	Laŭrenco de Romo
Pan	Pajno (luno)
Atlas (saitilít)	Atlaso (luno)
Stephen Hawking	Stephen Hawking
Aicsím	Aksiomo
Star Wars Episode IV: A New Hope	Star Wars Episode IV: A New Hope
Janus	Jano (luno)
Cailíopsó	Kalipso (luno)
Alice Springs	Alice Springs
Helene	Heleno (luno)
LADT	GLAT
Safó	Sapfo
Sacramento	Sakramento (Kalifornio)
Biella	Biella
Honolúlú	Honolulu
An Chóiré	Koreio
1925	1925
1927	1927
Manchain	Manchester
Lipéad ceoil	Diskeldonejo
Aspairín	Aspirino
Oileáin na dTurcach agus Caicos	Turkoj kaj Kajkoj
Na hAlcólaigh gan Ainm	Alkoholuloj Anonimaj
ABBA	ABBA
Instinn	Instinkto
Planda feoiliteach	Karnovoraj plantoj
Bróidnéireacht	Brodado
Fisic cháithníní	Partikla fiziko
Radaíocht	Radiado
Tairiseach imtharraingthe	Gravita konstanto
Providence, Oileán Rhode	Providence (Rod-Insulo)
Sasana Nua	Nov-Anglio
Alatri	Alatri
Louis de Beaufront	Louis de Beaufront
Brooklyn	Broklino
Queens	Kvinzo
Pierre Eugène Marcellin Berthelot	Marcellin Berthelot
An Bronx	Bronkso
Oileán Staten, Nua Eabhrac	Staten-Insulo
An tOileán Fada	Long Island
1000	1000
Mac tíre	Lupo
Féinchúl	Memgolo
Liathróid	Pilko
Maifia	Mafio
Dúlais (Oileán Mhanann)	Douglas (Mankso)
Tucson, Arizona	Tucson (Arizono)
1955	1955
1954	1954
1953	1953
1951	1951
1950	1950
1946	1946
1943	1943
1942	1942
1940	1940
1939	1939
Club de Gimnasia y Esgrima La Plata	Club Gimnasia y Esgrima La Plata
1938	1938
1937	1937
1936	1936
Manchester United Football Club	Manchester United
1935	1935
C.P.D. Dinas Abertawe	Swansea City
Bróg-ghob	Ŝubekulo
Aston Villa Football Club	Aston Villa
1934	1934
1933	1933
Tottenham Hotspur Football Club	Tottenham Hotspur
1932	1932
West Bromwich Albion Football Club	West Bromwich Albion
West Ham United Football Club	West Ham United
Sraith UEFA na Seaimpíní	Ligo de Ĉampionoj de UEFA
UEFA Europa League	Eŭropa Ligo de UEFA
1931	1931
Fáinne Tine	Pacifika fajra rondo
1930	1930
Corr réisc	Ardeedoj
1929	1929
Pyongyang	Pjongjango
Tiomna Nua	Nova testamento
Wolfram von Eschenbach	Wolfram von Eschenbach
Córas Suite Domhanda	Tutmonda loktrova sistemo
Laidhrín glas	Griza tringo
Cearc uisce	Verdkrura galinolo
Crotach eanaigh	Malgranda kurlo
Cosdeargán	Ruĝkrura tringo
Péist ghuaireach	Poliĥetoj
Spúinse	Spongulo
Seoirsigh	Kartveloj
Mary Faustina Kowalska	Faustyna Kowalska
Péargamon	Pergamo
Edwin Mattison McMillan	Edwin Mattison McMillan
Gradaim an Acadaimh	Oskar-premio
2010í	2010-aj jaroj
Clóáca	Kloako (biologio)
Vasco Núñez de Balboa	Vasco Núñez de Balboa
Prócarót	Prokariotoj
Eocarót	Eŭkariotoj
9 (uimhir)	9 (nombro)
Scairp	Skorpio
Henry Fonda	Henry Fonda
Ria	Reaedoj
George Bernard Shaw	George Bernard Shaw
Heilongjiang	Hejlongĝjango
1001	1001
1002	1002
1003	1003
1005	1005
1006	1006
1007	1007
1008	1008
1009	1009
1010	1010
1011	1011
1012	1012
1013	1013
1014	1014
1015	1015
1016	1016
1017	1017
1018	1018
1019	1019
1020	1020
1021	1021
1022	1022
1023	1023
1024	1024
1025	1025
1026	1026
1027	1027
1028	1028
1029	1029
1030	1030
1031	1031
Corn Sacair an Domhain	Futbala Mondpokalo
1032	1032
1033	1033
1034	1034
1035	1035
1036	1036
1037	1037
1038	1038
1039	1039
1040	1040
1041	1041
San Pedro de la Paz, an tSile	San Pedro de la Paz
1042	1042
1043	1043
1044	1044
1045	1045
1046	1046
1047	1047
1048	1048
1049	1049
1050	1050
1051	1051
1052	1052
1053	1053
1054	1054
Sciobaire	Anhingedoj
1055	1055
1056	1056
1057	1057
1058	1058
1059	1059
1060	1060
1061	1061
1062	1062
1063	1063
Broigheall	Kormoranoj
1064	1064
1065	1065
1066	1066
Peileacán	Pelikano
1067	1067
1068	1068
1069	1069
1070	1070
1071	1071
1072	1072
1073	1073
1074	1074
1075	1075
1076	1076
1077	1077
1078	1078
1079	1079
1080	1080
1081	1081
1082	1082
1083	1083
1084	1084
1085	1085
1086	1086
1087	1087
1088	1088
1089	1089
1090	1090
1091	1091
1092	1092
1093	1093
Hull City Association Football Club	Hull City A.F.C.
1094	1094
1095	1095
1096	1096
1097	1097
Nha Trang	Nha Trang
1098	1098
1099	1099
1106	1106
1107	1107
1108	1108
1109	1109
1110	1110
Podolsk	Podolsk
1111	1111
1112	1112
1113	1113
1114	1114
1115	1115
1116	1116
Mionsimpeansaí	Eta ĉimpanzo
1117	1117
1118	1118
1119	1119
1120	1120
Pápa	Papo
Sraith cheimiceach	Kemia serio
1130	1130
Cré alcaileach	Teralkala metalo
Lantanóidigh	Lantanoido
Achtainíd	Aktinoido
1131	1131
Rafael Correa	Rafael Correa
1132	1132
1133	1133
Dúile trasdultacha	Transirmetalo
1134	1134
1135	1135
Miotalóideach	Metaloido
1136	1136
1137	1137
Halaiginí	Halogeno
1138	1138
1139	1139
Triathgháis	Nobla gaso
5	5
1140	1140
1141	1141
1142	1142
1143	1143
1144	1144
4	4
1145	1145
1146	1146
1147	1147
1148	1148
3	3
1149	1149
1150	1150
1151	1151
1152	1152
1153	1153
2	2
1154	1154
1155	1155
1156	1156
1157	1157
1158	1158
1159	1159
Búcairist	Bukareŝto
1160	1160
1161	1161
1162	1162
1163	1163
Al Gore	Al Gore
1164	1164
Louvre	Luvro
1165	1165
1166	1166
1167	1167
1168	1168
1169	1169
1170	1170
Partido Independentista Puertorriqueño	Partio de la Sendependeco de Porto-Riko
1171	1171
Abhainn na Tamaise	Tamizo
1172	1172
1173	1173
Tiorána	Tirano
1174	1174
An Bhanna	Rivero Bann
1175	1175
1176	1176
1177	1177
1178	1178
Motörhead	Motörhead
1179	1179
1180	1180
1181	1181
Asal	Azeno
1182	1182
1928	1928
Abhainn Great Ouse	Great Ouse
1183	1183
1184	1184
1185	1185
1186	1186
1187	1187
1188	1188
1189	1189
1190	1190
1191	1191
1192	1192
1193	1193
1194	1194
1195	1195
1196	1196
1197	1197
1198	1198
1199	1199
Mangróbh	Mangrovo
Meaisínuirlisí	Maŝinkonstruado
Sichuan	Siĉuano
G-20	Grupo de la 20 (industriaj kaj sojlaj landoj)
6	6
Berkhamsted	Berkhamsted
Ware, Hertfordshire	Ware
Josh Duhamel	Josh Duhamel
An Nollaig	Kristnasko
Teangacha Rómánsacha	Latinida lingvaro
Triantán	Triangulo
Cecil Rhodes	Cecil Rhodes
Bliain bhisigh	Superjaro
Steve Jobs	Steve Jobs
Lady Gaga	Lady Gaga
Na teangacha Ind-Eorpacha	Hindeŭropa lingvaro
Breinigerberg	Breinigerberg
Waiting for Godot	Atendante Godot
Tíogar	Tigro
Juan Carlos I na Spáinne	Johano Karlo la 1-a (Hispanio)
London Underground	Metroo de Londono
Francesco Totti	Francesco Totti
Joe Pesci	Joe Pesci
Luascadán	Pendolo
Jean Martin Charcot	Jean-Martin Charcot
Louis Couturat	Louis Couturat
Éadbhard VII na Ríochta Aontaithe	Eduardo la 7-a
Gustave Eiffel	Gustave Eiffel
István Ertl	István Ertl
Podchraolachán	Podkasto
Foracha	Longbeka urio
Pocadán beag	Biglo
Lugach	Sablovermo
Francis Beaufort	Francis Beaufort
Críoch Lochlann	Skandinavio
Cáisc	Pasko
Císineá	Kiŝinevo
Uimhreacha aiceanta	Natura nombro
Teangacha Gearmáinice	Ĝermana lingvaro
Socheolaíocht	Sociologio
Şalom	Şalom
Aibítir Idirnáisiúnta Foghraíochta	Internacia Fonetika Alfabeto
Hebei	Hebejo
Claus Schenk von Stauffenberg	Claus von Stauffenberg
Ollscoil Princeton	Universitato Princeton
Lóma	Gaviedoj
Foitheach	Greboj
Bustard	Otidedoj
Aontollach	Monotremoj
Eicidneach	Ekidno
Apasam	Didelfedoj
Muse	Muse
Ceadúnas GNU do Dhoiciméadú Saor	Permesilo de GNU por Liberaj Dokumentoj
John Kerry	John Kerry
Iora talún	Tamiaso
Aurora, Illinois	Aurora (Ilinojo)
An Traí	Trojo
Hymenoptera	Himenopteroj
Nua-Eabhrac	New York
Peitriliam	Nafto
Coincréit	Betono
Córas comhordanáide geografaí	Geografia koordinata sistemo
Iarnród	Fervojo
UEFA Euro 2012	Eŭropa Futbal-Ĉampionado 2012
Friedrich Schiller	Friedrich Schiller
Ciaróg	Koleopteroj
Bróga	Ŝuo
Cuirín	Ribo
Olaivín	Olivino
Oragán cumhra	Majorano
Castán inite	Ordinara kastaneo
Buaircín	Strobilo
Acsalatal	Aŝolotlo
Bainne cíche	Patrina lakto
Dlús an daonra	Loĝdenso
Dreapadóireacht	Grimpado
Sáibhre	Satureo
Sportverein Austria Salzburg	SV Austria Salzburg
Bath, Somerset	Bath
Éire	Irlando (insulo)
Bradford	Bradford
Abertawe	Swansea
Cóiméad Halley	Haleja kometo
Cheshire	Cheshire
Cumbria	Kumbrio
Lancashire	Lankaŝiro
Nortumbarlann	Northumberland
Tyne and Wear	Tyne and Wear
Contae Durham	County Durham
Yorkshire Thiar	Okcidenta Jorkŝiro
Yorkshire Thuaidh	North Yorkshire
East Riding of Yorkshire	East Riding of Yorkshire
Lincolnshire	Lincolnshire
Nottinghamshire	Nottinghamshire
Yorkshire Theas	South Yorkshire
Derbyshire	Derbyshire
Manchain Mhór	Greater Manchester
Merseyside	Merseyside
Shropshire	Shropshire
Staffordshire	Staffordshire
Leicestershire	Leicestershire
Rutland	Rutland
1	1
Norfolk	Norfolk (Anglio)
Suffolk	Suffolk
Cambridgeshire	Cambridgeshire
Lu Xun	Lu Xun
Northamptonshire	Northamptonshire
Aigéad líseirgeach dé-eitilimíde	LSD
Herefordshire	Herefordshire
Worcestershire	Worcestershire
Warwickshire	Warwickshire
Bedfordshire	Bedfordshire
Corn na Breataine	Kornvalo
Briostó	Bristolo
Devon	Devon
Somerset	Somerset
Gloucestershire	Gloucestershire
Oxfordshire	Oxfordshire
Vombat	Vombato
10	10
Wiltshire	Wiltshire
Nashville, Tennessee	Naŝvilo (Tenesio)
Hampshire	Hampshire
Berkshire	Berkshire
Buckinghamshire	Buckinghamshire
20	20
Essex	Essex
Surrey	Surrey
Sussex Thiar	West Sussex
30	30
Kent	Kent
Roberto Benigni	Roberto Benigni
Londain Mhór	Granda Londono
Cathair Londan	City (Londono)
Gough Whitlam	Gough Whitlam
An Abcáis	Abĥazio
40	40
9	9
Edmund Barton	Edmund Barton
7	7
Chris Watson	Chris Watson
8	8
7 (uimhir)	7 (nombro)
8 (uimhir)	8 (nombro)
Taylor Lautner	Taylor Lautner
Jeremy Renner	Jeremy Renner
12	12
Jean Auguste Dominique Ingres	Jean Auguste Dominique Ingres
Droichead tógála	Levoponto
Na taoidí	Tajdo
Seachtain	Semajno
Fia	Cervedoj
Geata crochta	Herso
Oighear	Glacio
Ár nAthair	Patro nia
Fear and Loathing in Las Vegas (scannán)	Fear and Loathing in Las Vegas (filmo)
Loch	Lago
Gairleog	Ajlo
Musée d'Orsay	Musée d'Orsay
Antraipeolaíocht	Antropologio
Muir Rua	Ruĝa Maro
930	930
13	13
Caisleán	Burgo
985	985
1122	1122
981	981
939	939
Cúcamar	Kukumo
An Oiséit Theas	Sud-Osetio
Ulánbátar	Ulaanbaataro
Ernest Hemingway	Ernest Hemingway
Dún Éideann	Edinburgo
51	51
Octave Mirbeau	Octave Mirbeau
Oileán	Insulo
Bán	Blanko
Dubh	Nigro
814	814
678	678
950	950
679	679
996	996
680	680
37	37
980	980
900	900
1129	1129
Chris Pine	Chris Pine
843	843
Lordi	Lordi
690	690
691	691
988	988
692	692
476	476
693	693
Marseille	Marsejlo
694	694
695	695
Oinniún	Cepo
696	696
6 (uimhir)	6 (nombro)
697	697
698	698
Teanga oifigiúil	Oficiala lingvo
699	699
700	700
Moshchena	Moŝĉena
701	701
702	702
Seandálaíocht	Arkeologio
703	703
Tráta	Tomato
704	704
705	705
George H. W. Bush	George H. W. Bush
706	706
68	68
89	89
707	707
708	708
709	709
11	11
710	710
711	711
712	712
Na Balcáin	Balkana duoninsulo
713	713
714	714
Teangacha Slavacha	Slava lingvaro
715	715
Dmitri Anatolyevich Medvedev	Dmitrij Medvedev
716	716
717	717
Quang Binh	Provinco Quang Binh
718	718
Entrena	Entrena
719	719
Meánchiorcal	Ekvatoro
720	720
An Protastúnachas	Protestantismo
721	721
722	722
Selena Quintanilla-Pérez	Selena
723	723
NASA	NASA
724	724
725	725
726	726
Atlanta	Atlanta (Georgio)
727	727
Benito Mussolini	Benito Mussolini
728	728
729	729
963	963
730	730
Podgairítse	Podgorico
731	731
Lost	Lost (televida serio)
962	962
732	732
733	733
997	997
734	734
972	972
735	735
955	955
901	901
736	736
737	737
936	936
738	738
953	953
902	902
739	739
15	15
740	740
14	14
741	741
742	742
17	17
743	743
958	958
744	744
500	500
745	745
150	150
746	746
880	880
747	747
748	748
Foclóir	Vortaro
749	749
870	870
903	903
750	750
751	751
Beirmiúda	Bermudo
752	752
Ceann	Kapo
753	753
987	987
754	754
965	965
755	755
924	924
951	951
932	932
Wellington	Velingtono
Fleascán Dewar	Varmbotelo
An Bhreatain	Britio (insulo)
23	23
800	800
Jimmy Carter	Jimmy Carter
120	120
Amhrán náisiúnta	Nacia himno
Na Viseagotaigh	Visigotoj
42	42
967	967
989	989
960	960
969	969
957	957
1124	1124
971	971
937	937
992	992
990	990
899	899
975	975
942	942
966	966
1128	1128
959	959
973	973
18	18
Aolchloch	Kalkoŝtono
Rowan Atkinson	Rowan Atkinson
19	19
16	16
Las Vegas, Nevada	Lasvegaso
21	21
26	26
Aragóinít	Aragonito
41	41
32	32
33	33
982	982
974	974
976	976
979	979
986	986
919	919
998	998
An Phalaistín	Palestino
995	995
977	977
Lionsa tadhaill	Kontaktlenso
1125	1125
Vaileite	La-Valeto
934	934
10 (uimhir)	10 (nombro)
Uimhir adamhach	Atomnumero
Alfred Nobel	Alfred Nobel
200	200
876	876
875	875
810	810
929	929
882	882
1127	1127
940	940
889	889
844	844
912	912
838	838
984	984
874	874
George Clooney	George Clooney
38	38
Ennio Morricone	Ennio Morricone
43	43
127	127
954	954
Corp an duine	Homa korpo
39	39
24	24
79	79
61	61
104	104
29	29
102	102
866	866
Pápa Eoin XXIII	Johano la 23-a
839	839
622	622
918	918
100	100
Lila Downs	Lila Downs
961	961
An Mhuir Mharbh	Morta Maro
570	570
632	632
Andrew Garfield	Andrew Garfield
946	946
835	835
884	884
859	859
832	832
849	849
877	877
Síota	Gepardo
878	878
861	861
869	869
968	968
983	983
964	964
1121	1121
1123	1123
933	933
915	915
970	970
911	911
993	993
991	991
994	994
898	898
944	944
907	907
943	943
945	945
922	922
905	905
941	941
925	925
928	928
948	948
947	947
949	949
Amharclann	Teatrejo
926	926
126	126
101	101
105	105
108	108
117	117
115	115
Gual	Terkarbo
22	22
46	46
25	25
153	153
156	156
31	31
825	825
Vancouver	Vankuvero
301	301
116	116
886	886
330	330
860	860
842	842
165	165
871	871
893	893
203	203
909	909
222	222
931	931
938	938
917	917
160	160
28	28
Learpholl	Liverpool
Orson Welles	Orson Welles
85	85
88	88
76	76
54	54
477	477
914	914
920	920
913	913
Albany, Nua-Eabhrac	Albany (Nov-Jorkio)
935	935
841	841
820	820
906	906
916	916
885	885
168	168
Ficsean eolaíochta	Sciencfikcio
60	60
47	47
836	836
112	112
854	854
862	862
879	879
887	887
770	770
817	817
864	864
863	863
868	868
855	855
818	818
Woody Allen	Woody Allen
837	837
845	845
Roald Dahl	Roald Dahl
RMS Titanic	RMS Titanic
Rammstein	Rammstein
166	166
Ulchabhán	Strigoformaj birdoj
Punt steirling	Brita pundo
Aerfort Cam Ranh	Flughaveno Cam Ranh
Geansaí (oileán)	Guernsey
Oileánra Svalbard	Svalbardo
Lon dubh	Merlo
Vata	Vato (mezurunuo)
Pis	Ĝardena pizo
Fearn	Alno
Veirteabrach	Vertebruloj
Beith	Betulo
Húpú	Upupedoj
Volta	Volto
Nowy Dwór Królewski	Nowy Dwór Królewski
An Fharóis	Feroa lingvo
Meitéareolaíocht	Meteologio
552	552
Scála teochta Celsius	Grado celsia
Teangacha Afráiseacha	Afrikazia lingvaro
Giúl	Ĵulo
Stáisiún Spáis Idirnáisiúnta	Internacia Kosmostacio
Aimpéar	Ampero
Iseatóp	Izotopo
An Easpáinneoil	Hispaniolo
Harrisburg, Pennsylvania	Harrisburg (Pensilvanio)
Peirsil	Petroselo
Uppsala	Upsalo
Göteborg	Göteborg
Meáchan	Pezo
An Choirnis	Kornvala lingvo
Pailm dátaí	Daktilopalmo
Teangacha Ceilteacha	Kelta lingvaro
Casúr	Martelo
Fine teangacha	Lingva familio
6ú haois RC	6-a jarcento a.K.
1ú haois RC	1-a jarcento a.K.
2 RC	-2
1 RC	-1
2ú haois RC	2-a jarcento a.K.
Washington (Idirdhealán)	Washington
Oileáin Bhriotanacha na Maighdean	Britaj Virgulininsuloj
Magairlín	Orkidacoj
Blatóg choiteann	Blato
Robert F. Kennedy	Robert F. Kennedy
Cuileog	Dipteroj
Plandaí bláthanna	Angiospermoj
Scréachóg reilige	Turstrigo
Aarhus	Arhuzo
Paul Langevin	Paul Langevin
3ú haois RC	3-a jarcento a.K.
An tArtach	Arkto
Cainid	Kanisedoj
Moileasc	Moluskoj
Bóín Dé	Kokcinelo
Antoni Gaudí	Antoni Gaudí
Artadachtail	Parhufuloj
Trenton, New Jersey	Trenton
Odense	Odense
Coirneach	Fiŝaglo
Spideog	Ruĝgorĝulo
4ú haois RC	4-a jarcento a.K.
Marsúipiach	Marsupiulo
An Prionsa Beag	La Eta Princo
5ú haois RC	5-a jarcento a.K.
7ú haois RC	7-a jarcento a.K.
Pasaireach	Paseroformaj birdoj
Cumhacht	Povumo
Easóg	Ermeno
8ú haois RC	8-a jarcento a.K.
Caonach	Muskoj
Mallard	Platbeka anaso
Méadail mhéarach	Marstelo
Giúis	Abio
Corr bhán	Blanka cikonio
Spioróg mhór	Akcipitro
Scréachóg	Eŭropazia garolo
Graonlainnis	Gronlanda lingvo
Fiach dubh	Korako
Friotaíocht agus seoltas leictreach	Elektra rezistanco
123 RC	-123
234 RC	-234
Crústach	Krustacoj
Grús	Gruo (birdo)
Planctón	Planktono
Débhlaoscach	Duvalvulo
Iasc loingeánach	Kartilagaj fiŝoj
Drámaíocht	Dramo (verko)
Gabhlán gaoithe	Ordinara apuso
Spioróg	Nizo
Corcrán coille	Pirolo
Rí rua	Fringo
Ceann cait	Orelstrigo
Clamhán	Komuna buteo
Rúcach	Frugilego
Leeuwarden	Leeuwarden
Pilibín	Vanelo
Filiméala	Najtingalo (birdo)
Cág	Monedo
Newark, New Jersey	Newark (Nov-Ĵerzejo)
Pangailin	Maniso
Glasóg sráide	Blanka motacilo
Feá	Fago
Meantán Gorm	Blua paruo
Caróg liath	Griza korniko
Cúlóm	Kulombo (mezurunuo)
Bumbóg	Burdo
Aalborg	Aalborg
Lasair choille	Kardelo
Spágaire tonn	Malgranda grebo
Foitheach mór	Tufgrebo
9ú haois RC	9-a jarcento a.K.
Difríocht poitéinsil	Elektra tensio
Siréineach	Sireno (besto)
An Ghearmáinis Íochtarach	Platgermana lingvo
Cróch	Safrano
Iolar mara	Blankvosta maraglo
Cnagaire	Pegedoj
An tSoirbis	Soraba lingvo
Sealad Holaicéineach	Holoceno
Biorearrach	Pintvostanaso
Karlstad	Karlstad
Meantán mór	Granda paruo
Bovidae	Bovedoj
Dé-óid sholasastaíoch	Lum-eliganta diodo
Anailid	Anelidoj
Pléisticéineach	Plejstoceno
600	600
Sankt Gallen	Sankt-Galo
Eala ghlórach	Kantocigno
Fíochán tacaíochta	Konektiva histo
Learóg	Lariko
400	400
Sléibhín	Ridmevo
300	300
Praslacha shamhraidh	Marĉanaso
Aiteal	Junipero
Mormónta	Absinto
Naoscach	Ordinara galinago
Praslacha	Kreko
Sacán	Griza turdo
Spermatophyta	Semplantoj
Thomas Young	Thomas Young
Myriapoda	Miriapodo
Gé ghlas	Griza ansero
Gadual	Knaranaso
Antalóp	Antilopo
Spadalach tuaisceartach	Kuleranaso
Teangacha Eiscimea-Ailiútacha	Eskim-aleuta lingvaro
Stáisiún spáis	Kosmostacio
Hermann Hesse	Hermann Hesse
Seol (bád seoil)	Velo
Labhras	Nobla laŭro
Traonach	Krekso
Colm coille	Palumbo
Gleoiseach	Kanaba kardelo
Smólach	Turdedoj
Gabhlán binne	Murhirundo
Aigéad hidricianach	Hidrogena cianido
Tromsø	Tromsø
Fuaidreán	Suspensio
Nóinín	Lekanteto
Trnava	Trnava
Ceathartha	Kvaternaro
Glasán darach	Verda fringo
Prótacail Sheanóirí Shión	Protokoloj de cionaj saĝuloj
Caróg dhubh	Korniko
Buíóg	Flava emberizo
Gnathostomata	Makzelulo
Aitripín	Atropino
Muscfhrancach	Ondatro
Samhadh	Okzalo
Sponc	Tusilago
Ollscoil Niccolò Cusano	Università degli Studi Niccolò Cusano
Leictreastataic	Elektrostatiko
Jersey City, New Jersey	Jersey City
Smólach ceoil	Kantoturdo
Hemiptera	Hemipteroj
Takeshi Kitano	Kitano Takeshi
Cuach	Kukoledoj
Rufachán	Duelbirdo
Gealóg sneachta	Neĝemberizo
Hakodate	Hakodate
Sáible	Zibelo
Montpelier, Vermont	Montpelier (Vermonto)
Síolghé	Fabansero
1040í	1040-aj jaroj
Féatas	Feto
Saitilít (spásárthach)	Artefarita satelito
Geac	Gruntbovo
Gormphíb	Blugorĝulo
Cat coille	Putoro
Fukuoka	Fukuoka
Fraoch	Kaluno
Earrdheargán	Ĝardenruĝvostulo
Rálóg	Raledoj
Gobadán	Skolopedoj
Droimneach mór	Nigramantela mevo
Lacha iascán	Rokanaso
Lon creige	Rubandoturdo
Breacóg	Bunta kalidro
Cíorbhuí	Orverta regolo
Gé ghiúrainn	Blankvanga ansero
Lus mín	Aneto
Lionel Richie	Lionel Richie
Donnóg	Pronelo
Cairdinéal de Richelieu	Armand Jean du Plessis de Richelieu
Gé Cheanadach	Kanada ansero
Clóbh	Kariofilo
Póiseard	Brunkapa anaso
Bolb cabáiste	Brasiko-papilio
Eidhneán	Hedero
Sioiseoiní	Ŝoŝonoj
Geabhróg Artach	Arkta ŝterno
Danny DeVito	Danny DeVito
Cearbhas	Karvio
Héaradatas	Herodoto
Algarve	Algarve
Giorria gallda	Eŭropa leporo
Gilín (feithid)	Lepismo
Cráin dhubh	Granda orcino
Collaiginí	Kolageno
Taylor Swift	Taylor Swift
Melvil Dewey	Melvil Dewey
Comhbhuainteoir	Kombajno
Buirg Londan Croydon	Croydon
Rón beag	Ordinara foko
Gilphíb	Blankgorĝa silvio
Oileáin Cook	Kukinsuloj
Martin (cathair sa tSlóvaic)	Martin
Daol	Grundoskarabo
Cadhan	Berniklo
Broc Eorpach	Melo
Aimplitheoir	Amplifilo
Leathóg bhallach	Plateso
Crosán	Aŭko
Cairibeach	Kariboj
Cnota	Granda kalidro
Planda feadánach	Vaskulaj plantoj
Heteroptera	Heteropteroj
Iasc cnámhach	Ostaj fiŝoj
An Ailiúitis	Aleuta lingvo
Gealóg bhuachair	Grenemberizo
Ceolaire sailí	Fitiso
Tuirne lín	Kaprimulgedoj
Iúr	Taksuso
Cat crainn clochra	Foino
Ettore Arco Isidoro Bugatti	Bugatti
Fiagaithe/cnuasaitheoirí	Ĉasistoj-kolektistoj
Lasairchíor	Fajroverta regolo
Teangacha Atapascacha	Atabaska lingvaro
Faoileán	Mevo
Meiriceá Láir	Centra Ameriko
Luáiste	Levistiko
Dínaitsíú	Sennaziigo
Óstán	Hotelo
Shaka Zulu	Ŝaka
Criogar	Hejma grilo
Lacha shrúmála	Anatenoj
An Adyghe	Adigea lingvo
Críostadélfiachas	Kristadelfianoj
Dlíthe Nürnberg	Nurenbergaj leĝoj
Faocha	Litorino
Amhránaíocht	Kantado
Aidhniúis	Ajnua lingvo
Cearnaíocht	Kvadraturo (astronomio)
Cainéal	Cinamo
Jackson, Mississippi	Jackson (Misisipio)
Roimh Chríost	Kristana erao
Augusta, Maine	Augusta (Majno)
An Mhagraib	Magrebo
Faoileán scadán	Arĝentmevo
An Amáiris	Amhara lingvo
Concord, New Hampshire	Concord (Nov-Hampŝiro)
Annapolis	Annapolis (Marilando)
Falcóg	Aŭkedoj
Soilire	Vera celerio
Léipidiptirí	Lepidoptera
Tréscaoilteacht	Magneta permeableco
Gearg	Ordinara koturno
Lus súch	Asparago
Céim (matamaitic)	Grado
Ialtóg	Kiropteroj
São Luís	São Luís
Máirín na smeach	Elateredoj
36	36
El Escorial	Monaĥejo de El Escorial
Gruaig	Haro
Gealóg	Emberizedoj
An Ostair-Ungáir	Aŭstrio-Hungario
Springfield, Illinois	Springfield (Ilinojo)
Tarnobrzeg	Tarnobrzeg
Bláthnaid ghallda	Musteloj
Na Máigigh	Majaoj
Incigh	Inkaa imperio
An Aramais	Aramea lingvo
Frankfort, Kentucky	Frankfort (Kentukio)
Garry Kasparov	Garri Kasparov
Núicléitíd	Nukleotido
Ardeaglais Sacré Coeur	Baziliko de la Sankta Koro (Parizo)
Eolaíocht fheidhmeach	Aplikataj sciencoj
Ceapaire	Sandviĉo
Bonn Fields	Medalo Fields
Saint Paul, Minnesota	Saint Paul (Minesoto)
Clochrán	Enantoj
Gealbhan	Paseredoj
Seabha-seabha	Ĉaŭĉaŭo
Akureyri	Akureyri
Sacha Baron Cohen	Sacha Baron Cohen
An broc-chú	Melhundo
Futbol'nyj klub Kuban'	FK Kuban Krasnodar
Francisco Franco	Francisco Franco
Easpag	Episkopo
Tarja Halonen	Tarja Halonen
Martti Ahtisaari	Martti Ahtisaari
Bill Murray	Bill Murray
Bosca dubh	Nigra skatolo (Sistemiko)
Ardeaglais Canterbury	Katedralo de Canterbury
Ardeaspag Canterbury	Ĉefepiskopo de Canterbury
Canterbury	Canterbury
Montgomery, Alabama	Montgomery (Alabamo)
Juneau	Juneau
Lus an chromchinn	Narciso (floro)
Páirtí Poblachtach (Stáit Aontaithe)	Respublikana Partio (Usono)
Púdar bácála	Bakpulvoro
Crann Iúdáis	Cercis siliquastrum
Leoicéime	Leŭkemio
An tSín	Ĉinio
Dlús	Denso
Páirtí Daonlathach (Stáit Aontaithe)	Demokrata Partio (Usono)
Beatrix na hÍsiltíre	Beatrikso (Nederlando)
Reacht	Statuto
Fuiseog	Alaŭdedoj
Aswan	Asuano
815	815
816	816
822	822
840	840
823	823
811	811
771	771
888	888
768	768
851	851
205	205
159	159
107	107
162	162
103	103
802	802
Brífít	Briofito
Dobhrán Eoráiseach	Lutra lutra
804	804
119	119
118	118
