Африка	Afriko
Габро	Gabro
Pianiga, Venezia	Pianiga
Cavarzere, Venezia	Cavarzere
Организовани криминал	Organizita krimo
Meolo, Venezia	Meolo
Fossò, Venezia	Fossò
Револуција јасмина	Tunizia ribelo en 2010-2011
Fiesso d'Artico, Venezia	Fiesso d'Artico
Trevenzuolo, Verona	Trevenzuolo
Noale, Venezia	Noale
Авио-компанија	Flugkompanio
Zimella	Zimella
Santa Maria di Sala, Venezia	Santa Maria di Sala
Veronella, Verona	Veronella
132. п. н. е.	-132
170. п. н. е.	-170
Malo, Vicenza	Malo (Italio)
Езре	Aiserey
Бретнијер (Златна обала)	Bretenière
Salzano, Venezia	Salzano
157. п. н. е.	-157
111. п. н. е.	-111
San Vendemiano, Treviso	San Vendemiano
Casaleone, Verona	Casaleone
114. п. н. е.	-114
220. п. н. е.	-220
163. п. н. е.	-163
162. п. н. е.	-162
280. п. н. е.	-280
Фолмерсхајн	Vollmershain
134. п. н. е.	-134
Постерштајн	Posterstein
Јонасвалде	Jonaswalde
Еспо	Espoo
Тонхаузен	Thonhausen
Crespano del Grappa, Treviso	Crespano del Grappa
Вилденбертен	Wildenbörten
Образ	Vango
Лебихау	Löbichau
Небдениц	Nöbdenitz
Биолошка разноврсност	Biodiverseco
Sernaglia della Battaglia, Treviso	Sernaglia della Battaglia
Рубикова коцка	Kubo de Rubik
Isola Vicentina, Vicenza	Isola Vicentina
Сен Дени (Реинион)	Saint-Denis (Reunio)
Silea, Treviso	Silea
Оулу	Oulu
Torri di Quartesolo, Vicenza	Torri di Quartesolo
Фудбалска репрезентација Холандије	Nederlanda nacia teamo de futbalo
Приони	Priono
Естуар	Estuaro
Загонетке	Ŝarado
Ајшварија Рај	Aishwarya Rai
Asiago, Vicenza	Asiago
Метаморфне стене	Metamorfa rokaĵo
Centralna dogma molekularne biologije	Centra dogmo de molekula biologio
Val Rezzo, Como	Val Rezzo
Sormano, Como	Sormano
.vg	.vg
San Bartolomeo Val Cavargna, Como	San Bartolomeo Val Cavargna
Segusino, Treviso	Segusino
Vercana, Como	Vercana
Ом (јединица)	Omo
Артур Ч. Кларк	Arthur C. Clarke
Расед	Faŭlto
Силовање	Seksatenco
Anversa degli Abruzzi, L'Aquila	Anversa degli Abruzzi
Басано дел Грапа	Bassano del Grappa
Гуејџоу	Gŭiĝoŭo
Шурикен	Ŝurikeno
Бен Стилер	Ben Stiller
Џозеф Смит	Joseph Smith
Cordignano, Treviso	Cordignano
Cerro Veronese, Verona	Cerro Veronese
Кофа	Sitelo
Ateleta	Ateleta
San Giovanni Ilarione, Verona	San Giovanni Ilarione
Баликесир (вилајет)	Provinco Balıkesir
Figino Serenza, Como	Figino Serenza
Fumane, Verona	Fumane
Енрике Иглесијас	Enrique Iglesias
LXDE	LXDE
Drezzo, Como	Drezzo
Авецано	Avezzano
San Nazzaro Val Cavargna, Como	San Nazzaro Val Cavargna
Новогодишње дрво	Kristnaska arbo
Laino, Como	Laino
Квинт Еније	Kvinto Ennio
Кју-клукс-клан	Ku-Kluks-Klano
Cremia, Como	Cremia
Gazzo Veronese, Verona	Gazzo Veronese
Шетландска острва	Ŝetlandaj Insuloj
Шалон ан Шампањ	Châlons-en-Champagne
Montecchia di Crosara, Verona	Montecchia di Crosara
Слободан Милошевић	Slobodan Miloŝeviĉ
Брамани	Brahmo
Атакама	Atakama-Dezerto
Портогруаро	Portogruaro
Папа Лин	Lino (papo)
San Pietro di Morubio, Verona	San Pietro di Morubio
Pramaggiore, Venezia	Pramaggiore
Папа Силвестар I	Silvestro la 1-a
Lurago d'Erba, Como	Lurago d'Erba
Meri Šeli	Mary Shelley
Лукреције	Lukrecio
Тријас	Triaso
Плаут	Plaŭto
Ромен Ролан	Romain Rolland
Марко Витрувије	Vitruvio
Санта Моника	Santa Monica
Орск	Orsko
Нојлер	Neuler
Округ (Сједињене Америчке Државе)	Kantonoj de Usono
Нобелова награда за економију	Nobel-premio pri ekonomiko
218. п. н. е.	-218
Tremezzo, Como	Tremezzo
118. п. н. е.	-118
Annone Veneto, Venezia	Annone Veneto
138. п. н. е.	-138
Concordia Sagittaria	Concordia Sagittaria
Мађарска форинта	Hungara forinto
135. п. н. е.	-135
128. п. н. е.	-128
270. п. н. е.	-270
Хари Потер и Дворана тајни	Hari Poter kaj la Ĉambro de Sekretoj
Erba, Como	Erba
Лахар	Laharo
Ворен Бафет	Warren Buffett
Застава Руске СФСР	Flago de Rusia Soveta Federacia Socialisma Respubliko
Santo Stino di Livenza, Venezia	Santo Stino di Livenza
Кондолиза Рајс	Condoleezza Rice
Грађанска непослушност	Civila malobeo
Таксиста	Taxi Driver
Рођендан	Naskiĝtago
Конељано	Conegliano
Кама сутра	Kamasutro
Андреј Аршавин	Andrej Arŝavin
Одисеј	Odiseo
San Germano dei Berici, Vicenza	San Germano dei Berici
Nove, Vicenza	Nove
Trissino, Vicenza	Trissino
Griante, Como	Griante
.pr	.pr
Елфриде Јелинек	Elfriede Jelinek
Ајнбек	Einbeck
Caorle	Caorle
Nervesa della Battaglia, Treviso	Nervesa della Battaglia
Valdagno, Vicenza	Valdagno
Црв	Vermo
Скио	Schio
Хлоропласт	Kloroplasto
Пало Алто (Калифорнија)	Palo Alto
Време полураспада	Duoniĝa tempo
San Michele al Tagliamento, Venezia	San Michele al Tagliamento
Кеплер (телескоп)	Misio Kepler
Централни нервни систем	Centra nerva sistemo
Аврамске религије	Abrahama religio
Језоло	Jesolo
Ош (Киргистан)	Oŝ
Џозеф Џон Томсон	Joseph John Thomson
Ерих Марија Ремарк	Erich Maria Remarque
Кеплер-22б	Kepler-22b
Генеалогија	Genealogio
Longare, Vicenza	Longare
San Biagio di Callalta, Treviso	San Biagio di Callalta
Konjica	Kavalerio
Stra, Venezia	Stra
Zrikavci	Grilo
Garzeno, Como	Garzeno
Faggeto Lario, Como	Faggeto Lario
Grandate, Como	Grandate
287. п. н. е.	-287
Schignano	Schignano
Laglio, Como	Laglio
Arzignano, Vicenza	Arzignano
Torno, Como	Torno
Lurate Caccivio, Como	Lurate Caccivio
216. п. н. е.	-216
Solbiate, Como	Solbiate
Lipomo, Como	Lipomo
Lasnigo, Como	Lasnigo
300. п. н. е.	-300
Cucciago, Como	Cucciago
Fossalta di Piave, Venezia	Fossalta di Piave
Valmorea, Como	Valmorea
Протокол из Кјота	Protokolo de Kioto
Refrontolo, Treviso	Refrontolo
Марија Антоанета	Marie-Antoinette
Vigonovo, Venezia	Vigonovo
Харфа	Harpo
Lurago Marinone, Como	Lurago Marinone
Tarzo, Treviso	Tarzo
Magreglio, Como	Magreglio
Veniano, Como	Veniano
Gera Lario, Como	Gera Lario
Cinto Caomaggiore, Venezia	Cinto Caomaggiore
Vertemate Con Minoprio, Como	Vertemate con Minoprio
Tavernerio, Como	Tavernerio
Senna Comasco, Como	Senna Comasco
Villa Guardia, Como	Villa Guardia
Teglio Veneto, Venezia	Teglio Veneto
Bovolone, Verona	Bovolone
Шарлвил Мезјер	Charleville-Mézières
Lonigo, Vicenza	Lonigo
Lambrugo, Como	Lambrugo
Lezzeno, Como	Lezzeno
Scorzè, Venezia	Scorzè
Turate, Como	Turate
Gironico al Piano, Como	Gironico
Torre di Mosto, Venezia	Torre di Mosto
Locate Varesino, Como	Locate Varesino
Montano Lucino, Como	Montano Lucino
Nesso, Como	Nesso
Pognana Lario, Como	Pognana Lario
Ponte Lambro, Como	Ponte Lambro
Moltrasio, Como	Moltrasio
Olgiate Comasco, Como	Olgiate Comasco
Faloppio, Como	Faloppio
Rovello Porro, Como	Rovello Porro
Orsenigo, Como	Orsenigo
Фернандо I од Арагона	Fernando la 1-a (Aragono)
Rodero, Como	Rodero
Sorico, Como	Sorico
Plesio, Como	Plesio
Maser, Treviso	Maser
Mezzegra, Como	Mezzegra
Lugo di Vicenza, Vicenza	Lugo di Vicenza
Генерална скупштина Организације уједињених нација	Ĝenerala Asembleo de Unuiĝintaj Nacioj
Pellio Intelvi, Como	Pellio Intelvi
Menaggio, Como	Menaggio
Милтон Фридман	Milton Friedman
Montemezzo, Como	Montemezzo
Valdobbiadene, Treviso	Valdobbiadene
Ramponio Verna, Como	Ramponio Verna
Грин Беј (Висконсин)	Green Bay (Viskonsino)
Ferrara di Monte Baldo, Verona	Ferrara di Monte Baldo
Новчаница	Monbileto
Едмунд Халеј	Edmond Halley
Oltrona di San Mamette, Como	Oltrona di San Mamette
Peglio, Como	Peglio (Lombardio)
Solagna	Solagna
158. п. н. е.	-158
Zelbio, Como	Zelbio
Sant'Anna d'Alfaedo, Verona	Sant'Anna d'Alfaedo
Proserpio, Como	Proserpio
127. п. н. е.	-127
Rezzago, Como	Rezzago
Mariano Comense, Como	Mariano Comense
Pianello del Lario, Como	Pianello del Lario
117. п. н. е.	-117
Noventa di Piave, Venezia	Noventa di Piave
153. п. н. е.	-153
Roncade, Treviso	Roncade
Ronago, Como	Ronago
Luisago, Como	Luisago
125. п. н. е.	-125
Fino Mornasco, Como	Fino Mornasco
108. п. н. е.	-108
Limido Comasco, Como	Limido Comasco
San Fermo della Battaglia, Como	San Fermo della Battaglia
Екс ан Прованс	Aix-en-Provence
124. п. н. е.	-124
San Zeno di Montagna, Verona	San Zeno di Montagna
Povegliano, Treviso	Povegliano
Алхамбра	Alhambro
Pedemonte	Pedemonte (Viĉenco)
Bevilacqua, Verona	Bevilacqua
Пол Дирак	Paul Dirac
Livo, Como	Livo (CO)
Андре Жид	André Gide
Stazzona	Stazzona (Italio)
Vestenanova, Verona	Vestenanova
Међународни кривични суд	Internacia puna kortumo
Cornuda, Treviso	Cornuda
Газа	Gaza-urbo
Џејмстаун	Jamestown
Mareno di Piave, Treviso	Mareno di Piave
Velo Veronese, Verona	Velo Veronese
Празник рада	Tago de la Laboro
Dolcè, Verona	Dolcè
Мајчин дан	Tago de patrinoj
Слово о Игоровом походу	Parolo pri la militiro Igora
Dolo	Dolo (Italio)
Компилатор	Tradukilo
Ossuccio, Como	Ossuccio
Porlezza, Como	Porlezza
Сирћетна киселина	Acetata acido
Sona, Verona	Sona (Italio)
Поток	Rivereto
Радар	Radaro
Анубис	Anubo
221. п. н. е.	-221
Sorgà, Verona	Sorgà
Дабар	Kastoro
Organizacija islamske konferencije	Organizaĵo de Islama Kunlaboro
Норвешко море	Norvega maro
Ronco All'Adige, Verona	Ronco all'Adige
Виктор Валдез	Víctor Valdés
Тицијан Вечели	Ticiano
Иштар	Iŝtar
Торуњ	Toruń
Сан Дона ди Пијаве	San Donà di Piave
Иво Андрић	Ivo Andrić
Председнички избори у САД	Usona prezidanta elekto
Санта леда	Glacimonto
Лорка	Lorko
Мјерне јединице	Mezurunuo
Фибоначијев низ	Fibonaĉi-nombro
Vittorio Veneto (višeznačna odrednica)	Vittorio Veneto
Ђанфранко Фини	Gianfranco Fini
Гарда (Верона)	Garda
Баскија (историјска територија)	Eŭskio
Византијска архитектура	Bizanca arkitekturo
Белем	Belém
Алфонсо X од Кастиље	Alfonso la 10-a (Kastilio)
Хари Потер и затвореник из Аскабана (књига)	Hari Poter kaj la Kaptito de Azkabano
Montorfano	Montorfano
Grandola ed Uniti, Como	Grandola ed Uniti
Cusino, Como	Cusino
MS-DOS	MS-DOS
San Fedele Intelvi, Como	San Fedele Intelvi
Parè, Como	Parè
SQL	SQL
Dongo, Como	Dongo (Italio)
Sala Comacina, Como	Sala Comacina
Ефес	Efeso
Domaso, Como	Domaso
Вилафранка ди Верона	Villafranca di Verona
Fenegrò, Como	Fenegrò
Инкандесцентна сијалица	Ampolo
Merone, Como	Merone
Pigra, Como	Pigra
Надин Гордимер	Nadine Gordimer
Veleso, Como	Veleso
Longone al Segrino, Como	Longone al Segrino
230. п. н. е.	-230
Lanzo d'Intelvi, Como	Lanzo d'Intelvi
Pusiano, Como	Pusiano
295. п. н. е.	-295
Rovellasca, Como	Rovellasca
Андаманско море	Andamana Maro
Lenno, Como	Lenno
Farra di Soligo, Treviso	Farra di Soligo
Dosso del Liro, Como	Dosso del Liro
276. п. н. е.	-276
Novedrate, Como	Novedrate
Pressana, Verona	Pressana
Guanzate, Como	Guanzate
204. п. н. е.	-204
Trezzone, Como	Trezzone
Valbrona, Como	Valbrona
Inverigo, Como	Inverigo
288. п. н. е.	-288
Palù	Palù
Lomazzo, Como	Lomazzo
Peschiera del Garda	Peschiera del Garda
San Siro, Como	San Siro
Венера (богиња)	Venuso (diino)
Крвне групе	Sangogrupo
Zanè, Vicenza	Zanè
Roverchiara, Verona	Roverchiara
Mozzate, Como	Mozzate
Кетрин Зита-Џоунс	Catherine Zeta-Jones
Pianezze	Pianezze
Maslianico, Como	Maslianico
Musso, Como	Musso
Блек сабат	Black Sabbath
Mezzane di Sotto, Verona	Mezzane di Sotto
Ратници од теракоте	Terakota armeo
Америго Веспучи	Amerigo Vespucci
Књига Исуса Навина	Josuo (libro)
Paese, Treviso	Paese
Вавилонија	Babilonio
Rudolf Kristof Ojken	Rudolf Christoph Eucken
Salizzole, Verona	Salizzole
Oppeano, Verona	Oppeano
Калахари	Kalaharo
Кум (филм)	The Godfather
Даунов синдром	Down-sindromo
Чарлстон (Јужна Каролина)	Charleston (Suda Karolino)
Народ слободе	La Popolo de Libereco
Брокуле	Brokolo
Хоби	Ŝatokupo
Демократска партија (Италија)	Demokrata Partio (Italio)
Светско првенство у фудбалу 2002.	Futbala Mondpokalo 2002
Чуанг Це	Ĝuangzio
Муслимани	Islamano
Гутенборн	Gutenborn
Nogara, Verona	Nogara
Папа Еварист	Evaristo
Северна лига за независност Паданије	Norda Ligo
Имре Кертес	Imre Kertész
Фудбалска репрезентација Енглеске	Angla nacia teamo de futbalo
Блу-реј диск	Blu-radia disko
Фудбалска репрезентација Француске	Franca nacia teamo de futbalo
Roverè Veronese, Verona	Roverè Veronese
Заха Хадид	Zaha Hadid
Постмодернизам	Postmodernismo
Rivoli Veronese, Verona	Rivoli Veronese
Тетанус	Tetanoso
Тилапија	Tilapio
Козаци	Kozakoj
Чанакале (вилајет)	Provinco Çanakkale
Покрет 5 звезда	MoVado 5 Steloj
.tf	.tf
Malcesine, Verona	Malcesine
Бери (Енглеска)	Bury
Selva di Progno, Verona	Selva di Progno
Ел Ајун	Ajuno
Циси	Ciŝji
Пејзажна архитектура	Pejzaĝarkitekturo
Наото Кан	Kan Naoto
Roveredo di Guà, Verona	Roveredo di Guà
San Giovanni Lupatoto, Verona	San Giovanni Lupatoto
Пратиба Патил	Pratibha Patil
Нана	Mento
Minerbe, Verona	Minerbe
Roncà, Verona	Roncà
Мидвеј	Midvejinsuloj
Армадило	Dazipo
Erbè, Verona	Erbè
Mozzecane, Verona	Mozzecane
Green Day	Green Day
Isola della Scala, Verona	Isola della Scala
Роби Вилијамс	Robbie Williams
Soave	Soave
Сид Вишос	Sid Vicious
San Pietro in Cariano, Verona	San Pietro in Cariano
San Bonifacio, Verona	San Bonifacio
Карта (игра)	Ludkarto
339	339
Erbezzo	Erbezzo
340	340
Најмеген	Nijmegen
Grezzana, Verona	Grezzana
Застава Финске	Flago de Finnlando
Префектура Мијаги	Gubernio Mijagi
Парис Хилтон	Paris Hilton
Nestor Mahno	Nestor Maĥno
Марио Монти	Mario Monti
Херман Геринг	Hermann Göring
Rak pluća	Pulma kancero
Обавештајна служба	Sekreta servo
Лакнау	Laknaŭo
354	354
Циркус	Cirkartoj
356	356
358	358
Солфорд	Salford
361	361
Лабрадорска струја	Labradora Marfluo
363	363
364	364
Шенси	Ŝenŝjio
Eraclea	Eraclea
Лична карта	Identiga karto
Nogarole Rocca, Verona	Nogarole Rocca
San Martino Buon Albergo, Verona	San Martino Buon Albergo
368	368
Fossalta di Portogruaro	Fossalta di Portogruaro
369	369
Isola Rizza, Verona	Isola Rizza
370	370
Унца	Unco
Gruaro, Venezia	Gruaro
Седе ваканте	Vaka Seĝo
371	371
Monteforte d'Alpone, Verona	Monteforte d'Alpone
Gaiarine, Treviso	Gaiarine
Legnago, Verona	Legnago
Шаблон:Commonscat	Ŝablono:Commonscat
Cerea	Cerea
Valeggio sul Mincio, Verona	Valeggio sul Mincio
Salgareda, Treviso	Salgareda
Mogliano Veneto, Treviso	Mogliano Veneto
376	376
377	377
378	378
Сергеј Бирјузов	Sergej Birjuzov
1780е	1780-aj jaroj
Piovene Rocchette, Vicenza	Piovene Rocchette
Мота ди Ливенца	Motta di Livenza
383	383
384	384
Agugliaro, Vicenza	Agugliaro
Oderzo	Oderzo
Marostica, Vicenza	Marostica
Cologna Veneta, Verona	Cologna Veneta
Sommacampagna, Verona	Sommacampagna
388	388
Момент силе	Torda momanto
389	389
Pescantina, Verona	Pescantina
390	390
Lavagno, Verona	Lavagno
391	391
Thiene, Vicenza	Thiene
392	392
1730е	1730-aj jaroj
393	393
394	394
395	395
Vigasio, Verona	Vigasio
396	396
397	397
Менингитис	Meningito
398	398
399	399
Follina, Treviso	Follina
Crocetta del Montello, Treviso	Crocetta del Montello
1540е	1540-aj jaroj
Застава Немачке	Flago de Germanio
Torrebelvicino, Vicenza	Torrebelvicino
San Vito di Leguzzano, Vicenza	San Vito di Leguzzano
Santa Lucia di Piave, Treviso	Santa Lucia di Piave
Бедрих Сметана	Bedřich Smetana
Света земља	Sankta Lando
297. п. н. е.	-297
Cornedo Vicentino, Vicenza	Cornedo Vicentino
330. п. н. е.	-330
Википедија на немачком језику	Germanlingva Vikipedio
Erik Klepton	Eric Clapton
Тевтонски ред	Ordeno de germanaj kavaliroj
Terrazzo, Verona	Terrazzo
Фридек-Мистек	Frýdek-Místek
Басра	Basra
Изворна ћелија	Praĉelo
Списак данских владара	Listo de danaj reĝoj
Лапонци	Sameoj
Посланица Римљанима	Epistolo al la romanoj
Удружење	Asocio
Александар Керенски	Aleksandr Kerenskij
Блиски исток	Proksima Oriento
Маликијски мезхеб	Malikismo
293. п. н. е.	-293
Ралф Волдо Емерсон	Ralph Waldo Emerson
Araceae	Arumacoj
Иди Амин	Idi Amin
Monticello Conte Otto, Vicenza	Monticello Conte Otto
Stoicizam	Stoikismo
23 (број)	23 (nombro)
Ceggia, Venezia	Ceggia
Cogollo del Cengio, Vicenza	Cogollo del Cengio
Мајн кампф	Mein Kampf
Ернст Хекел	Ernst Haeckel
Аренфјолфелд	Ahrenviölfeld
Фокландски рат	Falklanda milito
Дуевиле	Dueville
Дњепропетровск	Dnipropetrovsko
Берендорф (Нордфрисланд)	Behrendorf (Norda Frislando)
Левенштет	Löwenstedt
Дик Чејни	Dick Cheney
Хазелунд	Haselund
Бонделум	Bondelum
Eksboks 360	Xbox 360
Родни идентитет	Seksa identeco
Fedora	Fedora
Међународна унија за заштиту природе	Internacia Unio por la Konservo de Naturo
Именштет (Северна Фризија)	Immenstedt (Norda Frislando)
Адамстаун	Adamstaŭno
.pn	.pn
Rod (sociologija)	Socia sekso
Медељин	Medeĝino
320. п. н. е.	-320
Студент	Studanto
Јулија Тимошенко	Julija Timoŝenko
Зубна пулпа	Dentpulpo
Арл (град)	Arles
Парабола	Parabolo (matematiko)
Martin Hajdeger	Martin Heidegger
Еурипид	Eŭripido
.nf	.nf
Битка код Ватерлоа	Batalo de Waterloo
Urea	Ureo
Ханс Холбајн Млађи	Hans Holbein la malpliaĝa
Кобе	Kobe
Морал	Moralo
Префектура Ивате	Gubernio Iŭate
Беовулф	Beowulf
Маријехамн	Mariehamn
Хирагана	Rondaj kanaoj
Њуфаундленд	Novlando
Морган Фриман	Morgan Freeman
Кајсери	Kayseri
Si-En-En	CNN
Варјази	Varengo
Ресифе	Recife
Царство	Imperio
Šef države	Ŝtatestro
Мост Рио-Антирио	Ponto Rio-Antirio
Минарет	Minareto
Малајски пролаз	Malaka Markolo
Махајана	Mahajano
Тања Савичева	Tanja Saviĉeva
Магеланов мореуз	Magelana markolo
.su	.su
Дејвид Ливингстон	David Livingstone
Чекрк	Takelo
310. п. н. е.	-310
326. п. н. е.	-326
490. п. н. е.	-490
285. п. н. е.	-285
Амрицар	Amritsar
Застава Албаније	Flago de Albanio
Ричард Гир	Richard Gere
2127 Тања	2127 Tanya
Задужбина за слободни софтвер	Fondaĵo por Libera Programaro
Гностицизам	Gnostikismo
Птица грабљивица	Rabobirdo
Светско првенство у фудбалу 1930.	Futbala Mondpokalo 1930
Саграда фамилија	Templo Sankta Familio
Свети Георгије	Sankta Georgo
Сунчев радијус	Suna radiuso
Феникс	Fenikso (birdo)
San Vito Sullo Ionio, Catanzaro	San Vito sullo Ionio
Tregnago, Verona	Tregnago
Sant'Andrea Apostolo dello Ionio, Catanzaro	Sant'Andrea Apostolo dello Ionio
Нови хоризонти	New Horizons
Zevio, Verona	Zevio
Војаџер 1	Voyager 1
Illasi, Verona	Illasi
San Mauro di Saline, Verona	San Mauro di Saline
Torri del Benaco, Verona	Torri del Benaco
IOS (оперативни систем)	IOS
Марсова научна лабораторија	Marsa Scienca Laboratorio
1750е	1750-aj jaroj
Торопец	Toropec
1580е	1580-aj jaroj
Розета (свемирска сонда)	Rosetta (kosmosondilo)
Камен из Розете	Rozeta ŝtono
1590е	1590-aj jaroj
Свемирска станица Мир	Mir (kosmostacio)
Афанасиј Никитин	Afanasij Nikitin
Sarkofag	Sarkofago
Енарета	Enareto
Вест Ајленд (град)	Okcidenta Insulo (Kokosinsuloj)
Краљевство Јудеја	Regno de Jehuda
Vestern blot	Proteina trimoo
Ли Харви Освалд	Lee Harvey Oswald
Бабин Јар	Babij Jar
Хортикултура	Hortikulturo
Спејс-шатл	Kosmopramo
Свемирски центар Кенеди	Kennedy Space Center
Округ Ролет (Северна Дакота)	Kantono Rolette (Norda Dakoto)
Лодовико Ариосто	Ludoviko Ariosto
Бесни Орландо	Orlando Furioso
Википедија на персијском језику	Perslingva Vikipedio
Неји на Сени	Neuilly-sur-Seine
Калипса	Kalipso (mitologio)
Лавиринт	Labirinto
Лајнус Полинг	Linus Pauling
ZDF	ZDF
Вупи Голдберг	Whoopi Goldberg
Патрик Свејзи	Patrick Swayze
Прост број	Primo
Сан Луис Обиспо (Калифорнија)	San Luis Obispo (Kalifornio)
Шиваћа машина	Kudromaŝino
Округ Сан Луис Обиспо	Kantono San Luis Obispo (Kalifornio)
Хју Лори	Hugh Laurie
Филмски фестивал у Венецији	Festivalo de Venecio
Хеди Ламар	Hedy Lamarr
Југ (САД)	Sudaj ŝtatoj de Usono
Курт Вонегут	Kurt Vonnegut
Шестодневни рат	Sestaga milito
Кристофер Хиченс	Christopher Hitchens
Приповетка	Novelo
Afroamerikanci	Afrik-usonanoj
Симон Визентал	Simon Wiesenthal
Универзитет Коламбија	Universitato Kolumbio
Чарлс Тејлор	Charles Taylor
Јомкипурски рат	Milito de Jom Kippur
Суецка криза	Sueza krizo
Libanski rat 2006.	Israela-Libana konflikto de 2006
Масачусетски технолошки институт	Masaĉuseca Instituto de Teknologio
Кембриџ (Масачусетс)	Kembriĝo (Masaĉuseco)
Jejl	Universitato Yale
Универзитет Пенсилваније	Universitato de Pensilvanio
Toshiba	Toshiba
Квинси (Масачусетс)	Quincy (Masaĉuseco)
Њу Хејвен	New Haven (Konektikuto)
Нантакет	Nantucket
Спрингфилд (Масачусетс)	Springfield (Masaĉuseco)
Лоуел (Масачусетс)	Lowell (Masaĉuseco)
Стамфорд	Stamford (Konektikuto)
279	279
Бриџпорт (Конектикат)	Bridgeport (Konektikuto)
Вотербери (Конектикат)	Waterbury (Konektikuto)
Вустер (Масачусетс)	Worcester (Masaĉuseco)
440	440
517	517
572	572
Волтам (Масачусетс)	Waltham (Masaĉuseco)
Портсмут (Њу Хемпшир)	Portsmouth (Nov-Hampŝiro)
Фол Ривер (Масачусетс)	Fall River (Masaĉuseco)
Самервил (Масачусетс)	Somerville (Masaĉuseco)
Портланд (Мејн)	Portland (Majno)
Рочестер (Њујорк)	Roĉestro (Nov-Jorkio)
Ервајн	Irvine
Фримонт	Fremont (Kalifornio)
Скотсдејл	Scottsdale (Arizono)
Рино (Невада)	Reno (Nevado)
Винстон-Сејлем	Winston-Salem
Аустронежански језици	Aŭstronezia lingvaro
Дарам (Северна Каролина)	Durham (Norda Karolino)
Норфок (Вирџинија)	Norfolko (Virginio)
Орландо	Orlando
Сент Питерсбург	Sankt-Peterburgo (Florido)
Папа Лав X	Leono la 10-a
Гринсборо	Greensboro (Norda Karolino)
Толидо	Toledo (Ohio)
Стоктон (Калифорнија)	Stockton (Kalifornio)
Лексингтон	Leksingtono (Kentukio)
Корпус Кристи	Corpus Christi (Teksaso)
Риверсајд	Riverside (Kalifornio)
Санта Ана (Калифорнија)	Santa Ana (Kalifornio)
Орора (Колорадо)	Aurora (Koloradio)
Анахајм	Anaheim
Тампа	Tampa
Бејкерсфилд	Bakersfield
Колорадо Спрингс	Colorado Springs
Вирџинија Бич	Virginia Beach
Меса (Аризона)	Mesa
Вичита	Wichita (Kansaso)
Хендерсон (Невада)	Henderson (Nevado)
Форт Вејн	Fort Wayne
Чула Виста	Chula Vista
Чандлер (Аризона)	Chandler (Arizono)
Лабок (Тексас)	Lubbock
Гарланд (Тексас)	Garland (Teksaso)
Хајалија	Hialeah
NGC 41	NGC 41
Albert Švajcer	Albert Schweitzer
Лекари без граница	Kuracistoj sen landlimoj
Јаванско море	Java Maro
Ледено доба	Glaciepoko
Источне католичке цркве	Orientaj katolikaj eklezioj
Древноисточне цркве	Antikvaj Orientaj Eklezioj
Соларни циклус	Suna ciklo
Туризам	Turismo
Свемирски туризам	Kosmoturismo
Бад Заров	Bad Saarow
Безериц	Beseritz
Бланкенхоф	Blankenhof
Брун (Мекленбург)	Brunn (Meklenburgo)
Недемин	Neddemin
Нојенкирхен (Нојбранденбург)	Neuenkirchen apud Neubrandenburg
Неферин	Neverin
Шпонхолц	Sponholz
Штавен	Staven
Троленхаген	Trollenhagen
Вогерзин	Woggersin
Вулкенцин	Wulkenzin
Цирцов (Мекленбург-Штерлиц)	Zirzow
Плута	Korko
Светоназор	Mondkoncepto
Progresivni rok	Progresiva roko
Архиепископ	Ĉefepiskopo
Пјер Мариво	Pierre Carlet de Marivaux
Сергеј Прокофјев	Sergej Prokofjev
Апостолско прејемство	Apostola posteuleco
Константин Станиславски	Konstantin Sergejeviĉ Stanislavski
Жан де Лафонтен	Jean de La Fontaine
Летонци	Latvoj
Руси	Rusoj
Шингу	Ŝinguo (rivero)
Aceton	Acetono
Дизи Гилеспи	Dizzy Gillespie
Хака (град)	Ĥako
Олоњец	Olonec
Ponte Buggianese	Ponte Buggianese
Монтекатини Терме	Montecatini Terme
2026	2026
Надимак	Petolnomo
2025	2025
Интернационала	La Internacio (himno)
2024	2024
2023	2023
Радничка партија Кореје	Korea Laborista Partio
2022	2022
2021	2021
Француска акција	Action Française
NGC 42	NGC 42
Лох Нес	Loch Ness
NGC 43	NGC 43
Чудовиште из Лох Неса	Monstro de Loch Ness
NGC 44	NGC 44
NGC 45	NGC 45
NGC 46	NGC 46
NGC 47	NGC 47
Велика кнежевина Литванија	Grandprinclando Litovio
NGC 48	NGC 48
Василиј III Иванович	Bazilo la 3-a (Rusio)
NGC 49	NGC 49
Свете тајне	Sakramento
Серхио Бускетс	Sergio Busquets
NGC 50	NGC 50
Laurito, Salerno	Laurito
Шећерна вуна	Sukerŝpinaĵo
Мајнкрафт	Minecraft
Морис Метерлинк	Maurice Maeterlinck
Јединствена социјалистичка партија Немачке	Sozialistische Einheitspartei Deutschlands
Пјер де Ронсар	Pierre de Ronsard
Хришћанско-демократска унија Немачке	Kristandemokrata Unio de Germanio
Хришћанско-социјална унија Баварске	Kristan-Sociala Unio en Bavario
Левица (Немачка)	La Maldekstro
Луј XVII	Ludoviko la 17-a (Francio)
Савез 90/Зелени	Alianco '90/La Verduloj
Франсоа Рене де Шатобријан	François René de Chateaubriand
Социјалдемократска партија Немачке	Socialdemokratia Partio de Germanio
