Àfrica	Afriko
Bohemian Rhapsody	Bohemian rhapsody
Gyõr-Moson-Sopron	Győr-Moson-Sopron
Merelbeke	Merelbeke
Llista de les ciutats de Rússia	Listo de urboj de Rusio
Denari	Denaro
Ocarina	Okarino
Serigrafia	Serigrafio
Aurenja	Orange (Francio)
Citizendium	Civitendio
Spokane (Washington)	Spokane (Vaŝingtonio)
Dunaújváros	Dunaújváros
Tatabánya	Tatabánya
Jerome Isaac Friedman	Jerome Isaac Friedman
Móstoles	Mostolo
Història d'Àustria	Historio de Aŭstrio
Mandy Moore	Mandy Moore
Torn	Tornomaŝino
Saona	Saône
Òpera Garnier	Operejo Garnier
Vosges (serralada)	Vogezoj
Flauta dolça	Bekfluto
Oca de coll roig	Ruĝbrusta ansero
Scandinavian Airlines System	Scandinavian Airlines
Opció	Opcio (ekonomio)
Kunlun	Kunlun
Província de Plòvdiv	Provinco Plovdiv
Excàlibur	Excalibur
Piga	Efelido
Estret de Kertx	Kerĉa markolo
Fernando Llorente Torres	Fernando Llorente
Zonguldak	Zonguldak
Civilització tolteca	Toltekoj
Deep Blue	Deep Blue
Cristologia	Kristologio
Polla blava	Purpura porfirio
Minix	Minikso
Àgora	Agoro
Brageirac	Bergerac (Dordogne)
Cursa de cavalls	Ĉevalvetkuro
Fenolftaleïna	Fenolftaleino
Província de Caraş-Severin	Distrikto Caraș-Severin
Marjor	Markoro
Monorail	Unurelvojo
Pitești	Pitești
Ochroma pyramidale	Balzo
Antílop americà	Antilokapro
Piatra Neamț	Piatra Neamț
Partitura	Partituro
Contenidor	Kontenero
Pingüí d'Adèlia	Adelia pingveno
Propietat distributiva	Distribueco
Léon Foucault	Léon Foucault
Uadi	Uedo
Iberia LAE	Iberia
Període tinita	Frua Dinastia Periodo de Egiptio
Alcibíades	Alkibiado
Tibetans	Tibetanoj
Truita arc de Sant Martí	Ĉielarka truto
Ragnar Frisch	Ragnar Anton Kittil Frisch
Vegetació	Vegetaĵaro
Cèsar Borja	Cezaro Borgia
Dispnea	Dispneo
Tirosina	Tirozino
Mardin	Mardin
Aristarc	Aristarko
Llac salat	Salakva lago
Fasmatodeu	Fantominsektoj
Metropolitan Opera	Metropola Operejo
Lo Mont	Mont-de-Marsan
Pedrera	Ŝtonminejo
Merlí	Merlin (mitologio)
Escut de Lituània	Blazono de Litovio
Setge	Sieĝo
Triangulació	Triangulado
Comtat de Vílnius	Distrikto Vilno
Feu	Feŭdo
Comtat de Järva	Järvamaa
Bandera de Tonga	Flago de Tongo
Comtat de Võru	Võrumaa
Declinació gramatical	Deklinacio (gramatiko)
Arantxa Sánchez Vicario	Arantxa Sánchez Vicario
Český Krumlov	Český Krumlov
Comtat de Panevėžys	Distrikto Panevėžys
Langston Hughes	Langston Hughes
Penang	Penango
Francesca Schiavone	Francesca Schiavone
Museu Nacional de Praga	Nacia muzeo (Prago)
Ronald Coase	Ronald H. Coase
Staphylococcus aureus	Staphylococcus aureus
Aleksei Abrikóssov	Aleksej Abrikosov
Dofí de riu xinès	Blanknaĝila delfeno
Jeffrey Jacob Abrams	Jeffrey Jacob Abrams
Província de Kunar	Provinco Kunar
Isquèmia	Iskemio
Pectina	Pektino
Província de Parwan	Provinco Parvan
Universíades	Universiado
Índies Orientals Neerlandeses	Nederlanda Hindio
Província d'Adrar	Provinco Adrar
William Seward Burroughs	William S. Burroughs
Premi Abel	Abel-Premio
Palau de l'Elisi	Palaco Elizeo
Corda (geometria)	Ĥordo (geometrio)
Sistema biològic	Organa sistemo
Vättern	Vättern
Fabian Cancellara	Fabian Cancellara
Ogg	Ogg
Bòer	Buroj
Canal de Bristol	Kanalo de Bristol
George Armstrong Custer	George Armstrong Custer
Llista d'emperadors del Japó	Listo de imperiestroj de Japanio
Invariant	Invarianto (matematiko)
Tauró tigre	Tigroŝarko
SEAT	SEAT
Càncer (desambiguació)	Kancero (apartigilo)
Districte de Rheintal	Rejnvalo (elektodistrikto)
Autoclau	Aŭtoklavo
Selecció de futbol del Salvador	Salvadora nacia teamo de futbalo
Successió vegetal	Sukcesio (ekologio)
Dídim d'Alexandria (monjo)	Didimo la Blindulo
Dècada del 1400	1400-aj jaroj
Cíbele	Cibelo
Epífit	Epifito
Polièster	Poliestero
Gluten	Gluteno
Fezzan	Fezano
Purina	Purino
Paradigma de programació	Programada paradigmo
Ubisoft	Ubisoft
Cruzeiro Esporte Clube	Cruzeiro Esporte Clube
Christina Applegate	Christina Applegate
Cantó d'Esch-sur-Alzette	Kantono Esch-sur-Alzette
Motet	Moteto
Rupia pakistanesa	Pakistana rupio
Frits Zernike	Frits Zernike
Petit teorema de Fermat	Malgranda teoremo de Fermat
Sunderland (Tyne i Wear)	Sunderland
Exèrcit de Salvació	Armeo de Savo
Blackburn	Blackburn
Porto Venere	Portovenere
Escut del Brasil	Blazono de Brazilo
Història de l'Azerbaidjan	Historio de Azerbajĝano
Lysá pod Makytou	Lysá pod Makytou
Alcmeó de Crotona	Alkmeono de Krotono
Safed	Safed
Nicéphore Niépce	Joseph Nicéphore Niépce
Geoffrey de Monmouth	Geoffrey de Monmouth
Alfons I d'Este	Alfonso la 1-a (Este)
Mitjana harmònica	Harmona meznombro
Selecció de futbol de Iugoslàvia	Jugoslavia nacia teamo de futbalo
Relació d'ones estacionàries	Staranta onda rilatumo
Gran Fam Irlandesa	Granda malsatego en Irlando
Regió de Bohèmia Meridional	Sudbohemia regiono
Lucy Liu	Lucy Liu
Gertrude Stein	Gertrude Stein
Leptó tau	Taŭono
Nippur	Nippur
Regió de Bohèmia Central	Mezbohemia regiono
Bernat de Claravall	Bernardo de Clairvaux
Newsweek	Newsweek
Esperança de vida	Vivdaŭro
Roy Orbison	Roy Orbison
Bangka	Insulo Bangka
Apollo 12	Apollo 12
Teròpode	Teropodoj
Micronació	Mikronacio
Geometria diferencial	Diferenciala geometrio
Tallarol de casquet	Nigraĉapa silvio
Cable elèctric	Kablo
Llista de ciutats i pobles de Romania	Listo de urboj de Rumanio
Neurocirurgia	Nervoĥirurgio
Gènere musical	Muzika ĝenro
Yamaha Corporation	Yamaha Corporation
Ex-libris	Ekslibriso
Goldie Hawn	Goldie Hawn
Recurs natural	Krudmaterialo
Dret canònic	Kanonika juro
Pixies	Pixies
Arcidosso	Arcidosso
Artaxerxes II de Pèrsia	Artakserkso la 2-a
Gènere d'acció	Agfilmo
Bandera de Samoa	Flago de Samoo
Brăila	Brăila
Paramagnetisme	Paramagnetismo
Campagnatico	Campagnatico
Robin Gibb	Robin Gibb
Bèlagarda de Rasés	Bellegarde-du-Razès
Comerç just	Justa komerco
Llac Trasimè	Trasimeno
Escata	Skvamo
Illa del Cap Bretó	Insulo de Breton-Kabo
Capalbio	Capalbio
Caça de bruixes	Ĉasado de la sorĉistinoj
Batalla d'Agincourt	Batalo de Azincourt
Belley	Belley
Cos d'exèrcit	Korpuso (armeo)
Castel del Piano	Castel del Piano
Llista de municipis de l'Ain	Komunumoj de Ain
Sebastian Newbold Coe	Sebastian Coe
Província de Brăila	Distrikto Brăila
Medicina alternativa	Alternativa medicino
Província de Constanța	Distrikto Constanța
Apartament	Apartamento
Garait	Guéret
Tata Motors	Tata Motors
Coisan	Couiza
Festival de la Cançó d'Eurovisió 1958	Eŭrovido-Kantokonkurso 1958
Horòscop	Horoskopo
Elements clàssics	Klasikaj elementoj
Placa eurasiàtica	Eŭrazia plato
Tensor	Tensoro
Marina Tsvetàieva	Marina Cvetajeva
Pont Vell de Mostar	Stari most
Dècada del 1410	1410-aj jaroj
Charoms	Charron (Creuse)
Objective-C	Objective-C
Acords de Bretton Woods	Ekonomia Modelo de Bretton Woods
Cinturó de Van Allen	Zonoj de Van Allen
Tigre de la mar Càspia	Kaspia tigro
El mestre i Margarida	La Majstro kaj Margarita
Chandragupta Maurya	Ĉandragupto Maŭrjo
Nélson de Jesus Silva	Dida
Pangrama	Ĉiuliteraĵo
Castiglione della Pescaia	Castiglione della Pescaia
Campionat d'Europa de futbol 1976	Eŭropa Futbal-Ĉampionado 1976
República Batava	Batava Respubliko
Wine	Wine
Legió Estrangera Francesa	Fremdula Legio
Llibre de Sofonies	Libro de Cefanja
Massimo Ambrosini	Massimo Ambrosini
Cinigiano	Cinigiano
Defensa siciliana	Sicilia defendo
Grameen Bank	Gramin-Banko
William Godwin	William Godwin
Fèliks Dzerjinski	Feliks Dzerĵinskij
Fet	Fakto
Civitella Paganico	Civitella Paganico
Winnie-the-Pooh	Winnie-la-Pu
Frenologia	Frenologio
Follonica	Follonica
Tokamak	Tokamako
Exèrcit Zapatista d'Alliberament Nacional	Zapatista Armeo por Nacia Liberigo
Segona Internacional	Dua Internacio
Cefeida	Cefeido
Bomba Tsar	Caro-bombo
Funció lineal	Lineara funkcio
Gavorrano	Gavorrano
Sisó	Malgranda otido
Capil·laritat	Kapilareco
Emfisema pulmonar	Emfizemo
Rial iranià	Irana rialo
Bandera de Palau	Flago de Palaŭo
Autoedició	Perkomputila eldonado
Pest	Pest
Confirmació	Konfirmacio
Xirivia	Pastinako
Reial Jardí Botànic de Kew	Reĝa Botanika Ĝardeno de Londono
Hanuman	Hanumano
Jerarquia	Hierarkio
Rigoberta Menchú Tum	Rigoberta Menchú
La Bohème	La Bohème
Anaconda	Anakondo
François Viète	François Viète
Pyeongchang	Pjonĉango
Sonic Youth	Sonic Youth
Harold Harefoot	Harold Harefoot
Consell d'administració	Estraro
Vulcanització	Vulkanizado
Maties Corví	Matiaso la 1-a (Hungario)
SI	Si
Trastorn de l'estat d'ànim	Afekcia perturbo
Serial ATA	Serial ATA
Mugró	Mampinto
Game Boy Advance	Game Boy Advance
Farinera borda	Faluseca amanito
Terciari	Terciaro
Marc Anneu Lucà	Lukano (romia poeto)
Lusitània	Luzitanio
Rocky	Rocky
Àhmad Yassín	Aĥmed Jasin
Hiena ratllada	Hieno
Comtat d'Utena	Distrikto Utena
Hoatzín	Hoacino
Província de Neamț	Distrikto Neamț
Himne de Bòsnia i Hercegovina	Intermeco
Marin Mersenne	Marin Mersenne
Província de Prahova	Distrikto Prahova
Adhesió	Adhero
Burhanuddin Rabbani	Burhanuddin Rabbani
Llar de foc	Kameno
Comunisme llibertari	Anarki-komunismo
Preity Zinta	Preity Zinta
Segó	Brano
Târgoviște	Târgoviște
Signatura	Subskribo
Garuda	Garudo
Resurrecció	Reviviĝo
Edmund II Ironside	Edmundo Ironside
Ocupació militar	Okupado
Gronxador	Pendolilo
Teranyina	Aranereto
Rodolfo Valentino	Rudolph Valentino
Butrint	Butrint
Alphonse de Lamartine	Alphonse de Lamartine
Maui	Maui
Simfonia núm. 5 (Beethoven)	5-a simfonio (Beethoven)
Thai Airways International	Thai Airways
Imperi Japonès	Japana Imperio
Nau (arquitectura)	Navo
Smilodon	Smilodonto
El pont del riu Kwai	The Bridge on the River Kwai (filmo)
Anihilació	Anihilacio
Quod erat demonstrandum	Q.E.D.
Lligadura (tipografia)	Ligaturo
Anthony Minghella	Anthony Minghella
Província de Hómiel	Homela regiono
Dolina	Dolino
Bòsnia	Bosnio
Accipiter	Akcipitroj
Enveja	Envio
Museu d'Art Modern de Nova York	Muzeo de Moderna Arto de Novjorko
Pleonasme	Pleonasmo
Lisieux	Lisieux
Freida Pinto	Freida Pinto
Bulb	Bulbo
Rossinyol (bolet)	Kantarelo
Cèsar (títol)	Cezaro (titolo)
Finlàndia del Sud	Suda Finnlando
Castell Himeji	Himeĵi-Kastelo
Я	Ja (cirila alfabeto)
Icosàedre	Dudekedro
Vestal	Vestalo
FLOPS	Flopo
Acadèmia Francesa de les Ciències	Akademio de Sciencoj de Francio
Okavango	Okavango
Castres (Tarn)	Castres (Tarn)
Amida (grup funcional)	Amido
Noruecs	Norvegoj
Rodés (Avairon)	Rodezo
Districte del Sud (Israel)	Suda distrikto de Israelo
Moshe Dayan	Moŝe Dajan
Superheroi	Superheroo
Districte Central (Israel)	Centra distrikto de Israelo
Falàfel	Kikerbulo
Concubinat	Konkubineco
David Schwimmer	David Schwimmer
Joan Capdevila i Méndez	Joan Capdevila
Isaïes (profeta)	Profeto Jesaja
Província de Galaţi	Distrikto Galați
Província de Dâmbovița	Distrikto Dâmbovița
Matança a Virgínia Tech	Masakro de Virginia Tech
Unió personal	Persona unio
Kensington i Chelsea	Kensington kaj Chelsea
Christiaan Barnard	Christiaan Barnard
Factorització	Faktorigo
Kitakyushu	Kitakjuŝu
Xarjah	Ŝarĵo
Província de Maramureș	Distrikto Maramureș
Església Ortodoxa Sèrbia	Serba Ortodoksa Eklezio
Beca	Stipendio
Auriac (Cruesa)	Auriat
Poni	Poneo
Xiongnu	Ŝiungnuoj
Roberto Arlt	Roberto Arlt
Bandera d'Aruba	Flago de Arubo
Planta medicinal	Kuracplanto
Fortaleza Esporte Clube	Fortaleza Esporte Clube
Voluntariat	Volontulo
Ciències ambientals	Mediscienco
María Elena Walsh	María Elena Walsh
Bulbul	Piknonotedoj
Panteó de París	Panteono de Parizo
Nicolas Boileau-Despreaux	Nicolas Boileau
Biblioteca informàtica	Biblioteko (programado)
Exili	Ekzilo
Camp (agricultura)	Kampo (agrikulturo)
Orontes	Orontes
Càncer colorectal	Kojlorektuma kancero
Pinsà mec	Montofringo
Dacs	Dax
Climent d'Alexandria	Klemento de Aleksandrio
Octàedre	Okedro
Llista de ciutats de Portugal	Listo de urboj de Portugalio
Dia del mestre	Tago de instruisto
Codi	Kodo
Veszprém (província)	Veszprém
Bernardino Rivadavia	Bernardino Rivadavia
Ribeirão Preto	Ribeirão Preto
Kütahya	Kütahya
Borsod-Abaúj-Zemplén	Borsod-Abaúj-Zemplén
Nova Iguaçú	Nova Iguaçu
The Fox and the Hound 2	The Fox and the Hound 2
Sorocaba	Sorocaba
Menci	Menceo
Gao	Gao
Ouro Preto	Ouro Preto
Llei de Murphy	Leĝo de Murphy
Cicle de Carnot	Ciklo de Carnot
Agricultura de plantació	Plantejo
Premi Hugo	Premio Hugo
Biblioteca Nacional d'Israel	Nacia Librejo de Israelo
Dècada del 1430	1430-aj jaroj
Delta Air Lines	Delta Air Lines
Ígor Deníssov	Igor Denisov
Galera	Galero
Batalla de Khalkhin Gol	Batalo de Halhin Gol
Bes	Beso
Província de Kabul	Provinco Kabul
Gerba	Ĝerbao
Emilio Aguinaldo	Emilio Aguinaldo
Buh Meridional	Suda Bugo
Mul·là	Mulao
Iaroslav I de Kíev	Jaroslavo la Saĝa
Xacal de llom negre	Nigradorsa ŝakalo
Província d'Olt	Distrikto Olt
Kedah	Kedaho
Província de Călărași	Distrikto Călărași
Extensible Messaging and Presence Protocol	Extensible Messaging and Presence Protocol
Anamnesi (medicina)	Anamnezo
Perak	Perako
Eric Steven Raymond	Eric S. Raymond
Fitopatologia	Fitopatologio
Xacal d'Etiòpia	Etiopia lupo
Igualitarisme	Egalismo
Província de Covasna	Distrikto Covasna
Comtat de Tauragė	Distrikto Tauragė
Comtat de Telšiai	Distrikto Telŝiao
Madame de Pompadour	Madamo de Pompadour
Bridge (joc)	Briĝo
Perspectiva	Perspektivo
B.B. King	B.B. King
Jean-Baptiste Colbert	Jean-Baptiste Colbert
Contracultura	Kontraŭkulturo
Els Invàlids	Hotelo de la Invalidoj
Kostas Karamanlís	Kostas Karamanlis
John Frusciante	John Frusciante
Mont Erebus	Monto Erebus
William Gibson	William Gibson
Aqüicultura	Akvokulturo
Tinció de Gram	Gram-kolorigo
Anarcosindicalisme	Anarki-sindikatismo
Drum and bass	Drumenbaso
Divergència	Diverĝenco
Regió de Prešov	Regiono Prešov
College	Kolegio
Konstantin Zyryanov	Konstantin Zirjanov
Notari	Notario
Ruggero Leoncavallo	Ruggero Leoncavallo
TED	TED (konferencoj)
Bulb raquidi	Mjela plilongigo
Petròpolis	Petrópolis
Etnocentrisme	Etnocentrismo
Mitilene	Mitileno (urbo)
Tractat pel qual s'establix una Constitució per a Europa	Eŭropa Konstitucio
Alyssa Milano	Alyssa Milano
Monk	Monk
Sinàpsid	Synapsida
Harlem	Harlemo
Xzibit	Xzibit
Maximí Daia	Maksimino Daia
Pesseta	Hispana peseto
Flavi Gracià	Graciano
Isomorfisme	Izomorfio
L'Anse aux Meadows	L'Anse aux Meadows
Espiral	Spiralo
Jan Matejko	Jan Matejko
Edward Morgan Forster	E. M. Forster
Bescanviador de calor	Varmointerŝanĝilo
Transgènere	Transgenrulo
León	León (Guanajuato)
Biònica	Bioniko
Cairns	Cairns
Uşak	Uşak
Teorema del valor mitjà	Meznombra valora teoremo
Hermosillo	Hermosillo
Ioannis Metaxàs	Ioanis Metaxas
Banisa	Banize
Walter Raleigh	Walter Raleigh
Antonio López de Santa Anna	Antonio López de Santa Anna
Saint-Cloud	Saint-Cloud
Cargol d'Arquimedes	Arkimeda ŝraŭbo
Utena (ciutat)	Utena
Trogir	Trogir
Fiódor Xaliapin	Teodoro Ŝaljapin
Amadora	Amadora
Andrei Korotàiev	Andrej Korotajev
Èter (mitologia)	Etero (mitologio)
Període Nara	Nara-epoko
Gran gavot	Granda aŭko
Música de cambra	Ĉambra muziko
Essenis	Esenoj
Vesícula	Veziketo
Palla (begudes)	Trinkŝalmo
Tempo	Tempo (muziko)
Queixal	Vangodento
Rocafort (formatge)	Rokforto
Intuïció	Intuicio
Test de Turing	Testo de Turing
Pseudocodi	Pseŭdokodo
Zelotes	Zeloto
Tron	Trono
Rigoletto	Rigoletto
Velletri	Velletri
Bash	Bash
Defensa francesa	Franca defendo
Estret de Davis	Davisa Markolo
Atri (pati)	Atrio
Two and a Half Men	Two and a Half Men
Federació de Futbol de l'URSS	Sovetunia nacia teamo de futbalo
Catecisme	Kateĥismo
Socialisme democràtic	Demokrata socialismo
Stratford-upon-Avon	Stratford-upon-Avon
Federació Internacional de Natació	Internacia Federacio de Naĝado
Oficial	Oficiro
Preguntes més freqüents	Oftaj demandoj
Grup del bor	Elemento de grupo 13
Serov	Serov
Comtat de Berat	Provinco Berat
Collaret	Kolĉeno
Grup 4 de la taula periòdica	Elemento de grupo 4
Kiustendil	Kjustendil
Reinhold Messner	Reinhold Messner
Petanca	Petanko
Jet Propulsion Laboratory	Jet Propulsion Laboratory
Dinastia qajar	Kaĝaroj
Copa d'Or de la CONCACAF	Ora Pokalo
Arts liberals	Sep liberaj artoj
Clinker	Klinkero
Pentaeritritol tetranitrat	PETN
Jujutsu brasiler	Brazila ĵuĵicuo
Himnos	Hipno
Llegenda urbana	Urba legendo
Sean Astin	Sean Astin
Governació de Nínive	Gubernio Ninivo
Zemianska Olča	Zemianska Olča
Zemianske Kostoľany	Zemianske Kostoľany
Castell de Kronborg	Kastelo de Kronborg
Snefru	Snofru
Zemné	Zemné
Apol·lodor de Damasc	Apolodoro (arkitekto)
Patrística	Patristiko
Ischia	Insulo Ischia
Didjeridú	Diĝeriduo
Zemplín	Zemplín (distrikto Trebišov)
Zemplínska Teplica	Zemplínska Teplica
Rododendre	Rododendro
Zemplínske Hradište	Zemplínske Hradište
Brooke Shields	Brooke Shields
Memòria virtual	Virtuala memoro
Zemplínske Hámre	Zemplínske Hámre
Gloria Stuart	Gloria Stuart
Loteria	Loterio
Andy García	Andy García
Via Àpia	Via Appia
Jean Dujardin	Jean Dujardin
Desert de Sonora	Sonora-Dezerto
Vladimir Voronin	Vladimir Voronin
Control de versions	Versitena sistemo
Universitat Jagellònica	Jagelona Universitato
Bicameralitat	Duĉambra parlamento
Helena Blavatski	Helena Blavatskij
Segle XVIII aC	18-a jarcento a.K.
Academicisme	Akademismo
Ulema	Ulemo
GTK+	GTK+
Mufló de les Muntanyes Rocalloses	Kanada ŝafo
Fístula	Fistulo
Acroesquí	Liberstila skiado
Ceratina	Keratino
Nevill Francis Mott	Nevill Francis Mott
Vratsa	Vraca
Plaça de la Concorde	Placo de la Konkordo
Jaws (pel·lícula)	Jaws
Revolució Gloriosa	Glora Revolucio
El llibre de la selva (novel·la)	La libroj de ĝangaloj
Cigarreta electrònica	Elektronika cigaredo
Equilibri químic	Kemia ekvilibro
Quinina	Ĥinino
Nereu	Nereo
Grau acadèmic	Akademia titolo
Arvo Pärt	Arvo Pärt
Roberto Fabián Ayala	Roberto Ayala
Emprèstit	Prunto
Shichinin no Samurai	Shichinin no samurai / 七人の侍
Governació de Dohuk	Gubernio Dahuk
Stefan Edberg	Stefan Edberg
Adolphe Adam	Adolphe Adam
Bizerta	Bizerte
Jònic	Ionika ordo
Imad al-Din Zengi I	Zengi
William Crookes	William Crookes
Otorinolaringologia	Otorinolaringologio
Katherine Heigl	Katherine Heigl
Escut de Suïssa	Blazono de Svislando
Fullmetal Alchemist	Ŝtala Alkemiisto
Pierre Teilhard de Chardin	Pierre Teilhard de Chardin
Morter (construcció)	Mortero
Additiu alimentari	Manĝa aldonaĵo
Base (àlgebra)	Bazo (lineara algebro)
Kharigisme	Ĥariĝismo
Regla d'Or	Ora regulo
Càncer d'estómac	Stomaka kancero
Escut d'Eslovàquia	Blazono de Slovakio
Comtat d'Antrim	County Antrim
Art islàmic	Islama arto
Vardar	Rivero Vardar
Filó d'Alexandria	Filo de Aleksandrio
Keith Richards	Keith Richards
Matrix Reloaded	The Matrix Reloaded
Bandera d'Anguilla	Flago de Angvilo
Any tròpic	Tropika jaro
Bec de serra mitjà	Mezgranda merĝo
Ellora	Ellora
SOAP	SOAP
Grup hemo	Hemo
Llista del Patrimoni de la Humanitat d'Àfrica	Listo de mondaj heredaĵoj en Afriko
Forces de van der Waals	Forto de Van-der-Waals
Guilin	Gujlin
Eagles	Eagles
Dentina	Dentino
Mausoleu de Humayun	Tombo de Humajun
Razgrad	Razgrad
Jász-Nagykun-Szolnok	Jász-Nagykun-Szolnok
Parc Nacional de Kakadu	Nacia parko Kakaduo
Estadi Olímpic d'Atenes	Olimpika Stadiono de Ateno
Zenó (desambiguació)	Zenono
Ivan Gontxarov	Ivan Gonĉarov
Abomey	Abomejo
Artaxerxes I de Pèrsia	Artakserkso
Genk	Genk
Wesley Snipes	Wesley Snipes
Karabük	Karabük
Terengganu	Terengganuo
Zenòbia	Zenobia
Star Alliance	Star Alliance
Selangor	Selangoro
François-Noël Babeuf	François-Noël Babeuf
Courbevoie	Courbevoie
Mauro Camoranesi	Mauro Camoranesi
Zenòdot d'Efes	Zenodoto
Emacs	Emacs
Economia planificada	Planita ekonomio
Pànini	Panini
Enki	Enki
Philip Glass	Philip Glass
Mg	Mg
Leonid Kravtxuk	Leonid Kravĉuk
Timbales	Timbalo
El·lipsi	Elipso (lingvo kaj literaturo)
Islamisme polític	Islamismo
Ayerbe	Ayerbe
Neopaganisme	Novpaganismo
Llista de faraons	Listo de reĝoj de antikva Egiptio
Pregunta	Demando
Vot	Voĉdonado
Szekszárd	Szekszárd
Peter Carl Fabergé	Peter Carl Fabergé
Pont del Gard	Pont du Gard
Luigi Boccherini	Luigi Boccherini
Salgótarján	Salgótarján
Volta	Volbo
Planta biennal	Dujara planto
Antonio José de Sucre	Antonio José de Sucre
Anaerobi	Anaeroba organismo
Diagonal	Diagonalo
OS/2	OS/2
Front (meteorologia)	Fronto (meteologio)
Vigdís Finnbogadóttir	Vigdís Finnbogadóttir
Patrimoni gènic	Genprovizo
Caprí	Kaprenoj
Marcantiofití	Hepatikoj
Ritual	Rito
Argos (fill d'Arèstor)	Argo
Província de Mahiliou	Mahilova regiono
Creixement econòmic	Ekonomia kresko
Censura a Algèria	Cenzuro en Alĝerio
Gemma (botànica)	Burĝono
Final Fantasy	Final Fantasy
Dècada del 1460	1460-aj jaroj
Guernica	Gerniko
Llacs de Plitvice	Plitvicaj lagoj
Metropolità	Metropolito
Fes (lligadura)	Fezo
Hercegovina	Hercegovino
Butlla	Buleo (papo)
Mandril	Mandrilo
Benito Pérez Galdós	Benito Pérez Galdós
Bel·lerofont	Belerofono
Alícia al país de les meravelles (pel·lícula de 1951)	Alice in Wonderland (filmo, 1951)
Sensor CCD	Ŝargkuplita aparato
Palau Ducal	Doĝo-palaco
Festival de Cinema de Sundance	Filmfestivalo de Sundance
Titella	Marioneto
Paper electrònic	Elektronika papero
Emirat	Emirlando
SHF	Centimetra ondo
Aberdeenshire	Aberdeenshire
Alps Dinàrics	Dinara montaro
Mina marina	Mara mino
Operació Horta	Operaco Market Garden
Microtúbul	Mikrotubeto
John Knox	John Knox
Planta suculenta	Sukulenta planto
Districte del Nord (Israel)	Norda distrikto de Israelo
Unió Europea Occidental	Okcident-Eŭropa Unio
Óssip Mandelxtam	Osip Mandelŝtam
Gametòfit	Gametofito
Comtat de Lääne-Viru	Lääne-Virumaa
Llista de reis de Noruega	Listo de norvegaj reĝoj
Westminster (Ciutat de Westminster)	Westminster
Glàndula mamària	Laktoglando
Interval musical	Intervalo (muziko)
Comtat d'Ida-Viru	Distrikto Ida-Viru
Feltre	Felto
Whitesnake	Whitesnake
Comtat de Lääne	Läänemaa
Estatus social	Socia statuso
Píteas	Piteaso
Copèpode	Kopepodo
Comtat de Jõgeva	Jõgevamaa
Inuit	Inuitoj
Arbre genealògic	Genealogia arbo
Robert B. Laughlin	Robert B. Laughlin
Flagel	Flagelo
Terra de la Reina Maud	Lando de Maud
Sligo	Sligo
Cienfuegos	Cienfuegos (urbo)
Joventut	Junaĝo
Komárom-Esztergom	Komárom-Esztergom
Ciclotrimetilentrinitramina	RDX
Townsville	Townsville
Províncies Unides de l'Amèrica Central	Unuiĝintaj Provincoj de Centra Ameriko
Funció φ d'Euler	Funkcio φ
Sistema d'Integració Centreamericana	Sistemo pri Integrigo de Centra Ameriko
Guerra de Kosovo	Kosova Milito
El·lipsoide	Elipsoido
Tassili n'Ajjer	Tasilin-Aĝer
Fight Club	Fight Club
Jamie Oliver	Jamie Oliver
Pluviòmetre	Pluvmezurilo
Patmos	Patmos
Espai de Hilbert	Hilberta spaco
Catabolisme	Katabolo
Ciutadella de la dinastia Ho	Thanh Nha Ho
Île de la Cité	Insulo Cité
Bandera de les Bermudes	Flago de Bermudo
Compost inorgànic	Neorganika kombinaĵo
Província de Luanda	Provinco Luanda
Sinècdoque	Sinekdoĥo
Matriu	Matrico (apartigilo)
Oscil·lador harmònic	Simpla vibra movo
Joe Cocker	Joe Cocker
Aracne	Arakna
Gamarús dels Urals	Urala strigo
Falsa alarma	Hoakso
Escut de Malta	Blazono de Malto
Ningú no és perfecte	Some Like It Hot
Minato (Tòquio)	Kvartalo Minato-ku (Tokio)
Joan Duns Escot	Duns Skoto
Hardecanut	Hardakanuto
Orella de mar	Halioto
Gray (unitat)	Grajo
Coixinet (mecànica)	Lagro
Escriptura Lineal B	Linia skribo B
Dioscurs	Kastoro kaj Polukso
Dècada del 1470	1470-aj jaroj
Tongeren	Tungro
Benvenuto Cellini	Benvenuto Cellini
La Roche-sur-Yon	La Roche-sur-Yon
Vapor d'aigua	Akvovaporo
Lletra de canvi	Kambio
Marduk	Marduk
El contracte social	Pri la socia kontrakto
Badia de Hạ Long	Golfo Halong
Escut de Suècia	Blazono de Svedio
Governació de Salah ad-Din	Gubernio Saladino
Flux turbulent	Turbulento
Lèucada	Lefkado
Talent	Talanto
Nervi vague	Vago
Gilberto Silva	Gilberto Aparecido da Silva
Àcid màlic	Pomacido
Guinea (desambiguació)	Gvineo (apartigilo)
Anticlinal	Antiklinalo
Fotogrametria	Fotogrametrio
Bruce Dickinson	Bruce Dickinson
Addax	Adakso
Carotè	Karoteno
Estreptococ	Streptococcus
Zoë Saldaña	Zoë Saldaña
Campionat del Món d'hoquei gel masculí	Monda ĉampioneco en glacihokeo
Edmund el Magnífic	Edmundo la 1-a (Anglio)
File Allocation Table	FAT
Iorubes	Joruboj
Jackson	Jackson
Plat (instrument musical)	Cimbalo
Harar	Harar
Sintra	Sintra
Duna (novel·la)	Dune
Alfabet fonètic de l'OTAN	Literumalfabeto de ICAO
Calmucs	Kalmukoj
