აფრიკა	Afriko
ჰაფეზი	Hafizo
პატრიოტიზმი	Patriotismo
ვეზელის რაიონი	Distrikto Wesel
კლევეს რაიონი	Distrikto Kleve
მანტუა	Mantuo
ფირზენის რაიონი	Distrikto Viersen
დასავლეთი საჰარა	Okcidenta Saharo
ვოლფ-რაიეს ვარსკვლავები	Wolf-Rayet stelo
მონცა	Monza
რაინ-ნოისის რაიონი	Distrikto Neuss
1371	1371
ქვეყანა	Lando
მეტმანის რაიონი	Distrikto Mettmann
1372	1372
1373	1373
1422	1422
1517	1517
ჰაინსბერგის რაიონი	Distrikto Heinsberg
1423	1423
1518	1518
1374	1374
მეორე პუნიკური ომი	Dua Punika milito
დიურენის რაიონი	Distrikto Düren
1424	1424
1375	1375
1519	1519
ჯო ბაიდენი	Joe Biden
ოისკირხენის რაიონი	Distrikto Euskirchen
1376	1376
1425	1425
1520	1520
ვარეზე	Varese
პირველი პუნიკური ომი	Unua Punika Milito
რაინ-ზიგის რაიონი	Distrikto Rhein-Sieg
1521	1521
1377	1377
1426	1426
რაინ-ერფტის რაიონი	Distrikto Rhein-Erft
ჰილარი კლინტონი	Hillary Rodham Clinton
რაინიშ-ბერგიშის რაიონი	Distrikto Rhein-Berg
ობერბერგიშის რაიონი	Distrikto Oberberg
1522	1522
ჩრდილოეთ საქსონიის რაიონი	Distrikto Norda Saksio
1523	1523
1427	1427
1378	1378
ლაიფციგის რაიონი	Distrikto Leipzig
1524	1524
მაისენის რაიონი	Distrikto Meißen
1525	1525
1428	1428
1379	1379
გერლიცის რაიონი	Distrikto Görlitz
ხანტი-მანსის ავტონომიური ოკრუგი	Ĥanti-Mansa aŭtonoma distrikto — Jugra
საქსონიის შვეიცარიის-ოსტერცგებირგის რაიონი	Distrikto Saksa Svislando-Orienta Ercmontaro
1526	1526
1429	1429
1380	1380
შუა საქსონიის რაიონი	Distrikto Centra Saksio
ხანტი-მანსიისკი	Ĥanti-Mansijsk
ცვიკაუს რაიონი	Distrikto Zwickau
1381	1381
მესამე პუნიკური ომი	Tria Punika Milito
1382	1382
ფოგტლანდის რაიონი	Distrikto Vogtland
ერცგებირგსის რაიონი	Distrikto Ercmontaro
1383	1383
1430	1430
კართაგენი	Kartago
1431	1431
ინდიანაპოლისი	Indianapolis
1384	1384
1432	1432
1385	1385
გერჰარდ მერკატორი	Gerardus Mercator
1386	1386
1433	1433
1387	1387
1434	1434
1435	1435
1388	1388
ინტერნეტ-ბრაუზერი	TTT-legilo
1436	1436
1389	1389
ბრიტანეთის მუზეუმი	Brita Muzeo
1437	1437
1390	1390
1438	1438
1391	1391
1439	1439
1392	1392
ბალატონი	Balatono
1440	1440
1393	1393
ნოიზიდლერი	Neusiedler See
ავინიონი	Avignon
1394	1394
1395	1395
1441	1441
ჟენევის ტბა	Lemano
1396	1396
იამალ-ნენთა ავტონომიური ოკრუგი	Jamalo-Neneca aŭtonoma distrikto
1397	1397
1442	1442
1527	1527
გარდა (ტბა)	Garda-Lago
1528	1528
1398	1398
1443	1443
1444	1444
1529	1529
1399	1399
1445	1445
1530	1530
1446	1446
1531	1531
1447	1447
1532	1532
1448	1448
მონპელიე	Montpellier
1533	1533
1449	1449
1534	1534
1450	1450
1535	1535
1451	1451
1536	1536
1452	1452
1537	1537
საფრანგეთის დეპარტამენტები	Departementoj de Francio
1453	1453
1538	1538
1454	1454
1539	1539
1455	1455
1540	1540
ანთალია	Antalya
როდოპები	Rodopoj
კონკორდი	Konkordo (aviadilo)
ვარნა	Varna
კატეგორია:ასტრონომია	Kategorio:Astronomio
ბურგასი	Burgaso
ულისე	Uliso (Joyce)
სიორენ კირკეგორი	Søren Kierkegaard
UTC-03:00	UTC-03:00
დარდანელის სრუტე	Dardaneloj
1541	1541
1456	1456
1457	1457
1542	1542
1458	1458
1543	1543
1459	1459
1544	1544
ბოლცანო	Bolzano-Bozen
ჟან-ჟაკ რუსო	Jean-Jacques Rousseau
1460	1460
სტანისლავ ლემი	Stanisław Lem
1545	1545
1461	1461
1546	1546
საფრანგეთის რევოლუცია	Franca revolucio de 1789
UTC-02:00	UTC-02:00
ვიჩენცა	Vicenza
გიუნტერ გრასი	Günter Grass
ბასტილიის აღება	Okupo de la fortreso Bastille
UTC-01:00	UTC-01:00
ხაკასეთი	Ĥakasio
1462	1462
1547	1547
ორლეანი	Orléans
1463	1463
დონალდ დაკი	Donaldo Anaso
1548	1548
1464	1464
1549	1549
1465	1465
1550	1550
1466	1466
1551	1551
1467	1467
კატეგორია:ასტრონომები	Kategorio:Astronomoj
კრასნოიარსკის მხარე	Krasnojarska regiono
1468	1468
1552	1552
1469	1469
1553	1553
1470	1470
1554	1554
ზაზუნები	Hamstroj
ირკუტსკი	Irkutsk
1471	1471
1555	1555
საჰარა	Saharo
ირკუტსკის ოლქი	Irkutska provinco
პერიგე	Périgueux
1472	1472
1556	1556
ვანი (საფრანგეთი)	Vannes
1473	1473
1557	1557
1474	1474
1558	1558
სტრასბური	Strasburgo
ქარონი	Karono (luno)
სახა (იაკუტია)	Jakutio
გიტარა	Gitaro
1475	1475
1559	1559
1476	1476
ქარონი (მითოლოგია)	Karono (mitologio)
1560	1560
1477	1477
პუატიე	Poitiers
1478	1478
1561	1561
1479	1479
1562	1562
აჟენი	Agen
1480	1480
1563	1563
1481	1481
1564	1564
1482	1482
1565	1565
ჰომოსექსუალობა	Samseksemo
1483	1483
1566	1566
1484	1484
1567	1567
1485	1485
კოკანი	Kuklando
1486	1486
1568	1568
ლესბოსელი	Samseksemulino
1487	1487
1569	1569
ხორვატული ენა	Kroata lingvo
UTC+01:00	UTC+01:00
1570	1570
ფრანგული სამზარეულო	Franca kuirarto
ჩეზენა	Cesena
1489	1489
1571	1571
პეპი გრძელიწინდა	Pipi Ŝtrumpolonga
1490	1490
1572	1572
1491	1491
1573	1573
1492	1492
1574	1574
გუსტავ დორე	Gustave Doré
ამერიკა-მექსიკის ომი	Meksik-usona milito
Renault	Renault
1493	1493
1575	1575
ჰომეროსი	Homero
1494	1494
ალექსანდერ ჰუმბოლდტი	Alexander von Humboldt
1495	1495
ემპოლი	Empoli
1496	1496
1576	1576
1497	1497
1577	1577
1498	1498
1578	1578
1499	1499
1579	1579
ალენ გინზბერგი	Allen Ginsberg
1580	1580
1581	1581
1582	1582
1600	1600
კარლ ფრიდრიხ გაუსი	Carl Friedrich Gauss
UTC+02:00	UTC+02:00
1601	1601
1583	1583
1602	1602
1584	1584
1603	1603
1585	1585
1604	1604
1586	1586
1605	1605
1587	1587
1606	1606
1607	1607
1588	1588
1608	1608
1589	1589
UTC+03:00	UTC+03:00
ლივორნო	Livorno
1609	1609
1590	1590
1610	1610
1591	1591
1611	1611
1592	1592
1612	1612
1593	1593
1613	1613
1594	1594
UTC+04:00	UTC+04:00
1614	1614
1595	1595
1615	1615
1596	1596
1616	1616
სანქტ-ვენდელის რაიონი	Distrikto Sankt Wendel
1597	1597
ზაარპფალცის რაიონი	Distrikto Saarpfalz
ზაარლუისის რაიონი	Distrikto Saarlouis
1617	1617
ნოინკირხენის რაიონი	Distrikto Neunkirchen
1598	1598
1618	1618
მერციგ-ვადერნის რაიონი	Distrikto Merzig-Wadern
1599	1599
1619	1619
ზაარბრიუკენის მუნიციპალიტეტი	Regiona Ligo Saarbrücken
ბურიატეთი	Burjatio
1620	1620
1621	1621
1700	1700
1701	1701
1622	1622
ულან-უდე	Ulan-Ude
1623	1623
1702	1702
1624	1624
1703	1703
1704	1704
მსოფლიოს ჩემპიონატი ფრენბურთში ვაჟთა შორის	Monda Ĉampionado pri Volejbalo
1625	1625
შპაიერი	Speyer
1705	1705
1626	1626
1627	1627
1706	1706
ვიტენბერგი	Wittenberg
1628	1628
1707	1707
1708	1708
1629	1629
ფრენბურთის საერთაშორისო ფედერაცია	Federacio Internacia de Volejbalo
1630	1630
1709	1709
1631	1631
1710	1710
ამური	Amuro
1632	1632
1711	1711
საერთაშორისო ასტრონომიული კავშირი	Internacia Astronomia Unio
1633	1633
1712	1712
1634	1634
1713	1713
რაშტატი	Rastatt
1800	1800
1801	1801
1714	1714
1635	1635
ჯეიმზ ჯოისი	James Joyce
1802	1802
1715	1715
1636	1636
ამურის ოლქი	Amura provinco
1803	1803
1637	1637
1716	1716
1638	1638
1804	1804
1717	1717
რედა-ვიდენბრიუკი	Rheda-Wiedenbrück
1639	1639
1805	1805
1718	1718
1640	1640
1719	1719
1806	1806
1641	1641
1720	1720
1807	1807
ანა ფრანკის დღიური	La postdomo (taglibro)
1642	1642
1721	1721
1808	1808
მაგნეტოსფერო	Magnetosfero
1643	1643
1722	1722
1809	1809
1644	1644
1723	1723
1810	1810
1645	1645
1724	1724
XX საუკუნე	20-a jarcento
1811	1811
1646	1646
1725	1725
1812	1812
ბლაგოვეშჩენსკი	Blagoveŝĉensk (urbo en Amura provinco)
1647	1647
1726	1726
1813	1813
XXI საუკუნე	21-a jarcento
1648	1648
1727	1727
1814	1814
1649	1649
1728	1728
1815	1815
1650	1650
1729	1729
1816	1816
XIX საუკუნე	19-a jarcento
1651	1651
1730	1730
1817	1817
1652	1652
1731	1731
1818	1818
1653	1653
1732	1732
1819	1819
1654	1654
1733	1733
1820	1820
1655	1655
1821	1821
1734	1734
1656	1656
1822	1822
1735	1735
1657	1657
1823	1823
1736	1736
1658	1658
1737	1737
1824	1824
1659	1659
1738	1738
1825	1825
ციური სხეული	Astro
1660	1660
1739	1739
დიჟონი	Dijon
1826	1826
1661	1661
1740	1740
1827	1827
კალიდასა	Kalidaso
ლენა მაიერ-ლანდრუტი	Lena Meyer-Landrut
XVIII საუკუნე	18-a jarcento
XVII საუკუნე	17-a jarcento
XVI საუკუნე	16-a jarcento
XV საუკუნე	15-a jarcento
გენომი	Genaro
ლუგანო	Lugano
კატალანური ენა	Kataluna lingvo
ვისმარი	Wismar
XIV საუკუნე	14-a jarcento
კატეგორია:ვარსკვლავები	Kategorio:Steloj
XIII საუკუნე	13-a jarcento
ბუდა	Budho
XII საუკუნე	12-a jarcento
XI საუკუნე	11-a jarcento
ათეიზმი	Ateismo
ლი ბო	Li Bai
ბიბლიოთეკა	Librarejo
მატერიალიზმი	Materialismo
ნილს ბორი	Niels Bohr
ცნობიერება	Konscio
ევარისტ გალუა	Évariste Galois
ბიოქიმია	Biokemio
შრუდმიეშციე	Śródmieście
ემი ნეთერი	Emmy Noether
ბიოფიზიკა	Biofiziko
ბიოტექნოლოგია	Biotekniko
ციტოლოგია	Ĉelbiologio
ეკოლოგია	Ekologio
ბარსელონა (საფეხბურთო კლუბი)	Futbala Klubo de Barcelono
აფრიკის კავშირი	Afrika Unio
გენეტიკა	Genetiko
პოლიტიკა	Politiko
მსოფლიო ბანკი	Monda Banko
ჰაილბრონის რაიონი	Distrikto Heilbronn
კოლონიალიზმი	Koloniismo
ჰისტოლოგია	Histologio
კონსერვატიზმი	Konservismo
არაბული ქვეყნების ლიგა	Ligo de Arabaj Ŝtatoj
დემოკრატია	Demokratio
მიკოლოგია	Fungoscienco
ნაჯიბ მაჰფუზი	Naguib Mahfouz
ჟან-მარი ლე პენი	Jean-Marie Le Pen
წითელი ჯვრისა და წითელი ნახევარმთვარის საერთაშორისო მოძრაობა	Ruĝa Kruco
გლობალიზაცია	Tutmondiĝo
ცინი	Dinastio Qin
ჩრდილოატლანტიკური ხელშეკრულების ორგანიზაცია	NATO
მარი სკლოდოვსკა-კიური	Marie Curie
გენი	Geno
მთავრობა	Registaro
ნობელის პრემია	Nobel-premio
ცინ შიხუანდი	Qin Shihuangdi
მიკრობიოლოგია	Mikrobiologio
ხერონის პროვინცია	Provinco Ĝirono
სიმონა დე ბოვუარი	Simone de Beauvoir
ოვიდიუსი	Ovidio
მარსელ პრუსტი	Marcel Proust
ალექსანდრე პუშკინი	Aleksandr Puŝkin
მოლეკულური ბიოლოგია	Molekula biologio
შუა აღმოსავლეთი	Mezoriento
პალეონტოლოგია	Paleontologio
ელისაბედ I	Elizabeto la 1-a (Anglio)
პათოლოგია	Patologio
ხანის დინასტია	Dinastio Han
ვირუსოლოგია	Virusscienco
ტოქსიკოლოგია	Toksologio
ჟანა დ’არკი	Johana de Arko
როზა ლუქსემბურგი	Roza Luksemburg
სოფოკლე	Sofoklo
ორგანიზმი	Organismo
რაბინდრანათ თაგორი	Rabindranath Tagore
სილამაზე	Belo
ლევ ტოლსტოი	Lev Tolstoj
მარკ ტვენი	Mark Twain
ალან ტიურინგი	Alan Turing
ფემინიზმი	Feminismo
იდეოლოგია	Ideologio
იმპერიალიზმი	Imperiismo
მარქსიზმი	Marksismo
მონარქია	Monarkio
რესპუბლიკა	Respubliko
სოციალიზმი	Socialismo
სახელმწიფო	Ŝtato
პოლიტიკური პარტია	Partio (politiko)
პროპაგანდა	Propagando
ტერორიზმი	Terorismo
ბადმინტონი	Badmintono
იოჰანეს ბრამსი	Johannes Brahms
კილიმანჯარო	Kilimanĝaro
ანტონინ დვორჟაკი	Antonín Dvořák
გეორგ ფრიდრიხ ჰენდელი	Georg Friedrich Händel
გუსტავ მალერი	Gustav Mahler
ნაციონალ-სოციალიზმი	Naziismo
ჯაკომო პუჩინი	Giacomo Puccini
ფრანც შუბერტი	Franz Schubert
იუანის დინასტია	Dinastio Yuan
იგორ სტრავინსკი	Igor Stravinski
პეტრე ჩაიკოვსკი	Pjotr Iljiĉ Ĉajkovskij
ჯუზეპე ვერდი	Giuseppe Verdi
მესამე რაიხი	Nazia Germanio
ნაციონალ-სოციალისტური გერმანული მუშათა პარტია	Nacisocialisma Germana Laborista Partio
ჟაკ კარტიე	Jacques Cartier
ქრისტეფორე კოლუმბი	Kristoforo Kolumbo
ჯეიმზ კუკი	James Cook
ებრაელები	Judoj
ერნან კორტესი	Hernán Cortés
იური გაგარინი	Jurij Aleksejeviĉ Gagarin
ვასკო და გამა	Vasco da Gama
იბნ ბატუტა	Ibn Batuta
ჯენ ხე	Ĉeng He
დისკორდიანიზმი	Diskordianismo
ოსვენციმის საკონცენტრაციო ბანაკი	Aŭŝvico (koncentreja komplekso)
დიდი ბარიერული რიფი	Granda Barilrifo
დენ ბრაუნი	Dan Brown
ჯონ კოლტრეინი	John Coltrane
დიდი ტბები	Grandaj Lagoj (Nordameriko)
ინდი	Induso
იოზეფ ჰაიდნი	Joseph Haydn
პანამის არხი	Panama kanalo
რობერტ შუმანი	Robert Schumann
სამხრეთის ოკეანე	Suda Oceano
ხუანხე	Flava Rivero
ყური	Orelo
ცხვირი	Nazo (organo)
თვალი	Okulo
კუნთი	Muskolo
სიმღერა	Kanto
კოღოები	Moskito
ფედერიკო ფელინი	Federico Fellini
ზვიგენები	Ŝarko
ალფრედ ჰიჩკოკი	Alfred Hitchcock
აქლემი	Kamelo
ძუძუმწოვრები	Mamuloj
სპილოსებრნი	Elefanto
პრიმატები	Primatoj
ჭიანჭველასებრნი	Formiko
ფუტკარი	Abelo
ანდრე აგასი	Andre Agassi
ნიდერლანდური ენა	Nederlanda lingvo
უოლტ დისნეის კომპანია	Walt Disney Company
მარგარეტ ტეტჩერი	Margaret Thatcher
დეზოქსირიბონუკლეინის მჟავა	DNA
სახეობა	Specio
მუნდირი	Uniformo
გატჩინა	Gatĉina
რიჩარდ სტოლმანი	Richard Stallman
სუნის დინასტია	Dinastio Song
როზალინდ ფრანკლინი	Rosalind Franklin
ყუბილაი	Kublaj-Ĥano
სევასტოპოლი	Sebastopolo
ბადრიჯანი	Melongeno
პრინსი	Prince
ინგმარ ბერგმანი	Ingmar Bergman
ფობოსი	Fobo (luno)
დეიმოსი	Dejmo (luno)
ლუცკი	Lucko
მთარგმნელი	Traduko
იხვისებრნი	Anasedoj
თოვლი	Neĝo
ლომბოკი	Lomboko
ჯოკიაკარტა	Jogjakarto
ბავშვი	Infano
1828	1828
1829	1829
1741	1741
1662	1662
1742	1742
1830	1830
1663	1663
1831	1831
1743	1743
1664	1664
1665	1665
1744	1744
1832	1832
1666	1666
1745	1745
1833	1833
1667	1667
1746	1746
ტრანსპორტი	Transporto
1834	1834
1668	1668
1747	1747
1835	1835
1748	1748
1836	1836
1669	1669
GNU General Public License	Ĝenerala Publika Permesilo de GNU
ლეონარდ ეილერი	Leonhard Euler
1670	1670
1749	1749
1837	1837
გნუ	Gnuo
1671	1671
1750	1750
1838	1838
1672	1672
1751	1751
1839	1839
1673	1673
1752	1752
1840	1840
1674	1674
1753	1753
1841	1841
1754	1754
1675	1675
1842	1842
1755	1755
1676	1676
1843	1843
1677	1677
1756	1756
1844	1844
1678	1678
1757	1757
1845	1845
1679	1679
1758	1758
1846	1846
1680	1680
1759	1759
1847	1847
1681	1681
1760	1760
1848	1848
1682	1682
1761	1761
1849	1849
1683	1683
1762	1762
1850	1850
1684	1684
1763	1763
1851	1851
1764	1764
1685	1685
1852	1852
1686	1686
1765	1765
1853	1853
1687	1687
1766	1766
1854	1854
1688	1688
1767	1767
1855	1855
1689	1689
1768	1768
1856	1856
1690	1690
1769	1769
1857	1857
1691	1691
1770	1770
1858	1858
1692	1692
1771	1771
1859	1859
რაიონი	Rajon
1693	1693
1772	1772
1860	1860
1773	1773
1861	1861
1694	1694
მარკა (ადმინისტრაციული ერთეული)	Markio (imperio)
1695	1695
1774	1774
1862	1862
1696	1696
1775	1775
1863	1863
1697	1697
1776	1776
1864	1864
კომუნარი (გატჩინის რაიონი)	Kommunar
1698	1698
წყალბურთი	Akvopilkado
1865	1865
1777	1777
1699	1699
1866	1866
1778	1778
1779	1779
1867	1867
1780	1780
1868	1868
1781	1781
1869	1869
ნაპოლეონ III	Napoleono la 3-a
ნაპოლეონ II	Napoleono la 2-a
ავგუსტ სტრინდბერგი	August Strindberg
ჟოზეფ ბონაპარტი	Joseph Bonaparte
წუთი	Minuto
გრაცია დელედა	Grazia Deledda
ლუი ბონაპარტი	Louis Bonaparte
ებრაელთა ავტონომიური ოლქი	Hebrea Aŭtonomio
ალექსი I (რუსეთი)	Aleksej Miĥajloviĉ
ლუი XVI	Ludoviko la 16-a (Francio)
ნიუ-იორკის მეტროპოლიტენი	Metroo de Novjorko
რუსული ენა	Rusa lingvo
ლუი XV	Ludoviko la 15-a (Francio)
1782	1782
1870	1870
ლუი XIV	Ludoviko la 14-a (Francio)
1783	1783
1871	1871
ვლადიმერ პუტინი	Vladimir Putin
სამართალი	Leĝo (jura)
როკ-ენ-როლი	Rokenrolo
ლუი XVIII	Ludoviko la 18-a (Francio)
1784	1784
1872	1872
მათემატიკური ანალიზი	Analitiko
კონსტიტუცია	Konstitucio
1785	1785
1873	1873
შარლ X (საფრანგეთი)	Karlo la 10-a (Francio)
1786	1786
1874	1874
1787	1787
1875	1875
1788	1788
1876	1876
სამხრეთ-აღმოსავლეთ აზიის ქვეყნების ასოციაცია	ASEAN
ლუი-ფილიპე ორლეანელი	Ludoviko-Filipo (Francio)
1789	1789
1877	1877
1790	1790
1878	1878
საფრანგეთის ისტორია	Historio de Francio
დამოუკიდებელ სახელმწიფოთა თანამეგობრობა	Komunumo de Sendependaj Ŝtatoj
ესპანეთის ისტორია	Historio de Hispanio
1879	1879
1791	1791
ერთა თანამეგობრობა	Komunumo de Nacioj
ხაბაროვსკის მხარე	Ĥabarovska regiono
პორტუგალიის ისტორია	Historio de Portugalio
სახალინი	Saĥaleno
საბერძნეთის ისტორია	Historio de Grekio
ნავთობის ექსპორტიორ ქვეყანათა ორგანიზაცია	OPEL
სახალინის ოლქი	Saĥalena provinco
ბულგარეთის ისტორია	Historio de Bulgario
გაეროს საერთაშორისო სასამართლო	Internacia Kortumo
პური	Pano
საერთაშორისო სავალუტო ფონდი	Internacia Monunua Fonduso
1792	1792
1880	1880
1793	1793
1881	1881
იუნესკო	Unesko
1794	1794
1882	1882
ადამიანის უფლებათა საყოველთაო დეკლარაცია	Universala Deklaracio de Homaj Rajtoj
ჯოტო დი ბონდონე	Giotto
1795	1795
1883	1883
ჯანდაცვის მსოფლიო ორგანიზაცია	Monda Organizaĵo pri Sano
1796	1796
1884	1884
1797	1797
1885	1885
1886	1886
1798	1798
მსოფლიო სავაჭრო ორგანიზაცია	Monda Organizaĵo pri Komerco
1887	1887
1799	1799
1888	1888
სუდაკი	Sudako
1889	1889
1890	1890
ბორის ვიანი	Boris Vian
ყირიმი	Krimeo
რენე მაგრიტი	René Magritte
1891	1891
სუაჰილი ენა	Svahila lingvo
1892	1892
1893	1893
ალფრედ ჟარი	Alfred Jarry
1894	1894
1895	1895
1896	1896
1897	1897
1898	1898
ჩინური ენა	Ĉina lingvaro
1899	1899
ნორდჰაუზენის რაიონი	Distrikto Nordhausen
ბუნება	Naturo
აიხსფელდის რაიონი	Distrikto Eichsfeld
კიფჰოიზერის რაიონი	Distrikto Kyffhäuser
უნშტრუტ-ჰაინიხის რაიონი	Distrikto Unstrut-Hainich
ზემერდის რაიონი	Distrikto Sömmerda
ვარტბურგის რაიონი	Distrikto Wartburg
ფსიქიატრია	Psikiatrio
უჯრედი	Ĉelo (biologio)
გოთის რაიონი	Distrikto Gotha
შმალკალდენ-მაინინგენის რაიონი	Distrikto Schmalkalden-Meiningen
ჰილდბურგჰაუზენის რაიონი	Distrikto Hildburghausen
სისხლი	Sango
ზონებერგის რაიონი	Distrikto Sonneberg
ილმის რაიონი	Distrikto Ilm
ვაიმარერ-ლანდის რაიონი	Distrikto Weimarer Land
ტულუზა	Tuluzo
ჩონჩხი	Skeleto
ზაალფელდ-რუდოლშტადტის რაიონი	Distrikto Saalfeld-Rudolstadt
ზაალე-ორლის რაიონი	Distrikto Saale-Orla
ზაალე-ჰოლცლანდის რაიონი	Distrikto Saale-Holzland
ფილტვები	Pulmo
ალტენბურგის რაიონი	Distrikto Altenburger Land
ვიდეო თამაში	Komputila ludo
კასელის რაიონი	Distrikto Kassel
ვალდეკ-ფრანკენბერგის რაიონი	Distrikto Waldeck-Frankenberg
შვალმ-ედერის რაიონი	Distrikto Schwalm-Eder
ვერა-მაისნერის რაიონი	Distrikto Werra-Meißner
ჰერსფელდ-როტენბურგის რაიონი	Distrikto Hersfeld-Rotenburg
ფულდის რაიონი	Distrikto Fulda
ფოგელსბერგის რაიონი	Distrikto Vogelsberg
მარბურგ-ბიდენკოპფის რაიონი	Distrikto Marburg-Biedenkopf
კასაბლანკა	Kazablanko
გისენის რაიონი	Distrikto Gießen
ლან-დილის რაიონი	Distrikto Lahn-Dill
ლიმბურგ-ვაილბურგის რაიონი	Distrikto Limburg-Weilburg
რაინგაუ-ტაუნუსის რაიონი	Distrikto Rheingau-Taunus
ზემო ტაუნუსის რაიონი	Distrikto Hochtaunus
მაინ-ტაუნუსის რაიონი	Distrikto Main-Taunus
ვეტერაუ	Distrikto Wetterau
მაინ-კინციგის რაიონი	Distrikto Main-Kinzig
ოფენბახის რაიონი	Distrikto Offenbach
რუმინული ენა	Rumana lingvo
გროს-გერაუს რაიონი	Distrikto Groß-Gerau
დარმშტადტ-დიბურგის რაიონი	Distrikto Darmstadt-Dieburg
ბერგშტრასეს რაიონი	Distrikto Bergstraße
ბულგარული ენა	Bulgara lingvo
ოდენვალდის რაიონი	Distrikto Odenwald
დიდაქტიკური მეთოდი	Didaktiko
პედაგოგიკა	Pedagogio
წვიმა	Pluvo
მალაგასიური ენა	Malagasa lingvo
ზვავი	Lavango
კლიმატი	Klimato
კირიში	Kiriŝi
ელ-ნინიო	El-Ninjo
გლობალური დათბობა	Tutmonda varmiĝo
მიწისძვრა	Tertremo
მინერალები	Mineralo
პუშკინი (ქალაქი)	Puŝkin (urbo)
ჭეშმარიტება	Vero
ახალი გლობალური ტექტონიკა	Platotektoniko
ძენი	Zeno
მაგადანის ოლქი	Magadana provinco
ამერიკული ინგლისური	Usona varianto de la angla lingvo
პრიოზერსკი	Priozersk
ჩუკოტკის ავტონომიური ოკრუგი	Ĉukotka aŭtonoma distrikto
მაუსი (კომპიუტერი)	Komputila muso
ლაპტევების ზღვა	Lapteva Maro
ივანე IV	Ivano la Terura
სერგეი ეიზენშტეინი	Sergej Miĥajloviĉ Ejzenŝtejn
შუქნიშანი	Trafiklumoj
აკირა კუროსავა	Kurosawa Akira
ფრანკლინ დელანო რუზველტი	Franklin D. Roosevelt
დედამიწის მეცნიერებები	Terscienco
იბნ სინა	Aviceno
უინსტონ ჩერჩილი	Winston Churchill
ნეტარი ავგუსტინე	Aŭgusteno de Hipono
ნელსონ მანდელა	Nelson Mandela
მარტინ ლუთერ კინგი	Martin Luther King
ფერია	Feo
GIMP	GIMP
Inkscape	Inkscape
ბრჭყალები (სასვენი ნიშანი)	Citilo
ფერმენტები	Enzimo
X საუკუნე	10-a jarcento
ცილები	Proteino
ლუი XI	Ludoviko la 11-a (Francio)
ბოშები	Ciganoj
ქანი (გეოლოგია)	Rokaĵo
სტიქიური უბედურება	Naturkatastrofo
ამინომჟავები	Aminoacido
წყალდიდობა	Inundo
ცუნამი	Cunamo
ვულკანი	Vulkano
ღრუბელი	Nubo
ლოგიკა	Logiko
Wii	Wii
ტორნადო	Tornado (ŝtormo)
IX საუკუნე	9-a jarcento
ტრიგონომეტრია	Trigonometrio
VIII საუკუნე	8-a jarcento
გეომეტრია	Geometrio
ზაფხულის ოლიმპიური თამაშები 1900	Somera Olimpiko 1900
VII საუკუნე	7-a jarcento
VI საუკუნე	6-a jarcento
გრამატიკა	Gramatiko
ტროპიკული ციკლონი	Uragano
Nintendo	Nintendo
ქარი	Vento
V საუკუნე	5-a jarcento
ტელუგუ ენა	Telugua lingvo
IV საუკუნე	4-a jarcento
III საუკუნე	3-a jarcento
II საუკუნე	2-a jarcento
ატმოსფერო	Atmosfero (astro)
I საუკუნე	1-a jarcento
ქართული ენა	Kartvela lingvo
ეკონომიკა	Ekonomiko
კაპიტალი (ეკონომიკა)	Kapitalo
ვალუტა	Valuto
იენა (ფულის ერთეული)	Japana eno
მრეწველობა	Industrio
პოლ ბოკიუზი	Paul Bocuse
გადასახადი	Imposto
ენათმეცნიერება	Lingvoscienco
სიტყვა	Vorto
ნეკარ-ოდენვალდის რაიონი	Distrikto Neckar-Odenwald
რაინ-ნეკარის რაიონი	Distrikto Rhein-Neckar
კარლსრუეს რაიონი	Distrikto Karlsruhe
რაშტატის რაიონი	Distrikto Rastatt
ფონემა	Fonemo
ენცის რაიონი	Distrikto Enz
კალვის რაიონი	Distrikto Calw
ჩრდილოეთის დვინა	Norda Dvina
მარცვალი	Silabo
ფროიდენშტადტის რაიონი	Distrikto Freudenstadt
ორტენაუს რაიონი	Distrikto Ortenau
ემენდინგენის რაიონი	Distrikto Emmendingen
ბრაისგაუ-ზემო შვარცვალდის რაიონი	Distrikto Breisgau-Hochschwarzwald
არაბული დამწერლობა	Araba alfabeto
დასავლეთის დვინა	Daŭgavo
ლერახის რაიონი	Distrikto Lörrach
ვალდსჰუტის რაიონი	Distrikto Waldshut
ჩინური დამწერლობა	Ĉina skribo
შვარცვალდ-ბაარის რაიონი	Distrikto Schwarzwald-Baar
კონსტანცის რაიონი	Distrikto Konstanz
ტუტლინგენის რაიონი	Distrikto Tuttlingen
კირილიცა	Cirila alfabeto
როტვაილის რაიონი	Distrikto Rottweil
ტიუბინგენის რაიონი	Distrikto Tübingen
ბერძნული დამწერლობა	Greka alfabeto
როიტლინგენის რაიონი	Distrikto Reutlingen
ალბ-დუნაის რაიონი	Distrikto Alb-Donau
კორეული დამწერლობა	Korea alfabeto
ბიბერახის რაიონი	Distrikto Biberach
რავენსბურგის რაიონი	Distrikto Ravensburg
ბოდენზეს რაიონი	Distrikto Bodensee
ლათინური დამწერლობა	Latina alfabeto
ზიგმარინგენის რაიონი	Distrikto Sigmaringen
ცოლერნალბის რაიონი	Distrikto Zollernalb
კატეგორია:ბულგარეთი	Kategorio:Bulgario
ლიტერატურა	Literaturo
კატეგორია:საფრანგეთი	Kategorio:Francio
