Naakaii Łizhiní Bikéyah	Afriko
Neeshchʼííʼ hááheeshchiiʼí	Migdalujo
Łóóʼ bigaan tseebíí	Polpo
Chʼosh bikágí ntłʼizí	Krabo
Tábąąstííntsoh bideeʼ hólónígíí	Rosmaro
Mágí diʼilí	Orangutano
Atsátsoh	Reĝa aglo
Chʼil łitsxooí ntsxaaígíí	Grapfrukto
Kʼíníjíłʼahí (dííshjį́ ááłjiní)	Groso
Naʼastsʼǫǫsí binááʼ áłtsʼíísígíí	Soriko
Dzaanééz	Mulo
Tsinlátah shash łichíʼígíí	Malgranda pando
Tsídii jáádnézí	Flamengo
Tééh łééchąąʼí	Hienedoj
Łóóʼtsoh dootłʼizhígíí	Blua baleno
Sóól	Acero
Aghaaʼ	Lano
Deesdoigi	Tropikoj
Shádiʼááhdę́ę́ʼ tłʼízí	Lamo
Mósíʼilí	Persa kato
Lókʼaatah mósí ałchiní	Ĝangala kato
Náshdóítʼą́ʼí łikizhígíí	Servalo
Tábąąh béégashii	Akvobubalo
Béégashiitsoh naʼałkǫ́ǫ́ʼígíí	Manato
Hastiin Leiw Éíwiksson	Leifr Eiríksson
Akágí yitsʼǫǫsii	Hirudo
Anáʼálwoʼ:TʼAN (FAQ)	Helpo:Oftaj demandoj
Chidítsoh	Kamiono
Gáagii	Korvo
Tó wónaanídę́ę́ʼ náshdóí	Eŭrazia linko
Jááłánii (bitsiitsʼiin nteelígíí)	Centpieduloj
Giní	Falko
Dahiitį́hii	Kolibro
Tsídii biyęęzhtsohígíí	Kivio
Tązhii	Meleagro
Chʼosh (Bíígháán Ádaadinígíí)	Senvertebruloj
Gáagii naashchʼąąʼígíí	Koraciedoj
Mąʼii	Kojoto
Dah Naatʼaʼí Sǫʼ bił Sinil	The Star-Spangled Banner
Akʼah sisíʼí tsin	Eŭkalipto
Gahtsoh	Leporo
Bisóodi bíchį́į́h nineezí	Orikteropo
Sonora Hahoodzo	Sonora
Nahakʼízii	Grilo
Chaaʼ	Kastoro
Chʼilzooł	Brokolo
Kááʼtsʼiní	Dazipo
Atsʼiis naałdzid	Pulma kancero
Yágháhoníkáángóó ałánátʼahí	Kosmopramo
Béésh náábałí atsiniltłʼish ííłʼínígíí	Ventoturbino
Méhigo tééh	Valo de Meksiko
Shą́ą́ʼnahalghałí (naaldeehii)	Prokaviuloj
Nahatʼeʼiitsoh łichíiʼii	Ruĝa kanguruo
Azeeniłchin	Lamiacoj
Chʼał	Anuro
Tsxilghááh	Salamandro
Shádiʼááhdę́ę́ʼ atsátsoh	Amerika harpio
Shádiʼááhdę́ę́ʼ chʼał kʼaasdáhígíí	Dendrobatedoj
Tónteel tsídiitsoh	Albatrosoj
Chidí nadlééh	Kabrioleto
Bisóodi ałchiní	Apro
Sǫʼ łóóʼ bigaanézí	Ofiuredoj
Dághaałóóʼ	Katfiŝo
Łóóʼtʼą́hí	Pleŭronektoformaj
Toohjįʼ ndiigaii	Blanka egreto
Díłdánii	Amerikaj koturnoj
Táłtłʼááh łį́į́ʼ	Hipokampo
Łóóʼ bíígháántsiighąąʼ ádaadinígíí	Mukofiŝoj
Tó wónaanídę́ę́ʼ dzeeh	Ruĝa cervo
Kinłání (Hoozdoh Hahoodzo)	Flagstaff (Arizono)
Michoacán Hahoodzo	Michoacán
Táłtłʼááh chʼosh daadánígíí	Salikoko
Mágíshzhin	Ĉimpanza genro
Łóóʼntsxaaí łikizhígíí	Balenŝarko
Dlǫ́ʼii yił Aheedaałtʼéhígíí	Mungotedoj
Béésh Bichʼahníí Bikéyahdę́ę́ʼ ayání	Eŭropa bizono
Łóóʼtsoh bitsiiʼ dikʼání	Kaĉaloto
Waaʼ (dííshjį́ ááłjiní)	Legoma spinaco
Néʼéshjaatsoh	Granda kornostrigo
Shádiʼááhdę́ę́ʼ tłʼízíʼilí	Alpako
Chʼosh ditłʼooí	Raŭpo
Łóóʼ bigaan neeznání	Kalmaroj
Bijáád noodǫ́ǫzii	Okapio
Méhigo Hahoodzo	Estado de México
Ayání	Amerika bizono
Mąʼiiłgaii	Arkta vulpo
Gólízhii Danilínígíí	Mefito
Táłtłʼááh adijiłii	Eĥino
Nahachagii	Lokusto
Wóóneeshchʼįįdii (nahachaʼígíí)	Saltulo
Tsídiitsoh ditsʼozígíí	Emuo
Ałhaʼdeetʼaah	Kontrakto
Naayééʼ tsídii	Arkeopterigo
Tsísʼná (bitłʼizh ííłʼínígíí)	Mielabelo
Chééwokii dinéʼiʼ	Ĉerokoj
Tsin naaʼeeł hééł bee nágéhéʼ	Ŝarĝoŝipo
Yéigo ałhoshii	Gliredoj
Naʼashjéʼii bijéí dah łichíiʼii	Nigra vidvino
Didzéłchííʼ	Ilekso
Oozéí / Ayahkinii	Hopioj
Toohjįʼ noołnahiitsoh	Goliata ardeo
Bidááʼ Haʼaztʼiʼ Tsékooh	Granda Kanjono
Táłtłʼááh tsisteełtsoh	Leddorsa martestudo
Tábąąh mąʼii	Lav-urso
Hołchʼíʼí	Urtiko
Dáághahii dinéʼiʼ	Francoj
Shash łizhinígíí	Amerika nigra urso
Náshdóí bizaʼazis hólóní	Tilacino
Łeeyiʼ chʼosh	Tervermo
Shash bitéélgaígíí	Azia nigra urso
Chʼoshtʼą́hí	Platvermo
Hashtłʼish jeeshóóʼ	Ŝafgrifo
Jádí bíchį́į́htsohígíí	Altnaza antilopo
Táłtłʼááh chʼoshtsoh chʼééh digháhii	Markukumo
Chidí naatʼaʼí dilwoʼí	Ĉasaviadilo
Bíchį́į́h naatsʼǫǫdí	Tapiro
Łóóʼ Bigaan Dahólónígíí	Kapopieduloj
Dahbaʼ (tsin)	Frakseno
Neeshchʼííłchííʼ	Kaŝtanarbo
Chį́į́hnézí nahatʼeʼígíí	Makrosceliduloj
Táłtłʼááh ayání	Dugongo
Dibé Diníí Bikéyahdę́ę́ʼ náshdóí	Iberia linko
Toohjįʼ ndiigaiitsoh	Granda egretardeo
Wóóneeshchʼįįdii	Cikadedoj
Dééshzhiin	Nigra cigno
Dlǫ́ǫ́ʼ ntsxaaígíí	Kapibaro
Mąʼii bijaaʼtsohí	Feneko
Dilchaʼ	Marmoto
Náshdóí łibáhígíí	Rufa linko
Chʼilhaatʼaʼii	Kolombfalko
Tééh hóyáaniitsoh	Belugo
Jádí bideeʼ yisdizígíí	Impalo
Náátsʼózídę́ę́ʼ mąʼiiłchííʼ	Montara kuono
Łóóʼtsoh bighą́ą́ʼ yílkʼidígíí	Ĝiba baleno
Ghą́ą́ʼnaakiskʼidii	Baktria kamelo
Tábąąh mąʼiiniiʼí	Niktereŭto
Naʼazhǫǫsh (ndajiné dóó adazhdikaʼgi)	Kazino
Dlǫ́tʼą́ʼí	Surikato
Azeeʼ hókániitsoh (chʼil daadánígíí)	Artiŝoko
Kéchwa dinéʼiʼ	Keĉuoj
Mąʼii bizaʼazis hólóní	Tasmana diablo
Shash bítááʼłgaígíí	Okulvitra urso
Jádítsoh	Granda kuduo
Naatʼáanii Moctezuma II	Moktezumo la 2-a
Ásáí dinéʼiʼ bikéyah	Araba mondo
Shash yázhí	Malaja urso
Shash ndilnaʼii	Longlipa urso
Teeł	Tifao
Łéʼétsoh yiljaaʼí	Ranunkolo
Hakʼaz náshdóí	Kanada linko
Mąʼii yił Ałhidanoolinígíí Yázhí	Procionedoj
Béésh Bichʼahii beʼakétłʼóól dijoolí	Tigobrasiko
Nahooyéí (chʼil naʼatłʼoʼii)	Konvolvulo
Atʼééké bijish yázhí	Burĝonbrasiko
Tsékooh	Kanjono
Noodah	Agavo
Łeeʼdoolʼeezí	Orobankacoj
Aniłtʼánii	Neŭroptero
Kʼaalógii bijáád dį́įʼii	Nimfalisedoj
Nímasii yiyání	Terpoma skarabo
Taʼaghálii	Astragalo (planto)
Naaʼołí yiltʼąąʼí	Latiro
Hastóí tsiiyéélí	Klematido
Chʼilátah atsʼos	Epilobio
Shį́náldzidí (chʼil bilátah hózhóón)	Leonfaŭko
Kʼįįʼ	Sumako
Naaztání	Kristodorna glediĉio
Táłkááʼbéésh	Sagitario (planto)
Tsinyaa tłʼoh	Poo
Tłʼééʼ yiigáhii	Enotero
Díkʼǫ́ǫ́zhí (chʼil)	Atriplex
Zééʼiilwoʼii	Alopecurus
Chéchʼil ntłʼizí yiltʼąąʼí	Oregona mahonio
Tséyaa hataałí	Napo
Tłʼohtsʼózí	Junko
Tłʼoh dichʼíízh	Karekso
Bįįh yildeeʼí	Fizalido
Hosh niteelí	Opuntio
Teeł bitʼąąʼłánígíí	Skirpo
Chʼał nineezí	Taŭra rano
Tééh hóyáanii bíchį́į́htsahí	Narvalo
Mágí bíchį́į́htsohígíí	Paviano
Bįįh łikizhígíí (Béésh Bichʼahníí Bikéyahdę́ę́ʼígíí)	Damao
Tábąąh ayání	Afrika bubalo
Nátʼostsoh	Tapso
Dibé diníí dinéʼiʼ	Hispanoj
Binaʼadaałtzózí	Japanoj
Yéʼiibeʼetsʼos	Tegmentbromuso
Gad yił aheełtʼéhígíí	Tamariko
Łóóʼ bíchį́į́h nineezí	Spadofiŝo
Łį́į́ʼ Ndahalinígíí	Ekvedoj
Binááʼ Ádaałtsʼózí bichʼil łigaií	Pekina brasiko
Azeedíchʼííʼ	Kapsiketo
Kolíya Tááʼ Bikéyahą́ą	Tri Antikvaj Regnoj de Koreio
Łeehdoolʼeez łichííʼí	Ruĝa beto
Iiʼnótʼį́į́	Infekto
Chʼah Diʼilii Bikéyahdę́ę́ʼ mósí ałchinígíí	Palasa kato
Jááłánii (bikágí ntłʼizígíí)	Milpieduloj
Łóóʼ ńdídzihígíí	Pulmofiŝoj
Chʼíshiibeezhii	Paruedoj
Giní jáádnézí	Sekretaribirdo
Hakʼaz néʼéshjaaʼ	Neĝostrigo
Shádiʼááhdę́ę́ʼ jeeshóóʼ	Anda kondoro
Chidí naatʼaʼítsoh beeʼeldǫǫh bikǫʼ neiyéhé	Bombaviadilo
Shash bighą́ąʼgi hadzíbáhí	Griza urso
Kǫʼ naʼałbąąsii	Vaporlokomotivo
Ndíyíliitsoh	Sunfloro
Naaʼahóóhaiłkizhígíí	Numidedoj
Naakaii Łizhiní Bikéyahdę́ę́ʼ łééchąąʼí ałchiní	Makul-likaono
Aniłtʼánii (tʼááłaʼajínígoʼígíí)	Efemeroj
Ayánítsoh bighą́ą́ʼaskʼidígíí	Gaŭro
Máaz yikááʼ nandahí Spirit	Spirit
Hakʼaz giníłgaii	Ĉasfalko
Tsétah jeeshóóʼ łibáhí	Ansergrifo
Tłʼízí ałchiní	Natura kapro
Yaaʼ dóó chʼosh bíchį́į́h dadichʼízhí	Acanthocephala
Beeʼeldǫǫh	Muskedo
Tʼąąʼdoolghasí (daadánígíí)	Endivio
Dlǫ́ʼii (bílaʼashdlaʼii bilį́į́ʼ)	Furo
Łóóʼtsoh łibáhígíí	Griza baleno
Chʼah Diʼilii Bikéyahdę́ę́ʼ atsátsoh	Stepaglo
Yiisnááh	Militkaptito
Dzeeh	Kanada cervo
Tsinlátahgi tsídii nahatʼeʼígíí	Kolioformaj birdoj
Tsin naaʼeeł bee daʼahijighánígíí	Batalŝipo
Tsísʼná yiyání	Meropedoj
Bisóodi bizęęs dį́įʼii	Verukapro
Dlǫ́ʼiitsoh naalzheehígíí	Foso
Nahachagii biyázhí	Afido
Naalkʼįhiitsoh	Dermopteroj
Łóóʼ naatʼaʼí	Flugofiŝoj
Mąʼiitsoh bikʼos bineʼdę́ę́ʼ łizhinígíí	Kolhara lupo
Iichʼąhiitsʼósí	Triĥopteroj
Kéyah Dańlínídę́ę́ʼ atsátsoh	Filipina aglo
Tábąąstííntsoh bíchį́į́htsohígíí	Marelefanto
Chʼosh yighání	Protelo
Tó naagoʼ	Guto
Mágí bigaanézí	Gibonoj
Bílaneezii	Fingrobesto
Séí mąʼii	Korsako
Naalʼeełítsoh bitéél halchíʼí	Ruĝbrusta ansero
Tłʼízí bideeʼ yisdizígíí	Markoro
Jádí	Antilokapro
Wónikǫsí	Fantominsektoj
Tééh łééchąąʼí noodǫ́zígíí	Hieno
Tsídiiłchxoní	Hoacino
Mąʼii bighą́ąʼgi hadzíjiní	Nigradorsa ŝakalo
Naakaii Łizhiní Bikéyahdę́ę́ʼ mąʼiiłchííʼ	Etiopia lupo
Tsétah dibé	Kanada ŝafo
Dibé dóó Tłʼízí Ndahalinígíí	Kaprenoj
Mágí bíchį́į́h dootłʼizhígíí	Mandrilo
Tsiighájíłchí	Kuskuto
Dzeeh łikizhígíí	Makula cervo
Tábąąh mósí ałchiní	Fiŝa kato
Chį́į́h yee achʼiishíhii	Segilorajo
Shádiʼááhdę́ę́ʼ hodíłchʼil mąʼii	Mustelvulpo
Hakʼaz mágí	Japana makako
Tsé Biiʼ Ndzisgaii	Monument Valley
Mágí bíchį́į́h niilyoolígíí	Nazulo
Shádiʼááhdę́ę́ʼ tsídiitsoh	Amerika reao
Náátsʼózídę́ę́ʼ mósíłtsxooí ałchinígíí	Azia ora kato
Łóóʼnteeltsoh	Molao
Tábąąh bįįh	Rivera cervo
Hodíłchʼil jeeshóóʼ	Reĝa katarto
Dlǫ́ǫ́ʼ bitseetłʼooígíí	Ĉinĉilo
Néʼéshjaaʼ bíńdáhii	Nizostrigo
Bitseeʼ yee adiłhałii	Misisipa aligatoro
Níyolgi naatʼaʼígíí (tónteel tsídii)	Hidrobatedoj
Tádídíín yiyání	Foliskaraboj
Tsídiidaashiyishí	Ibisoj
Shádiʼááhdę́ę́ʼ łéʼétsoh bitseeʼ ádinígíí	Agutio
Naʼashǫ́ʼii łóóʼ hashkéhé	Koluma ŝarko
Jeeshóóʼ	Kalifornia kondoro
Chʼosh doo yitʼíinii bee nílʼíní	Mikroskopo
Tsin ditʼinii	Zizelo
Joogii	Blua garolo
Łeeyiʼ nahakʼízii	Talpogrilo
Náátsʼózídę́ę́ʼ naalʼeełí	Mandarenanaso
Tsídiitsoh bikʼos dootłʼizhí	Kazuaro
Dįʼ	Tetraonedoj
Tééhoołtsódiichilí	Nana hipopotamo
Tłʼohtahgi díłdánii yił aheełtʼéhii	Turnicedoj
Łóóʼyiniʼįįhí (tónteel tsídii)	Sterkorariedoj
Tsin yąąh dzootʼihí	Sitedoj
Tiníléí	Gila monstro
Dijádídlǫ́ʼí	Montalaŭdo
Tłʼoh	Herbotapiŝo
Dinas	Ursbera arktostafilo
Yadiizį́įgo ayání	Ĝirafa gazelo
Télii bijáád noodǫ́zí	Afrika sovaĝa azeno
Dááʼadeeʼii	Kulerbekuloj
Taahilnoodii	Suledoj
Łééh yidi tóʼígíí	Grundakvejo
Naʼashǫ́ʼiitsoh naʼałkǫ́ʼígíí	Marigvano
Tsídiisháshii	Bombiciledoj
Naakétłʼáhí	Pimoj
Yaaʼ bitsʼaʼígíí	Koĉo
Daateel	Ŝipbekulo
Kénézí	Jakanaedoj
Neeshchʼííʼ	Pinsemo
Naalʼeełítsoh yił aheełtʼéhii łizhin dóó łigaiígíí	Piga ansero
Mąʼii chʼil	Solidago
Yaadaaʼnézí (tónteel tsídii)	Tondilbekulo
Tsídii disxǫsígíí	Galbuledoj
Tsinlátahgi dlǫ́ʼiitsoh	Binturongo
Jeeshóóʼ łizhinígíí	Nigra katarto
Naałʼashí	Tarantulo
Dééłdą́ą́ʼ	Agla pteridio
Hashkʼaan yildeełígíí (tsídii)	Musofagedoj
Daakʼį́į́ʼ	Kurlo
Bįįh bitseełgaiígíí	Blankavosta cervo
Wónitłʼizí	Oniscidea
Dark Ages	Malluma Epoko
Dlóóʼ binaalniih	Bubona pesto
Ááhooshtʼįįh	Kapitulaco
Tééh tsisteeł	Martestudoj
Bichʼah Dootłʼizhii	Pactrupoj de Unuiĝintaj Nacioj
Łeʼesoołii (bitseeʼ naakiígíí)	Dipluro
Dlǫ́ʼátsoh	Arbara marmoto
Chʼééh digháhii dóó Tsisteeł	Testuduloj
Tááʼyaʼniiltʼóshii	Kardinaledoj
Łóóʼ bigaanłánígo bitsʼaʼígíí	Naŭtilo
Tániilʼáítsʼóóz	Zigopteroj
Tó wónaanídę́ę́ʼ hazéí bíchį́į́hnézí	Tupajuloj
Hakʼaz gah	Arkta leporo
Nahashchʼidí (naaldeehii)	Taksideo
Bisóodi bideeʼ názhahígíí	Babiruso
Tsídii bichʼahtsooígíí	Granda bunta bucero
Bilagáana	Blankulo
Shash nátʼoh	Tera tribuluso
Jádítsoh diłhiłígíí	Njalo
Dlǫ́ʼiitsoh łikizhígíí	Afrika civeto
Tsétah tłʼízí	Oreamno
Tsiishgaii	Pigmea sito
Tsį́į́łkaałiichilí	Pikumnoj
Dééłgai bitsiiʼ halzhinígíí	Nigrakola cigno
Naalʼeełí bidaatsʼózí	Merĝoj
Chį́į́shłigaií (bílaʼashdlaʼii bilį́į́ʼ)	Bredansero
Naalʼeełí łizhinígíí	Maranasoj
Nahatʼeʼiitsoh Bikéyahdę́ę́ʼ naalʼeełítsoh łibáhígíí	Cindrogriza ansero
Tsétah nahatʼeʼiitsoh	Rokaj kanguruoj
Táłkááʼ dilwoʼí	Geriso
Ąąʼąʼii	Pigo
Mósí ałchiní bitsiiʼtʼąhígíí	Platkapa kato
Naakaii Łizhiní Bikéyahdę́ę́ʼ naalʼeełítsoh dibéłchíʼígíí	Egipta ansero
Hosh aditsahiitsoh	Saguaro
Tʼáá łichíʼígo náʼagéédí	Heterocefalo
Tééh jeeshóóʼ	Afrika gipo
Łéʼétsoh beeniʼíhoniitaahígíí	Kavio
Sahdii Bisí (Tsé Nástánii)	Nacia parko Petrified Forest
Tsé Bighánílíní	Antilopa Kanjono
Tsídii naʼałkǫ́ʼígíí	Fraterkulo
Tónteel bibąąh hóyáanii	Nigra foceno
Náhookǫsdę́ę́ʼ dlǫ́ʼii	Amerika marteso
Naalʼeełí naashchʼąąʼígíí	Arbanaso
Tsin naaʼeeł łóó beeʼháʼhaalʼééłiʼ	Fiŝkapta ŝipo
Táłtłʼááh álééh	Blucindra ardeo
Tsísʼnáłtsooítsoh	Vespo (genro)
Náátsʼózídę́ę́ʼ tsiiłtsooí	Ora fazano
Bisóodi Danilínígíí	Neremaĉuloj
Tsʼání	Pinsemgarolo
Chʼééh digháhii bitsʼaʼ yilzhólí	Molkarapacaj testudoj
Chį́į́shghą́ʼiiłgaii	Karolina sito
Hastiin Diego de Landa	Diego de Landa
Tsįyaalzhahí	Striakcipitro
Yaaʼ nahachagiígíí	Pulo
Kéʼ łizhiní	Nigrapieduloj
Tábąąsdísí áłtsʼíísí	Makula tringo
Náátsʼózídę́ę́ʼ toohjįʼ ndiigaii	Ĉina egreto
Wóláchííʼ yildeełí łizhin dóó łigaígíí	Tamanduo
Hodíłchʼil tłʼízí	Sumatra serovo
Naayééʼ tsídiitsoh	Dinornito
Atseełtsoii	Jamajka buteo
Tóniłhę́ęshii (dééł)	Amerika gruo
Naaltsoos Mormon Wolyéhígíí	Libro de Mormon
Téél halchíʼí	Migra turdo
Dlǫ́ʼátah néʼéshjaaʼ	Kuniklostrigo
Tʼiisbáí	Ŝajntremola poplo
Yáhashjool yázhí	Eta botaŭro
Tłʼéeʼgo mágí	Noktosimio
Tsʼíʼii jáádnézí	Tipoledoj
Chʼil ditsʼozíłchííʼ	Rambutano
Taʼneeskʼání	Kantalupo
Tsídiiłtsooí bitʼaʼ łizhinígíí	Amerika kardelo
Anaasází	Anasazi-kulturo
Chʼééh digháhiitsoh	Galapaga testudo
Tsineeshbízhii	Amerika certio
Toohjįʼ noołnahii yázhí	Verda ardeo
Déłí	Kanada gruo
Ąąʼąʼiiłbáhí	Blua pigo
Naalʼeełí dootłʼizhí	Bluflugila anaso
Béíyózhin	Pajuteoj
Jádídlǫ́ʼii	Domtroglodito
Yaayááhalzhiin	Strigorĝa amfispizo
Chʼagiitsoh	Flavkapa trupialo
Níyolgi naʼałkǫ́ʼígíí (tónteel tsídii)	Pelekanoidedoj
Tłʼízíʼilí	Angura kapro
Tsinaʼayąʼii	Termito
Náʼagéédí bíchį́į́h sǫʼ nahalinígíí	Stelnaza talpo
Naaʼahóóhai disxǫsígíí	Lofoforoj
Neeshchʼíínímazí	Avelo
Tʼáyaałtso	Brustomakula pego
Nákʼeʼnáʼijiní	Kanada sito
Yáhashjool yił aheełtʼéhii	Sunbirdo
Zééjíjinii	Kresta kriulo
Chį́į́shłigaií dóó Naalʼeełítsoh	Ansero
Jádí biniiʼtsʼózí	Stepa alcelafo
Tábąąh jádí	Akvantilopo
Nahatʼeʼiitsoh Bikéyahdę́ę́ʼ tązhii	Lathama alekturo
Mąʼii dootłʼizhí	Ringovosta basarisko
Tóidoozohii bidaaʼ łigaiígíí	Fuliko
Tsisteeł hashkéhé	Ĥelidredoj
Wóniłchxoní	Pentatomedoj
Tsiikʼánii (tsídii)	Martelbirdo
Náátsʼózídę́ę́ʼ tsiidootłʼizhii	Argusfazano
Ábishjaaʼ (daadánígíí)	Manĝeblaj fungoj
Kéyah Dańlínídę́ę́ʼ naalʼeełí	Filipina anaso
Tiníléítsoh naʼałkǫ́ʼígíí	Akva varano
Tʼiis	Nigra poplo
Dééłtsoh	Koria otido
Tsé Bíyah Aniiʼáhí	Nacia Historia Parko de la Ĉako-kulturo
Nahatʼeʼiitsoh Bikéyahdę́ę́ʼ biyázhí neiyéhé	Vulpoposumo
Naaʼahóóhaiłbáhí	Perdix
Jeeshóóʼ ałchozhígíí	Palmogipo
Dlǫ́ʼii yił aheełtʼéhii łitsxooígíí	Vulpa cinikto
Chʼał ntsxaaígíí	Goljata rano
Tééh naaʼahóóhaitʼą́ʼí	Frankolino
Naalʼeełí (bílaʼashdlaʼii bilį́į́ʼ)	Hejmanaso
Yáhashjool	Nord-amerika botaŭro
Dlǫ́ʼii yił aheełtʼéhii yázhí	Nana helogalo
Tłʼohtahilzhahí	Kariamo
Dibé dághaaʼígíí	Japana serovo
Tsídiiłtsooí	Ora parulio
Chʼagii	Ruĝaflugila agelajo
Jeeshóóʼ bitsiiłgaiígíí	Blankakapa vulturo
Tábąądijádí	Kripluvio
Shádiʼááhdę́ę́ʼ niłchiis	Grizono (sudamerika gulo)
Naakaii Dootłʼizhí Dabikéyah	Suda Azio
Sháńdíín bitsʼą́ą́dę́ę́ʼ atsiniltłʼish álʼį́	Sunpanelo
Tsé noolchʼóshii	Katerpo
Naaʼahóóhai bikeetsohígíí	Megapodius
Naʼashǫ́ʼii kááʼtsʼinígíí	Dazipa lacerto
Diltʼóshii	Baeolophus
Atsá diłhiłígíí	Nigra aglo (birdo)
Ąąʼąʼii dootłʼizhígíí	Verda pigo
Dólii	Monta blubirdo
Biniiʼdootłʼizh	Nanaj strigoj
Tłʼoh azihii	Ephedra
Tsídii bizééʼ naashchʼąąʼí	Tragopano
Tábąąsdísíłbáí	Galinaga tringo
Dilzhę́ʼii	Stelera garolo
Łeeyiʼ bitiiní	Arvikolenoj
Atsáłbáí	Meksika falko
Tsʼánídílzhiʼí	Okcidenta makisgarolo
Iichʼąh	Konvulsio
Kiisʼáanii	Pueblo-indianoj
Ghą́ą́ʼdiʼilii (tsin yigházhígíí)	Longhara rato
Tsídii bitʼaʼ dah adadootłʼizhígíí	Pavofazanoj
Dilchʼóshii	Junkuloj
Hazéíntsxaaígíí	Ratufo
Dzílí	Kupera akcipitro
Dah Naatʼaʼí Bééhoʼdílzin	Ĵuro pri fideleco
Tónteel táshchozhii	Ŝterno
Dóliiłchííʼ	Okcidenta blubirdo
Anáʼálwoʼ:Bee hadítʼéhígíí	Helpo:Enhavo
Táłtłʼááh chʼoshtsoh bideeneezí	Palinuro
Tiníléítsoh łikizhígíí	Giganta varano
Tsé noolchʼóshiiłbáhí	Salpinkto
Halchíítah	Pentrita Dezerto
Wóósitsʼílí	Cimo (insekto)
Biizhii	Amerika kaprimulgo
Niłchʼiʼ bee naalkaahiʼ	Geostationary Operational Environmental Satellite
Tó Sido Háálį́	Pagosa Springs
Chʼoshtsoh bíláshgaantsohí (tónteelgiʼígíí)	Omaro
Tábąąstííntsoh bighaaʼ díłchʼilígíí	Felfoko
Kʼaiʼbisii	Salikoturdo
Táshchozhii dootłʼizhí	Purpura hirundo
Chíshii Kʼíneeshbizhii	Lucia vermivoro
Nááʼnoodǫ́ǫzii	Thlaspi
Tóidoozohii dootłʼizhígíí	Porfirio
Chʼagiiłbáhí	Molotro
Bitsiichįįshgahí	Kolumbia nucifrago
Naaldlooshii Bikéshgaan Dahólónígíí	Hufuloj
Néʼézhiin	Ruĝnuka sevsuĉulo
Ginítsoh diłhiłí	Nigra buteogalo
Tsídii bidaatsoh naashchʼąąʼí	Tukano (birdo)
Dahtooʼ yinooghałii	Marĉotroglodito
Tʼááłáhági átʼéego:Bééshbichʼahí	Kategorio:Germanio
Tʼááłáhági átʼéego:Wááshindoon bikéyah ałhidadiidzooígíí	Kategorio:Usono
Tʼááłáhági átʼéego:Dibé diníí bikéyah	Kategorio:Hispanio
Tʼááłáhági átʼéego:Naakaii Bikéyah	Kategorio:Meksiko
Wóódeʼełchíhii	Koreedoj
Choozhghalii	Ikteroj
Tsiiyah wozhii	Sturneloj
Naatsédlózii	Vojkuruloj
Tʼááłáhági átʼéego:Bidił daazdoígíí dóó daʼałtʼoʼígíí	Kategorio:Mamuloj
Tʼááłáhági átʼéego:Naaldlooshii dadichʼízhii	Kategorio:Reptilioj
Tʼááłáhági átʼéego:Biyáázh Tsʼǫʼasánígíí	Kategorio:Amfibioj
Tʼááłáhági átʼéego:Tsídii	Kategorio:Birdoj
Tʼááłáhági átʼéego:Chʼosh doo yitʼíinii dláádí dóó Ábishjaaʼ	Kategorio:Fungoj
Tʼááłáhági átʼéego:Chʼil	Kategorio:Plantoj
Tʼááłáhági átʼéego:Nátʼą́ą́ʼ náháneʼ	Kategorio:Historio
Tʼááłáhági átʼéego:Naʼalkaah	Kategorio:Scienco
Béégashii bideetsohí	Grandkorna bovo
Łóóʼtsoh bizábąąh shiyishí	Veraj balenoj
Kiisʼáanii Naakáí yikʼéʼ daʼdéísdlį́į́h	Ribelo de Puebloj
Dah yiskʼid	Holmo
Táshchozhii ndiilkʼísii	Klifhirundo
Tsídiiłtsooiiłkizhígíí	Bairda ammodramo
Iichʼąhii	Noktopapilio
Roman dinéʼiʼ	Romio
Naadą́ą́ʼ bichʼosh	Diabrotiko maizdamaĝiga
Tábąąh béégashii ałchiní	Azia bubalo
Bitátʼahkin	Navaha Nacia Monumento
Tʼááłáhági átʼéego:Ałtsʼáʼáztiin	Kategorio:Apartigiloj
Atsá	Aglo
Dą́ʼáchaan	Ustilago
Jááłánii bitsiitsʼiin łichííʼígíí	Arizona dezerta centpiedulo
Tʼááłáhági átʼéego:Stubs	Kategorio:Ĝermo
Tʼááłáhági átʼéego:Chidí naatʼaʼí	Kategorio:Aviadiloj
Bee álnééhí:User uk-2	Ŝablono:Vikipediisto uk-2
Tʼiistsoh	Alamo (Nov-Meksiko)
Tábąąsdísí	Galinago
Náyaasęęsí	Joseph City (Arizono)
Tʼááłáhági átʼéego:Wikipedia bots	Kategorio:Vikipedio:Robotoj
Áłtsínítsoh	Mortkamasio
Áshįįh (Beʼekʼid)	Zuni
Niłtsínii bikétłʼóól dijoolí (daadánígíí)	Rapo
Tsídii bitseeʼ naashchʼąąʼí	Pavo
Bee álnééhí:Tl	Ŝablono:Ŝ
Tʼááłáhági átʼéego:Bee Hazʼáanii	Kategorio:Juro
Tʼááłáhági átʼéego:Kéyah daʼnaaznilígíí dóó kéyah biłhaʼdaʼhaasdzoígíí	Kategorio:Landoj
Wikiibíídiiya:Dahwéetʼaahígíí	Vikipedio:Administrantoj
Wikiibíídiiya:Botígíí beehazʼą́ąnii	Vikipedio:Roboto
Ííjip	Egiptujo
Bee álnééhí:Bot	Ŝablono:Bot
Deeteel Bikéyah	Kanado
