Afraga	Afriko
Sìthiche	Feo
10mh Linn	10-a jarcento
Clach	Rokaĵo
Beinn-theine	Vulkano
Neul	Nubo
Cuairt-ghaoth	Tornado (ŝtormo)
9mh Linn	9-a jarcento
8mh Linn	8-a jarcento
Geoimeatras	Geometrio
7mh Linn	7-a jarcento
6mh Linn	6-a jarcento
Gràmar	Gramatiko
Gaoth	Vento
5mh Linn	5-a jarcento
4mh Linn	4-a jarcento
3mh Linn	3-a jarcento
2na Linn	2-a jarcento
Àile	Atmosfero (astro)
1 Linn	1-a jarcento
Eaconomachd	Ekonomiko
Ruith-airgid	Valuto
Cànanachas	Lingvoscienco
Lide	Silabo
Aibidil Arabach	Araba alfabeto
Aibidil Cirileach	Cirila alfabeto
Aibidil Ghreugach	Greka alfabeto
Aibidil Ròmanach	Latina alfabeto
Roinn-seòrsa:Bulgàiria	Kategorio:Bulgario
Litreachas	Literaturo
Roinn-seòrsa:An Fhraing	Kategorio:Francio
Roinn-seòrsa:Ceòl	Kategorio:Muziko
Roinn-seòrsa:Litreachas	Kategorio:Literaturo
Nobhail	Romano
Roinn-seòrsa:Bàrdachd	Kategorio:Poezio
Sionnach	Ruĝa vulpo
Trombaid	Trumpeto
Jazz	Ĵazo
Clàirneid	Klarneto
Trombon	Trombono
Fìdheall	Violono
Valladolid	Valadolido
Alasdair Mòr	Aleksandro la Granda
Foghlam	Eduko
Teaghlach	Familio
Hugo Chávez	Hugo Chávez
Otto von Bismarck	Otto von Bismarck
Pòsadh	Geedzeco
Cogadh sìobhalta	Interna milito
Cofaidh	Kafo
Bainne	Lakto
Beinn	Monto
Fàsach	Dezerto
Simón Bolívar	Simón Bolívar
Andrew Johnson	Andrew Johnson
Iùdais	Jida lingvo
Hong Kong	Honkongo
Miami, Florida	Miamo
Karachi	Karaĉio
Lagos	Lagoso
Cogadh Catharra Ameireaganach	Usona Enlanda Milito
Rio de Janeiro	Rio-de-Ĵanejro
Cogadh Fuar	Malvarma milito
Seoul	Seulo
Shanghai	Ŝanhajo
Bilbao	Bilbao
Sevilla	Sevilo
Archimedes	Arkimedo
Albàinis	Albana lingvo
Michael Faraday	Michael Faraday
Basgais	Eŭska lingvo
Corùna	Korunjo
Radebeul	Radebeul
Ucràinis	Ukraina lingvo
Granada	Granado
València	Valencio
Mallorca	Majorko
Valence (Drôme)	Valence (Drôme)
Málaga	Malago
Sealgair Mòr	Oriono (konstelacio)
Reul-bhad	Konstelacio
Johannes Gutenberg	Johannes Gutenberg
Leas-Rìoghachd Ghranada Ùire	Vicreĝlando de Nova Granado
Mo Yan	Mo Yan
Schaffhausen	Ŝafhaŭzo
Suainis	Sveda lingvo
Danmhairgis	Dana lingvo
James Watt	James Watt
Nirribhis	Norvega lingvo
Noam Chomsky	Noam Chomsky
Lucsamburgais	Luksemburga lingvo
Seacais	Ĉeĥa lingvo
Slòbhacais	Slovaka lingvo
Karl Marx	Karl Marx
Slòbhainis	Slovena lingvo
Ungairis	Hungara lingvo
Voltaire	Voltaire
Eastoinis	Estona lingvo
Maois	Moseo
Latbhais	Latva lingvo
Liotuànais	Litova lingvo
Hionduthachd	Hinduismo
Bealaruisis	Belorusa lingvo
Dmitri Mendeleev	Dmitrij Mendelejev
Ernest Rutherford	Ernest Rutherford
Winterthur	Vinterturo
Greugais	Greka lingvo
Miotas-eòlas	Mitologio
Gàidhlig na h-Èireann	Irlanda lingvo
Jozip Broz Tito	Josip Broz Tito
Anam	Animo
Maltais	Malta lingvo
Genesis	Genezo
Ecsodus	Eliro
Sigmund Freud	Sigmund Freud
Roinn-seòrsa:Reul-bhadan	Kategorio:Konstelacioj
Baku	Bakuo
Làrach Dhualchas na Cruinne	Monda heredaĵo de Unesko
Iùdhachd	Judismo
Thimphu	Timbuo
Bandar Seri Begawan	Bandar-Seri-Begavano
Eabhra	Hebrea lingvo
Sèirbis	Serba lingvo
Cuimris	Kimra lingvo
Dili	Dilo
Immanuel Kant	Immanuel Kant
Gàidhlig	Skotgaela lingvo
John Maynard Keynes	John Maynard Keynes
Vientiane	Vjentiano
Guy de Maupassant	Guy de Maupassant
Lao Zi	Laozio
Malé	Maleo (Maldivoj)
Bishkek	Biŝkeko
Jean-Paul Sartre	Jean-Paul Sartre
Dushanbe	Duŝanbeo
Àdha	Hepato
Adam Smith	Adam Smith
Aotraman	Urina veziko
Coineanach	Kuniklo
Eòlas-inntinn	Psikologio
Cuan	Oceano
Bànrigh Bhictoria	Viktoria (Britio)
Buddha	Sidarto Gotamo
Mohammed	Mohamedo
BBC	BBC
Tony Blair	Tony Blair
Al-Ghazali	Algazelo
Martin Luther	Marteno Lutero
John Major	John Major
James Callaghan	James Callaghan
Gerald Ford	Gerald Ford
Richard Nixon	Richard Nixon
Eaglais Chaitligeach	Katolika Eklezio
Balg	Ventro
Bangla	Bengala lingvo
Machlag	Utero
Teanga	Lango (anatomio)
Amhach	Kolo
Beul	Buŝo
Lyndon B. Johnson	Lyndon B. Johnson
Alt (corp)	Artiko
Broilleach	Brusto
Na h-Eileanan Fàclainn	Insuloj Falklandoj
A	A
Eilean Mhanainn	Manksinsulo
Bànrigh Ealasaid II	Elizabeto la 2-a (Britio)
John F. Kennedy	John F. Kennedy
B	B
Honoré de Balzac	Honoré de Balzac
G	G
U	U
Z	Z
Blues	Bluso
F	F
J	J
Aibidil	Alfabeto
Reggae	Regeo
Sacsafòn	Saksofono
T	T
C	C
Eindhoven	Eindhoven
R	R
Zundert	Zundert
D	D
Alpha	Alfo
Omega	Omego
I	I
Amstelveen	Amstelveen
Mu	Muo (litero)
E	E
H	H
Dwight D. Eisenhower	Dwight D. Eisenhower
Haarlem	Haarlemo
K	K
L	L
M	M
N	N
O	O
Laren	Laren (Norda Holando)
P	P
Q	Q
S	S
Ronald Reagan	Ronald Reagan
V	V
W	W
X	X
Y	Y
Zandvoort	Zandvoort
Deventer	Deventer
Enschede	Enschede
Phi	Fio (litero)
Vlissingen	Vlissingen
Andy Moireach	Andy Murray
LibreOffice	LibreOffice
Zulu (cànan)	Zulua lingvo
Pythagoras	Pitagoro
Iruña	Pamplono
Baraille	Barelo
Zaragoza	Zaragozo
Donostia	Donostio
Almería	Almerio
Dreagbhod	Malgranda Ursino (konstelacio)
Saskatoon	Saskatuno
Gordon Brown	Gordon Brown
Pàrtaidh Nàiseanta na h-Alba	Skota Nacia Partio
1100	1100
Neville Chamberlain	Neville Chamberlain
Roinn-seòrsa:A' Bheiniseala	Kategorio:Venezuelo
Beul Feirste	Belfasto
Caerdydd	Cardiff
Tórshavn	Tórshavn
Georgetown, Guiana	Ĝorĝtaŭno (Gujano)
9/11	Atencoj de la 11-a de septembro 2001
Pèist	Reptilioj
Mariano Rajoy Brey	Mariano Rajoy
Creimiche	Ronĝuloj
Calman	Kolombedoj
Cogadh Sìobhalta na Spàinne	Hispana Enlanda Milito
Peileag	Porkocetoj
Craobh	Arbo
Lambda	Lambdo
Dà-bheathach	Amfibioj
Rèabhlaid	Revolucio
Càise	Fromaĝo
Rugbaidh lìog	Rugbeo 13
Mil	Mielo
Feòil	Viando
Buntàta	Terpomo
Siùcar	Sukero
Taigh nam Morairean	House of Lords
Snùcair	Snukero
Teicneòlas	Teknologio
Inneal	Maŝino
Innleadaireachd	Inĝenierarto
Conaltradh	Komunikado
Pàipear-naidheachd	Gazeto
Clò-bhualadh	Presarto
Fòn	Telefono
Na Rolling Stones	The Rolling Stones
Pinnt	Pajnto
Lugo	Lugo (Hispanio)
Searbhag	Acido
Comharradh-ceiste	Demandosigno
Co-thàth	Kemia kombinaĵo
22mh Linn	22-a jarcento
Eòlas-leighis	Medicino
Sarajevo	Sarajevo
Àireamhachd	Aritmetiko
Siostaman cho-chomharran	Koordinatsistemo
Salann	Salo
Roinn-seòrsa:Braisil	Kategorio:Brazilo
Roinn-seòrsa:Romàinia	Kategorio:Rumanio
Ceàrn (Matamataig)	Angulo
Gualuisg	Karbonhidrato
Lùth	Energio
Ròc	Rok-muziko
Hip-hop	Hiphopo
Apartheid	Apartismo
Geama	Ludo
Iom-tharraing	Gravito
Go	Goo
Tomad	Maso
Film	Filmo
Meatailt	Metalo (fiziko)
Stàilinn	Ŝtalo
Gas	Gaso
Carbad-adhair	Flugmaŝino
Rothair	Biciklo
Long	Ŝipo
Àiteachas	Agrikulturo
Cotan	Kotono
Aodach	Vesto
Crann-treabhaidh	Plugilo
Pàipear	Papero
Farsaingeachd	Areo
Àireamh	Nombro
Darwin, Astràilia	Darvino
Cruithneachd Innseanach	Maizo
Harry S. Truman	Harry S. Truman
Judy Garland	Judy Garland
Dannsa	Danco
Aimsir	Vetero
Cinn-suidhe nan Stàitean Aonaichte	Prezidanto de Usono
Dùthchannan an t-Saoghail	Listo de sendependaj ŝtatoj
Mathan	Urso
John Adams	John Adams
Thomas Jefferson	Thomas Jefferson
James Madison	James Madison
James Monroe	James Monroe
John Quincy Adams	John Quincy Adams
Andrew Jackson	Andrew Jackson
Martin Van Buren	Martin Van Buren
Silvio Berlusconi	Silvio Berlusconi
William Henry Harrison	William H. Harrison
John Tyler	John Tyler
James K. Polk	James K. Polk
Zachary Taylor	Zachary Taylor
Bern (Kanton)	Kantono Berno
Genève (Canton)	Kantono Ĝenevo
Glarus (Kanton)	Kantono Glaruso
Grischuns (Chantun)	Kantono Grizono
Solothurn (Kanton)	Kantono Soloturno
Kevin Costner	Kevin Costner
Zug (Kanton)	Kantono Zugo
Zürich (Kanton)	Kantono Zuriko
Alacant	Alakanto
Aargau (Kanton)	Kantono Argovio
Las Palmas de Gran Canaria	Las Palmas de Gran Canaria
Foto-cho-chur	Fotosintezo
Leatrom	Gravedeco
Darach	Kverko
Giuthas	Pino
1101	1101
1102	1102
Aillse	Kancero
Appenzell Ausserrhoden (Kanton)	Kantono Apencelo Ekstera
Appenzell Innerrhoden (Kanton)	Kantono Apencelo Interna
Coirce	Kutima aveno
Breatannais	Bretona lingvo
Luzern (Kanton)	Kantono Lucerno
Bodhar	Surdeco
Roinn-tìde	Horzono
Basel-Landschaft (Kanton)	Kantono Bazelo Kampara
Slàinte	Sano
Basel-Stadt (Kanton)	Kantono Bazelo Urba
Gàidhlig Mhanainn	Manksa lingvo
Naoned	Nanto (Francio)
Brest	Brest (Francio)
AIDS	Aidoso
A' Chaitheamh	Tuberkulozo
Breac (tinneas)	Variolo
Stanley	Stanlejo
Huelva	Onubo
Ailtireachd	Arkitekturo
Drochaid	Ponto
Millard Fillmore	Millard Fillmore
Franklin Pierce	Franklin Pierce
James Buchanan	James Buchanan
Uri (Kanton)	Kantono Urio
Pontevedra	Pontevedro
Schwyz (Kanton)	Kantono Ŝvico
Newton	Neŭtono (mezurunuo)
Detroit, Michigan	Detrojto
Königswinter	Königswinter
Siostam Eadar-nàiseanta nan Aonadan	Internacia sistemo de unuoj
Staitistearachd	Statistiko
1103	1103
1104	1104
Balla Mòr Shìona	Granda Ĉina Muro
Cruinne	Sfero
Gard (département)	Gard
Biorramaid	Piramido
Gers	Gers
Gironde	Gironde
Haute-Garonne	Haute-Garonne
Soillseachadh	Klerismo
Hauts-de-Seine	Hauts-de-Seine
An t-Impireachd Bheasantian	Bizanca imperio
Hérault	Hérault
Il-ha-Gwilen	Ille-et-Vilaine
Indre	Indre
Meadhan-aoisean	Mezepoko
Indre-et-Loire	Indre-et-Loire
Isère	Isère
An t-Ath-Leasachadh	Reformacio
Landes (département)	Landes
Loir-et-Cher	Loir-et-Cher
Na Lochlannaich	Vikingoj
Haute-Loire	Haute-Loire
Obwalden (Kanton)	Kantono Obvaldo
Loiret	Loiret
Lot (département)	Lot
Lot-et-Garonne	Lot-et-Garonne
Lozère	Lozère
Maine-et-Loire	Maine-et-Loire
Aimearaga-Laideannach	Latin-Ameriko
Manche	Manche
Nidwalden (Kanton)	Kantono Nidvaldo
Marne	Marne
Haute-Marne	Haute-Marne
Mayenne	Mayenne
Meurthe-et-Moselle	Meurthe-et-Moselle
Camas Mheagsago	Meksika Golfo
Meuse	Meuse
Làn-thoradh Dùthchail	Malneta enlanda produkto
Fribourg (Canton)	Kantono Friburgo
Mor-Bihan	Morbihan
Moselle (département)	Moselle
Nièvre	Nièvre
Wilhelm Ostwald	Wilhelm Ostwald
Nord (département)	Nord
Oise	Oise (departemento)
Orne	Orne
Pas-de-Calais	Pas-de-Calais
Puy-de-Dôme	Puy-de-Dôme
Schaffhausen (Kanton)	Kantono Ŝafhaŭzo
Hautes-Pyrénées	Hautes-Pyrénées
Pyrénées-Atlantiques	Pyrénées-Atlantiques
Lùth ath-nuadhachail	Renoviĝanta energio
Pyrénées-Orientales	Pyrénées-Orientales
Thurgau (Kanton)	Kantono Turgovio
Bas-Rhin	Bas-Rhin
Haut-Rhin	Haut-Rhin
Ticino (Cantone)	Kantono Tiĉino
Dealan	Elektro
Haute-Saône	Haute-Saône
Saône-et-Loire	Saône-et-Loire
Neuchâtel (Canton)	Kantono Neŭŝatelo
Sarthe	Sarthe
Beul-àtha	Vadejo
Savoie (département)	Savoie
St. Gallen (Kanton)	Kantono Sankt-Galo
Haute-Savoie	Haute-Savoie
Seine-et-Marne	Seine-et-Marne
Jura (Canton)	Kantono Ĵuraso
Inneal broinne-losgaidh	Eksplodmotoro
Seine-Maritime	Seine-Maritime
Inneal-stotha	Vapormaŝino
Seine-Saint-Denis	Seine-Saint-Denis
Deux-Sèvres	Deux-Sèvres
Somme (département)	Somme
Vaud (Canton)	Kantono Vaŭdo
Tarn (département)	Tarn
Tarn-et-Garonne	Tarn-et-Garonne
Territoire de Belfort	Territoire de Belfort
Val-d'Oise	Val-d'Oise
Val-de-Marne	Val-de-Marne
Var (département)	Var (departemento)
Claidheamh	Glavo
Vaucluse	Vaucluse
Vendée	Vendée
Vienne	Vienne (departemento)
Haute-Vienne	Haute-Vienne
Yonne	Yonne
Yvelines	Yvelines
Ceàrn	Komarko
Reinhard Selten	Reinhard Selten
Majuro	Majuro
Fano	Fano (Italio)
Sùbh-craoibh	Frambo
Rumantsch	Romanĉa lingvo
Bàrr a' bhainne	Kremo
Reòiteag	Glaciaĵo
Sòrbais Uarach	Suprasoraba lingvo
Briosgaid	Biskvito
Sòrbais Ìosal	Malsuprasoraba lingvo
Graz	Graz
Nahuatl (cànan)	Naŭatla lingvo
Navajo (cànan)	Navaha lingvo
Imperia	Imperia (Italio)
Ravenna	Raveno
Oilthigh Harvard	Universitato Harvard
Pistoia	Pistojo
Nuoro	Nuoro
Agrigento	Agrigento
1105	1105
Lleida (provincia)	Provinco Ilerdo
Île-de-France	Francilio
Centre-Val de Loire	Centro-Valo de Luaro
Piocardaidh	Pikardio
Arabais	Araba lingvo
Tartu	Tartu
Casanare (Roinn)	Kasanareo
Caquetá (Roinn)	Kaketao
Kyūshū	Kjuŝuo
Honshū	Honŝu
Valle del Cauca (Roinn)	Valo de Kaŭko
Shikoku	Ŝikokuo
Risaralda (Roinn)	Risaraldo
Quindío (Roinn)	Kindio
Dolair Aimearaganach	Dolaro (monunuo)
Champagne-Ardenne	Ĉampanjo-Ardenoj
Corsaca	Korsiko
Ogsatanais	Okcitana lingvo
Afraganais	Afrikansa lingvo
Aarau	Araŭo
Santiago de Compostela	Santiago de Compostela
Vitoria-Gasteiz	Vitorio (Hispanio)
Santa Cruz de Tenerife	Santa Cruz de Tenerife
Tyrannosaurus	Tiranosaŭro
Iasgach	Fiŝkaptado
Beta	Beto (litero)
Gamma	Gamo (litero)
Delta	Delto (litero)
Epsilon	Epsilono
Zeta	Zeto
Eta	Eto (litero)
Theta	Teto
Iota	Joto
Kappa	Kapo (litero)
Nu	Nuo (litero)
Xi	Ksio
Omicron	Omikrono
Rho	Roto (litero)
Sigma	Sigmo
Tau	Taŭo (litero)
Loch Lugano	Lago de Lugano
Upsilon	Upsilono
Chi	Ĥio (litero)
Psi	Psio (litero)
A' Bheurla Ghallda	Skota lingvo
Emmen	Emmen (Nederlando)
Lùireach	Blazono
Caolabhain	Krajono
Àirneis	Meblo
Bòrd (àirneis)	Tablo
Macau	Makao
Bautzen	Bautzen
Aurich	Aurich
Bernburg	Bernburg
Crann-sneachda	Neĝoplugilo
Daleth	Daleto
Sioraf	Ĝirafo (specio)
Tarragona	Taragono
Lleida	Ilerdo
Castelló de la Plana	Castelló
Provence-Alpes-Côte d'Azur	Provenco-Alpoj-Bordo Lazura
Bile (corp)	Lipo
Aonadh Sobhiat	Sovetunio
Lord of the Rings ( leabhar )	La Mastro de l' Ringoj
Loch Ladoga	Ladoga (lago)
Platapas gob-tunnaige	Ornitorinko
Cáceres	Cáceres
Badajoz	Badaĥozo
Jaén (baile)	Ĥaeno
Cádiz	Kadizo
Salamanca	Salamanko
Bun-na-coise	Piedo
Queen	Queen
Freddie Mercury	Freddie Mercury
Amy Winehouse	Amy Winehouse
Altenburg	Altenburg
Cnàmh an ugain	Klaviklo
Gualann	Ŝultro
Peirceall	Mandiblo
Humphrey Bogart	Humphrey Bogart
Midi-Pyrénées	Sudo-Pireneoj
Franche-Comté	Franĉkonteo
Teamplaid:Link FA	Ŝablono:LigoElstara
Uicipeid:Talla a' Bhaile	Vikipedio:Diskutejo
České Budějovice	České Budějovice
Bàirdse	Barĝo
Breitheamh	Juĝisto
Vermont	Vermonto
San Diego, Calafòrnia	San-Diego
San Jose, Calafòrnia	San Jose (Kalifornio)
Denver	Denvero (Koloradio)
Houston, Texas	Houston (Teksaso)
Phoenix, Arizona	Fenikso (Arizono)
Dallas, Texas	Dallas (Teksaso)
Fort Worth, Texas	Fort Worth
Memphis, Tennessee	Memphis (Tenesio)
Columbus, Ohio	Columbus (Ohio)
Jacksonville, Florida	Jacksonville (Florido)
Justus von Liebig	Justus von Liebig
Samoa Aimearaganach	Usona Samoo
Basse-Normandie	Malsupra Normandio
A' Ghearmailt an Ear	Germana Demokratia Respubliko
Haute-Normandie	Supra Normandio
Pàpa Pòl VI	Paŭlo la 6-a
Nord-Pas-de-Calais	Nordo-Kaleza Markolo
Pays de la Loire	Luarlandoj
Languedoc-Roussillon	Langvedoko-Rusiljono
Poitou-Charentes	Puatuo-Ĉarentoj
Guadeloupe	Gvadelupo
Oakland, Calafòrnia	Oakland (Kalifornio)
Martinique	Martiniko
Mayotte	Majoto
Réunion	Reunio
Ugh	Ovo
Cearcall	Cirklo
Bosco Marengo	Bosco Marengo
Tenzin Gyatso	Tenzin Gyatso
Donald Knuth	Donald Knuth
Diego Armando Maradona	Diego Armando Maradona
Fòn-làimh	Poŝtelefono
Struth (eun)	Struto
Aicseam	Aksiomo
Portacomaro	Portacomaro
LCDT	GLAT
Sappho	Sapfo
Sacramento, Calafòrnia	Sakramento (Kalifornio)
Honolulu	Honolulu
Coirea	Koreio
1925	1925
1927	1927
Manchester	Manchester
Gao Xingjian	Gao Xingjian
Alfonso XIII na Spàinne	Alfonso la 13-a (Hispanio)
Providence, Rhode Island	Providence (Rod-Insulo)
Sasainn Nuadh	Nov-Anglio
Alatri	Alatri
Joseph Stiglitz	Joseph E. Stiglitz
1000	1000
999	999
Faol	Lupo
Bàlla	Pilko
Doolish	Douglas (Mankso)
Tucson, Arizona	Tucson (Arizono)
1955	1955
1954	1954
1953	1953
1951	1951
1950	1950
1946	1946
1943	1943
1942	1942
1940	1940
1939	1939
1938	1938
1937	1937
1936	1936
1935	1935
Swansea City A.F.C.	Swansea City
1934	1934
1933	1933
1932	1932
1931	1931
1930	1930
1929	1929
Pyongyang	Pjongjango
Tiomnadh Nuadh	Nova testamento
Cuthag	Kukolo
Edwin Mattison McMillan	Edwin Mattison McMillan
2010an	2010-aj jaroj
George Bernard Shaw	George Bernard Shaw
Tìr-mòr na Sìne	Ĉeftera Ĉinio
1001	1001
1002	1002
1003	1003
1005	1005
1006	1006
1007	1007
1008	1008
1009	1009
1010	1010
1011	1011
1012	1012
1013	1013
1014	1014
1015	1015
1016	1016
1017	1017
1018	1018
1019	1019
1020	1020
1021	1021
1022	1022
1023	1023
1024	1024
1025	1025
1026	1026
1027	1027
1028	1028
1029	1029
1030	1030
1031	1031
1032	1032
1033	1033
1034	1034
1035	1035
1036	1036
1037	1037
1038	1038
1039	1039
1040	1040
1041	1041
1042	1042
1043	1043
1044	1044
1045	1045
1046	1046
1047	1047
1048	1048
1049	1049
1050	1050
1051	1051
1052	1052
1053	1053
1054	1054
1055	1055
1056	1056
1057	1057
1058	1058
1059	1059
1060	1060
1061	1061
1062	1062
1063	1063
1064	1064
1065	1065
1066	1066
Pelican	Pelikano
1067	1067
1068	1068
1069	1069
1070	1070
1071	1071
1072	1072
1073	1073
1074	1074
1075	1075
1076	1076
1077	1077
1078	1078
1079	1079
1080	1080
1081	1081
1082	1082
1083	1083
1084	1084
1085	1085
1086	1086
1087	1087
1088	1088
1089	1089
1090	1090
1091	1091
1092	1092
1093	1093
1094	1094
1095	1095
1096	1096
1097	1097
1098	1098
1099	1099
1106	1106
1107	1107
1108	1108
1109	1109
1110	1110
Podolsk	Podolsk
1111	1111
1112	1112
1113	1113
1114	1114
1115	1115
1116	1116
1117	1117
1118	1118
1119	1119
1120	1120
Pàpa	Papo
1130	1130
1131	1131
Rafael Correa	Rafael Correa
1132	1132
1133	1133
1134	1134
1135	1135
1136	1136
1137	1137
1138	1138
1139	1139
5	5
1140	1140
1141	1141
1142	1142
1143	1143
1144	1144
4	4
1145	1145
1146	1146
1147	1147
1148	1148
3	3
1149	1149
1150	1150
1151	1151
1152	1152
1153	1153
2	2
1154	1154
1155	1155
1156	1156
1157	1157
1158	1158
1159	1159
Bucharest	Bukareŝto
1160	1160
1161	1161
1162	1162
1163	1163
1164	1164
Louvre	Luvro
1165	1165
1166	1166
1167	1167
1168	1168
1169	1169
1170	1170
Buidheann neo-eisimeileachd na Porto Riko	Partio de la Sendependeco de Porto-Riko
1171	1171
1172	1172
1173	1173
Tirana	Tirano
1174	1174
1175	1175
1176	1176
1177	1177
1178	1178
Motörhead	Motörhead
1179	1179
1180	1180
1181	1181
Asal	Azeno
1182	1182
1928	1928
1183	1183
1184	1184
1185	1185
1186	1186
1187	1187
1188	1188
1189	1189
1190	1190
1191	1191
1192	1192
1193	1193
1194	1194
1195	1195
1196	1196
1197	1197
1198	1198
1199	1199
6	6
Seann Tiomnadh	Malnova testamento
Josh Duhamel	Josh Duhamel
Nollaig	Kristnasko
Cànanan Ròmanach	Latinida lingvaro
Bliadhna-leum	Superjaro
Steve Jobs	Steve Jobs
Lady Gaga	Lady Gaga
Cànanan Innd-Eòrpach	Hindeŭropa lingvaro
Breinigerberg	Breinigerberg
Muammar al-Gaddafi	Muamar Kadafi
Tìgear	Tigro
Rìgh Juan Carlos I na Spàinne	Johano Karlo la 1-a (Hispanio)
Francesco Totti	Francesco Totti
Bonnach-uighe	Omleto
Àrd-Dhiùcachd Hesse	Hesio-Darmstadt
Mirow	Mirow
Feldberger Seenlandschaft	Feldberger Seenlandschaft
Neustrelitz	Neustrelitz
Eideard VII	Eduardo la 7-a
Lugaidh	Sablovermo
Fredericia	Fredericia
Lochlann	Skandinavio
A' Chàisg	Pasko
Chişinău	Kiŝinevo
Cànain Ghearmaineach	Ĝermana lingvaro
Eòlas-comainn	Sociologio
Şalom	Şalom
Aibidil Eadar-nàiseanta Fogharach	Internacia Fonetika Alfabeto
Oilthigh Phrinceton	Universitato Princeton
Echidna	Ekidno
Opossum	Didelfedoj
Taidh-Bhàn (eilean)	Tajvano
Aurora, Illinois	Aurora (Ilinojo)
New York	New York
Cruadhtan	Betono
Co-chomharran an Domhain	Geografia koordinata sistemo
Rathad-iarainn	Fervojo
Bròg	Ŝuo
Banca	Banko
Pàirce	Parko
Dùmhlachd-sluaigh	Loĝdenso
Èirinn	Irlando (insulo)
Abertawe	Swansea
Roinn Eilbheiseach	Kantonoj de Svislando
Sneek	Sneek
1	1
A’ Chòrn	Kornvalo
Bristol	Bristolo
Wombat	Vombato
10	10
Nashville, Tennessee	Naŝvilo (Tenesio)
20	20
Spinazzola	Spinazzola
30	30
40	40
9	9
7	7
8	8
Taylor Lautner	Taylor Lautner
Jeremy Renner	Jeremy Renner
12	12
Seòl-mara	Tajdo
Fiadh	Cervedoj
Dèigh	Glacio
Ùrnaigh an Tighearna	Patro nia
Loch-uisge	Lago
Musée d'Orsay	Musée d'Orsay
Corp-eòlas	Antropologio
930	930
13	13
985	985
1122	1122
981	981
939	939
Ulan Bator	Ulaanbaataro
Ernest Hemingway	Ernest Hemingway
Dùn Èideann	Edinburgo
Ashgabat	Aŝgabato
51	51
Eilean	Insulo
814	814
678	678
950	950
679	679
996	996
680	680
37	37
980	980
900	900
1129	1129
Chris Pine	Chris Pine
843	843
Lordi	Lordi
690	690
691	691
988	988
692	692
476	476
693	693
Marseille	Marsejlo
694	694
695	695
Uinnean	Cepo
696	696
697	697
698	698
Cànan Oifigeil	Oficiala lingvo
699	699
700	700
Moshchena	Moŝĉena
701	701
702	702
Àrc-eòlas	Arkeologio
703	703
Tomàto	Tomato
704	704
705	705
George H. W. Bush	George H. W. Bush
706	706
68	68
89	89
707	707
708	708
709	709
11	11
710	710
711	711
712	712
Na Balcain	Balkana duoninsulo
713	713
714	714
Cànanan Slàbhach	Slava lingvaro
715	715
Dmitry Medvedev	Dmitrij Medvedev
716	716
717	717
718	718
Entrena	Entrena
719	719
720	720
Pròsdanachas	Protestantismo
721	721
722	722
723	723
NASA	NASA
724	724
725	725
726	726
Atlanta	Atlanta (Georgio)
727	727
Benito Mussolini	Benito Mussolini
728	728
729	729
963	963
730	730
Podgorica	Podgorico
731	731
Lost	Lost (televida serio)
962	962
732	732
733	733
997	997
734	734
972	972
735	735
955	955
901	901
736	736
737	737
936	936
738	738
953	953
902	902
739	739
15	15
740	740
14	14
741	741
742	742
17	17
743	743
958	958
744	744
500	500
745	745
150	150
746	746
880	880
747	747
748	748
749	749
870	870
903	903
750	750
HBO	Home Box Office
751	751
Bermuda	Bermudo
752	752
Ceann	Kapo
753	753
987	987
754	754
965	965
755	755
924	924
951	951
932	932
Wellington, Sealainn Nuadh	Velingtono
Breatainn Mhòr	Britio (insulo)
23	23
800	800
Jimmy Carter	Jimmy Carter
120	120
Laoidh Nàiseanta	Nacia himno
42	42
967	967
989	989
960	960
969	969
957	957
1124	1124
971	971
937	937
992	992
990	990
899	899
975	975
942	942
966	966
1128	1128
959	959
973	973
18	18
19	19
16	16
21	21
26	26
41	41
32	32
33	33
982	982
974	974
976	976
979	979
986	986
919	919
998	998
995	995
977	977
1125	1125
Valletta	La-Valeto
934	934
200	200
876	876
875	875
810	810
929	929
882	882
1127	1127
940	940
889	889
844	844
912	912
838	838
984	984
874	874
38	38
43	43
127	127
954	954
39	39
24	24
79	79
61	61
104	104
29	29
102	102
866	866
Pàpa Iain XXIII	Johano la 23-a
839	839
622	622
918	918
100	100
Lila Downs	Lila Downs
961	961
570	570
632	632
Andrew Garfield	Andrew Garfield
946	946
835	835
884	884
859	859
832	832
849	849
877	877
Sìotà	Gepardo
878	878
861	861
869	869
968	968
983	983
964	964
1121	1121
1123	1123
933	933
915	915
970	970
911	911
993	993
991	991
994	994
898	898
944	944
907	907
943	943
945	945
922	922
905	905
941	941
925	925
928	928
948	948
947	947
949	949
926	926
126	126
101	101
105	105
108	108
117	117
115	115
Gual	Terkarbo
22	22
46	46
25	25
153	153
156	156
31	31
825	825
Vancouver	Vankuvero
301	301
116	116
886	886
330	330
860	860
842	842
165	165
871	871
893	893
203	203
909	909
222	222
931	931
938	938
917	917
160	160
28	28
Poll a' Ghrùthain	Liverpool
85	85
88	88
76	76
54	54
477	477
914	914
920	920
913	913
935	935
841	841
820	820
906	906
Bremen	Bremeno
916	916
885	885
Gnìomhair	Verbo
168	168
Ficsean-saidheans	Sciencfikcio
60	60
47	47
836	836
112	112
854	854
862	862
879	879
887	887
770	770
817	817
864	864
863	863
868	868
