Áfríkà	Afriko
1099	1099
1106	1106
1107	1107
1108	1108
1109	1109
1110	1110
Podolsk	Podolsk
1111	1111
1112	1112
1113	1113
1114	1114
1115	1115
1116	1116
1117	1117
1118	1118
1119	1119
1120	1120
Pópù	Papo
Mẹ́tàlì álkálì	Alkala metalo
1130	1130
Mẹ́tàlì alkalínì ilẹ̀	Teralkala metalo
Áktínídì	Aktinoido
1131	1131
Rafael Correa	Rafael Correa
1132	1132
1133	1133
1134	1134
1135	1135
Mẹ́tálọ́ìdì	Metaloido
1136	1136
Aláìjẹ́-mẹ́tàlì	Nemetalo
1137	1137
Halojín	Halogeno
1138	1138
1139	1139
Ẹ̀fúùfù abíire	Nobla gaso
5	5
1140	1140
1141	1141
1142	1142
1143	1143
1144	1144
4	4
1145	1145
1146	1146
1147	1147
1148	1148
3	3
1149	1149
1150	1150
1151	1151
1152	1152
1153	1153
2	2
1154	1154
1155	1155
1156	1156
Ohun ìgboro	Publika havaĵo
1157	1157
1158	1158
1159	1159
Bucharest	Bukareŝto
1160	1160
1161	1161
1162	1162
1163	1163
Al Gore	Al Gore
1164	1164
1165	1165
1166	1166
1167	1167
1168	1168
1169	1169
1170	1170
Egbé Osèlú Olómìnira tí Puèrtó Ríko	Partio de la Sendependeco de Porto-Riko
1171	1171
1172	1172
1173	1173
Tirana	Tirano
1174	1174
1175	1175
1176	1176
1177	1177
1178	1178
Motorhead	Motörhead
1179	1179
1180	1180
1181	1181
1182	1182
1928	1928
1183	1183
1184	1184
1185	1185
1186	1186
1187	1187
1188	1188
1189	1189
1190	1190
1191	1191
1192	1192
1193	1193
1194	1194
1195	1195
1196	1196
1197	1197
1198	1198
1199	1199
Wikipedia:Àwọn àyọkà dáradára	Vikipedio:Legindaj artikoloj
6	6
Májẹ̀mú Láéláé	Malnova testamento
Josh Duhamel	Josh Duhamel
Kérésìmesì	Kristnasko
Anígunmẹ́ta	Triangulo
Ọdún Tódọ́gba	Superjaro
Steve Jobs	Steve Jobs
Lady Gaga	Lady Gaga
Àwọn èdè Índíà-Europe	Hindeŭropa lingvaro
Muammar al-Gaddafi	Muamar Kadafi
Àmọ̀tẹ́kùn	Tigro
Juan Carlos Àkọ́kọ́ ilẹ̀ Spéìn	Johano Karlo la 1-a (Hispanio)
Francesco Totti	Francesco Totti
Joe Pesci	Joe Pesci
ISO 3166-2:BO	ISO 3166-2:BO
ISO 3166-2:DK	ISO 3166-2:DK
ISO 3166-2:IT	ISO 3166-2:IT
ISO 3166-2:SJ	ISO 3166-2:SJ
ISO 3166-2:FR	ISO 3166-2:FR
ISO 3166-2:UY	ISO 3166-2:UY
ISO 3166-2:HR	ISO 3166-2:HR
ISO 3166-2:EG	ISO 3166-2:EG
ISO 3166-2:UA	ISO 3166-2:UA
ISO 3166-2:ES	ISO 3166-2:ES
ISO 3166-2:LY	ISO 3166-2:LY
ISO 3166-2:LT	ISO 3166-2:LT
ISO 3166-2:TR	ISO 3166-2:TR
ISO 3166-2:HU	ISO 3166-2:HU
ISO 3166-2:RU	ISO 3166-2:RU
ISO 3166-2:PT	ISO 3166-2:PT
ISO 3166-2:AU	ISO 3166-2:AU
ISO 3166-2:NO	ISO 3166-2:NO
ISO 3166-2:NL	ISO 3166-2:NL
Chişinău	Kiŝinevo
Nọ́mbà àdábáyé	Natura nombro
Àwọn èdè oníjẹ́mánì	Ĝermana lingvaro
Ìṣeọ̀rọ̀àwùjọ	Sociologio
Şalom	Şalom
Àrúbà	Arubo
Yunifásítì Princeton	Universitato Princeton
Orissa (India)	Odiŝo
Ìwé Àṣẹ Aṣàlàyé Ọ̀fẹ́ GNU	Permesilo de GNU por Liberaj Dokumentoj
John Kerry	John Kerry
Punjab (India)	Panĝabo (Barato)
Sístẹ́mù ajọfọ̀nàkò jẹ́ọ́gráfì	Geografia koordinata sistemo
Friedrich Schiller	Friedrich Schiller
Baháí	Bahaa Kredo
Ìṣúpọ̀ olùgbé	Loĝdenso
1	1
Bristol	Bristolo
10	10
Nashville	Naŝvilo (Tenesio)
20	20
Surrey	Surrey
30	30
Roberto Benigni	Roberto Benigni
Gough Whitlam	Gough Whitlam
Abkhazia	Abĥazio
40	40
9	9
Edmund Barton	Edmund Barton
7	7
Chris Watson	Chris Watson
8	8
Taylor Lautner	Taylor Lautner
Jeremy Renner	Jeremy Renner
12	12
Ọ̀sẹ̀	Semajno
Àgbọ̀rín	Cervedoj
Adágún	Lago
Òkun Pupa	Ruĝa Maro
Erékùṣù Bouvet	Buvet-Insulo
930	930
13	13
985	985
1122	1122
981	981
939	939
Gúúsù Ossetia	Sud-Osetio
Ulan Bator	Ulaanbaataro
Ernest Hemingway	Ernest Hemingway
Ashgabat	Aŝgabato
51	51
Octave Mirbeau	Octave Mirbeau
Erékùṣù	Insulo
814	814
678	678
950	950
679	679
996	996
680	680
37	37
980	980
900	900
1129	1129
Chris Pine	Chris Pine
843	843
Lordi	Lordi
690	690
691	691
988	988
692	692
476	476
693	693
694	694
695	695
696	696
697	697
698	698
Èdè iṣẹ́ọba	Oficiala lingvo
699	699
700	700
701	701
702	702
Ọ̀rọ̀ayéijọ́un	Arkeologio
703	703
Tòmátò	Tomato
704	704
705	705
George H. W. Bush	George H. W. Bush
706	706
68	68
89	89
707	707
708	708
709	709
11	11
710	710
711	711
712	712
713	713
714	714
Àwọn èdè Sílàfù	Slava lingvaro
715	715
Dmitry Medvedev	Dmitrij Medvedev
716	716
717	717
718	718
719	719
720	720
721	721
722	722
Selena	Selena
723	723
Bryan Cranston	Bryan Cranston
NASA	NASA
724	724
Mérida	Merido (Venezuelo)
725	725
726	726
Atlanta	Atlanta (Georgio)
727	727
Benito Mussolini	Benito Mussolini
728	728
729	729
963	963
730	730
Podgorica	Podgorico
731	731
962	962
732	732
733	733
997	997
734	734
972	972
735	735
955	955
901	901
736	736
737	737
936	936
738	738
953	953
902	902
739	739
15	15
740	740
14	14
741	741
742	742
17	17
743	743
958	958
744	744
500	500
745	745
150	150
746	746
880	880
747	747
748	748
749	749
870	870
903	903
750	750
751	751
Bẹ̀rmúdà	Bermudo
752	752
753	753
987	987
754	754
965	965
755	755
924	924
951	951
932	932
Wellington	Velingtono
Erékùṣù Brítánì Olókìkí	Britio (insulo)
23	23
800	800
Apáàríwá Kíprù	Turka Respubliko Norda Kipro
Jimmy Carter	Jimmy Carter
120	120
Orin-ìyìn orílẹ̀-èdè	Nacia himno
42	42
967	967
989	989
960	960
969	969
957	957
1124	1124
971	971
937	937
992	992
990	990
899	899
975	975
942	942
966	966
1128	1128
959	959
973	973
18	18
19	19
16	16
Las Vegas	Lasvegaso
21	21
26	26
41	41
32	32
33	33
982	982
974	974
976	976
979	979
986	986
919	919
998	998
Palẹstínì	Palestino
995	995
977	977
1125	1125
Valletta	La-Valeto
934	934
Nọ́mbà átọ̀mù	Atomnumero
Alfred Nobel	Alfred Nobel
200	200
876	876
875	875
810	810
929	929
882	882
1127	1127
940	940
889	889
844	844
912	912
838	838
984	984
874	874
George Clooney	George Clooney
38	38
43	43
127	127
954	954
39	39
24	24
79	79
61	61
104	104
29	29
102	102
866	866
Pópù Jòhánù 23k	Johano la 23-a
839	839
622	622
918	918
100	100
961	961
570	570
632	632
Andrew Garfield	Andrew Garfield
946	946
835	835
884	884
859	859
832	832
849	849
877	877
878	878
861	861
869	869
968	968
983	983
964	964
1121	1121
1123	1123
933	933
915	915
970	970
911	911
993	993
991	991
994	994
898	898
944	944
907	907
943	943
945	945
922	922
905	905
941	941
925	925
928	928
948	948
947	947
949	949
926	926
126	126
101	101
105	105
108	108
117	117
115	115
22	22
46	46
25	25
153	153
156	156
31	31
825	825
Vancouver	Vankuvero
301	301
116	116
886	886
Almazbek Atambayev	Almazbek Atambajev
330	330
860	860
842	842
165	165
871	871
893	893
203	203
909	909
222	222
931	931
938	938
917	917
160	160
28	28
Liverpool	Liverpool
85	85
88	88
76	76
54	54
477	477
914	914
920	920
913	913
935	935
841	841
820	820
906	906
Bremen	Bremeno
916	916
885	885
168	168
60	60
47	47
836	836
112	112
854	854
862	862
879	879
887	887
770	770
817	817
864	864
863	863
868	868
855	855
818	818
Woody Allen	Woody Allen
837	837
845	845
166	166
Òwìwí	Strigoformaj birdoj
Ààrẹ ilẹ̀ Jẹ́mánì	Prezidanto de Germanio
Ponun Stelin	Brita pundo
Ántíllès àwọn Nẹ́dálándì	Nederlandaj Antiloj
Àngúíllà	Angvilo
Guernsey	Guernsey
Svalbard	Svalbardo
Wákàtí	Horo
Aléegunẹ̀yìn	Vertebruloj
2016	2016
Àwọn Azore	Acoroj
552	552
Pristina	Priŝtino
Ibùdó Òfurufú Akáríayé	Internacia Kosmostacio
2019	2019
ISO 3166-1	ISO 3166-1
Ísótòpù	Izotopo
Hispaniola	Hispaniolo
Curaçao	Curaçao
2017	2017
2018	2018
Ọ̀rúndún 1k SK	1-a jarcento a.K.
2 SK	-2
1 SK	-1
Ọ̀rúndún 2k SK	2-a jarcento a.K.
Pítsílẹ́mu	Piĉilemo
Àwọn Erékùṣù Wúndíá Brítánì	Britaj Virgulininsuloj
Esinsin	Dipteroj
Aarhus	Arhuzo
Ọ̀rúndún 3k SK	3-a jarcento a.K.
Árktìkì	Arkto
Antoni Gaudí	Antoni Gaudí
Trenton	Trenton
Àwòdì apẹja	Fiŝaglo
2020	2020
Ìlọ́poméjì mítà	Kvadrata metro
Franki Swítsàlandì	Svisa franko
Theodor Mommsen	Theodor Mommsen
Erékùṣù Navassa	Navasa Insulo
123 SK	-123
234 SK	-234
Saint Barthélemy	Saint-Barthélemy
Newark, New Jersey	Newark (Nov-Ĵerzejo)
Bonaire	Bonaire
Krone Dẹ́nmárkì	Dana krono
345 SK	-345
Funchal	Funchal
600	600
Saint Martin	Sankta Marteno (insulo)
400	400
Litas	Litova lido
300	300
6528 Boden	6528 Bodeno
6529 Rhoads	6529 Rhoads
Ẹ̀rúndún 2k	2-a jarmilo
Ẹ̀rúndún 1k	1-a jarmilo
Hermann Hesse	Hermann Hesse
Ẹ̀rúndún 3k	3-a jarmilo
Madeira	Madejro
Yunifásítì Niccolò Cusano	Università degli Studi Niccolò Cusano
3787 Aivazovskij	3787 Aivazovskij
Kuna	Kroata kunao
Dọ́là Ìlàòrùn Kàríbẹ́ánì	Orientkaribia dolaro
Àsìá ilẹ̀ Georgia	Flago de Kartvelio
Ẹ̀wádún 1040	1040-aj jaroj
Lionel Richie	Lionel Richie
Àwọn èdè Ìwọ̀orùn Jẹ́mánìkì	Okcidentĝermana lingvaro
1242 Zambesia	1242 Zambezio
2165 Young	2165 Young
2866 Hardy	2866 Hardy
San Andrés, Providencia àti Santa Catalina	Sankta Andreo kaj Providenco
Lakshadweep	Lakŝadivoj
Àwọn Erékùṣù Cook	Kukinsuloj
1897 Hind	1897 Hind
Ìlàoòrùn Ásíà	Orienta Azio
10143 Kamogawa	10143 Kamogawa
Àrin Ásíà	Centra Azio
Ìwọòrùn Ásíà	Okcidenta Azio
Ilẹ̀ọba Prússíà	Reĝlando Prusio
Àríwá Ásíà	Norda Azio
Amẹ́ríkà Gẹ̀ẹ́sì	Anglosaksa Ameriko
Francisco de Paula Martínez de la Rosa y Berdejo	Francisco Martínez de la Rosa
Àríwá Áfríkà	Nord-Afriko
Apágúúsù Áfríkà	Suda Afriko
Ìlaòrùn Áfríkà	Orientafriko
Àrin Áfríkà	Centra Afriko
Apágúúsù Europe	Suda Eŭropo
Apáìlàoòrùn Europe	Orienta Eŭropo
Apáàríwá Europe	Norda Eŭropo
Apáìwọ̀òrùn Europe	Okcidenta Eŭropo
Gbọ̀ngàn Àrin Europe	Mezeŭropo
Áfríkà-Ẹurásíà	Afrik-Eŭrazio
Daimler AG	Daimler AG
Àrin Amẹ́ríkà	Centra Ameriko
1000 SK	-1000
Mikhail Bakunin	Miĥail Bakunin
Àṣínììsì	Aĉea lingvo
Shaka	Ŝaka
ISO 3166-2:CA	ISO 3166-2:CA
ISO 3166-2:AL	ISO 3166-2:AL
ISO 3166-2:GB	ISO 3166-2:GB
ISO 3166-2:IN	ISO 3166-2:IN
ISO 3166-2:AR	ISO 3166-2:AR
ISO 3166-2:BY	ISO 3166-2:BY
ISO 3166-2:DE	ISO 3166-2:DE
ISO 3166-2:US	ISO 3166-2:US
ISO 3166-2:MX	ISO 3166-2:MX
Baton Rouge	Baton Rouge (Luiziano)
Maghreb	Magrebo
Èdè Àmháríkì	Amhara lingvo
Àdán	Kiropteroj
36	36
Irun	Haro
Austríà–Húngárì	Aŭstrio-Hungario
Todor Zhivkov	Todor Ĵivkov
Èdè Árámáìkì	Aramea lingvo
Mauno Koivisto	Mauno Koivisto
Esko Aho	Esko Aho
Miloš Zeman	Miloš Zeman
Paavo Lipponen	Paavo Lipponen
Francisco Franco	Francisco Franco
Yayi Boni	Boni Yayi
Tarja Halonen	Tarja Halonen
Martti Ahtisaari	Martti Ahtisaari
Willis Tower	Willis-Turo
Asamiisi	Asama lingvo
Káábà	Kaaba
Ẹgbẹ́ Rẹ̀públíkánì (USA)	Respublikana Partio (Usono)
Ṣáínà	Ĉinio
Kíkisí	Denso
Ẹgbẹ́ Dẹmọkrátíkì (USA)	Demokrata Partio (Usono)
Èdè Afaaru	Avara lingvo
Beatrix ilẹ̀ Nẹ́dálándì	Beatrikso (Nederlando)
815	815
816	816
822	822
840	840
823	823
811	811
771	771
888	888
768	768
851	851
205	205
159	159
107	107
162	162
103	103
802	802
804	804
Ilẹ̀ọba àwọn Nẹ́dálándì	Reĝlando de Nederlando
119	119
118	118
Èdè Efe	Evea lingvo
801	801
807	807
806	806
152	152
240	240
218	218
655	655
496	496
238	238
197	197
451	451
775	775
489	489
784	784
661	661
625	625
653	653
904	904
921	921
923	923
1126	1126
668	668
636	636
408	408
464	464
410	410
956	956
952	952
658	658
650	650
518	518
70	70
Baálẹ̀	Urbestro
81	81
69	69
87	87
65	65
66	66
67	67
55	55
34	34
44	44
35	35
64	64
504	504
453	453
161	161
169	169
481	481
151	151
155	155
128	128
129	129
463	463
193	193
674	674
687	687
251	251
337	337
786	786
660	660
50	50
260	260
501	501
45	45
491	491
49	49
978	978
221	221
543	543
536	536
230	230
762	762
610	610
787	787
480	480
209	209
202	202
192	192
Zhengzhou	Ĝengĝoŭo
681	681
819	819
173	173
867	867
865	865
827	827
824	824
847	847
883	883
829	829
813	813
910	910
850	850
808	808
853	853
872	872
873	873
856	856
858	858
831	831
857	857
828	828
826	826
833	833
848	848
834	834
881	881
852	852
163	163
154	154
201	201
803	803
805	805
52	52
532	532
82	82
84	84
73	73
72	72
62	62
71	71
75	75
74	74
83	83
78	78
77	77
90	90
80	80
627	627
456	456
91	91
190	190
109	109
53	53
270	270
688	688
452	452
795	795
465	465
778	778
846	846
830	830
404	404
Ààrẹ	Prezidanto
908	908
896	896
897	897
927	927
63	63
555	555
571	571
86	86
401	401
890	890
533	533
264	264
Mikaẹli Gọrbatsẹf	Miĥail Gorbaĉov
99	99
415	415
483	483
469	469
462	462
459	459
466	466
402	402
761	761
780	780
675	675
689	689
774	774
759	759
758	758
350	350
Màmá Tèrésà	Patrino Teresa
782	782
760	760
785	785
783	783
767	767
766	766
211	211
232	232
204	204
188	188
98	98
894	894
Pópù Urban 2k	Urbano la 2-a
891	891
602	602
628	628
892	892
601	601
672	672
682	682
821	821
648	648
686	686
664	664
677	677
640	640
110	110
111	111
137	137
138	138
122	122
140	140
809	809
167	167
665	665
776	776
763	763
769	769
667	667
529	529
777	777
788	788
671	671
772	772
432	432
231	231
237	237
239	239
Ana Ivanovic	Ana Ivanović
130	130
Àsìá ilẹ̀ Ìlàòrùn Timor	Flago de Orienta Timoro
226	226
207	207
475	475
454	454
495	495
Petra Kvitová	Petra Kvitová
206	206
468	468
461	461
460	460
194	194
210	210
225	225
311	311
220	220
541	541
642	642
313	313
180	180
794	794
587	587
530	530
609	609
497	497
540	540
428	428
548	548
422	422
549	549
457	457
478	478
253	253
467	467
458	458
158	158
157	157
164	164
124	124
113	113
121	121
106	106
551	551
494	494
320	320
242	242
291	291
48	48
97	97
56	56
93	93
57	57
Jamestown, Saint Helena	Ĵamestaŭno
Polinésíà Fránsì	Franca Polinezio
503	503
510	510
509	509
474	474
484	484
576	576
Hamilton, Bẹ̀rmúdà	Hamiltono (Bermudo)
493	493
479	479
Plymouth, Montserrat	Plimuto
287	287
The Valley, Àngúíllà	La-Valo
407	407
485	485
547	547
Brades	Bradeso
546	546
544	544
537	537
Dọ́là Họ́ng Kọng	Honkonga dolaro
535	535
502	502
527	527
508	508
525	525
613	613
618	618
617	617
608	608
645	645
621	621
606	606
623	623
604	604
603	603
626	626
619	619
634	634
Erékùṣù Norfolk	Norfolkinsulo
630	630
Erékùṣù Kérésìmesì	Kristnaskinsulo
614	614
505	505
446	446
791	791
557	557
656	656
657	657
659	659
651	651
676	676
670	670
652	652
673	673
654	654
647	647
812	812
669	669
792	792
649	649
895	895
756	756
663	663
779	779
662	662
684	684
773	773
757	757
435	435
790	790
437	437
433	433
764	764
426	426
781	781
425	425
429	429
423	423
765	765
235	235
233	233
6531 Subashiri	6531 Subaŝiro
223	223
224	224
216	216
219	219
254	254
272	272
208	208
175	175
170	170
171	171
172	172
58	58
59	59
139	139
114	114
134	134
135	135
179	179
142	142
96	96
181	181
146	146
145	145
183	183
182	182
184	184
324	324
589	589
Odídẹrẹ́	Papagoformaj
521	521
92	92
597	597
329	329
Kraków	Krakovo
133	133
413	413
258	258
259	259
7863 Turnbull	7863 Turnbull
196	196
236	236
789	789
332	332
631	631
487	487
638	638
473	473
176	176
143	143
643	643
523	523
215	215
148	148
247	247
424	424
641	641
492	492
639	639
256	256
441	441
131	131
8217 Dominikhašek	8217 Dominikhašek
191	191
450	450
612	612
635	635
611	611
534	534
488	488
607	607
524	524
282	282
472	472
471	471
490	490
316	316
Ìjọba àìlólórí	Anarkio
797	797
511	511
9957 Raffaellosanti	9957 Raffaellosanti
295	295
8661 Ratzinger	8661 Ratzinger
598	598
303	303
250	250
515	515
512	512
418	418
333	333
294	294
217	217
277	277
578	578
312	312
Ìròpọ̀	Adicio
284	284
283	283
241	241
243	243
262	262
498	498
336	336
334	334
266	266
261	261
470	470
349	349
271	271
275	275
292	292
296	296
345	345
431	431
304	304
550	550
586	586
588	588
554	554
229	229
583	583
265	265
263	263
585	585
582	582
556	556
420	420
280	280
581	581
558	558
302	302
309	309
353	353
335	335
367	367
344	344
245	245
290	290
449	449
308	308
255	255
439	439
319	319
318	318
299	299
419	419
416	416
338	338
310	310
315	315
359	359
360	360
273	273
286	286
288	288
278	278
455	455
577	577
575	575
482	482
486	486
580	580
567	567
564	564
561	561
328	328
325	325
317	317
574	574
566	566
249	249
348	348
442	442
443	443
267	267
244	244
248	248
343	343
562	562
417	417
268	268
Èdè Fenda	Venda lingvo
590	590
269	269
499	499
409	409
405	405
406	406
403	403
414	414
411	411
412	412
560	560
592	592
Vladimír Špidla	Vladimír Špidla
Kẹ́tẹ́kẹ́tẹ́ abilà	Zebro
276	276
Mọ́ṣálásí	Moskeo
314	314
323	323
366	366
362	362
545	545
531	531
514	514
513	513
539	539
538	538
519	519
516	516
520	520
522	522
528	528
506	506
526	526
507	507
214	214
213	213
212	212
228	228
227	227
149	149
174	174
Àsìá ilẹ̀ Gibraltar	Flago de Ĝibraltaro
Èdè Bàlóṣì	Baluĉa lingvo
189	189
ISO 2108	ISBN
199	199
Bálíníìsì	Balia lingvo
Èdè Shíkọmọ	Komora lingvo
141	141
132	132
125	125
123	123
Vincent du Vigneaud	Vincent du Vigneaud
147	147
Àwọn èdè Bàntú	Bantua lingvaro
144	144
198	198
178	178
Sádíìkì	Ĉada Grupo
177	177
Ositiro-Esiatiiki	Aŭstralazia lingvaro
187	187
195	195
Àsìá ilẹ̀ Arméníà	Flago de Armenio
186	186
347	347
620	620
624	624
Kusitiiki	Kuŝida lingvaro
605	605
629	629
Èdè Tsàmórò	Ĉamora lingvo
616	616
615	615
644	644
646	646
633	633
637	637
436	436
434	434
293	293
2403 Šumava	2403 Šumava
692 Hippodamia	692 Hipodamio
427	427
185	185
321	321
327	327
430	430
Leon Trotsky	Lev Trockij
447	447
569	569
568	568
444	444
796	796
Èdè Fúlàní	Fula lingvo
798	798
793	793
685	685
799	799
683	683
274	274
579	579
281	281
306	306
8762 Hiaticula	8762 Hiaticula
ISO 639	ISO 639
438	438
Èdè Java	Java lingvo
297	297
421	421
298	298
351	351
Èdè Ígbò	Igba lingvo
352	352
355	355
95	95
94	94
594	594
542	542
448	448
445	445
305	305
234	234
565	565
381	381
385	385
Èdè Kóngò	Konga lingvo
553	553
307	307
584	584
346	346
257	257
Mọ̀nàmọ́ná	Fulmo
285	285
Ogun Pẹlopónéssè	Peloponeza milito
591	591
289	289
Bertrand Russell	Bertrand Russell
563	563
Kalẹdóníà Tuntun	Nov-Kaledonio
252	252
Àwọn èdè Niger-Kóngò	Niĝerkonga lingvaro
595	595
246	246
Theodore Roosevelt	Theodore Roosevelt
596	596
593	593
Èdè Sotho Apáàríwá	Peda lingvo
357	357
573	573
Pétérù Mímọ́	Sankta Petro
Ọmọ Haúsá	Haŭsoj
Julian Apostat	Juliano la Apostato
Czechoslovakia	Ĉeĥoslovakio
Jules Verne	Jules Verne
Èdè Sindhi	Sinda lingvo
Hollywood	Holivudo
Marlon Brando	Marlon Brando
Èdè Swati	Svazia lingvo
Niue	Niuo
559	559
Sẹ̀mítíìkì	Semida lingvaro
599	599
326	326
Ẹ̀ka:Àwọn èdè ìṣèlànà kọ̀mpútà	Kategorio:Programlingvoj
Yitzhak Rabin	Jicĥak Rabin
341	341
322	322
Jovian (Emperor)	Joviano
Nathalia Dill	Nathalia Dill
Justin Bieber	Justin Bieber
Hosni Mubarak	Hosni Mubarak
Gustavia, Saint Barthélemy	Gustavio
386	386
Èdè Tswánà	Cvana lingvo
374	374
380	380
Pablo Neruda	Pablo Neruda
Zeus	Zeŭso
Cockburn Town	Kokburno
Yasser Arafat	Jaser Arafat
136	136
Èdè Wolof	Volofa lingvo
Port-au-Prince	Portoprinco
Ilẹ̀ọbalúayé Rọ́ṣíà	Rusia Imperio
Ìhìnrere	Evangelio
Woodrow Wilson	Woodrow Wilson
Èdè Yorùbá	Joruba lingvo
Èdè Tsonga	Conga lingvo
Èdè Sotho Apágúúsù	Sota lingvo
Whitney Houston	Whitney Houston
New Orleans	Nov-Orleano
Mošovce	Mošovce
Benazir Bhutto	Benazir Bhutto
Shakira	Shakira
Filip 2k ilẹ̀ Fránsì	Filipo la 2-a (Francio)
Yunifásítì ìlú Oxford	Universitato de Oksfordo
Mahmoud Ahmadinejad	Mahmud Ahmadineĵad
Boris Yeltsin	Boris Jelcin
Gwyneth Paltrow	Gwyneth Paltrow
Aleksandr Solzhenitsyn	Aleksandr Solĵenicin
Hirohito	Hirohito
Al-Kaida	Al-Kaida
Saint Helena	Sankta Heleno
382	382
342	342
373	373
372	372
James A. Garfield	James A. Garfield
Àsìá ilẹ̀ Líbyà	Flago de Libio
Saint Pierre àti Mìkẹ́lọ̀n	Sankta-Piero kaj Mikelono
Òfin Mẹ́wàá	La Dekalogo
Ẹ̀wádún 1980	1980-aj jaroj
Johannesburg	Johanesburgo
Ẹ̀wádún 1990	1990-aj jaroj
Hiroshima	Hiroŝimo
Albert Camus	Albert Camus
Gulf Pẹ́rsíà	Persa Golfo
Kingston	Kingstono
Rudyard Kipling	Rudyard Kipling
Àwọn sáyẹ́nsì àwùjọ	Socia scienco
Sòmálílàndì	Somalilando
Àkójọ àwọn àmìọ̀rọ̀ ìpè tẹlifónù orílẹ̀-èdè	Telefona landokodo
Friedrich Engels	Friedrich Engels
Albuquerque	Albuquerque (Nov-Meksiko)
Santo Domingo	Sankta Domingo
Ulysses S. Grant	Ulysses S. Grant
Elizabeth Taylor	Elizabeth Taylor
Oklahoma City	Oklahomaurbo (Oklahomo)
375	375
Benjamin Franklin	Benjamin Franklin
Isaac Asimov	Isaac Asimov
João Goulart	João Belchior Marques Goulart
Ẹ̀wádún 1970	1970-aj jaroj
Ẹ̀wádún 2000	2000-aj jaroj
William McKinley	William McKinley
Agatha Christie	Agatha Christie
Àtòjọ àwọn Ààrẹ orílẹ̀-èdè Amẹ́ríkà	Listo de prezidantoj de Usono
Gúúsù Georgia àti àwọn Erékùṣù Gúúsù Sandwich	Sud-Georgio kaj Sud-Sandviĉinsuloj
Noemi	Noemi
Wilhelm Röntgen	Wilhelm Conrad Röntgen
Grover Cleveland	Grover Cleveland
Ìlú Kuwaiti	Kuvajturbo
Herbert Hoover	Herbert C. Hoover
44 SK	-44
Warren G. Harding	Warren G. Harding
387	387
Nikita Khrushchev	Nikita Ĥruŝĉov
Àwọn Áràbù	Araboj
World Wrestling Entertainment	World Wrestling Entertainment
Almaty	Almato
242 SK	-242
Chester A. Arthur	Chester A. Arthur
248 SK	-248
258 SK	-258
257 SK	-257
Akadianu	Akada lingvo
253 SK	-253
White House	Blanka Domo (Vaŝingtono)
246 SK	-246
245 SK	-245
249 SK	-249
252 SK	-252
Wallis àti Futuna	Valiso kaj Futuno
240 SK	-240
254 SK	-254
Àwọn Tatar	Tataroj
256 SK	-256
251 SK	-251
250 SK	-250
244 SK	-244
243 SK	-243
255 SK	-255
Ẹ̀bùn Àláfíà Nobel	Nobel-premio pri paco
William Howard Taft	William H. Taft
Àwọn Ìpínlẹ̀ Orílẹ̀-èdè Amẹ́ríkà	Usona ŝtato
Àwọn Erékùsù Pitcairn	Pitkarna insularo
Benjamin Harrison	Benjamin Harrison
Rutherford B. Hayes	Rutherford B. Hayes
Ẹ̀wádún 1930	1930-aj jaroj
Ẹ̀wádún 1960	1960-aj jaroj
Ẹ̀wádún 1920	1920-aj jaroj
Èlò	Materio
247 SK	-247
Petr Nečas	Petr Nečas
Baruch Spinoza	Baruĥ Spinozo
Zoroaster	Zaratuŝtro
259 SK	-259
Som Kirgistani	Kirgiza somo
Kongo	Kongo
Polinésíà	Polinezio
Àwọn Erékùṣù Kókósì	Kokosinsuloj
Àsìá ilẹ̀ Lẹ́bánọ́nì	Flago de Libano
Mercedes-Benz	Mercedes-Benz
Calvin Coolidge	Calvin Coolidge
Queensland	Kvinslando
Minneapolis	Minneapolis
Èdè Kánúrí	Kanura lingvo
Charles Bronson	Charles Bronson
Muhammad Ali	Muhammad Ali
Beyoncé Knowles	Beyoncé Knowles
Bridgetown	Briĝurbo
Václav Havel	Václav Havel
Númérì preferred	Prefera nombro
St. John's (Ántígúà àti Bàrbúdà)	Sankta Johano (Antigvo-Barbudo)
Brigitte Bardot	Brigitte Bardot
Roseau	Roseo
Ẹ̀wádún 1950	1950-aj jaroj
Jane Austen	Jane Austen
Giordano Bruno	Giordano Bruno
Hammurabi	Hamurabi
Aberdeen	Aberdeen
Katẹrínì 2k ilẹ̀ Rọ́síà	Katerina la 2-a (Rusio)
Guglielmo Marconi	Guglielmo Marconi
Íónì	Jono
Ẹ̀rúndún	Jarmilo
Port Moresby	Port-Moresbo
Ìdarapọ̀mọ́ra kẹ́míkà	Kemia reakcio
.ru	.ru
.ad	.ad
Ẹ̀wádún 1940	1940-aj jaroj
Ẹ̀wádún 1900	1900-aj jaroj
Ẹ̀wádún 1910	1910-aj jaroj
Vladimir Nabokov	Vladimir Nabokov
3149 Okudzhava	3149 Okudzhava
Bèbè Ìlàòrùn	Cisjordanio
Àwọn Ṣáuáng	Ĝŭangoj
Àttílà	Atilo la Huno
Aung San Suu Kyi	Aung San Suu Kyi
Sìnáì	Sinajo
Ìhìnrere Jòhánù	Evangelio laŭ Johano
Èdè Ndebele Apágúúsù	Suda Ndebela lingvo
Tokelau	Tokelao
Rihanna	Rihanna
Twi	Tvia lingvo
Èkánná	Ungo
Salvador, Bahia	Salvador de Bahio
