આફ્રિકા	Afriko
ડિસેમ્બર ૨૭	27-a de decembro
સબમરીન	Submarŝipo
ઓગસ્ટ ૧૬	16-a de aŭgusto
ઓગસ્ટ ૨૯	29-a de aŭgusto
ઓગસ્ટ ૨૮	28-a de aŭgusto
ઓગસ્ટ ૩૦	30-a de aŭgusto
ઓગસ્ટ ૨૫	25-a de aŭgusto
ઓગસ્ટ ૨૬	26-a de aŭgusto
ઓગસ્ટ ૨૩	23-a de aŭgusto
ઓગસ્ટ ૨૭	27-a de aŭgusto
ઓગસ્ટ ૨૧	21-a de aŭgusto
ઓગસ્ટ ૨૦	20-a de aŭgusto
ઓગસ્ટ ૨૪	24-a de aŭgusto
ઓગસ્ટ ૧૮	18-a de aŭgusto
ઓગસ્ટ ૧૭	17-a de aŭgusto
ઓગસ્ટ ૨૨	22-a de aŭgusto
ઓગસ્ટ ૧૯	19-a de aŭgusto
ઓગસ્ટ ૩૧	31-a de aŭgusto
માઇકલ જેકસન	Michael Jackson
ડિસેમ્બર ૨૮	28-a de decembro
સપ્ટેમ્બર ૧૫	15-a de septembro
સપ્ટેમ્બર ૧૪	14-a de septembro
સપ્ટેમ્બર ૧૩	13-a de septembro
સપ્ટેમ્બર ૧૨	12-a de septembro
સપ્ટેમ્બર ૮	8-a de septembro
સપ્ટેમ્બર ૧૧	11-a de septembro
સપ્ટેમ્બર ૭	7-a de septembro
સપ્ટેમ્બર ૧૦	10-a de septembro
સપ્ટેમ્બર ૫	5-a de septembro
સપ્ટેમ્બર ૪	4-a de septembro
સપ્ટેમ્બર ૯	9-a de septembro
સપ્ટેમ્બર ૨	2-a de septembro
સપ્ટેમ્બર ૬	6-a de septembro
સપ્ટેમ્બર ૧	1-a de septembro
સપ્ટેમ્બર ૩	3-a de septembro
ડિસેમ્બર ૨૯	29-a de decembro
સપ્ટેમ્બર ૩૦	30-a de septembro
સપ્ટેમ્બર ૨૯	29-a de septembro
સપ્ટેમ્બર ૨૮	28-a de septembro
સપ્ટેમ્બર ૨૭	27-a de septembro
સપ્ટેમ્બર ૨૬	26-a de septembro
સપ્ટેમ્બર ૨૫	25-a de septembro
સપ્ટેમ્બર ૨૩	23-a de septembro
સપ્ટેમ્બર ૨૨	22-a de septembro
સપ્ટેમ્બર ૨૪	24-a de septembro
સપ્ટેમ્બર ૨૧	21-a de septembro
સપ્ટેમ્બર ૨૦	20-a de septembro
સપ્ટેમ્બર ૧૮	18-a de septembro
સપ્ટેમ્બર ૧૭	17-a de septembro
સપ્ટેમ્બર ૧૯	19-a de septembro
સપ્ટેમ્બર ૧૬	16-a de septembro
ડિસેમ્બર ૩૦	30-a de decembro
ડિસેમ્બર ૩૧	31-a de decembro
ઓક્ટોબર ૧	1-a de oktobro
ઓક્ટોબર ૧૫	15-a de oktobro
ઓક્ટોબર ૧૨	12-a de oktobro
ઓક્ટોબર ૧૦	10-a de oktobro
ઓક્ટોબર ૧૪	14-a de oktobro
ઓક્ટોબર ૯	9-a de oktobro
ઓક્ટોબર ૮	8-a de oktobro
ઓક્ટોબર ૧૩	13-a de oktobro
ઓક્ટોબર ૭	7-a de oktobro
ઓક્ટોબર ૧૧	11-a de oktobro
ઓક્ટોબર ૬	6-a de oktobro
ઓક્ટોબર ૪	4-a de oktobro
ઓક્ટોબર ૫	5-a de oktobro
ઓક્ટોબર ૩	3-a de oktobro
ઓક્ટોબર ૨	2-a de oktobro
બકરી	Hejma kapro
ઓક્ટોબર ૩૧	31-a de oktobro
ઓક્ટોબર ૩૦	30-a de oktobro
ઓક્ટોબર ૨૯	29-a de oktobro
ઓક્ટોબર ૨૮	28-a de oktobro
ઓક્ટોબર ૨૬	26-a de oktobro
ઓક્ટોબર ૨૫	25-a de oktobro
ઓક્ટોબર ૨૪	24-a de oktobro
ઓક્ટોબર ૨૭	27-a de oktobro
ઓક્ટોબર ૨૨	22-a de oktobro
ઓક્ટોબર ૨૩	23-a de oktobro
ઓક્ટોબર ૨૦	20-a de oktobro
ઓક્ટોબર ૨૧	21-a de oktobro
ઓક્ટોબર ૧૯	19-a de oktobro
ઓક્ટોબર ૧૭	17-a de oktobro
ઓક્ટોબર ૧૬	16-a de oktobro
ઓક્ટોબર ૧૮	18-a de oktobro
નવેમ્બર ૧૫	15-a de novembro
નવેમ્બર ૧૪	14-a de novembro
નવેમ્બર ૧૩	13-a de novembro
નવેમ્બર ૧૨	12-a de novembro
નવેમ્બર ૧૧	11-a de novembro
નવેમ્બર ૧૦	10-a de novembro
નવેમ્બર ૭	7-a de novembro
નવેમ્બર ૮	8-a de novembro
નવેમ્બર ૯	9-a de novembro
નવેમ્બર ૬	6-a de novembro
નવેમ્બર ૫	5-a de novembro
નવેમ્બર ૪	4-a de novembro
નવેમ્બર ૩	3-a de novembro
નવેમ્બર ૨	2-a de novembro
નવેમ્બર ૧	1-a de novembro
પારામારિબો	Paramaribo
નવેમ્બર ૩૦	30-a de novembro
નવેમ્બર ૨૯	29-a de novembro
નવેમ્બર ૨૮	28-a de novembro
નવેમ્બર ૨૭	27-a de novembro
નવેમ્બર ૨૬	26-a de novembro
નવેમ્બર ૨૫	25-a de novembro
નવેમ્બર ૨૩	23-a de novembro
નવેમ્બર ૨૪	24-a de novembro
નવેમ્બર ૨૧	21-a de novembro
નવેમ્બર ૨૦	20-a de novembro
નવેમ્બર ૨૨	22-a de novembro
નવેમ્બર ૧૯	19-a de novembro
નવેમ્બર ૧૮	18-a de novembro
નવેમ્બર ૧૭	17-a de novembro
નવેમ્બર ૧૬	16-a de novembro
કાઠમંડુ	Katmanduo
સીડની	Sidnejo
મેલબોર્ન	Melburno
પર્થ	Perto
નાઈલ નદી	Nilo
કોંગો નદી	Kongo (rivero)
ધૂમકેતુ	Kometo
જાકાર્તા	Ĝakarto
જાવા (ટાપુ)	Javo
વિકિપીડિયા:પ્રયોગસ્થળ	Vikipedio:Provejo
વિકિપીડિયા:સ્વાગત	Vikipedio:Bonvenon al Vikipedio
કમ્પ્યુટર હાર્ડવેર	Aparataro
નકશો	Mapo
નવસાર	Amoniako
ડૉંગ હેકટર એરપોર્ટ	Flughaveno Dong Hoi
શૂન્યાવકાશ	Ekstertero
આત્મકથા	Aŭtobiografio
ખગોળીય દૂરબીન	Teleskopo
માઇલી સાઇરસ	Miley Cyrus
માર્જરિન	Margarino
મધરબોર્ડ	Ĉeftabulo
USB ડ્રાઇવ	USB-poŝmemorilo
પંજાબ (પાકિસ્તાન)	Panĝabo (Pakistano)
સહ્યાદ્રિ પર્વતમાળા	Okcidentaj Ghatoj
ભારતની પર્વતીય રેલ્વે	Montaraj fervojoj en Barato
કન્ફ્યુશિયસ	Konfuceo
કોર્બીન બ્લુ	Corbin Bleu
શ્રેણી:ગણિત	Kategorio:Matematiko
ફરો દ્વિપસમૂહ	Ferooj
સુરત	Surat
સાયપ્રસનો રાષ્ટ્રધ્વજ	Flago de Kipro
બાલી	Balio
માળો (પક્ષી)	Nesto
લૅરી પેજ	Larry Page
ગંગા નદી	Gango
સેલિન ડીયોન	Céline Dion
ખંડ	Kontinento
એડિલેઇડ	Adelajdo
પક્ષી	Birdoj
રાજધાની	Ĉefurbo
ઢાંચો:ઇસ્લામ	Ŝablono:Islamo
ગુજરાતી ભાષા	Guĝarata lingvo
મહિનો	Monato
ઢાંચો:Portal	Ŝablono:Portalo
હુઆંગ ઝીયાન-ફાન	Huang Senfan
બિલ ગેટ્સ	Bill Gates
કમ્પ્યુટર મોનિટર	Komputila ekrano
જ્ઞાનકોશ	Enciklopedio
મુખપૃષ્ઠ	Vikipedio:Ĉefpaĝo
સિંધવ	Halito
બાસ્કેટબોલ (રમત)	Korbopilkado
ક્રિકેટ	Kriketo
યુરેશીયા	Eŭrazio
હિમાલય	Himalajo
કેપ ટાઉન	Kaburbo
કેસ્પિયન સમુદ્ર	Kaspio
વિન્સેન્ટ વેન ગો	Vincent van Gogh
વૅલેન્શિયા નો પ્રદેશ	Valencilando
મોહેં-જો-દડો	Mohenĝo-daro
પેટ્રા	Petra
એવર્ટન ફૂટબોલ ક્લબ	Everton FC
મક્કા	Mekko
ચે ગૂવેરા	Che Guevara
નોવાક યોકોવિચ	Novak Đoković
એરબસ એ ૩૮૦	Airbus A380
ચિચેન ઇત્ઝા	Chichén Itzá
તમિલ ભાષા	Tamila lingvo
ચા	Teo
માર્કો પોલો	Marko Polo
પોર્ટલેન્ડ, ઑરેગોન	Portlando (Oregono)
મૂડીવાદ	Kapitalismo
દેશ	Lando
હિલેરી ક્લિન્ટન	Hillary Rodham Clinton
કોનકોર્ડ	Konkordo (aviadilo)
ડોનાલ્ડ ડક	Donaldo Anaso
સ્ટ્રાસબોર્ગ (ફ્રાન્સ)	Strasburgo
ક્રોએશિયન ભાષા	Kroata lingvo
શેતાન	Diablo
રેનો	Renault
કાલિદાસ	Kalidaso
ઉલ્કાઓ	Meteoroido
ગૌતમ બુદ્ધ	Budho
જૈવ તકનીક	Biotekniko
વિશ્વ બેંક	Monda Banko
લોકશાહી	Demokratio
વૈશ્વિકરણ	Tutmondiĝo
નોબૅલ પારિતોષિક	Nobel-premio
ઇંગ્લેન્ડના એલિઝાબેથ પ્રથમ	Elizabeto la 1-a (Anglio)
રવિન્દ્રનાથ ટાગોર	Rabindranath Tagore
માર્ક ટ્વેઇન	Mark Twain
ઍલન ટ્યુરિંગ	Alan Turing
આતંકવાદ	Terorismo
નાઝીવાદ	Naziismo
વાસ્કો દ ગામા	Vasco da Gama
સિંધુ	Induso
કાન	Orelo
આંખ	Okulo
ગીત	Kanto
હાથી	Elefanto
કીડી	Formiko
આન્દ્રે અગાસી	Andre Agassi
રીંગણ	Melongeno
હિમવર્ષા	Neĝo
ડેબિયન	Debiano
વિશ્વ વેપાર સંગઠન	Monda Organizaĵo pri Komerco
ચાઇનીઝ ભાષા	Ĉina lingvaro
કુદરત	Naturo
રક્ત	Sango
કંકાલતંત્ર	Skeleto
ફેફસાં	Pulmo
મેઘ	Pluvo
વૈશ્વિક ઉષ્ણતા	Tutmonda varmiĝo
ધરતીકંપ	Tertremo
સત્ય	Vero
કોમ્પ્યુટર માઉસ	Komputila muso
નેલ્સન મંડેલા	Nelson Mandela
માર્ટિન લ્યૂથર કિંગ	Martin Luther King
અવતરણ ચિહ્ન	Citilo
કુદરતી આફતો	Naturkatastrofo
પૂર	Inundo
સુનામી	Cunamo
જ્વાળામુખી	Vulkano
વાદળ	Nubo
ત્રિકોણમિતિ	Trigonometrio
ભૂમિતિ	Geometrio
તેલુગુ ભાષા	Telugua lingvo
ગ્રીક મૂળાક્ષરો	Greka alfabeto
શ્રેણી:ફ્રાન્સ	Kategorio:Francio
શ્રેણી:સંગીત	Kategorio:Muziko
શ્રેણી:સાહિત્ય	Kategorio:Literaturo
નવલકથા	Romano
મહાભારત	Mahabharato
હેરી પોટર	Harry Potter
મશક વાજું	Sakŝalmo
પીડોફિલિયા (બાળ યૌનશોષણ)	Pedofilio
સિકંદર	Aleksandro la Granda
સંસ્કૃતિ	Civilizo
પુરુષ	Viro
લગ્ન	Geedzeco
ફાંસીની સજા	Mortpuno
ગુલામી પ્રથા	Sklaveco
દૂધ	Lakto
પર્વત	Monto
અશોક	Aŝoko
અકબર	Jalaluddin Muhammad Akbar
હોંગકોંગ	Honkongo
કરાચી	Karaĉio
લાગોસ	Lagoso
આર્કિમીડીઝ	Arkimedo
થૉમસ ઍડિસન	Thomas Alva Edison
યુક્લિડ	Eŭklido
ડોમેન નામ પ્રણાલી	Domajna nomsistemo
સંકેતલિપિ	Kriptologio
ઈન્ટરનેટ પ્રોટોકોલ	IP
પ્રસારણ નિયંત્રણ પ્રોટોકોલ	TCP
યુનિકોડ	Unikodo
સત્યજીત રે	Satyajit Ray
નક્ષત્ર	Konstelacio
નૉર્વેજિયન ભાષા	Norvega lingvo
ચાણક્ય	Ĉanakja
નોઆમ ચોમ્સ્કી	Noam Chomsky
મુસા	Moseo
હિંદુ ધર્મ	Hinduismo
અણુ	Atomo
પ્રકાશ	Lumo
તાજ મહેલ	Taĝ-Mahalo
ઇ-મેઇલ	Retpoŝto
ફારસી ભાષા	Persa lingvo
ઇબ્રાહિમ	Abraham
યુનાઇટેડ સ્ટેટ્સ આર્મી	Usona terarmeo
લુમ્બિની	Lumbini
જૈન ધર્મ	Ĝajnismo
યહૂદી ધર્મ	Judismo
લાઓત્સે	Laozio
જીમેઇલ	Gmail
યોગ	Jogo
સિમા કીઆન	Sima Qian
મનોવિજ્ઞાન	Psikologio
ટિમ્બક્ટુ	Timbuktuo
લોથલ	Lothal
વલ્લભભાઈ પટેલ	Vallabhbhai Patel
મુહમ્મદ	Mohamedo
આઇપોડ	IPod
અબ્દુલ કલામ	Abdul Kalam
બીબીસી	BBC
શાહરૂખ ખાન	Shahrukh Khan
અમિતાભ બચ્ચન	Amitabh Bachchan
કન્ફયુસીયસ ધર્મ	Konfuceismo
તાઓ ધર્મ	Taoismo
જરથોસ્તી ધર્મ	Zaratuŝtrismo
બંગાળી ભાષા	Bengala lingvo
જીભ	Lango (anatomio)
ચેલ્સી ફૂટબોલ ક્લબ	Chelsea F.C.
આર્સેનલ ફૂટબોલ ક્લબ	Arsenal F.C.
સ્વાદુપિંડ	Pankreato
ફૉકલેન્ડ ટાપુઓ	Insuloj Falklandoj
બ્લૂઝ	Bluso
સેલમ	Salem (Barato)
કોઇમ્બતુર	Koimbatore
મૈસૂર	Majsur
નીલગિરિ	Nilgirio
રફેલ નડાલ	Rafael Nadal
ભારતીય રાષ્ટ્રીય કોંગ્રેસ	Barata Nacia Kongreso
ભારતીય જનતા પાર્ટી	Partio de la Popolo de Barato
દિવાળી	Divali
દરિયાઈ બોગદું (ઇંગ્લેન્ડ-ફ્રાન્સ)	Manika Tunelo
પાયથાગોરસ	Pitagoro
કુંભ મેળો	Kumbhamela
કોલોસીયમ	Koloseo
ડેવિડ બેકહામ	David Beckham
આવર્ત કોષ્ટક	Perioda tabelo
કબૂતર	Kolombedoj
અંધાપો	Blindeco
ચીઝ	Fromaĝo
દ્રાક્ષ	Vinbero
ટાઇગર વુડ્સ	Tiger Woods
બટાકાં	Terpomo
શાકભાજી	Legomo
સ્નૂકર	Snukero
ઇજનેરી	Inĝenierarto
પ્રત્યાયન	Komunikado
સંસ્કૃત ભાષા	Sanskrito
રુધિરાભિસરણ તંત્ર	Kardiovaskula sistemo
IP એડ્રેસ	IP-adreso
પ્રશ્નચિહ્ન	Demandosigno
વર્લ્ડ ટ્રેડ સેન્ટર	World Trade Center
ફ્રિડમ ટાવર	One World Trade Center
મીઠું	Salo
ફિડલ કાસ્ટ્રો	Fidel Castro
મેનહટન	Manhatano
તત્વ	Kemia elemento
શિવ	Ŝivao
વિષ્ણુ	Viŝnuo
લોકલ એરિયા નેટવર્ક	Loka reto
વાઈડ એરિયા નેટવર્ક	Malloka reto
વિદ્યુત-ચુંબકીય તરંગો	Elektromagneta ondo
બ્રહ્મા	Brahmao
બળ	Forto
ચુંબકીયક્ષેત્ર	Magneta kampo
ગુરુત્વાકર્ષણ	Gravito
માર્શલ આર્ટસ	Luktoarto
જુડો	Ĵudo
દળ	Maso
ધાતુ	Metalo (fiziko)
વાયુ	Gaso
પ્રવાહી	Likvo
ઘન	Solido
કૃષિ	Agrikulturo
કપાસ	Kotono
કપડાં	Vesto
તાપમાન	Temperaturo
ધાતુશાસ્ત્ર	Metalurgio
કાગળ	Papero
ક્ષેત્રફળ	Areo
દેનપસાર	Denpasar
સેકન્ડ	Sekundo
મકાઈ	Maizo
માટીકામ	Ceramiko
સ્ટેફી ગ્રાફ	Steffi Graf
હવામાન	Vetero
લાહોર	Lahore
મેસોપોટેમીયા	Mezopotamio
પ્રાચીન ઇજિપ્ત	Antikva Egiptio
ગુપ્ત સામ્રાજ્ય	Gupta imperio
સ્લીપિંગ બ્યૂટી	La dormanta belulino
સિન્ડ્રેલા	Cindrulino
રાજકોટ	Raĝkot
વડોદરા	Vadodara
મિકી માઉસ	Mickey Mouse
પ્રકાશસંશ્લેષણ	Fotosintezo
કર્કરોગ (કેન્સર)	Kancero
ઘઉં	Tritiko
બધિરતા	Surdeco
ગ્રેગોરીયન પંચાંગ	Gregoria kalendaro
નિકોટિન	Nikotino
હૃદયરોગનો હુમલો	Korinfarkto
મલેરિયા	Malario
કુપોષણ	Malsufiĉa nutrado
ગુપ્તરોગ	Venereaj malsanoj
એડ્સ	Aidoso
ક્ષય રોગ	Tuberkulozo
મધુપ્રમેહ	Diabeto
ઢાંચો:Location map India	Ŝablono:Situo sur mapo Barato
જાન્યુઆરી ૦	0-a de januaro
બુર્જ દુબઈ	Burĝ Ĥalifa
ચીનની મહાન દિવાલ	Granda Ĉina Muro
પિરામિડ	Piramido
ફેશન	Modo
તલવાર	Glavo
પેલે	Pelé
જયોર્જ સોરોસ	George Soros
વિનોબા ભાવે	Vinoba Bhave
વર્ડપ્રેસ	WordPress
લીચી (ફળ)	Liĉio
નારિયેળ	Kokoso
દાડમ	Granatujo
સંતરુ (ફળ)	Oranĝo (frukto)
આઇસ્ક્રીમ	Glaciaĵo
ઢાંચો:Location map Canada	Ŝablono:Situo sur mapo Kanado
નિરોધ	Kondomo
ડોલર	Dolaro (monunuo)
માછીમારી	Fiŝkaptado
થોર	Kakto
ઘર ચકલી	Dompasero
મકાઉ	Makao
હુ જિન્તાઓ	Hu Jintao
જિરાફ	Ĝirafo (specio)
મુછ	Lipharoj
સોવિયેત યુનિયન	Sovetunio
સેલમ જિલ્લો	Distrikto Salem
તિરુનેલવેલી જિલ્લો	Distrikto Tirunelveli
જળાશય	Akvejo
મદ્યપાન	Alkoholismo
C (પ્રોગ્રામિંગ ભાષા)	C (programlingvo)
બ્રુસ લી	Bruce Lee
વિકિપીડિયા:ચોતરો	Vikipedio:Diskutejo
કમળ	Hinda lotuso
વર્મોન્ટ	Vermonto
સેન જોસ, કેલિફોર્નિયા	San Jose (Kalifornio)
હ્યુસ્ટન	Houston (Teksaso)
હોસ્પિટલ	Malsanulejo
ઘડિયાલ	Gavialo
વીર્ય	Spermo
વિમાનવાહક જહાજ	Aviadila ŝipo
મોબાઇલ ફોન	Poŝtelefono
માન્ચેસ્ટર યુનાઇટેડ ફૂટબોલ ક્લબ	Manchester United
સ્વાનસી સિટી એસોસિયેશન ફૂટબોલ ક્લબ	Swansea City
એસ્ટોન વિલા ફૂટબોલ ક્લબ	Aston Villa
ટોટનમ હોટ્સ્પર ફૂટબોલ ક્લબ	Tottenham Hotspur
વેસ્ટ બ્રોમવિચ એલ્બિયન ફૂટબોલ ક્લબ	West Bromwich Albion
તાડ બિલાડી	Azia palm-civeto
બગલો	Ardeedoj
વૈશ્વિક સ્થળનિર્ધારણ પ્રણાલી	Tutmonda loktrova sistemo
વિંછી (પ્રાણી)	Skorpio
ફિફા વિશ્વ કપ	Futbala Mondpokalo
હલ સિટી એસોસિયેશન ફૂટબોલ ક્લબ	Hull City A.F.C.
વેબ શોધ એન્જીન	Serĉilo
આલ્ક્લાઇન પાર્થિવ ધાતુ	Teralkala metalo
અર્ધધાતુ	Metaloido
પબ્લિક ડોમેન	Publika havaĵo
પ્યૂએર્ટો રિકન ઈન્ડીપેન્ડન્સ પાર્ટી	Partio de la Sendependeco de Porto-Riko
થેમ્સ	Tamizo
નાતાલ	Kristnasko
લિપ વર્ષ	Superjaro
લેડી ગાગા	Lady Gaga
વાઘ	Tigro
બીગલ	Biglo
કુર્કુટાકાર	Kokoformaj birdoj
ડુબકી કુટુંબ	Greboj
ઑડિશા	Odiŝo
GFDL	Permesilo de GNU por Liberaj Dokumentoj
પંજાબ, ભારત	Panĝabo (Barato)
અક્ષાંશ-રેખાંશ	Geografia koordinata sistemo
યુઇએફએ યૂરો ૨૦૧૨	Eŭropa Futbal-Ĉampionado 2012
બેંક	Banko
આયરલેંડનું ગણતંત્ર	Irlando (insulo)
અઠવાડિયું	Semajno
હરણ	Cervedoj
લસણ	Ajlo
કાકડી	Kukumo
કાળો	Nigro
ડુંગળી	Cepo
નાસા	NASA
એટલાન્ટા, જ્યોર્જિયા	Atlanta (Georgio)
વેલિંગ્ટન	Velingtono
૧૦ (અંક)	10 (nombro)
પરમાણુ ક્રમાંક	Atomnumero
માનવ શરીર	Homa korpo
ચિત્તો	Gepardo
કસ્તુરી	Merlo
વટાણા (વનસ્પતિ)	Ĝardena pizo
કબુત	Griza ardeo
ખજૂર	Daktilopalmo
વંદો	Blato
મૃદુકાય સમુદાય	Moluskoj
માછીમાર	Fiŝaglo
શેવાળ	Muskoj
તારા માછલી	Marstelo
સફેદ ઢોંક	Blanka cikonio
બાજ (પક્ષી)	Akcipitro
દસાડી	Nigra fuliko
નાની ડુબકી	Malgranda grebo
ચોટીલી ડુબકી	Tufgrebo
જળ કાગડો	Granda kormorano
સીંગપર (બતક)	Pintvostanaso
વિલાયતી પટ્ટાઇ	Blua cirkuo
અબલખ	Hematopo
થ્રશ કુટુંબ	Turdedoj
પાન પટ્ટાઇ	Marĉa cirkuo
કલવેતીયો	Tufanaso
જ્યોર્જીયા (દેશ)નો રાષ્ટ્રધ્વજ	Flago de Kartvelio
ઉપગ્રહ પ્રક્ષેપણ યાન	Artefarita satelito
યાક	Gruntbovo
પટ્ટી પટ્ટાઇ	Griza cirkuo
લવિંગ	Kariofilo
કાચબરંગી	Koluma ŝtonturnulo
લક્ષદ્વીપ	Lakŝadivoj
અશેળિયો	Ĝardenkreso
કપાસી	Nigraflugila milvo
એસી/ડીસી	AC/DC
ક્રિસ્ટાડેલ્ફિઅન્સની	Kristadelfianoj
તજ	Cinamo
અમ્હારિક ભાષા	Amhara lingvo
ચામાચિડિયું	Kiropteroj
વાળ	Haro
પાયથોન(પ્રોગ્રામિંગ ભાષા)	Python (programlingvo)
ઇસ્લામીક પંચાંગ	Islama kalendaro
ચકલી	Paseredoj
આસામીઝ ભાષા	Asama lingvo
ટીમરુ	Persimono
મધર ટેરેસા	Patrino Teresa
પૂર્વ તિમોરનો રાષ્ટ્રધ્વજ	Flago de Orienta Timoro
હેણોતરો	Karakalo (besto)
બ્લૉગ	Blogo
જલગાંવ	Ĝalgaon
ડેન્ગ્યુ	Dengo
ક્રિસમસ દ્વીપ	Kristnaskinsulo
અમેરિકન એરલાઇન્સ	American Airlines
વૅલેન્શિયન	Valencia lingvo
ડોગરી ભાષા	Dogra lingvo
મલાલા યુસુફઝઈ	Malala Yousafzai
આર્મેનિયાનો રાષ્ટ્રધ્વજ	Flago de Armenio
બોડો ભાષા	Bodoa lingvo
મુઘલ યુગ	Mogola Imperio
ઇલાયચી	Kardamomo
કાશ્મીરી ભાષા	Kaŝmira lingvo
ધ્રુવીય રીંછ	Blanka urso
કન્નડ ભાષા	Kannada lingvo
હાથ	Mano
ઓડિઆ ભાષા	Odia lingvo
નેપાળી ભાષા	Nepala lingvo
વસ્તી	Loĝantaro
મણિપુરી ભાષા	Manipura lingvo
અસાઈ તાડ	Asaio
સંથાલી ભાષા	Santala lingvo
નેપાલ ભાષા	Nevara lingvo
સિંધી ભાષા	Sinda lingvo
કાજુ	Akaĵuo
ધોધ	Akvofalo
માખણ	Butero
પાબ્લો નેરુદા	Pablo Neruda
કોંકણી ભાષા	Konkana lingvo
એલેક્ઝાન્ડર ગ્રેહામ બેલ	Alexander Graham Bell
જ્યોતિષવિદ્યા	Astrologio
સંગીત વાદ્ય	Muzika instrumento
હંસ	Cigno
બેનઝિર ભુટ્ટો	Benazir Bhutto
ઓક્સફોર્ડ યુનિવર્સિટી	Universitato de Oksfordo
માર્ગ	Vojo
હેલિકોપ્ટર	Helikoptero
હિપોપોટેમસ	Amfibia hipopotamo
આંગળી	Fingro
ગુલાબ	Rozo
દિપડો	Leopardo
સાલ્ઝબર્ગ	Salzburg
ગ્રીસની પૌરાણિક માન્યતાઓ	Helena mitologio
હોકાયંત્ર	Kompaso
ક્ષ-કિરણો	Ikso-radioj
પપૈયાં	Papajo
વિશ્વ કુસ્તી મનોરંજન	World Wrestling Entertainment
ટીટીકાકા સરોવર	Lago Titikako
કોલંબો	Kolombo (urbo)
મદીના	Medino
કેમ્બ્રિજ વિશ્વવિદ્યાલય	Universitato de Kembriĝo
જરથુષ્ટ્ર	Zaratuŝtro
રાઈટ બંધુઓ	Fratoj Wright
હેક્ટર	Hektaro
બાપ્તિસ્મા (બૅપ્ટિઝમ)	Bapto
ફુગાવો	Inflacio
અરાલ સમુદ્ર	Aralo
લામ્બોરગીની	Lamborghini
લેન્ડ રોવર	Land Rover
વાંસ	Bambuo
સૌંદર્ય શાસ્ત્ર	Estetiko
કોકોસ (કીલીંગ) દ્વીપ	Kokosinsuloj
પિસ્તા	Pistakujo
ક્વીન્સલેન્ડ	Kvinslando
મિનેપોલિસ	Minneapolis
મૈથિલી ભાષા	Maitila lingvo
માર્ક ઝકરબર્ગ	Mark Zuckerberg
મલયાલમ ભાષા	Malajala lingvo
જીવનચરિત્ર	Biografio
રેશમ માર્ગ	Silka Vojo
તાઈકવૉન્દો	Tekvondo
ઉંદર	Rato
દ્વિપદ નામકરણ	Dunoma nomsistemo
પાલિ ભાષા	Palia lingvo
રોબર્ટ પેટિસન	Robert Pattinson
મુંગેર	Monger
સ્વાઇન ફ્લ્યુ	Porka gripo
નખ	Ungo
ઓઝોન	Ozono
જાહેરાત	Reklamo
સ્વતંત્રતા	Sendependeco
એલેક્ઝાન્ડર ફ્લેમિંગ	Alexander Fleming
સોલોમન	Salomono
યાહૂ!	Yahoo!
ફેબ્રુઆરી ૩૦	30-a de februaro
ઓકલેન્ડ	Auckland
ગુલબર્ગ	Gulbarga
એ કે-૪૭	AK-47
મિથેન	Metano
મરિઉપોલ	Mariupolo
ગીઝાનો મહાન પિરામિડ	Piramido de Keopso
સિંધ	Sindo
વર્તુળનો વ્યાસ	Diametro
શિક્ષક	Instruisto
સેન્ટ્રલ ઇન્ટેલિજન્સ એજન્સી	CIA
રામાયણ	Ramajano
અક્રોતીરી અને ધેકેલીયા	Akrotiri kaj Dekelia
મગફળી	Ternukso
ધુમ્મસ	Nebulo
બહુકોણ	Plurlatero
વેલેન્ટાઇન્સ ડે	Sankt-Valentena tago
ગલ્ફ વોર	Golfa Milito
રેશમ	Silko
મિશ્રધાતુ	Alojo
નિવસન તંત્ર	Ekologia sistemo
રેફ્રિજરેટર	Fridujo
ટપાલ ટિકિટ	Poŝtmarko
શક્કરીયાં	Batato
કાર્ટેન (Kärnten)	Karintio
સમુરાઇ	Samurajo
કોલંબિયા, દક્ષિણ કેરોલિના	Columbia (Suda Karolino)
દેવનાગરી	Nagario
તરબૂચ	Akvomelono
પવનચક્કી	Ventmuelejo
રિકટર મેગ્નીટયુડ સ્કેલ	Skalo de Richter
લેસર	Lasero
તાવ	Febro
આંતરરાષ્ટ્રીય મહિલા દિન	Internacia tago de virinoj
વોરાર્લબર્ગ	Vorarlbergo
પીઝાનો ઢળતો મિનારો	Oblikva turo de Pizo
સૂક્ષ્મ અર્થશાસ્ત્ર	Mikroekonomiko
લીડ્ઝ	Leeds
હડકવા	Rabio
કીટ વિજ્ઞાન	Entomologio
અતિવાસ્તવવાદ	Superrealismo
દીવાદાંડી	Lumturo
માર્કેટિંગ	Merkatiko
સ્ટીફન કિંગ	Stephen King
રેડિયો સ્ટુડિયો 54 નેટવર્કના	Radio Studio 54 Network
દાયકો	Jardekoj
બદામ	Migdalujo
વેદ	Vedoj
સિલ્વેસ્ટર સ્ટેલોન	Sylvester Stallone
મેરેથોન	Maratono
ગુડફ્રાઈડે	Granda vendredo
રાશી	Zodiako
ટેક્લોબેન	Tacloban
યોહાન	Johano la Baptisto
ઝેર	Veneno
અતિસાર	Diareo
અંદામાન અને નિકોબાર દ્વીપસમૂહ	Andamanoj kaj Nikobaroj
પંડિત રામ નારાયણ	Ram Narayan
