ທະວີບອາຟະລິກ	Afriko
ຄຣິສຕະຈັກເຊເວັນເດ ແອັດເວັນຕິສ	Sepataga Adventisma Eklezio
ອຳນາດຕຸລາການ	Justica povo
ລັດທິ	Doktrino
ກະລັງກັງຢົງ	Granda Kanjono
ໂຄງສ້າງພື້ນຖານ	Substrukturo
ໜູລ້າງນ້ຳ	Lav-urso
ຕົ້ນໂຣສ ເມຣີ	Oficina rosmareno
ປະເທດທີ່ບໍ່ມີທາງອອກສູ່ທະເລ	Lando sen maraliro
ເວັກເຕີ	Vektora spaco
ປຶ້ມເອເລັກໂຕຣນິກ	Bitlibro
ພາສີມູນຄ່າເພີ່ມ	Aldonvalora imposto
ພະເຈົ້າເອດູອາກທີ 3 ແຫ່ງອັງກິດ	Eduardo la 3-a (Anglio)
ການພັດທະນາແບບຍືນຍົງ	Daŭripova disvolviĝo
ອ່າວໄທ	Golfo de Tajlando
ນິກາຍເຖຣະວາດ	Teravado
ໂທລະພາບຄວາມລະອຽດສູງ	Altdifina televido
ທຸງຊາດໄທ	Flago de Tajlando
ພະຍຸໄຕ້ຝຸ່ນ	Tajfuno
ດຸນການຊຳລະ	Pagopesilo
ການຊອກຄ່າເໝາະສົມ (ຄະນິດສາດ)	Optimumigo (matematiko)
ລະດູແລ້ງ	Seka sezono
Phu Quoc	Phu Quoc
ວິກິພີເດຍ:ຂໍໃຫ້ຂະຫຍາຍ	Helpo:Redakti
ວົງຜື	Ciperacoj
ເດຈາວູ	Déjà vu
ເສດຖະກິດ	Ekonomio
ເອໂຄໂນເມທຣິກ	Ekonometrio
ລາຄາ	Prezo
ມະຫາວິທະຍາໄລເອແດມບວກ	Universitato de Edinburgo
ສຳປະສິດຈິນີ	Koeficiento de Gini
ກາຕະລີນແຫ່ງອາລາກົງ	Katerino de Aragono
ໝາກເຜັດ	Kapsiketo
ບິກ	Plumo (skribilo)
ການສະໜອງ ແລະ ຄວາມຕ້ອງການ	Mendado kaj ofertado
ຊອດໄຂ່ແດງ	Majonezo
ENIAC	ENIAC
ຊຸດຈຳນວນ	Serio (matematiko)
ພັດທະຍາ	Pataja
ດອກເບ້ຍ	Interezo
ຫຸ່ນຍົນສາດ	Robotiko
ອຸປະຕິເຫດ	Akcidento
ຢາງລຶບ	Skrapogumo
ເຂື່ອນຮູເວີ	Akvobaraĵo Hoover
ນູເມລິກ	Cifereca
ລະບົບມາດຕະຖານຄຳ	Orbazo
កាំ	Radiuso
ມະຫາວິຫານແຊັງໂປນ	Katedralo Sankta Paŭlo (Londono)
ຍິວວິທະຍາໄລຂອງເຢຣູຊາເລັມ	Hebrea Universitato de Jerusalemo
ມະຫາວິທະຍາໄລແຄລິຟໍເນຍ ລອດແອນເຈລິດ	Universitato de Kalifornio ĉe Los-Anĝeleso
ຊັງຕີແມັດ	Centimetro
ມິລີແມັດ	Milimetro
ມິໂກຣແມັດ	Mikrometro
ເສດຖະກິດຕົກຕໍ່າ	Recesio
ບໍ່ນ້ຳຮ້ອນ	Termofonto
ນາໂນແມັດ	Nanometro
ການຄ້າສາກົນ	Internacia komerco
ຈອຍສະຕິກ	Stirstango
ເທວະດາ	Diaĵo
ລົດໂຮງໝໍ	Ambulanco
ເສັ້ນສະແດງ	Grafikaĵo
ສູດເຮລົງ	Formulo de Herono
ບັນທັດຖານວັດແທກ ລາຍໄດ້ ແລະ ຜົນຜະລິດ ແຫ່ງຊາດ	Malneta Nacia Produkto
ຕຳລາເສັ້ນຊື່	Lineara funkcio
ທະນາຄານພັດທະນາອາຊີ	Banko por Azia Disvolviĝo
ເນີຍແຂງລົກຟອກ	Rokforto
ການຂະຫຍາຍໂຕທາງເສດຖະກິດ	Ekonomia kresko
ເມືອງຫຼວງພະບາງ	Luangprabango
ສົມເດັດພະລາຊາທິບະດີເຟລີເປທີ 6 ແຫ່ງແອສະປາຍ	Filipo la 6-a (Hispanio)
ວັນນະຍຸດ	Tonlingvo
ນ້ຳເຕົ້າຮູ້	Sojlakto
ການຊົມໃຊ້	Konsumo
ປິໂກແມັດ	Pikometro
ກະຊວງ	Ministerio
ວັດຖຸດິບ	Kruda materialo
ຈອງ	Ĉerpokulero
ລົດພະລັງງານໄຟຟ້າ	Elektra aŭtomobilo
ຫີນະຍານ	Hinajano
ເງີນກີບລາວ	Laosa kipo
ເດຊີແມັດ	Decimetro
ເຄື່ອງໝາຍຊາດລາວ	Blazono de Laoso
ພະຍາດໄລມ	Boreliozo Lyme
ໂທລະພາບແບບດິຈິຕໍລ໌	Cifereca televido
ປະໂລແວງ	Provins
ຕຳລາຂັ້ນສາມ	Kuba ekvacio
ສິລະປະປະຍຸກ	Dekoraj artoj
ອາຊີອາຕິກ	Mongoloida raso
ວາຈົກ	Gramatika voĉo
ຜູ້ຊົມ	Publiko
ພຶດຊະຄະນິດພື້ນຖານ	Baza algebro
ຟຣີແລນເຊີຣ	Sendependa kunlaboristo
ຄວາມໄດ້ປຽບທຽບຖານ	Kompara avantaĝo
ຄະລາວາດນິຍົມ	Sekulareco
ສະໜາມບິນສາກົນວັດໄຕ	Internacia Flughaveno Wattay
າເປັນ	Anggun
ໂດລາເອມອນ	Doraemon
ຊາຍບອກ	Kiborgo
ປະທານປະເທດ ແຫ່ງ ສປປ ລາວ	Listo de ĉefministroj de Japanio
ໃບລາຍງານຜົນໄດ້ຮັບ	Spezokonto
ຄຳນາມປະສົມ	Kunmetita vorto
ອ໋າວຢາຍ	Aŭzajo
ລາຍຊື່ປະເທດລຽງຕາມພື້ນທີ່	Listo de landoj laŭ areo
ລັດວິສາຫະກິດ	Ŝtata entrepreno
Externality	Ekstera efiko
ເກໂກລີ ເລີມາກຊານ	Grégory Lemarchal
ແຂວງສາລະວັນ	Provinco Salavan
ຜູ້ໂດຍສານ	Pasaĝero
ໄກສອນ ພົມວິຫານ	Kaysone Phomvihane
ຄົມມະນາຄົມ	Veturilo
ແຂວງຜົ້ງສາລີ	Provinco Phongsali
ແຂວງບໍ່ແກ້ວ	Provinco Bokeo
ແຂວງຈໍາປາສັກ	Provinco Ĉampasako
ອາຍແກັສແຫຼວ	LPG
ສະຫະພາບໂທລະຄົມມະນາຄົມ	Internacia Telekomunika Unio
ເຈົ້າມະຫາຊີວິດສີສະຫວ່າງວົງ	Sisavang Vong
ເຈົ້າສີສະຫວ່າງວັດທະນາ	Savang Vatthana
ເມືອງປາກເຊ	Pakse
ລາວ (ຊົນເຜົ່າ)	Laŭoj
ການກໍ່ສ້າງ	Konstruado
ນະຄອນຫຼວງວຽງຈັນ	Prefektejo Vjentiano
ຂ່າ (ພືດ)	Galango
ສົມເດັດພະສັນຕະປາປາຟຣັງຊົວ	Francisko (papo)
ໜີ້ຕ່າງປະເທດ	Ekstera ŝuldo
ແຂວງໄຊຍະບູລີ	Provinco Sainjabuli
ແຂວງສະຫວັນນະເຂດ	Provinco Savannaĥet
ແຂວງຊຽງຂວາງ	Provinco Siangĥuang
ແຂວງອຸດົມໄຊ	Provinco Udomsai
ສະໜາມບິນສາກົນເຕິນເຊິນເຍິດ	Flughaveno Tan Son Nhat
ປ່ອງຢ້ຽມປີ 2000	Vindozo 2000
7 ສິ່ງມະຫັດສະຈັນ	Sep mirindaĵoj de la antikva mondo
ໂສມງາມກັບເຈົ້າຊາຍອະສູນ	Belulino kaj la Besto
ແຂວງຫົວພັນ	Provinco Huaphanh
ແຂວງອັດຕະປື	Provinco Attapeu
ອົງການ ຄວບຄຸມໄພສຸກເສີນລັດຖະບານກາງ	Federal Emergency Management Agency
ແຂວງຄຳມ່ວນ	Provinco Ĥamuan
ຜາສາດຫີນວັດພູ	Vat Phu
ແຂວງເຊກອງ	Provinco Sekong
ການຄ້າ	Komerco
ຈຳນວນອະປົກກະຕິ	Neracionala nombro
ໜູຖົງຊາຍ	Valabio
ສວນຄົວ	Kuireja ĝardeno
ໝັງກາຕູນ	Kartuno
ເມືອງຫຼວງນໍ້າທາ	Luang Namtha
ເອັນຣິໂຄ ເລັດຕາ	Enrico Letta
ລິງລົມ	Ordinara loriso
ລາຍຊື່ປະເທດຮຽງຕາມຈຳນວນປະຊາກອນ	Listo de landoj laŭ loĝantaro
7 ສິ່່ງມະຫັດສະຈັນຂອງໂລກ	Novaj sep mirindaĵoj de la mondo
ເສັ້ນເຂົ້າປຸ້ນ	Riznudeloj
ຫ້ວຍຊາຍ	Ban Huajsai
ແຂວງວຽງຈັນ	Provinco Vjentiano
ໄຮ້ເພດ	Neniuseksemo
ກະເທີຍ	Kathoey
ແຂວງຫຼວງພະບາງ	Provinco Luangprabango
ເມືອງໄກສອນ ພົມວິຫານ	Savannaĥet
ການບິນລາວ	Lao Airlines
ພັກປະຊາຊົນປະຕິວັດລາວ	Laosa Popola Revolucia Partio
ອາຊີໃຕ້	Suda Azio
ສະໜາມບິນສາກົນເຫຼ້າສຸດ	Flughaveno Da Nang
ສາມຫຼ່ຽມຄຳ	Ora Triangulo (Sudorienta Azio)
ເຂົ້າຈີ່ປາເຕ້	Pasteĉo
ກິໂລແມັດ	Kilometro
ລົດມ້າ	Ĉevaltira tramo
ດຸນຍະພາບເສດຖະກິດ	Ekvilibra prezo
VietJet Air	VietJet Air
ຮູບສອງແຈ	Dulatero
ຈຸລາລົງກອນມະຫາວິທະຍາໄລ	Universitato Ĉulalonkon
ພູພຽງບໍລະເວນ	Altebenaĵo Bolaven
ຊ່ວຍເຫຼືອ:ເນື້ອໃນ	Helpo:Enhavo
ຊຸດໂຣບົດ	Eksterskeleto
ແຂວງຫຼວງນໍ້າທາ	Provinco Luang Namtha
ວັງວຽງ	Vang Vieng
ທ່າແຂກ	Thaĥek
ຮັກຕ່າງເພດ	Aliseksemo
ພະລັງງານຂັ້ນຕົ້ນ	Primara energio
ພະທາດຫຼວງ	Pha That Luang
ສະໜາມບິນສາກົນຫຼວງພະບາງ	Internacia Flughaveno de Luangprabango
ສະພາແຫ່ງຊາດ	Laosa Nacia Asembleo
ເໝ້ນ	Histriko
ຈຳນວນປົກກະຕິ	Racionala nombro
ເດີ່ນຍົນ	Flughaveno
ລະບອບການປົກຄອງ	Regformo
ພຣະໄຕປິດົກ	Tripitako
El Chavo del 8	El Chavo del Ocho
ໝວດ:ປະເທດເຢັຽລະມັນ	Kategorio:Germanio
ໝວດ:ສະຫະລັດອາເມລິກາ	Kategorio:Usono
ໝວດ:ປະເທດການາດາ	Kategorio:Kanado
ໝວດ:ສະຫະລາຊະອານາຈັກ	Kategorio:Unuiĝinta Reĝlando
ໝວດ:ປະເທດແອສະປາຍ	Kategorio:Hispanio
ໝວດ:ປະເທດຍີ່ປຸ່ນ	Kategorio:Japanio
ໝວດ:ປະເທດເກົາຫຼີໃຕ້	Kategorio:Sud-Koreio
ໝວດ:ປະເທດໄທ	Kategorio:Tajlando
ໝວດ:ປະເທດຫວຽດນາມ	Kategorio:Vjetnamio
ໝວດ:ສັດລ້ຽງລູກດ້ວຍນ້ຳນົມ	Kategorio:Mamuloj
ໝວດ:ພືດ	Kategorio:Plantoj
ໝວດ:ວັດຖຸວິທະຍາ	Kategorio:Fiziko
ໝວດ:ຊີວະສາດ	Kategorio:Biologio
ໝວດ:ປະຫວັດສາດ	Kategorio:Historio
ໝວດ:ພູມສາດ	Kategorio:Geografio
ໝວດ:ສັງຄົມ	Kategorio:Socio
ໝວດ:ສາສະໜາ	Kategorio:Religio
ໝວດ:ກິລາ	Kategorio:Sporto
ໝວດ:ສາດ	Kategorio:Scienco
ໝວດ:ສະຫະປະຊາຊາດ	Kategorio:Unuiĝintaj Nacioj
ໝວດ:ຮູບເງົາ	Kategorio:Kino
ໝວດ:ມໍລະດົກໂລກ	Kategorio:Mondaj heredaĵoj de UNESKO
ໝວດ:ໂລກ	Kategorio:Tero
ໝວດ:ອາວະກາດ	Kategorio:Spaco
ໝວດ:ຂໍ້ມູນຂ່າວສານ	Kategorio:Informado
ລາຍໄດ້	Rento
ໝວດ:ນິເວດສາດ	Kategorio:Ekologio
ໝວດ:ພຸດທະສາສະໜາ	Kategorio:Budhismo
ໝວດ:ຄຣິສຕະສາດສະໜາ	Kategorio:Kristanismo
ໝວດ:ສາສະໜາອິສະລາມ	Kategorio:Islamo
ໂພຊະນາການ	Manĝado
ດັດຊະນີ (ເສດຖະກິດ)	Indico
ແຂວງບໍລິຄຳໄຊ	Provinco Boliĥamsai
ລັດອິດສະລາມອີຣັກແລະເຣເວນທ໌	Islama Ŝtato de Irako kaj Sirio
ຄ່າສະເຫຼ່ຍ	Meznombro
ການຈັດການ	Administradoscienco
ໝວດ:ວັດທະນະທຳ	Kategorio:Kulturo
ໝວດ:ຄວາມຮູ້	Kategorio:Scio
ໝວດ:ທະວີບ	Kategorio:Kontinentoj
ໝວດ:ທໍລະນີສາດ	Kategorio:Geologio
ໝວດ:ພາສາ: ເຮືອບິນ	Kategorio:Aviadiloj
ລະດູຝົນ	Pluvsezono
ເບຍລາວ	Beerlao
ອອກໂຕດົກ	Ortodoksismo
ເລຂາທິການໃຫຍ່ຄະນະບໍລິຫານງານສູນກາງພັກປະຊາຊົນປະຕິວັດລາວ	Ĝenerala Sekretario de la Laosa Popola Revolucia Partio
ວົງຍ່ອຍສິງທະເລ	Marleono
ໝວດ:ນັກສະແດງ	Kategorio:Aktoroj
ແມ່ແບບ:Tl	Ŝablono:Ŝ
ແມ່ແບບ:Wikipedialang	Ŝablono:ĈefPaĝo/AliajLingvoj
ໝວດ:ປະເທດ	Kategorio:Landoj
ໝວດ:ເສດຖະສາດ	Kategorio:Ekonomiko
ວິກິພີເດຍ:ຜູ້ບໍລິຫານ	Vikipedio:Administrantoj
ໝວດ:ອາຊີບ	Kategorio:Profesioj
ໝວດ:ເວລາ	Kategorio:Tempo
ໝວດ:ທຳມະຊາດ	Kategorio:Naturo
ໝວດ:ອິນເຕີເນັດ	Kategorio:Interreto
ໝວດ:ວັດສະດຸ	Kategorio:Materialoj
ໝວດ:ແພດສາດ	Kategorio:Medicino
ໝວດ:ການເມືອງ	Kategorio:Politiko
ໝວດ:ການສຶກສາ	Kategorio:Edukado
ໝວດ:ສິລະປະ	Kategorio:Arto
ໝວດ:ຊອຟແວ	Kategorio:Programaro
ແມ່ແບບ:Bot	Ŝablono:Bot
ປະເທດການາດາ	Kanado
ໝວດ:ບົດຄວາມດີເດັ່ນ	Kategorio:Elstaraj artikoloj
ຄວາມຕ້ອງການ (ເສດຖະສາດ)	Mendado
ແມ່ແບບ:Flagicon	Ŝablono:Flagikono
ໝວດ:ເອີລົບ	Kategorio:Eŭropo
ແມ່ແບບ:ຄູ່ມືການໃຊ້ງານ	Ŝablono:Dok
ໝວດ:ຜູ້ໃຊ້ແບ່ງຕາມພາສາ	Kategorio:Vikipediistoj laŭ lingvo
ວິກິພີເດຍ:ຫ້າຫຼັກການ	Vikipedio:Kvin principoj
ໝວດ:ແນວປະຕິບັດວິກິພີເດຍ	Kategorio:Vikipedio:Rekomendoj
ວິກິພີເດຍ:ກ່ອງຜູ້ໃຊ້	Vikipedio:Uzantoskatolo
ຊໂງ ໃຈ-ກກິ	Sung Jae-gi
ທຸລະກິດ	Profitcela organizaĵo
ແມ່ແບບ:Softredirect	Ŝablono:Intervikia plusendilo
ແມ່ແບບ:ລຶບ	Ŝablono:Forigu tuj
ໝວດ:ພາສາ: ເຕັກໂນໂລຊີ	Kategorio:Teknologio
ໝວດ:ພັນທຸສາດ	Kategorio:Genetiko
ໝວດ:ພາສາ	Kategorio:Lingvoj
ໝວດ:ໄວຍາກອນ	Kategorio:Gramatiko
ໝວດ:ປະຕິທິນ	Kategorio:Kalendaro
ໝວດ:ວິກິພີເດຍ	Kategorio:Vikipedio
ວິກິພີເດຍ:ຂໍ້ປະຕິເສດຄວາມຮັບຜິດຊອບ	Vikipedio:Malgarantio
ໝວດ:Pages with broken file links	Kategorio:Paĝoj kun eraraj dosierligiloj
ແມ່ແບບ:Navbox	Ŝablono:Navigilo2
ໜູຖົງ	Kanguruo
ການບໍລິຫານ	Administracio
ໝວດ:ການບຳລຸງຮັກສາວິກິພີເດຍ	Kategorio:Artikoloj bezonantaj plibonigon
ໝວດ:ຄອມພິວເຕີ	Kategorio:Aplikata komputiko
ແມ່ແບບ:!	Ŝablono:!
ໝວດ:ແມ່ແບບທຸງ	Kategorio:Ŝablonoj landonomoj kun flageto
ແມ່ແບບ:!-	Ŝablono:!-
ແມ່ແບບ:Tnavbar	Ŝablono:Tnavbar
ແມ່ແບບ:Fontie	Ŝablono:Unicode
ໝວດ:ອາຟຣິກກາ	Kategorio:Afriko
ໝວດ:ປຶ້ມ	Kategorio:Libroj
ແມ່ແບບ:ບາເບລ	Ŝablono:Babelejo
ແມ່ແບບ:Commons	Ŝablono:Commons
ແມ່ແບບ:Reflist	Ŝablono:Referencoj
ວິກິພີເດຍ:ການອ້າງອີງແຫຼ່ງທີ່ມາ	Vikipedio:Citi fontojn
ວິກິພີເດຍ:ຊອກຫາ	Helpo:Serĉado
ແມ່ແບບ:Gnunote	Ŝablono:Gnunote
ແມ່ແບບ:Stub	Ŝablono:Ĝermo
ແມ່ແບບ:User eo-1	Ŝablono:Vikipediisto eo-1
ແມ່ແບບ:User de	Ŝablono:Vikipediisto de
ແມ່ແບບ:User de-1	Ŝablono:Vikipediisto de-1
ແມ່ແບບ:User es	Ŝablono:Vikipediisto es
ແມ່ແບບ:User de-3	Ŝablono:Vikipediisto de-3
ແມ່ແບບ:User en-3	Ŝablono:Vikipediisto en-3
ແມ່ແບບ:User en-1	Ŝablono:Vikipediisto en-1
ແມ່ແບບ:User en-2	Ŝablono:Vikipediisto en-2
ແມ່ແບບ:User en-4	Ŝablono:Vikipediisto en-4
ແມ່ແບບ:User en	Ŝablono:Vikipediisto en
ແມ່ແບບ:User de-2	Ŝablono:Vikipediisto de-2
ແມ່ແບບ:User fr-1	Ŝablono:Vikipediisto fr-1
ແມ່ແບບ:User ja-4	Ŝablono:Vikipediisto ja-4
ແມ່ແບບ:User ja	Ŝablono:Vikipediisto ja
ແມ່ແບບ:User ja-1	Ŝablono:Vikipediisto ja-1
ແມ່ແບບ:User fr	Ŝablono:Vikipediisto fr
ໝວດ:ອາຊີ	Kategorio:Azio
ແມ່ແບບ:Esoteric	Ŝablono:Esotera
ໝວດ:ປະເທດມາເລເຊຍ	Kategorio:Malajzio
ແມ່ແບບ:Mod	Ŝablono:Mod
ແມ່ແບບ:User es-2	Ŝablono:Vikipediisto es-2
ແມ່ແບບ:ຍິນດີຕ້ອນຮັບ	Ŝablono:Bonvenon
ແມ່ແບບ:Sisterprojects	Ŝablono:ĈefPaĝo/AliajProjektoj
ໝວດ:ດວງຈັນ	Kategorio:Luno
ແມ່ແບບ:USA	Ŝablono:USA
ໝວດ:ພາສາສາດ	Kategorio:Lingvoscienco
ແມ່ແບບ:Click	Ŝablono:Ligo el bildo
ໝວດ:User fr-1	Kategorio:Vikipediisto fr-1
ແມ່ແບບ:Image label	Ŝablono:Marko sur bildo
ໝວດ:ແມວ	Kategorio:Katoj
ແມ່ແບບ:Sidebar	Ŝablono:Flanka kesto2
ແມ່ແບບ:ປັບປຸງການອ້າງອີງ	Ŝablono:Nesufiĉaj fontoj
ແມ່ແບບ:ກ່ອງຜູ້ໃຊ້ລຸ່ມ	Ŝablono:Uzantoskatolaro/fino
ແມ່ແບບ:ຂໍ້ມູນປະເທດ	Ŝablono:Informkesto lando
ແມ່ແບບ:Px	Ŝablono:Px
ແມ່ແບບ:ກ່ອງຜູ້ໃຊ້ເທິງ	Ŝablono:Uzantoskatolaro/komenco
ແມ່ແບບ:Infobox Political party	Ŝablono:Informkesto politika partio
ແມ່ແບບ:ກ່ອງຂ້ໍມູນ ປະຊາຄົມອາຊຽນ	Ŝablono:Navigilo kun kolumnoj
ແມ່ແບບ:Infobox ບໍລິສັດ	Ŝablono:Informkesto firmao
ແມ່ແບບ:ປ້າຍບົດຄວາມດີເດັ່ນ	Ŝablono:Elstara
ແມ່ແບບ:Infobox ຈັກກະພັດໂຣມັນ	Ŝablono:Informkesto reganto
ໝວດ:ປາລີ	Kategorio:Parizo
ໝວດ:User en	Kategorio:Vikipediisto en
ໝວດ:User zh	Kategorio:Vikipediisto zh
ໝວດ:User en-2	Kategorio:Vikipediisto en-2
ແມ່ແບບ:Infobox	Ŝablono:Informkesto
ແມ່ແບບ:User zh	Ŝablono:Vikipediisto zh
ໝວດ:ອັກສອນ	Kategorio:Alfabeto
ແມ່ແບບ:Template other	Ŝablono:Ĉu ŝablono
ໝວດ:ພາສາ: ບິນ	Kategorio:Aviado
ໝວດ:ອາຫານແລະເຄື່ອງດື່ມ	Kategorio:Kuirarto
ແມ່ແບບ:Pp-template	Ŝablono:Pp-ŝablono
ແມ່ແບບ:Infobox City Poland	Ŝablono:Urbo pl
ແມ່ແບບ:ວິກິວັດຈະນານຸກົມ	Ŝablono:Vikivortaro
ແມ່ແບບ:Languageicon	Ŝablono:Ref-lang
ແມ່ແບບ:Pp-semi-template	Ŝablono:Pp-duone-ŝablono
ແມ່ແບບ:User ru	Ŝablono:Vikipediisto ru
ໝວດ:ອະເມລິກາ	Kategorio:Ameriko
ໝວດ:ເຂົ້າຈີ່	Kategorio:Panoj
ແມ່ແບບ:ກັບສາງ	Ŝablono:Arkivo
ວິກິພີເດຍ:ຂ້ອຄວາມຂວງ GNU Free Documentation License	Vikipedio:GNU Free Documentation License
ແມ່ແບບ:Sisterlinks	Ŝablono:Projektoj
ແມ່ແບບ:Border	Ŝablono:Bordero
ໝວດ:ພາສາທະຫານ	Kategorio:Armitaj fortoj
ແມ່ແບບ:Increase	Ŝablono:Kresko
ແມ່ແບບ:Image label end	Ŝablono:Marko sur bildo fino
ແມ່ແບບ:Tlx	Ŝablono:Tlx
ແມ່ແບບ:CAN	Ŝablono:CAN
ໝວດ:ຄຳສັບ	Kategorio:Leksikoj
ໝວດ:ຄຳ	Kategorio:Vortoj
ແມ່ແບບ:ກ່ອງຜູ້ໃຊ້ຄັ່ນ	Ŝablono:Uzantoskatolaro/interrompo
ໝວດ:ແຫຼ່ງນ້ຳ	Kategorio:Akvaĵoj
ແມ່ແບບ:ຕ້ອງການອ້າງອີງ	Ŝablono:Sen fontoj
ໝວດ:ສະໜາມບິນໃນຫວຽດນາມ	Kategorio:Flughavenoj de Vietnamio
ແມ່ແບບ:Image label small	Ŝablono:Marko sur bildo malgranda
ໝວດ:ພະມະຫາກະສັດອັງກິດ	Kategorio:Anglaj reĝoj
ໝວດ:ສານອາຫານ	Kategorio:Nutraĵo
ແມ່ແບບ:SUL Box	Ŝablono:Uzanto SUL
ໝວດ:ວິທະຍາສາດສຸຂະພາບ	Kategorio:Sanscienco
ແມ່ແບບ:Lang-en	Ŝablono:Lang-en
ໝວດ:ເນີຍແຂງ	Kategorio:Fromaĝoj
ແມ່ແບບ:UK	Ŝablono:GBR
ໝວດ:ສະຖາປັດຕະຍະກຳ	Kategorio:Arkitekturo
ໝວດ:ລົດໄຟ	Kategorio:Fervojo
ແມ່ແບບ:Interwiki	Ŝablono:Vikipedio
ໝວດ:ໂພຊະນາການ	Kategorio:Nutrado
ແມ່ແບບ:ບໍ່ເປັນກາງ	Ŝablono:Malneŭtraleco
ແມ່ແບບ:Dmoz	Ŝablono:Dmoz
ໝວດ:ເມືອງໃນແຂວງເກແບັກ	Kategorio:Urboj en Kebekio
ໝວດ:User eo	Kategorio:Vikipediisto eo
ໝວດ:User fr	Kategorio:Vikipediisto fr
ໝວດ:User ja	Kategorio:Vikipediisto ja
ໝວດ:User th	Kategorio:Vikipediisto th
ໝວດ:User ja-2	Kategorio:Vikipediisto ja-2
ໝວດ:User fr-N	Kategorio:Vikipediisto fr-D
ໝວດ:ແມ່ນ້ຳອາມາຊົນ	Kategorio:Amazonio
ໝວດ:ແຂວງກວາງບິນ	Kategorio:Provinco Quang Binh
ໝວດ:User en-3	Kategorio:Vikipediisto en-3
ໝວດ:User en-N	Kategorio:Vikipediisto en-D
ໝວດ:User eo-1	Kategorio:Vikipediisto eo-1
ໝວດ:User es	Kategorio:Vikipediisto es
ແມ່ແບບ:EU	Ŝablono:Eŭropa Unio
ໝວດ:User es-2	Kategorio:Vikipediisto es-2
ໝວດ:User es-3	Kategorio:Vikipediisto es-3
ນິກາຍອັງກະລິກັງ	Anglikanismo
ໝວດ:ສິລະປິນ	Kategorio:Artistoj
ໝວດ:ເວັບໄຊຕ໌	Kategorio:Retejoj
ໝວດ:User ko	Kategorio:Vikipediisto ko
ໝວດ:User ko-1	Kategorio:Vikipediisto ko-1
ໝວດ:ຫົວໜ່ວຍການປົກຄອງ	Kategorio:Teritoria administrado
ໝວດ:ພາສາວັນນະຍຸດ	Kategorio:Tonlingvoj
ໝວດ:ເມືອງໃນປະເທດຝະລັ່ງ	Kategorio:Urboj de Francio
ໝວດ:ວັນນະຄະດີເດັກນ້ອຍ	Kategorio:Literaturo por infanoj
ແມ່ແບບ:ຮູບຫຼາຍແຈ	Ŝablono:Plurlateroj
ໝວດ:ທະເລ	Kategorio:Maroj
ໝວດ:ປະເທດອັງກິດ	Kategorio:Anglio
ໝວດ:ນັກສະແດງແບ່ງຕາມສັນຊາດ	Kategorio:Aktoroj laŭ landoj
ໝວດ:ລະບົບສຸລິຍະ	Kategorio:Sunsistemo
ຊ່ວຍເຫຼືອ:ຫ້ອງສາງ	Helpo:Arkivigi
ໝວດ:ອຸດສາຫະກຳ	Kategorio:Industrio
ໝວດ:ນ້ຳ	Kategorio:Akvo
ໝວດ:ສັດກິນຊີ້ນ	Kategorio:Karnomanĝuloj
ໝວດ:ຟີລຳ	Kategorio:Filumo
ໝວດ:ເຮລີກົບແຕ	Kategorio:Helikopteroj
ໝວດ:ນາຍົກລັດຖະມົນຕີ	Kategorio:Ĉefministroj
ໝວດ:ນັກຮ້ອງການາດາ	Kategorio:Kanadaj kantistoj
ແມ່ແບບ:User es-3	Ŝablono:Vikipediisto es-3
ໝວດ:User ru	Kategorio:Vikipediisto ru
ໝວດ:User ru-3	Kategorio:Vikipediisto ru-3
ໝວດ:User th-N	Kategorio:Vikipediisto th-D
ແມ່ແບບ:Lang	Ŝablono:Lang
ໝວດ:ສາຂາວິຊາວິທະຍາສາດ	Kategorio:Sciencaj studfakoj
ໝວດ:ຊາວພະມ້າ	Kategorio:Birmanoj
ໝວດ:ມະນຸດ	Kategorio:Homoj
ໝວດ:ພາສາ: ບົດຄວາມ	Kategorio:Artikoloj
ແມ່ແບບ:ບົດຄວາມຫຼັກ	Ŝablono:Ĉefartikolo
ໝວດ:ວັນນະຄະດີແບ່ງຕາມປະເພດ	Kategorio:Literaturo laŭ ĝenroj
ແມ່ແບບ:ໃຜກ່າວ	Ŝablono:Kiu?
ໝວດ:ວົງເສືອແລະແມວ	Kategorio:Felisedoj
ໝວດ:ແມ່ນ້ຳແບ່ງຕາມປະເທດ	Kategorio:Riveroj laŭ lando
ໝວດ:ສະກຸນເງິນ	Kategorio:Monunuoj
ແມ່ແບບ:Infobox Language/family-color	Ŝablono:Informkesto lingvo/Koloro
ໝວດ:ແມ່ນ້ຳ	Kategorio:Riveroj
ໝວດ:ແມ່ນ້ຳໃນປະເທດບະເລຊິນ	Kategorio:Riveroj en Brazilo
ໝວດ:ແມ່ນ້ຳໃນປະເທດເປລູ	Kategorio:Riveroj en Peruo
ໝວດ:ນັກຮ້ອງແບ່ງຕາມສັນຊາດ	Kategorio:Kantistoj laŭ landoj
ໝວດ:ນ້ຳມັນ	Kategorio:Oleoj
ໝວດ:User zh-1	Kategorio:Vikipediisto zh-1
ໝວດ:User zh-3	Kategorio:Vikipediisto zh-3
ໝວດ:ພະມະຫາກະສັດໄທ	Kategorio:Reĝoj de Tajlando
ໝວດ:ຊັບສິນທາງປັນຍາ	Kategorio:Juro pri intelekta proprieto
