ఆఫ్రికా	Afriko
వంతెన	Ponto
కాలువ	Kanalo (akvovojo)
మూస:Location map Croatia	Ŝablono:Situo sur mapo Kroatio
మూస:Location map Bosnia and Herzegovina	Ŝablono:Situo sur mapo Bosnio
ఆనకట్ట	Akvobaraĵo
జేమ్స్ బుకానన్	James Buchanan
మూస:Location map India	Ŝablono:Situo sur mapo Barato
మూస:Location map Nepal	Ŝablono:Situo sur mapo Nepalo
మూస:Location map Burma	Ŝablono:Situo sur mapo Birmo
మూస:Location map Japan	Ŝablono:Situo sur mapo Japanio
మూస:Location map Australia	Ŝablono:Situo sur mapo Aŭstralio
మూస:Location map Fiji	Ŝablono:Situo sur mapo Fiĝioj
మోనాలిసా	La Gioconda
డెట్రాయిట్	Detrojto
కొలత	Mezuro
మైక్రోమీటర్	Mikromezurilo
సాంఖ్యక శాస్త్రం	Statistiko
గుమ్మటం	Kupolo
బుర్జ్ ఖలీఫా	Burĝ Ĥalifa
చైనా మహా కుడ్యము	Granda Ĉina Muro
మెట్టు	Ŝtuparo
పిరమిడ్	Piramido
క్రూసేడులు	Krucmilitoj
వంద సంవత్సరాల యుద్ధం	Centjara milito
ఉస్మానియా సామ్రాజ్యం	Otomana Imperio
వైకింగ్స్	Vikingoj
స్థూల దేశీయోత్పత్తి	Malneta enlanda produkto
ఘన వాయిద్యాలు	Idiofono
మాక్సిం గోర్కీ	Maksim Gorkij
విద్యుత్తు	Elektro
అణు విద్యుత్	Nuklea energio
ఆవిరి యంత్రం	Vapormaŝino
ఖడ్గం	Glavo
తుపాకి	Pafarmilo
అణ్వాయుధం	Atombombo
డక్‌డక్‌గో	DuckDuckGo
పీలే	Pelé
జార్జ్ సోరోస్	George Soros
వినోబా భావే	Vinoba Bhave
మిచెల్ ఒబామా/మిషెల్ ఒబామా	Michelle Obama
కపాలం	Kranio
వర్డ్‌ప్రెస్	WordPress
లీచీ	Liĉio
మృదుఫలం	Bero
కొబ్బరి	Kokoso
దానిమ్మ	Granatujo
బత్తాయి	Oranĝo (frukto)
మీగడ	Kremo
ఐస్ క్రీం	Glaciaĵo
కేక్	Kuko
పెరుగు	Jogurto
హార్వర్డ్ విశ్వవిద్యాలయం	Universitato Harvard
మూస:Location map Mexico	Ŝablono:Situo sur mapo Meksiko
థామస్ రాబర్ట్ మాల్థస్	Thomas Malthus
మూస:Location map Earth	Ŝablono:Situo sur mapo Tero
ఉండేలు	Katapulto (ludilo)
న్యూయార్క్ స్టాక్ ఎక్స్ఛేంజ్	Novjorka Borso
బ్రా	Mamzono
ఆంజలీనా జోలీ	Angelina Jolie
అరబ్బీ భాష	Araba lingvo
థాంక్స్ గివింగ్	Dankotago
నేషనల్ బ్రాడ్కాస్టింగ్ కంపెనీ	National Broadcasting Company
తొడుగు	Kondomo
పామే	Arekacoj
డాలర్	Dolaro (monunuo)
బికిని	Bikino
మ్యాక్ ఓయస్ టెన్	OS X
ప్రాక్సిమా సెంటారీ	Proksima Centaŭro
విలియం హెర్షెల్	William Herschel
జియోవాన్ని షాపరెల్లీ	Giovanni Schiaparelli
ఈస్టర్ ఐల్యాండ్	Paskinsulo
కాక్టేసి	Kakto
రూట్‌కిట్	Ĉefuzula ilaro
పతాకం	Flago
పెన్సిల్	Krajono
కూర పనస	Panarbo
ఇంటి పిచ్చుక	Dompasero
మేజా	Tablo
బైడు	Baidu
మకావు	Makao
కుర్చీ	Seĝo
హు జింటావ్	Hu Jintao
జిరాఫీ	Ĝirafo (specio)
పెదవి	Lipo
షెన్‌జెన్	Ŝenĵeno
మీసం	Lipharoj
సోవియట్ యూనియన్	Sovetunio
తిరునల్వేలి	Distrikto Tirunelveli
లార్డ్ ఆఫ్ ది రింగ్స్	La Mastro de l' Ringoj
పురపాలక సంఘము	Municipo
మంచి మరియు చెడు	Bono (filozofio)
ద్రవీభవన స్థానం	Fandopunkto
మద్య వ్యసనం	Alkoholismo
కెమెరా	Fotilo
వైఎస్ఆర్ జిల్లా	Distrikto Kadapa
ప్లాటిపస్	Ornitorinko
సి	C (programlingvo)
పాదము	Piedo
బల్లి	Lacertuloj
ఎమైల్ దుర్క్ హైం	Émile Durkheim
బిల్లియన్	Miliardo
జత్రుక	Klaviklo
భుజము	Ŝultro
హనువు	Mandiblo
బ్రూస్ లీ	Bruce Lee
అవటు గ్రంధి	Tiroido
వికీపీడియా:విశేష వ్యాసాలు	Vikipedio:Elstaraj artikoloj
మూస:Link FA	Ŝablono:LigoElstara
ప్రపంచము	Mondo
వికీపీడియా:రచ్చబండ	Vikipedio:Diskutejo
తామర పువ్వు	Hinda lotuso
న్యాయమూర్తి	Juĝisto
వెర్మాంట్	Vermonto
శాన్ డియాగో	San-Diego
శాన్ ఓసె	San Jose (Kalifornio)
డెన్వర్	Denvero (Koloradio)
హ్యూస్టన్	Houston (Teksaso)
ఫీనిక్స్ నగరం	Fenikso (Arizono)
డల్లాస్	Dallas (Teksaso)
షార్లెట్, నార్త్ కేరోలిన	Charlotte
ఓపెన్ స్యూజ్	OpenSUSE
లాంగ్ బీచ్	Long Beach
కాన్స్టాంటినోపుల్	Konstantinopolo
వైద్యశాల	Malsanulejo
చర్చి	Kirko
గుడ్డు	Ovo
టిబెట్ స్వాధికార ప్రాంతం	Tibeto
డొనాల్డ్ నూత్	Donald Knuth
క్జేవీ	Xavi
గ్రాఫిటీ	Grafitio
చరవాణి	Poŝtelefono
నిప్పుకోడి	Struto
స్టీఫెన్ హాకింగ్	Stephen Hawking
సిద్ధాంతము	Teorio
1925	1925
1927	1927
మాంచెస్టర్	Manchester
ఆస్పిరిన్	Aspirino
విటమిన్ ఎ	Vitamino A
కీటకాహార మొక్క	Karnovoraj plantoj
డార్క్ ఎనర్జీ	Malluma energio
గురుత్వస్థిరాంకము	Gravita konstanto
న్యూ ఇంగ్లండ్	Nov-Anglio
బర్ధావాన్ సట్‌నర్	Bertha von Suttner
బూడిదరంగు తోడేలు	Lupo
మున్సిపల్ ఘన వ్యర్ధాలు	Ĉedoma rubo
బంతి	Pilko
1955	1955
1954	1954
1953	1953
1951	1951
1950	1950
1946	1946
1943	1943
1942	1942
1940	1940
1939	1939
1938	1938
1937	1937
1936	1936
మాంచెస్టర్ యునైటెడ్ F.C.	Manchester United
1935	1935
1934	1934
1933	1933
1932	1932
1931	1931
1930	1930
1929	1929
భౌగోళిక స్థాన వ్యవస్థ	Tutmonda loktrova sistemo
స్పంజిక	Spongulo
ఆస్కార్ పురస్కారం	Oskar-premio
తొమ్మిది	9 (nombro)
తేలు	Skorpio
జార్జి బెర్నార్డ్ షా	George Bernard Shaw
1017	1017
ఫిఫా ప్రపంచ కప్	Futbala Mondpokalo
కార్మొరాంట్	Kormoranoj
పెలికాన్	Pelikano
వెబ్ శోధనా యంత్రం	Serĉilo
పోప్	Papo
క్షార లోహము	Alkala metalo
క్షారమృత్తిక లోహము	Teralkala metalo
అలోహం	Nemetalo
1137	1137
ఉత్కృష్ట వాయువు	Nobla gaso
రదనికలు	Kanino
Public domain	Publika havaĵo
పోర్టోరీకో స్వతంత్ర పార్టీ	Partio de la Sendependeco de Porto-Riko
గాడిద	Azeno
1928	1928
క్రిస్టమస్	Kristnasko
త్రిభుజం	Triangulo
లీపు సంవత్సరము	Superjaro
స్టీవ్ జాబ్స్	Steve Jobs
ఇండో యూరోపియను వర్గము	Hindeŭropa lingvaro
పులి	Tigro
ఆకు కూరలు	Folia legomo
నిస్సాన్	Nissan
లోలకము	Pendolo
ఈస్టర్	Pasko
సహజ సంఖ్య	Natura nombro
సామాజిక శాస్త్రం	Sociologio
అరుబా	Arubo
అంతర్జాతీయ ధ్వన్యాత్మక వర్ణమాల	Internacia Fonetika Alfabeto
ప్రిన్స్‌టన్ విశ్వవిద్యాలయం	Universitato Princeton
సొలనేలిస్	Solanaloj
లామియేలిస్	Lamialoj
జెన్షియనేలిస్	Gencianaloj
ఎఖిడ్నా	Ekidno
మిర్టేలిస్	Mirtaloj
ఫాబేలిస్	Fabaloj
బ్రాసికేలిస్	Brasikaloj
మాల్వేలిస్	Malvaloj
ఒడిషా	Odiŝo
GNU Free Documentation License	Permesilo de GNU por Liberaj Dokumentoj
పంజాబ్	Panĝabo (Barato)
కాంక్రీటు	Betono
భౌగోళిక నిర్దేశాంక పద్ధతి	Geografia koordinata sistemo
బహాయి విశ్వాసము	Bahaa Kredo
బ్యాంకు	Banko
మరువము	Majorano
తల్లిపాలు	Patrina lakto
ప్లేటో తత్త్వములు	Parabolo de la kaverno
వినియోగదారుడు	Konsumanto
జన సాంద్రత	Loĝdenso
వికీపీడియా:తొలగింపు కొరకు వ్యాసాలు	Vikipedio:Forigendaj artikoloj
హేలీ తోకచుక్క	Haleja kometo
అబ్‌ఖజియా	Abĥazio
ఏడు	7 (nombro)
ఎనిమిది	8 (nombro)
వారము	Semajno
మంచు	Glacio
సరస్సు	Lago
వెల్లుల్లి	Ajlo
మానవ శాస్త్రము	Antropologio
ఎర్ర సముద్రం	Ruĝa Maro
దోసకాయలు	Kukumo
ఎర్నెస్ట్ హెమింగ్‌వే	Ernest Hemingway
ద్వీపం	Insulo
తెలుపు	Blanko
నలుపు	Nigro
మార్సే (ప్రాన్స్)	Marsejlo
ఉల్లిపాయ	Cepo
ఆరు	6 (nombro)
పురావస్తు శాస్త్రం	Arkeologio
టమాటో	Tomato
89	89
భూమధ్య రేఖ	Ekvatoro
ప్రొటెస్టంటు	Protestantismo
సెలీనా	Selena
నేషనల్ ఏరోనాటిక్స్ మరియు స్పేస్ అడ్మినిస్ట్రేషన్	NASA
అట్లాంటా	Atlanta (Georgio)
ముస్సోలినీ	Benito Mussolini
నిఘంటువు	Vortaro
బెర్ముడా	Bermudo
తల	Kapo
జాతీయ గీతం	Nacia himno
లాస్ వెగాస్	Lasvegaso
పది	10 (nombro)
పరమాణు సంఖ్య	Atomnumero
ఆల్‍ఫ్రెడ్ నోబెల్	Alfred Nobel
దువ్వెన	Kombilo
మానవ శరీరము	Homa korpo
బొంగరము	Turbo
మృత సముద్రము	Morta Maro
570	570
చిరుతపులి	Gepardo
రుతువు	Sezono
బొగ్గు	Terkarbo
లివర్‌పూల్	Liverpool
అవతార్ (2009 చిత్రం)	Avatar (filmo)
వైజ్ఞానిక కల్పన	Sciencfikcio
టైటానిక్ నౌక	RMS Titanic
గుడ్లగూబ	Strigoformaj birdoj
బఠానీ	Ĝardena pizo
ఆల్డర్ వృక్షాలు	Alno
సకశేరుకాలు	Vertebruloj
ఫెలిడే	Felisedoj
సెల్సియస్	Grado celsia
ఆంపియర్	Ampero
నారాయణ పక్షి	Griza ardeo
దేశాల జాబితా – ISO 3166-1 కోడ్	ISO 3166-1
బరువు	Pezo
ఖర్జూరం	Daktilopalmo
సుత్తి	Martelo
మాంసాహారులు	Karnomanĝuloj
ఆర్కిడేసి	Orkidacoj
బొద్దింక	Blato
ఈగ	Dipteroj
ఆవృతబీజాలు	Angiospermoj
మొలస్కా	Moluskoj
మార్సుపీలియా	Marsupiulo
స్విస్ ఫ్రాంక్	Svisa franko
నాచు	Muskoj
కొంగ	Gruo (birdo)
ప్లవకాలు	Planktono
ఆల్చిప్ప	Duvalvulo
నామాల కోడి	Nigra fuliko
నెవార్క్, న్యూజెర్సీ	Newark (Nov-Ĵerzejo)
అలుగు	Maniso
ఆస్టరేసి	Asteracoj
తుమ్మెద	Burdo
సముద్రపు ఆవు	Sireno (besto)
కుంకుమ పువ్వు	Safrano
వడ్రంగి పిట్ట	Pegedoj
నిడేరియా	Knidulo
అనెలిడా	Anelidoj
ఆధార కణజాలము	Konektiva histo
300	300
ఫెర్రీ	Pramo
విత్తనపు మొక్క	Semplantoj
జింక	Antilopo
కుషాణులు	Kuŝana imperio
తెరచాప	Velo
నేతోస్టొమాటా	Makzelulo
వైటేసి	Vitacoj
సపిండేలిస్	Sapindaloj
అంచు (జ్యామితి)	Latero
శీర్షం (జ్యామితి)	Vertico (geometrio)
పిండం	Feto
లారేసి	Laŭracoj
ఉపగ్రహము	Artefarita satelito
చమరీ మృగం	Gruntbovo
రాలిడే	Raledoj
శత పుష్పం	Aneto
లవంగము	Kariofilo
ఓర్కా	Granda orcino
టేలర్ స్విఫ్ట్	Taylor Swift
లాభం	Profito
లక్షద్వీపములు	Lakŝadivoj
ఆస్టన్ మార్టిన్	Aston Martin
సపిండేసి	Sapindacoj
మధ్య ఆసియా	Centra Azio
అడవిలవంగపట్ట	Cinamomo
పైపరేలిస్	Pipraloj
డైమ్లెర్‌	Daimler AG
ఎ.వో.ఎల్.	America Online
ఫెరారీ	Ferrari
క్రిస్తాదేల్ఫియన్లు	Kristadelfianoj
గానం	Kantado
తొక్కుడుబిళ్ళ	Marelo
దాల్చిన చెక్క	Cinamo
అయస్కాంత పర్మియబిలిటీ	Magneta permeableco
గబ్బిలం	Kiropteroj
వెంట్రుక	Haro
చుట్టుకొలత	Perimetro
మయ నాగరికత	Majaoj
ఇంకా సామ్రాజ్యం	Inkaa imperio
పేరడైజ్ లాస్ట్	Perdita Paradizo
శాండ్‌విచ్	Sandviĉo
వస్త్రం	Tekstila
ఫీల్డ్స్ పతకం	Medalo Fields
పైథాన్ (కంప్యూటర్ భాష)	Python (programlingvo)
ఇస్లామీయ కేలండర్	Islama kalendaro
పిచ్చుక	Paseredoj
విల్లిస్ టవర్	Willis-Turo
అస్సామీ భాష	Asama lingvo
కాబా	Kaaba
పాగనిజం	Paganismo
సాంద్రత	Denso
చేవ్రొలెట్	Chevrolet
వై-ఫై	Wi-Fi
సమితి నిబంధనలు (చట్టం)	Statuto
గరాటు	Funelo
నీటి కుక్క	Lutra lutra
కాఫీ దుకాణం	Kafejo
జీప్	Ĵipo
మంచు చిరుత	Neĝleopardo
ఏచర్	Ecser
762	762
అధ్యక్షుడు	Prezidanto
మదర్ థెరీసా	Patrino Teresa
బ్లాగు	Blogo
ఆస్కార్ వైల్డ్	Oscar Wilde
డెంగీ	Dengo
గణన యంత్రం	Kalkulilo
చిలుక	Papagoformaj
మైక్రొగ్లొస్సైన్	Plejnigra kakatuo
రోజ్ యాపిల్	Syzygium jambos
అరేబియా ద్వీపకల్పం	Arabio
ఎమోటికాన్	Miensimbolo
కూడిక	Adicio
ముష్టి యుద్ధం	Boksado
అమెరికన్ ఎయిర్‌లైన్స్	American Airlines
కత్తి	Tranĉilo
జెన్నిఫర్ అనిస్టన్	Jennifer Aniston
డొమైన్ పేరు	Domajna nomo
మలాలా యూసఫ్‌జాయ్	Malala Yousafzai
జీబ్రా	Zebro
మస్జిద్	Moskeo
బ్రహుయి	Braŭia lingvo
ఛాయా గ్రాహకుడు	Fotisto
మొఘల్ సామ్రాజ్యం	Mogola Imperio
ద్రావిడ భాషలు	Dravida lingvaro
హుబ్బళ్లి	Hubli
ఏలకులు	Kardamomo
సంగ్రహాలయం	Muzeo
కాశ్మీరీ భాష	Kaŝmira lingvo
ధృవపు ఎలుగుబంటి	Blanka urso
కన్నడ భాష	Kannada lingvo
మెరుపు	Fulmo
బెర్ట్రాండ్ రస్సెల్	Bertrand Russell
చేయి	Mano
ఒడియా భాష	Odia lingvo
ఎడ్మండ్ హిల్లరీ	Edmund Hillary
నేపాలీ భాష	Nepala lingvo
జనాభా	Loĝantaro
థియోడర్ రూజ్‌వెల్ట్	Theodore Roosevelt
టూర్ డి ఫ్రాన్స్	Tour de France
సెయింట్‌ పీటర్	Sankta Petro
నీస్	Nico
పత్రము	Folio
వల్పరైజో	Valparaiso
నటులు	Aktoro
హాలీవుడ్	Holivudo
జీడి	Akaĵuo
అక్షాంశం	Latitudo
జలపాతము	Akvofalo
కంచు	Bronzo
సాంకేతిక శాస్త్రములు	Scienco kaj tekniko
వెన్న	Butero
వేదాంతశాస్త్రం	Teologio
పాబ్లో నెరుడా	Pablo Neruda
ఆక్స్‌ఫర్డ్	Oksfordo
నయాగరా జలపాతం	Niagara Akvofalaro
సంకేత భాష	Signolingvo
కొంకణి భాష	Konkana lingvo
లినస్ టోర్వాల్డ్స్	Linus Torvalds
విసుగుదల	Enuo
సువార్త	Evangelio
అలెగ్జాండర్ గ్రాహంబెల్	Alexander Graham Bell
జ్యోతిషశాస్త్రం	Astrologio
సంగీత వాయిద్యం	Muzika instrumento
హంస	Cigno
సబ్బు	Sapo
బెనజీర్ భుట్టో	Benazir Bhutto
షకీరా	Shakira
ఆక్స్‌ఫర్డ్ విశ్వవిద్యాలయం	Universitato de Oksfordo
రహదారి	Vojo
కంపాక్ట్ డిస్క్	Kompakta disko
హెలికాప్టరు	Helikoptero
అల్ ఖైదా	Al-Kaida
మోటార్ సైకిల్	Motorciklo
నీటి ఏనుగు	Amfibia hipopotamo
కానుపు	Nasko
పది ఆజ్ఞలు	La Dekalogo
ఆల్బర్ట్ కామూ	Albert Camus
ఇసుక	Sablo
గులాబి	Rozo
విశేషణము	Adjektivo
గ్రీక్ పురాణశాస్త్రం	Helena mitologio
దిక్సూచి	Kompaso
ప్రజాతి	Genro (biologio)
రుడ్యార్డ్ కిప్లింగ్	Rudyard Kipling
సాంఘిక శాస్త్రం	Socia scienco
ద్వీపకల్పము	Duoninsulo
ఎక్స్-రే	Ikso-radioj
ఫ్రెడరిక్ ఎంగెల్స్	Friedrich Engels
కొత్త సంవత్సరం	Novjaro
ఎలిజబెత్ టేలర్	Elizabeth Taylor
ప్రోవిన్స్	Provinco
బొప్పాయి	Papajo
బ్రిస్బేన్	Brisbano
విటమిన్	Vitamino
బెంజమిన్ ఫ్రాంక్లిన్	Benjamin Franklin
ఐజాక్ అసిమోవ్	Isaac Asimov
తోరాహ్	Leĝo de Moseo
కాబేజీ	Blanka brasiko
పోస్టాఫీసు	Poŝtejo
అమెరికా సంయుక్త రాష్ట్రాల అధ్యక్షులు	Listo de prezidantoj de Usono
సామెతలు	Proverbo
వెబ్‌సైటు	TTT-ejo
విల్హేల్మ్ కన్రాడ్ రాంట్జెన్	Wilhelm Conrad Röntgen
దర్పణం	Spegulo
షైతాన్	Satano
పద ఉత్పత్తి శాస్త్రం	Etimologio
బ్రాడ్ పిట్	Brad Pitt
కొలంబో	Kolombo (urbo)
ధ్వనిశాస్త్రం	Fonetiko
కుటుంబము (జీవశాస్త్రం)	Familio (biologio)
కిటికీ	Fenestro
మదీనా	Medino
గుహ	Kaverno
శ్వేత సౌధం	Blanka Domo (Vaŝingtono)
రక్షకభటుడు	Polico
సర్ ఆర్థర్ కోనన్ డోయల్	Arthur Conan Doyle
అల్లం	Zingibro
నోబెల్‌ శాంతి బహుమతి	Nobel-premio pri paco
హిమానీనదం	Glaĉero
పిట్‌కెయిర్న్ దీవులు	Pitkarna insularo
జాగ్వర్	Jaguaro
పార్లమెంట్లు	Parlamento
పదార్ధము	Materio
వ్యాసం	Eseo
సఫారి (వెబ్ బ్రౌజర్)	Safari (retumilo)
కేంబ్రిడ్జ్ విశ్వవిద్యాలయం	Universitato de Kembriĝo
దగ్గు	Tuso
వంటచెరకు	Brulligno
రైట్ సోదరులు	Fratoj Wright
నిద్ర	Dormo
హెక్టారు	Hektaro
బాప్టిజం	Bapto
ద్రవ్యోల్బణం	Inflacio
ఉబ్బసము	Astmo
పడవ	Boato
హాస్యము	Humuro
లంబోర్ఘిని	Lamborghini
ఒమర్ ఖయ్యాం	Omar Ĥajam
ల్యాండ్ రోవర్	Land Rover
వెదురు	Bambuo
కాంగో	Kongo
మెర్సిడెస్-బెంజ్	Mercedes-Benz
హొ చి మిన్	Ho Chi Minh
మిన్నియాపోలిస్	Minneapolis
కోలా	Koalo
ముహమ్మద్ ఆలీ	Muhammad Ali
నేల	Grundo
సమితులు	Aro (matematiko)
రచయిత	Verkisto
మార్క్ జూకర్‌బర్గ్	Mark Zuckerberg
సర్వనామము	Pronomo
మలయాళ భాష	Malajala lingvo
పొడవు	Longo
జీవిత చరిత్ర	Biografio
పట్టు దారి	Silka Vojo
కాల్గరీ	Kalgario
జోర్డానో బ్రూనో	Giordano Bruno
స్వప్నం	Sonĝo
టైక్వాండో	Tekvondo
ఎలుక	Rato
అబెర్డీన్	Aberdeen
రాజనీతి శాస్త్రము	Politika scienco
పిండి	Faruno
రేఖాంశం	Longitudo
ది లయన్ కింగ్	The Lion King
పొయ్యి	Forno
వ్లదీమర్ నబొకొవ్	Vladimir Nabokov
క్రమము	Ordo (biologio)
గొరిల్లా	Gorilo
వ్యభిచారం	Prostituo
ద్వినామ నామకరణ	Dunoma nomsistemo
యుగోస్లేవియా	Jugoslavio
మామత్	Mamuto
పాళీ భాష	Palia lingvo
అంగ్ సాన్ సూకీ	Aung San Suu Kyi
అమెరికా ఆదిమ వాసులు	Indianoj
రాబర్ట్ ప్యాటిన్సన్	Robert Pattinson
తలుపు	Pordo
చతుర్భుజి	Kvarlatero
గోరు	Ungo
మాతృభాష	Gepatra lingvo
పర్వతారోహణం	Montogrimpado
రాబర్ట్ డి నీరో	Robert De Niro
కుష్టు వ్యాధి	Lepro
వేట	Ĉasado
జాకీ చాన్	Jackie Chan
ముఖం	Vizaĝo
జింజిబరేసి	Zingibracoj
ప్రకటన	Reklamo
స్వతంత్రం	Sendependeco
మేకు	Najlo
టామ్ క్రూజ్	Tom Cruise
త్రిత్వము	Sankta Triunuo
యాహూ!	Yahoo!
ఆక్లాండ్	Auckland
ఫ్లోరెన్స్ నైటింగేల్	Florence Nightingale
ఫరో	Faraono
గుల్బర్గా	Gulbarga
ఏకే-47	AK-47
ఎథీనా	Atena
మీథేన్	Metano
మరిఉపొల్	Mariupolo
అవకాడో	Avokado
ఇంటర్నేషనల్ బిజినెస్ మెషీన్స్	IBM
తరంగము	Ondo
జానీ డెప్	Johnny Depp
ఎర్ర రక్త కణం	Eritrocito
రాబర్ట్ కోచ్	Robert Koch
వ్యాసం (గణిత శాస్త్రము)	Diametro
ఉపాధ్యాయుడు	Instruisto
కేంద్ర నిఘా సంస్థ	CIA
రామాయణము	Ramajano
పవిత్ర ఆత్మ	Sankta Spirito
ఇంటర్నెట్ మూవీ డేటాబేస్	Interreta filma datumbazo
దలైలామా	Dalai-lamao
ఆక్రొతిరి మరియు ఢెకెలియా	Akrotiri kaj Dekelia
క్లాస్ ఎబనర్	Klaus Ebner
వేరుశనగ	Ternukso
మోకాలు	Genuo
ఆప్రికాట్	Abrikotarbo
పియరీ క్యూరీ	Pierre Curie
కళ్ళద్దాలు	Okulvitro
అగ్గిపుల్ల	Alumeto
తరగతి (జీవశాస్త్రం)	Klaso (biologio)
గ్లూకోస్	Glukozo
ఖగోళ భౌతిక శాస్త్రం	Astrofiziko
ప్రేమికుల రోజు	Sankt-Valentena tago
వడగళ్ళు	Hajlo
ఊసరవెల్లి	Ĥameleono
ఉస్మాన్ ఇబ్న్ అఫ్ఫాన్	Uthman ibn Affan
భూస్వామ్య విధానం	Feŭdismo
వారసవాహిక	Kromosomo
షార్లోట్టేస్ వెబ్ (1973 సినిమా)	Charlotte's Web (filmo, 1973)
పర్యావరణ వ్యవస్థ	Ekologia sistemo
ఆక్లాండ్ గ్రామర్ స్కూలు	Auckland Grammar School
రిఫ్రిజిరేటర్	Fridujo
మిల్వాకీ, విస్కాన్సిన్	Milvokio
శైవలాలు	Algo
నటాలీ పోర్ట్‌మన్	Natalie Portman
జలసంధి	Markolo
తపాలా బిళ్ళ	Poŝtmarko
చిలగడదుంప	Batato
గ్రెగర్ జోహన్ మెండల్	Johann Gregor Mendel
కెంర్టెన్	Karintio
యాంగోన్	Jangono
సెయింట్ లూయిస్	Sankta Luiso
ఎగ్జిస్టెన్షియలిజం	Ekzistadismo
వన్య శాస్త్రము	Arbara mastrumado
నానాజాతి సమితి	Ligo de Nacioj
సమురాయ్	Samurajo
నాసికాస్థులు	Nazosto
హెలెన్ కెల్లర్	Helen Keller
ఎన్య	Enya
ప్రాథమిక విభజన	Filumo
ఇంగ్లాండ్ రాజు హెన్రీ VIII	Henriko la 8-a (Anglio)
న్యూటన్ సూత్రాలు	Leĝoj de Newton pri movo
కొలంబియా, దక్షిణ కెరొలిన	Columbia (Suda Karolino)
బాక్సర్ (కుక్క)	Boksero (hundo)
మిలియను	Miliono
దేవనాగరి	Nagario
పుచ్చ	Akvomelono
బంగాళాఖాతము	Bengala Golfo
వంట	Kuirado
గాలి మర	Ventmuelejo
ఆయతొల్లాహ్ ఖొమైనీ	Ruhollah Ĥomejni
విభూది తులసి	Bazilio
లేజర్	Lasero
జ్వరం	Febro
అంతర్జాతీయ మహిళా దినోత్సవం	Internacia tago de virinoj
వోరార్ల్‌బెర్గ్	Vorarlbergo
పీసా టవర్	Oblikva turo de Pizo
సూక్ష్మ అర్థ శాస్త్రము	Mikroekonomiko
లీడ్స్	Leeds
చిట్టెలుక	Muso (besto)
ఘనపరిమాణము	Volumeno
గొడ్డలి	Hakilo
సర్రియలిజం	Superrealismo
పాల్ పాట్	Pol Pot
ఎమ్మా వాట్సన్	Emma Watson
ట్రాక్టర్	Traktoro
బ్లూటూత్	Bludento
సాధనసంపత్తి	Laborilo
పీడనం	Premo
పెట్రోల్	Benzino
మైటోకాండ్రియా	Mitokondrio
క్రిస్టియాన్ హైగెన్స్	Christiaan Huygens
అలీ ఇబ్న్ అబీ తాలిబ్	Ali ibn Abi Talib
పలవల దుప్పి	Boaco
పెనెలోప్ క్రజ్	Penélope Cruz
స్థూల ఆర్థిక శాస్త్రము	Makroekonomiko
రసవాదం	Alkemio
దీపస్తంభం	Lumturo
ది రేస్క్యూయర్స్	The Rescuers
ఇత్తడి	Latuno
జ్యాక్ నికల్సన్	Jack Nicholson
విక్రయం	Merkatiko
లోయ	Valo
జనాభా గణన	Popolnombrado
సూక్ష్మజీవి	Mikroorganismo
రేడియో స్టూడియో 54 నెట్వర్క్	Radio Studio 54 Network
స్నాయువు	Ligamento
బాదం	Migdalujo
చతుర్వేదాలు	Vedoj
నోస్ట్రడామస్	Nostradamus
సౌర శక్తి	Sunenergio
సిల్వెస్టర్ స్టాలోన్	Sylvester Stallone
పానీయం	Trinkaĵo
కంప్యూటర్ ప్రోగ్రామ్	Komputila programo
సముద్రతీరం	Strando
ఇటుక	Briko
ఆక్టోపస్	Polpo
లావా	Lafo
తులాదండము	Levilo
నియాండర్తల్	Neandertala homo
అంతరిక్ష నౌక	Kosmoveturilo
కార్ల్ బెంజ్	Karl Benz
ఎన్నికలు	Voĉdono
మారథాన్	Maratono
గుణకారం	Multipliko
ఆత్మరక్షణ	Persona defendo
ది ఫాక్స్ ఎండ్ ది హౌండ్	The Fox and the Hound
గుడ్ ఫ్రైడే	Granda vendredo
న్యాయవాది	Advokato
కారాగారము	Malliberejo
కణజాలము	Histo
ఇంప్రెషనిజం	Impresionismo
బఫెలో, న్యూయార్క్	Bufalo
పర్వేజ్ ముషార్రఫ్	Pervez Muŝaraf
జూలియా రాబర్ట్స్	Julia Roberts
రాశి	Zodiako
సుమో యోధులు	Sumoo
శిలాజము	Fosilio
తీసివేత	Subtraho
విత్తనము	Semo (planto)
పీత	Krabo
శస్త్ర చికిత్స	Kirurgio
కత్తెర	Tondilo
ఎడ్వర్డ్ జెన్నర్	Edward Jenner
సహజ వాయువు	Tergaso
ఊర్ట్ మబ్బు	Oorta nubo
విషం	Veneno
డోరిస్ లెస్సింగ్	Doris Lessing
అతిసారం	Diareo
అండమాన్ నికోబార్ దీవులు	Andamanoj kaj Nikobaroj
డంబో	Dumbo
వర్జీనియా వూల్ఫ్	Virginia Woolf
మూత్రం	Urino
ప్రార్థన	Preĝo
వాల్‌రస్	Rosmaro
ఒరంగుటాన్	Orangutano
హిజ్బుల్లాహ్	Hizbulaho
నుదురు	Frunto
రాం నారాయణ్	Ram Narayan
సవాయి	Sifiliso
స్కిజోఫ్రీనియా	Skizofrenio
మార్టిన్ స్కోర్సెస్	Martin Scorsese
హెరాక్లిటస్	Heraklito
